Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,deepest_snowfall,total_snowfall
0,2016-01-01,2.2,5.3,-1.8,0.0,7,2
1,2016-01-02,1.2,4.3,-2.5,2.0,6,2
2,2016-01-03,3.6,5.5,0.9,7.5,4,2
3,2016-01-04,5.3,11.5,2.8,6.5,2,3
4,2016-01-05,3.1,4.3,2.0,3.0,0,0
5,2016-01-06,2.9,4.4,1.2,5.0,0,0
6,2016-01-07,1.8,4.1,0.2,7.0,0,0
7,2016-01-08,0.5,2.3,-0.5,5.5,0,0
8,2016-01-09,0.7,3.3,-1.4,1.5,0,0
9,2016-01-10,0.4,1.8,-1.0,27.0,11,13
10,2016-01-11,-0.5,0.9,-2.5,3.5,11,16
11,2016-01-12,-0.7,1.2,-3.2,0.0,5,3
12,2016-01-13,0.3,3.6,-2.3,0.5,4,1
13,2016-01-14,0.3,2.0,-1.4,8.0,9,7
14,2016-01-15,-1.1,2.6,-4.6,0.5,8,3
15,2016-01-16,-1.3,1.6,-5.1,5.5,19,15
16,2016-01-17,-1.3,2.9,-6.1,0.0,11,3
17,2016-01-18,0.8,2.6,0.0,27.0,15,8
18,2016-01-19,0.8,3.6,-2.2,2.0,12,3
19,2016-01-20,-0.8,1.6,-3.5,13.5,26,20
20,2016-01-21,0.2,1.4,-0.8,0.0,25,2
21,2016-01-22,-0.3,1.9,-2.4,1.0,25,9
22,2016-01-23,-1.0,1.5,-4.1,0.0,26,6
23,2016-01-24,-2.7,-0.2,-5.9,21.0,55,35
24,2016-01-25,-1.6,0.4,-5.0,2.5,55,6
25,2016-01-26,-0.2,4.2,-4.4,2.0,53,6
26,2016-01-27,0.3,2.5,-2.4,15.0,44,4
27,2016-01-28,2.2,5.6,0.0,2.0,39,9
28,2016-01-29,0.6,2.7,-0.1,13.0,39,8
29,2016-01-30,0.2,2.2,-0.9,5.5,44,10
30,2016-01-31,1.1,3.5,-0.6,1.5,39,5
31,2016-02-01,-0.7,1.1,-3.8,1.0,40,13
32,2016-02-02,-0.5,2.4,-4.6,0.0,35,3
33,2016-02-03,0.4,3.3,-1.5,0.0,31,0
34,2016-02-04,0.5,4.8,-2.5,12.0,36,10
35,2016-02-05,1.0,3.1,-2.2,8.0,37,4
36,2016-02-06,0.2,2.7,-2.0,0.5,34,3
37,2016-02-07,-1.9,0.7,-6.9,0.0,31,2
38,2016-02-08,-3.5,4.1,-8.4,0.0,31,1
39,2016-02-09,-2.3,1.5,-8.3,5.0,36,9
40,2016-02-10,0.4,2.7,-1.9,0.5,39,8
41,2016-02-11,0.6,4.7,-6.1,0.0,34,3
42,2016-02-12,-0.5,8.8,-8.9,0.0,34,1
43,2016-02-13,2.8,10.0,-1.0,0.0,32,0
44,2016-02-14,3.8,9.1,0.8,14.0,29,5
45,2016-02-15,-0.1,4.4,-2.4,3.5,26,10
46,2016-02-16,-0.6,4.1,-3.0,0.0,26,1
47,2016-02-17,-0.5,0.8,-2.2,14.5,39,23
48,2016-02-18,-0.4,6.1,-5.3,0.0,37,6
49,2016-02-19,1.5,9.4,-4.8,0.0,29,2
50,2016-02-20,2.2,6.4,-0.5,1.0,27,3
51,2016-02-21,2.7,5.7,0.3,16.5,26,6
52,2016-02-22,0.8,4.2,-1.2,0.5,27,6
53,2016-02-23,2.4,9.2,-1.6,7.0,23,1
54,2016-02-24,-0.3,2.9,-2.2,2.0,23,9
55,2016-02-25,-1.5,1.6,-3.6,0.5,22,5
56,2016-02-26,-0.5,2.1,-3.1,18.0,48,34
57,2016-02-27,1.7,4.9,-1.5,5.5,51,7
58,2016-02-28,4.1,8.8,1.1,2.0,29,1
59,2016-02-29,1.7,6.4,-1.9,4.0,31,13
60,2016-03-01,-1.4,-0.4,-2.6,6.0,39,9
61,2016-03-02,-0.1,2.4,-1.9,12.5,44,12
62,2016-03-03,2.1,5.9,-1.1,7.0,37,4
63,2016-03-04,2.7,10.0,-2.0,0.0,30,1
64,2016-03-05,4.2,12.8,-2.6,0.0,26,4
65,2016-03-06,6.5,16.6,-1.0,0.0,19,1
66,2016-03-07,6.1,10.4,3.7,0.5,12,1
67,2016-03-08,5.8,8.9,2.8,0.5,6,2
68,2016-03-09,2.1,5.4,0.8,0.0,2,1
69,2016-03-10,2.0,4.0,0.7,0.0,0,0
70,2016-03-11,1.4,6.2,-1.9,0.0,0,0
71,2016-03-12,1.5,6.4,-2.7,0.0,0,0
72,2016-03-13,3.2,8.5,-1.9,0.0,0,0
73,2016-03-14,2.4,4.1,1.4,7.5,0,0
74,2016-03-15,3.2,6.6,-0.1,0.0,0,0
75,2016-03-16,3.7,11.2,-2.1,0.0,0,0
76,2016-03-17,5.7,16.6,-3.6,0.0,0,0
77,2016-03-18,8.6,20.3,-1.7,0.0,0,0
78,2016-03-19,8.8,13.6,5.1,1.5,0,0
79,2016-03-20,5.5,7.6,2.7,0.5,0,0
80,2016-03-21,3.7,8.6,0.5,0.5,0,0
81,2016-03-22,6.3,13.7,-2.0,0.0,0,0
82,2016-03-23,5.8,10.5,2.5,8.0,0,0
83,2016-03-24,2.5,6.2,0.2,1.5,0,0
84,2016-03-25,1.4,5.3,-0.7,2.5,0,0
85,2016-03-26,2.2,8.6,-2.7,0.0,0,0
86,2016-03-27,4.7,14.0,-2.7,0.0,0,0
87,2016-03-28,7.0,15.1,0.1,0.0,0,0
88,2016-03-29,7.4,16.9,-3.0,0.0,0,0
89,2016-03-30,9.3,18.7,0.9,8.5,0,0
90,2016-03-31,8.2,16.8,1.0,0.0,0,0
91,2016-04-01,8.0,18.6,-1.1,0.0,0,0
92,2016-04-02,9.3,15.9,1.9,0.0,0,0
93,2016-04-03,13.3,23.7,4.0,0.0,0,0
94,2016-04-04,9.7,12.0,6.8,9.0,0,0
95,2016-04-05,8.3,16.5,1.0,0.5,0,0
96,2016-04-06,8.6,16.4,1.6,0.0,0,0
97,2016-04-07,8.6,13.1,3.6,27.5,0,0
98,2016-04-08,10.1,13.2,4.1,1.5,0,0
99,2016-04-09,10.4,21.9,3.2,0.0,0,0
100,2016-04-10,10.4,20.3,1.2,0.0,0,0
101,2016-04-11,3.4,8.8,0.4,3.0,0,0
102,2016-04-12,5.7,14.9,-2.3,0.0,0,0
103,2016-04-13,11.7,21.0,1.4,3.5,0,0
104,2016-04-14,14.6,21.3,10.6,9.5,0,0
105,2016-04-15,7.5,12.4,2.7,8.5,0,0
106,2016-04-16,9.8,20.6,-1.1,0.0,0,0
107,2016-04-17,14.5,25.3,7.8,1.5,0,0
108,2016-04-18,12.1,18.7,6.3,0.0,0,0
109,2016-04-19,9.9,16.6,4.4,0.5,0,0
110,2016-04-20,10.2,18.4,1.4,0.0,0,0
111,2016-04-21,12.0,18.8,4.1,7.5,0,0
112,2016-04-22,13.3,18.1,8.4,3.5,0,0
113,2016-04-23,15.0,25.6,8.3,0.0,0,0
114,2016-04-24,13.5,20.2,5.2,0.0,0,0
