Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation
0,2016-01-01,1.7,6.4,-3.6,0.0
1,2016-01-02,1.1,7.0,-3.6,0.0
2,2016-01-03,2.9,11.4,-0.9,0.0
3,2016-01-04,3.0,11.7,-2.6,0.0
4,2016-01-05,2.9,10.1,-2.2,0.0
5,2016-01-06,3.3,9.0,-0.6,0.0
6,2016-01-07,2.0,8.3,-1.9,0.0
7,2016-01-08,2.8,6.0,-0.2,0.0
8,2016-01-09,1.8,7.0,-1.6,0.0
9,2016-01-10,2.3,6.3,-1.0,0.0
10,2016-01-11,2.7,7.8,-1.1,0.0
11,2016-01-12,1.4,5.8,-2.9,0.0
12,2016-01-13,0.4,5.8,-5.1,0.0
13,2016-01-14,1.1,3.5,-0.6,0.0
14,2016-01-15,1.0,6.9,-2.7,0.0
15,2016-01-16,0.2,6.5,-4.3,0.0
16,2016-01-17,0.1,6.3,-5.6,0.0
17,2016-01-18,2.8,5.8,0.0,22.0
18,2016-01-19,-1.0,2.2,-4.3,0.5
19,2016-01-20,-2.2,1.6,-4.6,13.0
20,2016-01-21,-1.4,3.2,-5.7,0.0
21,2016-01-22,-1.4,3.8,-7.0,0.0
22,2016-01-23,-2.2,1.9,-6.3,0.0
23,2016-01-24,-4.8,-1.9,-9.8,1.5
24,2016-01-25,-5.8,0.4,-11.8,0.0
25,2016-01-26,-3.9,3.9,-10.6,0.0
26,2016-01-27,-0.1,6.8,-4.1,0.0
27,2016-01-28,-0.1,7.5,-6.2,0.0
28,2016-01-29,1.8,2.8,0.7,42.5
29,2016-01-30,3.4,6.0,1.8,12.5
30,2016-01-31,4.0,8.9,0.2,0.0
31,2016-02-01,2.2,5.5,0.0,0.0
32,2016-02-02,1.6,7.1,-2.2,0.0
33,2016-02-03,0.5,5.6,-4.4,0.0
34,2016-02-04,-0.3,5.6,-5.8,0.0
35,2016-02-05,1.1,8.9,-3.8,0.0
36,2016-02-06,1.9,7.4,-2.6,0.0
37,2016-02-07,0.5,4.9,-4.9,0.0
38,2016-02-08,-1.7,6.8,-7.7,0.0
39,2016-02-09,-0.3,2.3,-3.2,9.0
40,2016-02-10,-0.2,2.6,-3.7,0.0
41,2016-02-11,-0.6,7.3,-6.5,0.0
42,2016-02-12,0.8,4.8,-4.6,0.0
43,2016-02-13,4.2,8.7,1.6,40.5
44,2016-02-14,11.8,15.7,6.8,64.5
45,2016-02-15,3.1,7.0,-1.5,0.0
46,2016-02-16,-0.8,2.6,-5.0,0.0
47,2016-02-17,-0.3,2.6,-3.9,1.5
48,2016-02-18,-0.8,8.2,-6.3,0.0
49,2016-02-19,2.5,11.2,-3.5,0.0
50,2016-02-20,3.6,10.0,-0.1,29.5
51,2016-02-21,4.7,8.0,0.9,1.0
52,2016-02-22,3.6,8.8,-0.5,0.0
53,2016-02-23,4.6,10.1,-0.2,0.0
54,2016-02-24,2.2,6.3,-1.7,0.0
55,2016-02-25,0.1,6.7,-5.5,0.0
