Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,hours_sunlight
0,2016-01-01,-2.3,2.8,-6.8,6.6
1,2016-01-02,-1.3,6.2,-6.8,2.9
2,2016-01-03,0.6,10.3,-3.9,6.5
3,2016-01-04,1.1,9.1,-4.5,3.2
4,2016-01-05,0.9,7.1,-4.3,4.3
5,2016-01-06,1.0,5.7,-2.0,1.3
6,2016-01-07,-1.4,1.3,-3.6,0.1
7,2016-01-08,-0.5,2.2,-3.5,0.8
8,2016-01-09,-0.8,3.0,-3.3,4.5
9,2016-01-10,-0.4,2.3,-2.8,1.5
10,2016-01-11,-0.4,2.3,-3.3,2.1
11,2016-01-12,-2.5,0.4,-7.3,1.0
12,2016-01-13,-3.5,1.0,-9.5,1.9
13,2016-01-14,-2.1,0.2,-5.3,0.9
14,2016-01-15,-2.6,1.4,-6.7,3.5
15,2016-01-16,-3.6,2.2,-8.4,5.4
16,2016-01-17,-3.3,1.6,-9.5,2.0
17,2016-01-18,0.9,3.8,-1.3,0.0
18,2016-01-19,-5.2,-0.1,-7.8,0.6
19,2016-01-20,-5.3,-2.5,-8.3,0.0
20,2016-01-21,-5.0,-1.3,-9.4,1.9
21,2016-01-22,-7.3,-1.9,-12.8,3.4
22,2016-01-23,-6.3,-0.2,-13.9,0.0
23,2016-01-24,-8.0,-4.6,-13.0,0.5
24,2016-01-25,-9.2,-3.6,-15.0,2.2
25,2016-01-26,-7.8,1.7,-15.9,7.4
26,2016-01-27,-4.2,3.3,-9.4,6.3
27,2016-01-28,-2.4,5.5,-10.3,3.9
28,2016-01-29,1.0,2.2,-0.3,0.0
29,2016-01-30,-0.9,1.1,-4.7,0.0
30,2016-01-31,-1.9,3.1,-7.3,7.0
31,2016-02-01,-2.2,-0.6,-4.1,0.0
32,2016-02-02,-4.0,0.5,-8.7,4.0
33,2016-02-03,-6.7,0.1,-13.0,7.9
34,2016-02-04,-5.3,2.6,-12.9,4.3
35,2016-02-05,-3.6,3.7,-9.7,7.7
36,2016-02-06,-1.9,2.8,-5.8,2.2
37,2016-02-07,-5.0,-0.8,-11.9,7.7
38,2016-02-08,-6.3,3.2,-14.8,8.1
