,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,deepest_snowfall,total_snowfall,avg_wind_speed
0,2016-01-01,0.4,4.6,-2.2,3.5,5.1,4.0,2.0,
1,2016-01-02,0.7,3.2,-2.0,0.0,0.1,0.0,0.0,0.5
2,2016-01-03,2.1,11.4,-1.5,0.0,2.6,0.0,0.0,0.4
3,2016-01-04,4.5,12.5,-1.8,0.0,5.4,0.0,0.0,1.2
4,2016-01-05,3.6,9.7,-0.2,0.5,1.7,0.0,0.0,0.8
5,2016-01-06,3.9,8.2,1.8,0.0,1.4,0.0,0.0,0.6
6,2016-01-07,1.3,3.7,0.1,7.0,0.7,0.0,0.0,0.7
7,2016-01-08,1.2,3.2,0.0,7.5,0.1,0.0,0.0,0.3
8,2016-01-09,1.1,3.9,-0.1,5.5,1.7,5.0,5.0,
9,2016-01-10,1.5,4.4,0.1,5.0,0.2,0.0,0.0,0.8
10,2016-01-11,1.5,5.3,0.3,1.0,1.3,0.0,0.0,0.8
11,2016-01-12,0.4,2.8,-2.2,0.0,0.7,0.0,0.0,1.3
12,2016-01-13,0.1,5.2,-3.8,7.5,6.0,12.0,12.0,0.6
13,2016-01-14,-0.3,1.9,-1.1,18.0,0.0,39.0,33.0,
14,2016-01-15,-0.6,1.3,-2.2,4.5,0.0,40.0,6.0,
15,2016-01-16,0.2,4.7,-2.7,2.0,3.5,28.0,3.0,0.6
16,2016-01-17,-1.3,2.6,-6.4,1.5,2.2,16.0,0.0,0.3
17,2016-01-18,1.1,3.1,-0.4,43.0,0.0,13.0,5.0,0.5
18,2016-01-19,-3.5,-0.4,-5.3,29.0,0.0,56.0,46.0,
19,2016-01-20,-1.5,1.2,-5.2,26.0,0.0,69.0,19.0,
20,2016-01-21,-1.8,0.9,-4.2,2.5,0.8,68.0,5.0,0.8
21,2016-01-22,-3.6,-0.6,-5.9,0.0,0.1,56.0,0.0,0.7
22,2016-01-23,-3.1,1.5,-7.3,6.0,0.3,64.0,16.0,0.4
23,2016-01-24,-5.3,-1.8,-7.5,20.0,0.0,82.0,22.0,
24,2016-01-25,-4.8,-1.8,-7.6,17.5,0.0,102.0,21.0,
25,2016-01-26,-2.0,4.1,-6.5,0.0,6.8,87.0,0.0,0.5
26,2016-01-27,-0.3,4.2,-3.3,2.0,0.1,74.0,2.0,0.5
27,2016-01-28,0.6,7.4,-2.6,0.0,2.3,67.0,0.0,0.3
28,2016-01-29,1.0,2.3,0.0,42.5,0.0,56.0,0.0,
29,2016-01-30,0.8,3.2,-0.5,5.0,1.7,49.0,2.0,0.5
30,2016-01-31,1.9,6.5,-1.3,0.0,6.5,45.0,0.0,0.8
31,2016-02-01,0.1,2.0,-2.1,0.5,0.0,42.0,4.0,1.6
32,2016-02-02,-1.2,1.4,-3.5,0.0,0.2,42.0,0.0,1.0
33,2016-02-03,-1.5,2.5,-4.9,0.0,5.1,40.0,1.0,0.8
34,2016-02-04,-1.2,4.1,-7.2,0.0,2.1,38.0,0.0,0.6
35,2016-02-05,1.5,5.7,-0.8,0.0,2.5,36.0,1.0,0.6
36,2016-02-06,0.3,3.4,-1.4,8.0,1.6,51.0,22.0,0.6
37,2016-02-07,-2.6,0.7,-6.8,1.0,5.0,48.0,6.0,0.8
38,2016-02-08,-3.6,5.3,-11.0,0.0,7.8,37.0,0.0,0.3
39,2016-02-09,-0.5,1.6,-2.5,27.5,0.0,72.0,36.0,0.8
40,2016-02-10,-1.6,0.8,-4.8,7.5,0.7,85.0,13.0,1.7
41,2016-02-11,-3.1,5.3,-8.5,0.0,7.5,71.0,0.0,0.2
42,2016-02-12,2.5,10.8,-6.7,0.0,4.7,62.0,0.0,1.0
43,2016-02-13,3.9,9.2,2.0,6.5,0.0,47.0,0.0,0.6
44,2016-02-14,4.6,11.5,2.2,23.0,0.5,40.0,0.0,0.8
45,2016-02-15,-0.8,4.2,-3.8,2.5,0.0,34.0,3.0,1.1
46,2016-02-16,-1.9,1.5,-4.3,2.0,0.0,39.0,6.0,
47,2016-02-17,-1.8,0.6,-5.6,16.5,0.1,71.0,35.0,
48,2016-02-18,-2.4,6.8,-9.6,0.0,8.4,62.0,1.0,
49,2016-02-19,2.1,9.5,-5.2,0.0,7.7,48.0,0.0,0.8
50,2016-02-20,2.5,7.0,0.6,27.5,0.0,38.0,0.0,0.6
51,2016-02-21,0.5,3.1,-2.4,13.0,0.0,40.0,7.0,0.9
52,2016-02-22,0.6,4.3,-3.3,0.0,1.1,39.0,0.0,0.5
53,2016-02-23,2.8,8.5,-0.4,1.5,2.2,34.0,3.0,0.7
54,2016-02-24,-0.7,1.0,-2.3,0.0,6.0,34.0,4.0,2.0
55,2016-02-25,-0.8,3.0,-3.9,0.5,6.4,32.0,6.0,1.1
56,2016-02-26,-1.7,0.9,-4.2,10.5,0.6,50.0,23.0,0.5
57,2016-02-27,-0.9,4.6,-8.3,3.5,5.9,49.0,1.0,
58,2016-02-28,4.0,11.0,-4.0,0.0,8.7,31.0,0.0,0.8
59,2016-02-29,2.6,8.5,-4.0,18.0,0.1,56.0,33.0,1.5
60,2016-03-01,-3.5,-1.6,-5.2,10.5,0.1,72.0,16.0,1.8
61,2016-03-02,-1.3,3.3,-4.7,1.0,3.2,61.0,4.0,0.7
62,2016-03-03,-1.9,3.3,-7.0,0.0,0.1,46.0,0.0,0.4
63,2016-03-04,1.2,13.0,-5.2,0.0,9.0,43.0,0.0,0.2
64,2016-03-05,6.3,13.1,-1.6,0.0,4.6,34.0,0.0,1.1
65,2016-03-06,11.9,15.4,5.7,0.5,3.7,25.0,0.0,2.6
66,2016-03-07,7.2,16.1,2.6,1.0,3.3,6.0,0.0,0.3
67,2016-03-08,7.3,16.8,0.9,0.0,4.3,0.0,0.0,0.8
68,2016-03-09,2.6,6.8,0.1,15.5,0.0,0.0,0.0,0.8
69,2016-03-10,1.3,4.8,-0.1,0.5,0.2,0.0,0.0,0.9
70,2016-03-11,1.3,5.0,-1.9,0.0,5.5,0.0,0.0,1.2
71,2016-03-12,0.9,6.1,-3.4,0.0,7.4,0.0,0.0,1.3
72,2016-03-13,3.0,9.0,-2.8,0.5,2.4,0.0,0.0,0.5
73,2016-03-14,1.8,3.4,0.0,5.5,0.0,0.0,0.0,
74,2016-03-15,1.8,4.9,-2.3,0.5,6.3,0.0,0.0,2.1
75,2016-03-16,4.0,13.0,-3.8,0.0,7.6,0.0,0.0,1.0
76,2016-03-17,6.5,17.7,-1.8,0.0,9.4,0.0,0.0,0.6
77,2016-03-18,8.4,15.5,0.7,6.0,1.4,0.0,0.0,1.5
78,2016-03-19,10.0,13.3,6.9,18.5,1.1,0.0,0.0,1.1
79,2016-03-20,5.0,8.2,2.2,1.0,0.3,0.0,0.0,1.6
80,2016-03-21,2.5,6.7,-1.6,0.0,6.1,0.0,0.0,1.6
81,2016-03-22,5.0,14.4,-3.3,0.0,9.6,0.0,0.0,0.9
82,2016-03-23,5.1,10.6,1.4,0.5,4.3,0.0,0.0,1.4
83,2016-03-24,2.0,5.1,-0.4,0.5,1.8,0.0,0.0,1.4
84,2016-03-25,1.4,4.9,-1.1,0.5,3.0,0.0,0.0,1.6
85,2016-03-26,2.9,8.8,-2.4,0.0,8.7,0.0,0.0,1.1
86,2016-03-27,5.3,13.5,-1.8,0.0,8.5,0.0,0.0,0.8
87,2016-03-28,5.3,12.0,1.6,1.0,3.5,0.0,0.0,1.0
88,2016-03-29,8.3,16.8,0.7,0.0,8.2,0.0,0.0,1.2
89,2016-03-30,7.6,14.1,1.9,6.0,0.9,0.0,0.0,0.6
90,2016-03-31,7.9,16.9,1.0,0.0,8.1,0.0,0.0,0.8
91,2016-04-01,9.9,20.9,0.6,0.0,5.6,0.0,0.0,0.8
92,2016-04-02,12.6,20.8,3.5,0.0,8.4,0.0,0.0,1.5
93,2016-04-03,14.3,16.2,12.9,0.0,0.5,0.0,0.0,2.5
94,2016-04-04,9.1,13.4,7.0,21.0,0.0,0.0,0.0,1.0
95,2016-04-05,8.7,16.0,3.1,0.0,7.1,0.0,0.0,0.9
96,2016-04-06,9.7,19.1,0.6,0.0,7.5,0.0,0.0,0.6
97,2016-04-07,11.2,14.7,7.3,60.5,0.0,0.0,0.0,1.5
98,2016-04-08,10.7,16.5,3.9,0.5,4.4,0.0,0.0,0.9
99,2016-04-09,10.6,20.8,1.6,0.0,9.9,0.0,0.0,0.7
100,2016-04-10,11.2,19.3,4.3,0.0,2.0,0.0,0.0,0.9
101,2016-04-11,3.7,9.7,0.7,4.0,2.3,0.0,0.0,2.2
102,2016-04-12,7.7,16.1,-1.9,0.0,9.3,0.0,0.0,1.6
103,2016-04-13,12.8,15.6,7.7,12.5,1.8,0.0,0.0,2.4
104,2016-04-14,13.9,20.4,8.7,3.5,6.8,0.0,0.0,1.7
105,2016-04-15,9.2,12.9,3.2,0.0,9.6,0.0,0.0,2.6
106,2016-04-16,12.7,22.8,0.9,0.0,9.7,0.0,0.0,1.7
107,2016-04-17,15.2,23.3,7.1,31.0,3.0,0.0,0.0,3.0
108,2016-04-18,9.2,15.4,4.3,0.0,0.3,0.0,0.0,0.9
109,2016-04-19,7.7,15.2,0.6,0.0,8.3,0.0,0.0,1.4
110,2016-04-20,10.9,19.7,0.1,0.0,10.3,0.0,0.0,1.5
111,2016-04-21,13.4,16.5,10.8,23.0,0.6,0.0,0.0,2.4
112,2016-04-22,14.4,20.0,10.7,3.5,6.7,0.0,0.0,1.4
113,2016-04-23,15.2,24.4,7.0,0.5,7.3,0.0,0.0,1.1
114,2016-04-24,12.4,18.6,7.6,1.5,5.3,0.0,0.0,1.4
115,2016-04-25,13.2,23.1,6.6,0.0,5.9,0.0,0.0,1.0
116,2016-04-26,15.0,23.7,6.6,0.0,10.6,0.0,0.0,1.2
117,2016-04-27,15.3,23.8,9.0,2.5,6.4,0.0,0.0,1.0
118,2016-04-28,11.8,14.7,9.5,40.5,0.0,0.0,0.0,1.3
119,2016-04-29,7.2,10.5,2.6,1.0,2.5,0.0,0.0,2.1
120,2016-04-30,9.0,16.5,1.0,0.5,3.9,0.0,0.0,1.1
121,2016-05-01,12.8,19.4,8.0,0.0,0.4,0.0,0.0,0.8
122,2016-05-02,15.8,28.2,6.2,0.0,10.5,0.0,0.0,0.8
123,2016-05-03,17.5,20.3,10.9,3.5,3.5,0.0,0.0,4.1
124,2016-05-04,17.0,21.5,8.9,9.5,8.5,0.0,0.0,2.4
125,2016-05-05,12.2,17.5,6.3,0.5,5.3,0.0,0.0,1.5
126,2016-05-06,13.0,23.1,5.4,0.0,1.4,0.0,0.0,1.8
127,2016-05-07,14.0,19.8,8.1,2.5,2.3,0.0,0.0,1.6
