,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,deepest_snowfall,total_snowfall,avg_wind_speed
0,2016-01-01,-1.1,1.6,-4.4,2.0,0.6,20,12,1.0
1,2016-01-02,-0.1,8.5,-5.5,0.0,5.3,15,4,0.6
2,2016-01-03,2.4,10.4,-2.0,0.0,6.3,7,5,0.8
3,2016-01-04,4.3,11.7,-1.5,0.0,6.4,5,4,1.1
4,2016-01-05,3.4,6.5,0.5,1.0,4.7,1,1,1.5
5,2016-01-06,2.0,4.3,-0.8,0.5,0.3,0,0,0.8
6,2016-01-07,-0.5,2.4,-2.3,5.0,0.0,8,10,
7,2016-01-08,-0.7,4.8,-5.4,0.5,4.7,7,1,
8,2016-01-09,-1.0,1.6,-2.7,1.5,2.0,3,6,0.8
9,2016-01-10,-0.2,3.9,-4.4,0.5,2.4,1,1,1.0
10,2016-01-11,-1.5,0.6,-3.0,2.0,2.9,4,11,1.1
11,2016-01-12,-2.2,0.7,-4.6,0.0,5.3,2,3,1.3
12,2016-01-13,-1.3,5.0,-5.8,0.0,6.6,0,0,0.6
13,2016-01-14,-1.9,1.8,-5.0,0.0,1.4,1,2,0.9
14,2016-01-15,-2.0,1.5,-5.6,0.0,4.4,1,2,1.0
15,2016-01-16,-2.3,1.1,-5.4,0.0,1.5,1,3,1.6
16,2016-01-17,-1.9,2.2,-7.2,0.0,2.1,1,1,1.1
17,2016-01-18,0.2,4.1,-1.3,21.5,0.0,22,22,1.1
18,2016-01-19,-2.1,1.4,-8.1,0.5,5.2,17,2,1.3
19,2016-01-20,-4.5,-0.6,-10.1,22.0,0.0,42,31,0.9
20,2016-01-21,-2.6,-1.4,-3.8,5.5,0.0,54,16,0.9
21,2016-01-22,-3.4,-1.9,-4.9,7.0,0.0,64,18,0.8
22,2016-01-23,-3.1,1.9,-7.5,0.5,2.6,58,4,1.0
23,2016-01-24,-7.2,-2.2,-11.5,15.0,0.7,75,32,0.6
24,2016-01-25,-5.6,-3.8,-11.3,12.5,0.0,89,23,
25,2016-01-26,-4.1,3.7,-9.6,0.0,6.8,84,0,0.3
26,2016-01-27,-2.6,4.8,-9.2,0.0,1.8,64,0,0.6
27,2016-01-28,0.9,5.3,-2.5,0.0,3.3,56,2,0.9
28,2016-01-29,0.7,1.9,-0.1,17.0,0.0,55,10,0.5
