,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,avg_wind_speed
0,2016-01-01,3.5,11.4,-1.8,0.0,8.9,2.3
1,2016-01-02,4.2,12.2,-2.0,0.0,7.2,1.5
2,2016-01-03,8.4,17.5,2.2,0.0,8.6,2.1
3,2016-01-04,8.0,15.2,3.5,0.0,8.9,2.0
4,2016-01-05,8.5,16.8,2.4,0.0,7.8,2.5
5,2016-01-06,5.2,9.5,1.2,0.0,1.9,1.3
6,2016-01-07,4.6,11.3,-1.6,0.0,3.6,2.5
7,2016-01-08,2.3,9.0,-3.2,0.0,8.4,1.5
8,2016-01-09,4.3,11.9,-0.8,0.0,8.6,1.8
9,2016-01-10,5.1,15.0,-0.3,0.0,9.0,2.4
10,2016-01-11,3.6,10.9,-1.8,0.0,8.3,1.5
11,2016-01-12,1.6,8.1,-4.0,0.0,0.7,1.2
12,2016-01-13,0.2,7.5,-6.2,0.0,8.8,1.6
13,2016-01-14,3.6,13.7,-2.2,0.0,7.7,2.5
14,2016-01-15,3.5,10.1,-2.2,0.0,8.8,1.8
15,2016-01-16,3.4,12.7,-2.5,0.0,8.2,1.8
16,2016-01-17,2.7,8.3,-3.7,2.5,4.7,1.3
17,2016-01-18,1.4,4.1,0.0,45.0,0.7,
18,2016-01-19,1.5,4.7,-2.9,0.0,9.1,4.0
19,2016-01-20,-1.4,3.0,-4.7,7.0,2.5,2.9
20,2016-01-21,-0.2,6.9,-6.9,0.0,6.3,1.5
21,2016-01-22,0.5,7.5,-5.8,0.0,8.8,2.0
22,2016-01-23,-0.3,4.8,-4.8,0.0,4.7,1.4
23,2016-01-24,-0.9,4.5,-6.1,0.0,9.1,3.3
24,2016-01-25,-1.0,4.6,-7.2,0.0,8.9,2.6
25,2016-01-26,0.4,7.5,-4.9,0.0,9.4,1.9
26,2016-01-27,2.9,10.6,-3.0,0.0,9.4,2.1
27,2016-01-28,4.6,12.1,-1.5,0.0,9.3,1.9
28,2016-01-29,3.2,4.6,0.1,19.5,0.0,1.3
29,2016-01-30,1.5,3.4,0.2,5.5,0.0,
30,2016-01-31,3.5,10.3,-1.4,0.0,9.5,1.6
31,2016-02-01,3.0,9.2,-0.2,0.0,2.4,1.2
32,2016-02-02,1.6,7.7,-4.1,0.0,6.9,2.0
33,2016-02-03,1.4,8.5,-5.6,0.0,9.7,1.4
34,2016-02-04,1.9,8.4,-3.4,0.0,9.7,2.0
35,2016-02-05,4.2,11.4,-0.7,0.0,9.1,2.1
36,2016-02-06,4.0,10.4,-1.0,0.0,6.0,1.6
37,2016-02-07,2.0,8.6,-3.7,0.0,9.7,2.2
38,2016-02-08,1.0,6.7,-4.1,0.0,6.0,1.6
39,2016-02-09,2.7,11.2,-3.3,0.0,7.8,2.4
40,2016-02-10,2.6,8.2,-2.8,0.0,9.1,3.4
41,2016-02-11,2.8,10.8,-4.1,0.0,9.9,1.8
42,2016-02-12,4.3,10.8,-2.4,0.0,9.3,1.7
43,2016-02-13,8.9,15.0,2.0,0.0,2.4,1.6
44,2016-02-14,13.2,22.9,7.2,5.5,5.0,2.9
45,2016-02-15,5.8,11.5,-2.9,0.0,3.8,3.4
46,2016-02-16,1.9,8.9,-4.6,0.0,8.6,1.8
47,2016-02-17,2.6,10.9,-2.8,0.0,6.0,3.2
48,2016-02-18,2.0,9.4,-5.7,0.0,10.3,1.6
49,2016-02-19,7.5,17.6,-2.6,0.0,10.3,2.4
50,2016-02-20,6.3,10.6,4.0,13.0,0.0,1.3
51,2016-02-21,7.6,14.5,-0.1,0.0,9.4,3.4
52,2016-02-22,3.9,10.2,-2.1,0.0,8.2,1.5
53,2016-02-23,5.5,10.8,0.8,0.0,7.1,1.6
54,2016-02-24,5.1,9.8,1.6,0.0,7.1,3.3
55,2016-02-25,2.1,9.8,-4.1,0.0,8.5,2.0
56,2016-02-26,3.0,13.0,-4.0,0.0,8.1,1.8
57,2016-02-27,4.5,11.4,-1.8,0.0,8.3,1.7
58,2016-02-28,7.0,14.6,-0.5,0.0,9.2,2.3
59,2016-02-29,6.3,13.3,1.9,1.0,1.8,1.7
60,2016-03-01,2.4,8.3,-2.2,0.0,10.1,3.9
61,2016-03-02,3.4,13.2,-3.7,0.0,8.5,2.1
62,2016-03-03,7.4,18.8,-1.1,0.0,10.8,2.4
63,2016-03-04,7.8,14.2,1.6,0.0,9.6,1.8
64,2016-03-05,8.1,12.9,2.2,0.5,4.1,1.6
65,2016-03-06,11.0,15.7,5.9,0.5,5.9,1.1
66,2016-03-07,12.1,15.2,9.4,0.5,0.0,1.1
67,2016-03-08,14.5,20.6,7.8,0.0,8.8,1.6
68,2016-03-09,7.1,11.4,3.2,26.0,0.0,1.1
69,2016-03-10,5.8,12.1,0.7,3.5,5.6,1.5
70,2016-03-11,3.8,8.0,0.7,4.0,0.4,1.2
71,2016-03-12,2.9,6.2,0.8,4.5,0.0,1.0
72,2016-03-13,5.0,8.5,1.8,0.0,1.2,1.1
73,2016-03-14,4.0,5.3,2.9,13.5,0.0,0.9
74,2016-03-15,4.9,12.9,-0.7,0.0,10.8,2.9
75,2016-03-16,5.1,12.5,-2.5,0.0,8.6,1.6
76,2016-03-17,12.1,22.0,2.5,0.0,11.2,2.2
