,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,avg_wind_speed
0,2016-01-01,1.7,9.3,-3.0,0.0,5.7,1.5
1,2016-01-02,0.2,8.7,-3.7,0.0,5.4,0.6
2,2016-01-03,2.6,14.5,-2.9,0.0,5.6,0.7
3,2016-01-04,3.2,13.6,-2.4,0.0,5.8,0.9
4,2016-01-05,3.3,13.3,-2.1,0.0,3.6,0.7
5,2016-01-06,2.9,8.0,-0.9,0.0,1.4,0.9
6,2016-01-07,2.4,10.5,-2.1,0.0,5.5,1.5
7,2016-01-08,0.5,8.5,-3.9,0.0,5.7,0.9
8,2016-01-09,0.7,9.6,-4.2,0.0,5.8,0.8
9,2016-01-10,1.9,12.5,-3.8,0.0,5.8,1.1
10,2016-01-11,0.9,8.7,-3.7,0.0,5.8,1.0
11,2016-01-12,1.0,7.2,-3.6,0.0,0.6,0.8
12,2016-01-13,-1.4,6.5,-6.2,0.0,5.6,0.9
13,2016-01-14,-0.2,10.0,-5.3,0.0,4.7,1.0
14,2016-01-15,1.1,8.4,-5.0,0.0,3.6,1.1
15,2016-01-16,2.3,10.0,-2.2,0.0,5.8,0.8
16,2016-01-17,0.5,6.3,-4.3,2.5,1.6,0.9
17,2016-01-18,0.0,2.2,-0.8,45.5,1.9,
18,2016-01-19,-0.6,3.6,-6.7,0.0,5.5,2.1
19,2016-01-20,-1.1,4.6,-8.5,0.0,5.0,2.5
20,2016-01-21,0.0,5.6,-3.7,0.0,3.9,1.0
21,2016-01-22,-0.3,6.4,-4.9,0.0,6.1,1.0
22,2016-01-23,-1.0,4.5,-5.3,0.0,3.7,1.2
23,2016-01-24,-2.4,2.5,-6.4,0.0,5.9,3.5
24,2016-01-25,-2.0,4.1,-5.8,0.0,6.2,1.9
25,2016-01-26,-2.7,6.4,-8.6,0.0,6.2,1.0
26,2016-01-27,-0.9,10.4,-7.0,0.0,6.2,0.7
27,2016-01-28,-0.2,9.9,-5.2,0.0,5.7,0.7
28,2016-01-29,1.1,4.4,-1.3,11.5,0.0,0.5
29,2016-01-30,1.0,3.1,-0.1,2.5,0.1,
30,2016-01-31,1.3,8.3,-1.9,0.0,6.4,0.7
31,2016-02-01,1.1,6.5,-2.5,0.0,2.6,0.7
32,2016-02-02,1.2,7.5,-2.6,0.0,6.8,1.5
33,2016-02-03,0.3,7.5,-4.1,0.0,5.9,0.8
34,2016-02-04,-0.4,7.1,-5.1,0.0,6.8,1.1
35,2016-02-05,0.6,9.7,-4.9,0.0,6.2,1.0
36,2016-02-06,1.5,7.9,-3.0,0.0,4.9,1.1
37,2016-02-07,1.3,6.7,-1.9,0.0,7.0,1.9
38,2016-02-08,-0.8,4.4,-4.6,0.0,3.0,1.0
39,2016-02-09,0.7,10.7,-5.3,0.0,4.3,1.5
40,2016-02-10,1.8,6.4,-1.5,0.0,7.2,2.9
