,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,avg_wind_speed
0,2016-01-01,-3.7,-0.5,-8.3,0.0,7.8,2.8
1,2016-01-02,0.5,5.7,-9.1,0.0,6.2,2.6
2,2016-01-03,3.7,8.9,-1.6,0.0,7.7,2.3
3,2016-01-04,3.7,9.7,-1.4,0.0,7.7,2.9
4,2016-01-05,1.7,5.8,-1.2,0.0,6.2,3.4
5,2016-01-06,-0.6,2.5,-2.3,0.0,1.0,2.0
6,2016-01-07,-1.9,0.6,-5.9,0.0,3.0,3.2
7,2016-01-08,-2.0,2.3,-7.5,0.0,7.5,2.2
8,2016-01-09,-3.1,1.7,-7.1,0.0,7.2,2.3
9,2016-01-10,-1.6,3.1,-7.9,0.0,6.7,3.1
10,2016-01-11,-3.5,-1.1,-5.5,0.0,7.5,3.7
11,2016-01-12,-4.8,-0.6,-7.6,0.0,6.6,2.3
12,2016-01-13,-4.0,0.8,-10.6,0.0,7.4,2.9
13,2016-01-14,-3.1,0.2,-7.6,0.0,4.8,3.4
14,2016-01-15,-3.6,0.3,-9.3,0.0,5.5,2.3
15,2016-01-16,-5.1,-0.1,-9.2,0.0,7.4,2.2
16,2016-01-17,-3.9,1.4,-9.2,2.0,4.0,1.7
17,2016-01-18,-2.1,1.9,-5.4,31.0,1.1,3.0
18,2016-01-19,-6.7,-2.2,-9.3,6.0,4.1,4.0
19,2016-01-20,-6.9,-4.3,-10.3,15.0,0.3,4.0
20,2016-01-21,-6.1,-3.6,-8.4,0.0,4.9,2.8
21,2016-01-22,-6.3,-3.5,-8.7,0.0,6.4,3.6
22,2016-01-23,-6.6,-1.6,-10.0,2.0,3.6,1.5
23,2016-01-24,-8.5,-4.3,-11.5,0.5,2.9,4.1
24,2016-01-25,-9.0,-5.5,-12.1,0.0,5.9,3.1
25,2016-01-26,-6.8,-0.1,-14.3,0.0,8.0,1.7
26,2016-01-27,-2.3,2.2,-10.2,0.0,8.0,2.4
27,2016-01-28,-1.0,4.0,-7.5,0.0,8.2,2.2
28,2016-01-29,-1.9,-0.6,-3.3,28.5,0.0,
29,2016-01-30,-3.1,0.2,-7.4,12.5,0.6,
30,2016-01-31,-2.7,0.4,-8.7,0.0,8.3,2.3
31,2016-02-01,-5.3,-2.3,-10.3,0.0,2.8,2.5
32,2016-02-02,-6.3,-3.4,-9.9,0.0,5.7,2.7
33,2016-02-03,-8.6,-2.1,-14.1,0.0,8.5,1.9
34,2016-02-04,-5.7,0.7,-14.6,0.0,8.5,1.7
35,2016-02-05,-4.2,1.9,-9.3,0.0,8.5,1.8
36,2016-02-06,-4.4,0.3,-10.9,0.0,4.8,2.2
37,2016-02-07,-8.9,-4.5,-13.8,0.0,7.7,2.2
38,2016-02-08,-8.6,-1.7,-15.6,0.0,8.3,1.7
39,2016-02-09,-4.0,-1.3,-6.6,2.5,2.2,4.1
40,2016-02-10,-6.8,-5.0,-8.4,0.5,5.7,3.9
41,2016-02-11,-5.5,2.8,-12.6,0.0,8.8,1.6
42,2016-02-12,-1.6,5.9,-9.2,0.0,8.3,1.7
43,2016-02-13,6.8,10.7,2.7,0.0,5.1,3.8
44,2016-02-14,8.0,14.4,2.3,32.0,3.7,4.6
45,2016-02-15,-4.0,5.6,-8.9,0.0,2.2,3.6
46,2016-02-16,-5.4,-1.0,-11.6,0.0,7.6,3.0
47,2016-02-17,-5.2,-2.1,-9.0,0.0,4.3,2.8
48,2016-02-18,-4.8,3.5,-12.0,0.0,9.4,1.7
49,2016-02-19,1.4,5.6,-3.8,0.0,9.4,3.5
50,2016-02-20,0.4,7.8,-1.5,22.5,0.0,1.0
51,2016-02-21,-0.5,5.8,-5.3,0.0,6.5,3.8
52,2016-02-22,-2.4,2.7,-6.4,0.0,8.8,1.7
