Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight
0,2016-01-01,3.4,11.7,0.4,0.0,4.8
1,2016-01-02,5.3,14.2,0.9,0.0,3.8
2,2016-01-03,7.3,17.2,3.0,0.0,5.2
3,2016-01-04,6.6,15.8,2.6,0.0,3.6
4,2016-01-05,4.0,6.7,1.4,0.0,0.0
5,2016-01-06,4.9,10.4,1.7,0.0,0.8
6,2016-01-07,4.3,9.0,1.3,0.0,1.7
7,2016-01-08,3.3,6.2,0.5,0.0,0.0
8,2016-01-09,2.6,8.6,-0.8,0.0,1.3
9,2016-01-10,3.1,10.0,0.1,0.0,4.3
10,2016-01-11,3.6,10.7,-0.9,0.0,5.2
11,2016-01-12,4.1,9.1,0.7,0.0,1.9
12,2016-01-13,1.2,4.9,-2.4,0.5,0.9
13,2016-01-14,0.5,3.9,-2.1,3.5,0.1
14,2016-01-15,1.7,7.3,-0.6,0.0,3.0
15,2016-01-16,2.8,11.0,-1.5,0.0,6.5
16,2016-01-17,1.1,4.6,-1.1,20.0,0.0
17,2016-01-18,1.0,4.7,-1.6,23.0,0.4
18,2016-01-19,-2.2,-1.1,-3.2,10.5,0.0
19,2016-01-20,-0.6,2.5,-4.2,6.5,0.7
20,2016-01-21,0.7,3.2,-1.1,0.5,0.2
21,2016-01-22,1.8,7.6,-0.1,0.5,3.3
22,2016-01-23,0.2,4.1,-2.7,5.5,0.2
23,2016-01-24,-6.0,-2.6,-7.2,37.5,0.0
24,2016-01-25,-1.9,1.7,-4.9,6.5,2.1
25,2016-01-26,-0.6,0.9,-2.1,0.0,0.0
26,2016-01-27,1.2,5.6,-0.8,0.0,2.2
27,2016-01-28,1.3,4.0,-0.4,7.0,0.0
28,2016-01-29,1.6,2.6,0.8,24.0,0.0
29,2016-01-30,2.5,7.3,0.7,1.5,0.3
30,2016-01-31,2.5,8.0,-0.1,0.0,1.8
31,2016-02-01,2.1,6.0,-0.1,0.0,0.0
32,2016-02-02,2.2,9.9,-1.5,0.0,3.6
33,2016-02-03,2.3,9.0,-1.2,0.0,1.7
34,2016-02-04,2.9,10.6,-1.1,0.0,6.2
35,2016-02-05,2.2,10.7,-1.9,0.0,7.2
36,2016-02-06,1.0,7.5,-2.3,1.0,3.4
37,2016-02-07,1.6,9.2,-2.2,0.0,5.3
38,2016-02-08,2.5,10.4,-2.5,0.0,5.7
39,2016-02-09,3.9,9.5,-1.7,0.5,6.1
40,2016-02-10,3.0,13.4,-3.6,0.0,8.6
41,2016-02-11,4.1,16.4,-3.3,0.0,8.7
42,2016-02-12,5.5,13.3,-0.2,3.0,0.0
43,2016-02-13,8.3,11.1,6.7,40.5,0.0
44,2016-02-14,8.7,12.2,5.5,2.5,0.2
45,2016-02-15,1.1,5.8,-1.9,2.5,1.4
46,2016-02-16,0.3,4.2,-1.9,7.5,2.2
47,2016-02-17,0.8,5.7,-2.3,4.5,2.2
48,2016-02-18,1.0,10.1,-5.6,0.0,8.9
49,2016-02-19,5.1,13.8,-0.7,0.0,4.7
50,2016-02-20,4.7,6.8,3.6,32.0,0.0
51,2016-02-21,2.6,8.3,-1.6,3.5,5.5
52,2016-02-22,2.7,8.4,-2.3,0.0,0.9
53,2016-02-23,3.2,8.9,0.5,0.0,1.4
54,2016-02-24,2.0,5.2,0.0,0.5,0.0
55,2016-02-25,1.0,5.5,-2.7,0.0,1.7
56,2016-02-26,1.6,9.8,-4.0,0.0,4.1
57,2016-02-27,3.1,7.7,-0.8,2.5,0.5
58,2016-02-28,6.6,15.3,1.9,0.0,3.6
59,2016-02-29,2.1,7.8,-2.3,12.5,0.0
60,2016-03-01,-0.3,2.8,-2.3,3.5,0.9
61,2016-03-02,2.5,11.8,-1.9,0.0,6.9
62,2016-03-03,6.0,18.6,-1.1,0.0,7.8
63,2016-03-04,6.5,13.3,1.7,2.0,0.5
64,2016-03-05,12.2,20.0,5.0,0.0,2.9
65,2016-03-06,14.4,17.7,11.4,16.0,0.0
66,2016-03-07,14.3,23.5,9.6,0.0,5.7
67,2016-03-08,9.8,13.4,6.7,0.0,0.1
68,2016-03-09,6.7,8.2,4.8,32.5,0.0
69,2016-03-10,6.1,10.5,2.7,0.0,1.1
70,2016-03-11,4.6,9.8,0.9,0.0,2.0
71,2016-03-12,4.1,11.3,0.0,0.0,3.5
72,2016-03-13,5.0,11.4,-0.2,4.0,1.3
73,2016-03-14,5.2,11.7,2.5,4.5,2.1
74,2016-03-15,5.9,15.6,-0.5,0.5,10.2
75,2016-03-16,7.4,17.7,1.3,0.0,6.1
76,2016-03-17,9.3,20.8,-0.5,0.0,10.3
77,2016-03-18,9.6,11.6,6.6,21.5,0.0
78,2016-03-19,12.1,19.2,6.7,6.0,4.0
79,2016-03-20,8.0,16.0,3.2,0.0,10.4
80,2016-03-21,6.7,15.7,-0.4,0.0,10.5
81,2016-03-22,7.8,20.5,-1.5,0.0,10.5
82,2016-03-23,9.6,20.6,2.4,0.0,7.5
83,2016-03-24,5.9,13.0,0.7,0.0,5.0
84,2016-03-25,4.1,12.7,-1.8,0.0,9.9
85,2016-03-26,5.5,15.9,-2.6,0.0,7.5
86,2016-03-27,5.3,14.7,1.9,4.0,3.5
87,2016-03-28,7.3,16.3,2.1,2.5,7.9
88,2016-03-29,7.9,18.5,-0.5,0.0,5.8
89,2016-03-30,10.3,19.5,4.0,0.5,3.7
90,2016-03-31,12.2,19.6,7.0,1.5,1.7
91,2016-04-01,12.4,15.2,10.7,19.5,0.0
92,2016-04-02,14.3,20.6,10.3,0.0,0.6
93,2016-04-03,14.5,19.2,11.1,4.5,0.2
94,2016-04-04,14.3,19.9,8.9,4.5,2.0
95,2016-04-05,12.2,20.7,6.5,0.0,8.3
96,2016-04-06,12.4,23.2,3.9,4.0,7.4
97,2016-04-07,12.6,17.5,9.8,34.0,0.0
98,2016-04-08,13.9,23.5,8.5,0.0,6.2
99,2016-04-09,14.0,24.6,6.4,0.0,10.0
100,2016-04-10,12.9,22.5,6.5,0.0,1.6
101,2016-04-11,10.8,16.7,3.2,0.0,8.3
102,2016-04-12,9.4,19.0,0.2,0.0,8.1
103,2016-04-13,12.4,21.7,6.1,18.5,2.8
104,2016-04-14,16.4,24.8,10.2,0.5,9.5
105,2016-04-15,14.6,24.6,7.7,0.0,11.3
106,2016-04-16,14.9,25.0,5.2,0.0,8.1
107,2016-04-17,17.4,26.0,9.4,23.0,10.7
108,2016-04-18,11.0,16.8,5.2,0.0,0.1
109,2016-04-19,10.8,19.7,2.8,0.0,8.1
110,2016-04-20,14.0,24.3,2.2,0.0,10.4
111,2016-04-21,13.5,16.8,11.4,39.5,0.0
112,2016-04-22,17.4,26.5,11.6,0.0,8.8
113,2016-04-23,14.0,20.2,8.9,0.5,2.5
114,2016-04-24,15.2,22.3,9.3,0.0,4.0
115,2016-04-25,13.8,24.0,6.1,0.0,5.0
116,2016-04-26,16.9,28.5,6.5,0.0,10.1
117,2016-04-27,15.2,16.8,13.6,35.0,0.0
118,2016-04-28,14.2,20.3,8.5,5.0,1.5
119,2016-04-29,11.8,18.6,5.7,0.0,10.6
120,2016-04-30,13.4,24.6,3.3,0.0,11.7
121,2016-05-01,16.7,28.6,6.9,0.0,11.3
122,2016-05-02,18.2,29.3,8.7,0.0,11.3
123,2016-05-03,16.0,19.3,11.4,36.0,0.0
124,2016-05-04,17.8,24.8,8.5,0.0,11.3
125,2016-05-05,17.9,26.0,11.0,0.0,9.1
126,2016-05-06,13.5,15.1,11.6,7.0,0.0
127,2016-05-07,17.5,25.7,10.4,0.0,7.6
128,2016-05-08,16.0,25.5,7.2,0.0,8.3
129,2016-05-09,14.5,16.4,12.8,18.0,0.0
130,2016-05-10,16.3,18.0,14.9,23.5,0.0
131,2016-05-11,13.7,18.0,8.8,2.0,0.6
132,2016-05-12,15.7,27.3,6.8,0.0,11.1
133,2016-05-13,17.3,27.5,9.8,0.0,7.6
134,2016-05-14,18.8,29.1,10.1,0.0,12.0
135,2016-05-15,19.2,25.3,12.9,0.0,2.8
136,2016-05-16,14.9,21.7,8.3,60.5,0.0
137,2016-05-17,15.1,26.7,6.6,0.0,10.5
138,2016-05-18,17.4,29.9,6.9,0.0,12.0
139,2016-05-19,17.7,27.8,9.3,0.0,9.2
140,2016-05-20,19.1,29.4,11.1,0.0,9.5
141,2016-05-21,19.6,30.2,10.4,0.0,11.9
142,2016-05-22,19.3,30.3,10.5,0.0,11.8
143,2016-05-23,19.9,30.7,10.5,0.0,11.5
144,2016-05-24,20.0,29.5,10.8,2.0,5.6
145,2016-05-25,19.5,21.1,18.2,9.5,0.0
146,2016-05-26,21.3,26.0,18.9,1.0,0.3
147,2016-05-27,21.5,30.4,16.5,0.5,7.5
148,2016-05-28,19.1,24.3,15.2,0.0,0.7
149,2016-05-29,17.3,19.1,15.3,9.5,0.0
150,2016-05-30,20.4,27.7,15.3,0.0,7.8
151,2016-05-31,20.1,31.4,11.7,0.0,10.6
152,2016-06-01,18.8,27.3,12.1,0.0,9.6
153,2016-06-02,17.3,26.3,9.4,0.0,11.7
154,2016-06-03,18.3,28.7,8.7,0.0,11.1
155,2016-06-04,16.6,22.3,13.3,23.0,0.1
156,2016-06-05,17.3,19.6,15.4,11.0,0.0
157,2016-06-06,20.5,25.4,17.0,0.0,1.3
158,2016-06-07,19.7,24.0,17.6,1.5,1.3
159,2016-06-08,21.3,25.3,18.2,5.0,0.1
160,2016-06-09,21.3,27.2,17.9,37.0,3.8
161,2016-06-10,22.5,32.0,17.4,0.0,7.1
162,2016-06-11,22.3,28.2,18.7,0.5,1.9
163,2016-06-12,20.8,23.3,18.8,20.5,0.1
164,2016-06-13,21.5,27.6,18.2,1.5,2.9
165,2016-06-14,22.5,31.0,17.0,0.0,8.2
166,2016-06-15,23.0,29.6,17.3,0.0,4.2
167,2016-06-16,21.7,24.5,18.6,10.0,0.0
168,2016-06-17,21.8,28.9,16.7,0.0,4.9
169,2016-06-18,22.3,31.2,14.5,0.0,10.7
170,2016-06-19,21.5,27.5,18.6,14.5,1.2
171,2016-06-20,22.9,29.8,20.3,39.5,2.2
172,2016-06-21,22.3,26.8,20.4,32.0,0.3
173,2016-06-22,21.7,23.0,20.6,52.0,0.0
174,2016-06-23,23.2,30.7,19.7,18.0,4.6
175,2016-06-24,21.2,25.2,18.3,40.5,0.0
176,2016-06-25,20.0,23.1,15.9,0.0,0.0
177,2016-06-26,19.9,27.9,14.6,0.0,4.6
178,2016-06-27,19.2,25.4,15.3,22.5,2.9
179,2016-06-28,21.0,26.9,17.8,1.0,1.4
180,2016-06-29,20.8,23.1,19.6,37.5,0.0
181,2016-06-30,23.4,28.1,20.5,0.0,1.2
182,2016-07-01,24.8,30.7,20.7,0.0,5.2
183,2016-07-02,25.2,28.0,22.1,0.0,0.9
184,2016-07-03,25.3,30.1,23.6,3.0,0.8
185,2016-07-04,25.9,32.3,22.5,4.0,2.7
186,2016-07-05,27.1,34.2,22.8,0.0,5.7
187,2016-07-06,26.3,32.4,22.5,0.0,4.6
188,2016-07-07,25.8,33.8,22.1,0.0,5.6
189,2016-07-08,21.6,22.7,20.7,41.5,0.0
190,2016-07-09,24.7,31.5,20.4,32.5,3.9
191,2016-07-10,26.8,33.0,23.0,0.0,5.8
192,2016-07-11,25.2,28.7,23.2,0.0,0.1
193,2016-07-12,25.4,29.5,23.4,8.5,0.7
194,2016-07-13,24.5,28.6,23.4,68.5,0.4
195,2016-07-14,26.1,32.4,22.3,1.0,9.2
196,2016-07-15,21.8,25.0,20.1,0.0,0.3
197,2016-07-16,22.5,26.3,18.2,0.0,1.7
198,2016-07-17,25.5,32.9,20.9,4.0,6.8
199,2016-07-18,25.0,32.8,19.2,0.0,8.4
200,2016-07-19,25.9,34.8,19.4,0.0,9.2
201,2016-07-20,25.0,33.6,20.1,0.0,8.6
202,2016-07-21,24.8,33.9,18.3,0.0,11.6
203,2016-07-22,24.7,32.8,18.1,0.0,9.6
204,2016-07-23,26.0,34.0,20.9,0.0,9.2
205,2016-07-24,25.4,31.3,21.2,0.0,0.3
206,2016-07-25,25.4,30.9,22.4,0.0,1.0
207,2016-07-26,26.1,31.4,22.6,0.0,3.5
208,2016-07-27,26.7,33.8,21.9,0.0,7.4
209,2016-07-28,26.8,32.9,22.0,0.0,7.2
210,2016-07-29,26.7,34.7,21.5,0.0,7.4
211,2016-07-30,26.7,35.1,22.8,0.5,7.3
212,2016-07-31,26.2,32.9,23.8,2.5,3.6
213,2016-08-01,27.4,35.0,22.4,0.0,11.2
214,2016-08-02,26.3,35.0,21.1,0.0,7.9
215,2016-08-03,25.8,35.1,21.7,0.0,5.9
216,2016-08-04,26.9,35.9,21.6,0.0,8.1
217,2016-08-05,28.0,36.5,22.5,0.0,8.7
218,2016-08-06,27.4,36.3,23.1,0.0,8.4
219,2016-08-07,27.5,35.6,22.8,0.0,6.1
220,2016-08-08,27.1,34.4,23.0,0.0,7.7
221,2016-08-09,26.7,35.9,21.3,0.0,9.0
222,2016-08-10,26.3,36.5,17.9,0.0,11.5
223,2016-08-11,26.8,37.5,17.4,0.0,11.7
224,2016-08-12,27.7,38.3,20.0,0.0,10.8
225,2016-08-13,28.2,36.7,21.7,0.0,9.4
226,2016-08-14,28.1,37.6,21.9,0.0,7.8
227,2016-08-15,25.9,30.7,21.8,0.0,4.6
228,2016-08-16,25.8,32.3,22.7,2.0,2.4
229,2016-08-17,26.9,35.2,22.0,0.0,7.3
230,2016-08-18,27.5,36.9,19.8,0.0,11.4
231,2016-08-19,28.4,37.7,21.5,0.0,10.9
232,2016-08-20,27.8,36.6,21.3,0.0,10.8
233,2016-08-21,27.2,36.7,22.4,4.0,6.8
234,2016-08-22,27.0,35.6,22.4,0.0,6.7
235,2016-08-23,26.5,35.7,20.1,0.0,9.8
236,2016-08-24,26.4,35.1,21.3,0.0,6.2
237,2016-08-25,27.5,35.6,22.0,0.0,6.4
238,2016-08-26,25.4,34.2,21.8,0.0,1.5
239,2016-08-27,23.3,28.0,21.0,0.0,0.0
240,2016-08-28,21.6,23.7,20.9,51.5,0.0
241,2016-08-29,21.0,24.9,17.0,20.5,3.2
242,2016-08-30,20.0,27.2,15.1,0.5,4.1
243,2016-08-31,21.9,29.4,16.1,0.5,8.6
244,2016-09-01,20.4,28.9,14.8,0.0,2.1
245,2016-09-02,22.3,29.2,18.4,0.0,2.3
246,2016-09-03,23.6,31.0,18.0,0.0,3.0
247,2016-09-04,23.8,27.1,22.2,0.5,0.0
248,2016-09-05,22.8,24.3,21.5,14.0,0.0
249,2016-09-06,24.5,33.1,20.9,0.5,5.0
250,2016-09-07,24.5,30.7,21.4,2.5,0.5
