,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,avg_wind_speed
0,2016-01-01,0.9,4.4,-0.8,0.0,0.4,6.5
1,2016-01-02,4.7,6.0,1.8,6.5,0.2,7.5
2,2016-01-03,0.6,1.9,-0.3,0.0,0.5,6.3
3,2016-01-04,-0.6,0.4,-1.7,0.0,0.0,5.9
4,2016-01-05,-2.5,-0.7,-4.0,0.0,0.0,8.7
5,2016-01-06,-0.5,1.6,-2.5,0.5,0.3,8.4
6,2016-01-07,-2.2,-0.6,-3.4,0.0,0.1,7.5
7,2016-01-08,-1.2,-0.3,-2.2,0.0,0.0,7.3
8,2016-01-09,-1.8,0.8,-4.4,0.0,0.1,7.6
9,2016-01-10,-3.1,0.5,-7.0,0.0,0.5,8.3
10,2016-01-11,-6.5,-5.4,-7.8,0.5,0.0,8.0
11,2016-01-12,-5.1,-3.9,-6.3,0.0,0.0,7.9
12,2016-01-13,-3.2,-1.4,-5.1,6.0,1.2,4.5
13,2016-01-14,-2.9,-1.7,-4.2,4.0,0.7,8.2
14,2016-01-15,-2.7,-1.4,-3.7,2.5,0.0,8.0
15,2016-01-16,-3.3,-1.8,-4.8,3.0,0.8,6.6
16,2016-01-17,-4.3,-1.7,-7.3,6.0,0.2,2.8
17,2016-01-18,-2.3,0.9,-8.6,3.0,0.0,7.6
18,2016-01-19,-1.3,0.5,-3.9,0.0,0.0,2.8
19,2016-01-20,0.2,1.4,-3.3,4.0,1.3,4.0
20,2016-01-21,-0.6,1.0,-2.7,3.0,2.2,5.2
21,2016-01-22,-2.4,0.1,-4.9,14.0,0.8,4.5
22,2016-01-23,-3.8,-1.8,-5.5,5.5,0.9,4.2
23,2016-01-24,-4.0,-1.4,-7.4,4.0,1.6,2.0
24,2016-01-25,-3.8,-0.4,-7.6,1.0,0.6,4.8
25,2016-01-26,1.9,3.7,-0.5,0.0,0.4,6.8
26,2016-01-27,0.0,3.1,-2.0,0.5,2.3,8.0
27,2016-01-28,-1.9,0.5,-3.9,0.0,1.0,8.2
28,2016-01-29,-3.9,-2.9,-6.1,0.0,0.3,6.9
29,2016-01-30,-4.8,-2.5,-8.4,0.5,0.6,3.7
30,2016-01-31,-5.1,-3.6,-6.2,0.0,0.4,7.4
31,2016-02-01,-5.1,-4.2,-6.1,0.0,0.2,6.3
32,2016-02-02,-3.9,-2.4,-5.2,0.0,0.0,7.2
33,2016-02-03,-1.4,1.0,-3.3,0.0,0.1,5.8
34,2016-02-04,1.6,3.3,-0.1,1.0,1.2,5.8
35,2016-02-05,-1.5,1.1,-3.7,0.0,1.5,7.5
36,2016-02-06,-3.8,-2.1,-6.0,0.0,1.5,7.1
37,2016-02-07,-2.4,0.5,-6.0,0.5,1.3,8.5
38,2016-02-08,-1.1,0.7,-2.7,0.0,8.3,4.0
39,2016-02-09,1.3,3.8,-1.1,5.0,1.3,6.5
40,2016-02-10,-1.0,0.8,-2.8,3.0,1.3,7.5
41,2016-02-11,-1.1,1.9,-4.6,0.0,3.8,3.2
42,2016-02-12,1.7,6.4,-4.8,0.0,2.9,3.0
43,2016-02-13,5.2,8.2,2.3,2.0,0.0,3.1
44,2016-02-14,3.3,8.0,-1.6,19.5,0.0,6.7
45,2016-02-15,-5.5,-0.8,-7.9,0.0,0.3,9.5
46,2016-02-16,-3.7,-1.5,-6.3,0.0,0.4,7.3
47,2016-02-17,-2.4,0.6,-4.4,0.5,0.3,8.9
48,2016-02-18,2.4,5.3,-1.7,6.5,0.8,5.6
49,2016-02-19,4.5,7.3,2.9,0.5,0.8,6.0
