,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,deepest_snowfall,total_snowfall,avg_wind_speed
0,2016-01-01,-5.5,-0.4,-9.8,0.0,1.6,15,5,0.8
1,2016-01-02,-2.5,3.8,-8.1,2.0,1.3,20,8,1.0
2,2016-01-03,-4.6,1.9,-11.6,0.0,3.0,18,3,0.9
3,2016-01-04,-8.3,-0.5,-14.6,0.0,0.9,17,2,0.7
4,2016-01-05,-10.1,-2.1,-17.5,0.0,0.9,19,6,0.2
5,2016-01-06,-6.1,1.7,-13.6,0.0,4.0,17,3,0.8
6,2016-01-07,-6.1,-1.3,-10.0,0.0,2.8,16,4,1.0
7,2016-01-08,-5.8,0.6,-10.3,0.0,1.4,16,1,1.0
8,2016-01-09,-9.6,-1.6,-14.9,0.0,3.5,17,6,0.9
9,2016-01-10,-7.4,-0.3,-14.7,0.0,3.2,17,3,1.2
10,2016-01-11,-11.1,-4.0,-18.1,0.0,7.2,17,3,1.0
11,2016-01-12,-12.4,-2.9,-20.3,0.0,2.3,17,2,0.8
12,2016-01-13,-9.8,-1.4,-18.6,0.0,1.3,18,7,1.0
13,2016-01-14,-6.0,-1.2,-14.6,2.5,6.7,22,7,1.4
14,2016-01-15,-11.2,-0.2,-19.3,0.0,7.2,21,0,0.7
15,2016-01-16,-11.2,-0.9,-17.9,0.0,5.2,21,2,0.8
16,2016-01-17,-11.7,-1.2,-19.0,0.0,6.1,21,1,0.7
17,2016-01-18,-7.8,-0.2,-16.6,0.0,0.0,21,4,2.9
18,2016-01-19,-0.9,1.2,-7.0,0.0,0.0,19,3,3.7
19,2016-01-20,-3.1,1.4,-8.7,0.0,5.1,19,1,2.8
20,2016-01-21,-5.5,0.5,-13.7,0.0,5.4,18,2,1.4
21,2016-01-22,-6.6,-0.2,-14.2,0.0,1.3,18,1,0.9
22,2016-01-23,-6.2,-0.8,-14.2,0.0,1.2,19,1,0.7
23,2016-01-24,-7.5,-1.5,-13.6,0.0,2.6,20,3,1.1
24,2016-01-25,-10.3,-2.6,-18.7,0.0,6.3,19,4,1.3
25,2016-01-26,-3.3,2.0,-10.6,0.0,0.6,20,4,1.1
26,2016-01-27,-3.3,0.0,-10.1,0.5,5.7,22,6,1.4
27,2016-01-28,-8.1,-0.8,-16.2,0.5,3.6,24,7,1.6
28,2016-01-29,-9.6,-3.2,-16.7,0.0,5.2,25,3,1.4
29,2016-01-30,-10.4,-2.4,-18.2,0.0,6.4,23,2,0.8
30,2016-01-31,-10.9,-3.1,-19.1,0.0,5.6,22,5,1.1
31,2016-02-01,-13.3,-3.0,-21.6,0.0,6.6,22,4,1.0
32,2016-02-02,-10.8,-1.4,-21.4,0.0,4.1,23,4,1.1
33,2016-02-03,-9.1,-1.4,-17.3,0.0,4.0,24,6,0.7
34,2016-02-04,-5.6,1.5,-13.3,1.5,3.3,27,7,1.0
35,2016-02-05,-5.5,-0.4,-15.4,0.5,2.1,29,4,1.1
36,2016-02-06,-10.9,-0.9,-18.5,0.0,3.1,27,3,1.0
37,2016-02-07,-11.8,-2.1,-22.3,0.0,5.6,27,3,1.1
38,2016-02-08,-8.0,0.1,-17.8,0.0,9.0,26,4,0.8
39,2016-02-09,-0.7,3.9,-6.7,4.5,1.0,32,14,2.1
40,2016-02-10,-1.9,0.7,-10.5,2.0,4.3,34,6,2.6
41,2016-02-11,-8.2,0.7,-15.1,0.0,4.6,29,3,1.3
42,2016-02-12,-5.3,3.8,-16.0,0.0,3.2,29,5,0.7
43,2016-02-13,1.0,2.4,-1.4,0.5,0.0,29,2,1.1
44,2016-02-14,2.3,8.4,-1.4,25.5,0.0,25,2,2.1
45,2016-02-15,-6.4,-1.4,-13.9,0.0,3.0,19,2,2.0
46,2016-02-16,-8.1,-2.4,-16.1,0.0,4.7,18,1,1.6
47,2016-02-17,-6.2,-0.6,-12.6,0.0,3.1,20,7,1.5
48,2016-02-18,-4.3,2.8,-13.1,0.0,3.5,20,5,0.9
49,2016-02-19,0.6,5.6,-4.8,3.5,0.3,19,0,1.5
50,2016-02-20,0.6,4.0,-2.6,3.0,1.4,24,8,1.4
51,2016-02-21,-0.1,2.5,-3.0,3.0,2.9,28,7,2.9
52,2016-02-22,-4.7,-1.4,-12.7,0.0,4.1,29,6,1.9
53,2016-02-23,-4.5,2.2,-12.5,1.0,0.3,28,5,1.2
54,2016-02-24,-9.0,-3.6,-14.9,0.0,8.1,26,4,1.8
55,2016-02-25,-9.1,-1.6,-16.4,0.0,3.3,26,2,1.3
56,2016-02-26,-10.6,-1.7,-18.8,0.0,5.1,26,2,1.2
57,2016-02-27,-8.4,-1.5,-16.8,0.0,6.1,27,4,1.4
58,2016-02-28,-9.0,0.2,-18.1,0.0,9.7,26,2,1.4
59,2016-02-29,-1.2,4.5,-11.6,8.5,0.0,30,5,3.0
60,2016-03-01,-3.5,-0.3,-13.6,2.5,3.9,36,10,3.2
61,2016-03-02,-6.8,-0.5,-14.0,0.0,3.6,31,1,1.0
62,2016-03-03,-6.1,1.7,-14.3,1.0,1.5,33,8,0.9
63,2016-03-04,-7.1,1.8,-17.7,0.0,5.4,31,0,1.3
64,2016-03-05,-5.4,4.2,-14.0,0.0,9.5,29,1,1.0
65,2016-03-06,1.4,7.2,-8.3,21.5,0.0,29,2,2.0
66,2016-03-07,3.4,7.9,-1.6,1.5,4.2,22,0,1.6
67,2016-03-08,1.7,6.8,-3.0,0.5,0.1,18,0,2.0
68,2016-03-09,-1.8,1.5,-7.6,0.0,4.5,16,3,1.8
69,2016-03-10,-4.2,1.8,-10.0,0.0,7.5,16,2,1.1
70,2016-03-11,-4.5,1.3,-8.9,0.0,4.8,15,1,1.3
71,2016-03-12,-4.7,1.8,-11.3,0.0,6.3,15,0,1.5
72,2016-03-13,-2.1,3.9,-10.3,2.5,4.7,19,7,1.9
73,2016-03-14,1.6,7.1,-2.0,0.5,6.7,19,0,
74,2016-03-15,0.1,3.5,-4.5,0.0,7.2,11,1,2.6
75,2016-03-16,1.4,8.3,-7.6,0.0,6.6,7,1,2.3
76,2016-03-17,3.7,13.5,-2.8,0.0,9.7,1,0,1.4
