,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
0,2016-01-01,0.5,3.1,-1.1,0.5,1.3,3.51,1.0,1.0,6.3,4.1,1015.1,65,1021.4,10.0
1,2016-01-02,3.5,5.5,1.1,3.0,1.3,3.26,1.0,,6.9,6.2,1006.7,80,1012.9,10.0
2,2016-01-03,1.2,3.0,-0.1,,5.2,7.4,,,8.3,3.7,1007.5,55,1013.8,6.5
3,2016-01-04,-0.3,1.1,-2.6,,0.7,3.86,,,6.1,3.3,1006.6,55,1012.9,9.3
4,2016-01-05,-2.4,-0.5,-3.4,0.0,1.8,4.84,,,8.5,3.1,1008.0,60,1014.3,9.5
5,2016-01-06,-0.7,1.9,-2.5,1.0,2.1,5.83,2.0,2.0,8.5,4.1,1007.4,69,1013.7,10.0
6,2016-01-07,-1.8,-0.8,-2.9,0.5,0.9,3.37,1.0,,8.0,3.6,1003.4,68,1009.7,9.5
7,2016-01-08,-1.0,0.8,-2.3,0.0,1.4,4.97,1.0,,6.8,3.8,1003.7,67,1010.0,9.8
8,2016-01-09,-2.0,-0.3,-3.7,1.5,0.6,3.26,1.0,1.0,7.3,3.5,1008.3,66,1014.6,9.0
9,2016-01-10,-2.4,0.3,-6.3,1.5,0.9,4.29,2.0,2.0,7.6,3.6,1006.2,69,1012.6,10.0
10,2016-01-11,-5.9,-4.2,-7.7,0.5,0.5,3.12,1.0,,7.1,2.4,1009.5,61,1015.9,9.5
11,2016-01-12,-4.4,-2.8,-6.0,0.0,0.8,4.28,0.0,,8.0,2.8,1006.1,62,1012.5,9.3
12,2016-01-13,-2.6,-0.8,-4.9,4.0,1.2,4.79,6.0,7.0,4.4,3.4,1004.0,67,1010.3,9.5
13,2016-01-14,-2.5,-0.3,-4.1,3.0,1.1,4.61,8.0,2.0,7.9,3.9,1003.4,77,1009.7,9.5
14,2016-01-15,-2.9,-1.0,-4.9,2.0,1.6,4.31,10.0,4.0,6.5,3.6,1008.7,72,1015.1,7.5
15,2016-01-16,-3.2,-1.0,-4.9,5.0,4.0,7.19,13.0,6.0,6.7,3.4,1010.8,71,1017.2,7.8
