Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight
0,2016-01-01,-2.3,0.0,-4.5,0.0,4.9
1,2016-01-02,0.8,3.1,-1.5,4.5,0.6
2,2016-01-03,-1.7,0.5,-5.3,0.0,4.3
3,2016-01-04,-3.5,-1.2,-6.3,0.0,1.2
4,2016-01-05,-5.4,-3.0,-6.6,0.0,4.5
5,2016-01-06,-3.5,-0.8,-5.9,0.5,0.6
6,2016-01-07,-4.4,-2.7,-5.5,0.0,3.6
7,2016-01-08,-3.6,-1.2,-5.5,0.0,2.7
8,2016-01-09,-4.8,-3.5,-5.9,0.0,1.6
9,2016-01-10,-5.2,-1.5,-9.2,0.0,2.9
10,2016-01-11,-9.3,-6.5,-12.2,0.0,3.0
11,2016-01-12,-7.5,-4.1,-12.0,0.0,4.0
12,2016-01-13,-5.5,-2.6,-10.1,2.0,2.3
13,2016-01-14,-4.9,-3.3,-6.3,4.0,4.6
14,2016-01-15,-5.5,-2.1,-8.9,0.5,4.1
15,2016-01-16,-6.2,-3.3,-8.2,0.0,4.6
16,2016-01-17,-5.7,-1.9,-10.0,0.0,7.4
17,2016-01-18,-4.4,-1.1,-8.5,6.0,0.0
18,2016-01-19,-2.5,-0.5,-4.8,5.0,0.0
19,2016-01-20,-1.9,0.4,-5.4,0.0,3.3
20,2016-01-21,-3.8,-0.5,-7.2,0.0,8.4
21,2016-01-22,-3.7,0.0,-7.1,0.0,9.1
22,2016-01-23,-5.0,-2.5,-7.3,0.5,7.8
23,2016-01-24,-5.0,-1.7,-8.7,1.0,1.9
24,2016-01-25,-6.0,-3.3,-10.4,0.0,6.6
25,2016-01-26,-1.0,0.9,-4.9,0.0,0.1
26,2016-01-27,-2.2,-0.1,-4.1,1.0,6.2
27,2016-01-28,-4.8,-1.3,-8.1,0.0,5.3
28,2016-01-29,-7.3,-4.5,-10.8,0.0,3.3
29,2016-01-30,-6.5,-2.3,-11.4,0.0,6.9
30,2016-01-31,-7.5,-4.6,-9.3,0.0,3.3
31,2016-02-01,-8.1,-5.2,-10.5,0.0,5.0
32,2016-02-02,-6.7,-3.0,-10.4,0.0,4.5
33,2016-02-03,-5.7,-2.4,-9.6,0.0,5.0
34,2016-02-04,-1.8,1.4,-5.7,1.5,4.5
35,2016-02-05,-3.6,-1.7,-6.7,0.0,4.8
36,2016-02-06,-6.3,-2.7,-10.3,0.0,4.6
37,2016-02-07,-6.3,-3.9,-11.5,2.0,5.6
38,2016-02-08,-3.5,0.0,-9.4,1.5,8.8
39,2016-02-09,0.2,3.4,-1.9,2.5,4.8
40,2016-02-10,-3.1,-0.7,-6.2,0.0,7.6
41,2016-02-11,-3.8,-0.1,-7.5,0.0,7.5
42,2016-02-12,-0.4,3.2,-5.8,0.0,3.0
43,2016-02-13,3.9,6.6,1.5,1.5,0.0
