Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,deepest_snowfall,total_snowfall
0,2016-01-01,-3.7,-0.3,-9.8,0.0,3.5,14,3
1,2016-01-02,-0.7,3.1,-6.0,1.5,0.9,16,4
2,2016-01-03,-2.7,1.6,-8.5,0.0,1.7,13,1
3,2016-01-04,-4.6,-0.2,-11.7,0.0,1.6,13,0
4,2016-01-05,-6.8,-2.8,-13.2,0.0,1.2,13,0
5,2016-01-06,-3.2,-0.1,-6.1,0.0,1.6,13,0
6,2016-01-07,-4.6,-1.3,-8.8,0.0,4.2,14,1
7,2016-01-08,-4.4,0.3,-7.9,0.0,2.0,14,1
8,2016-01-09,-7.1,-2.6,-12.5,0.0,2.2,14,3
9,2016-01-10,-6.4,-2.1,-12.6,0.0,3.7,15,3
10,2016-01-11,-8.5,-4.8,-13.6,0.0,7.3,15,1
11,2016-01-12,-9.7,-4.7,-16.2,0.0,1.0,15,1
12,2016-01-13,-6.7,-1.6,-11.5,0.0,1.8,15,0
13,2016-01-14,-6.1,-1.2,-11.9,4.5,5.1,28,18
14,2016-01-15,-10.5,-6.5,-17.2,0.0,5.9,26,4
15,2016-01-16,-10.2,-3.0,-19.3,2.0,5.1,31,10
16,2016-01-17,-10.5,-3.7,-17.4,0.5,7.5,31,4
17,2016-01-18,-9.9,-3.7,-17.9,3.5,0.0,30,5
18,2016-01-19,-1.8,-0.8,-3.7,0.0,0.0,30,2
19,2016-01-20,-1.2,0.3,-3.2,0.0,4.2,29,1
20,2016-01-21,-5.9,-0.9,-10.9,4.5,0.6,35,12
21,2016-01-22,-7.0,-0.5,-14.3,4.5,1.3,45,15
22,2016-01-23,-8.3,-1.1,-15.5,0.0,6.2,41,0
23,2016-01-24,-8.1,-4.4,-13.2,0.0,6.5,37,0
24,2016-01-25,-9.1,-6.4,-16.3,0.0,5.4,35,3
25,2016-01-26,-1.2,4.3,-9.6,0.0,4.6,34,0
26,2016-01-27,-2.4,0.7,-5.6,0.0,4.2,30,0
27,2016-01-28,-4.9,-1.6,-9.7,0.0,2.2,31,5
28,2016-01-29,-8.6,-3.2,-14.6,0.0,3.7,30,2
29,2016-01-30,-10.0,-5.5,-13.2,0.0,5.1,30,4
30,2016-01-31,-8.5,-3.2,-15.5,0.0,5.7,30,0
31,2016-02-01,-8.6,-3.1,-16.8,0.0,8.4,29,0
32,2016-02-02,-6.7,-2.0,-11.7,1.0,3.9,36,9
33,2016-02-03,-6.5,-1.8,-13.9,4.0,6.9,47,11
34,2016-02-04,-2.2,2.4,-10.1,0.0,7.4,39,2
35,2016-02-05,-3.8,-1.0,-10.2,0.0,3.2,35,5
36,2016-02-06,-8.9,-2.8,-16.7,0.0,4.1,34,1
37,2016-02-07,-9.3,-2.3,-20.4,0.5,5.2,37,5
38,2016-02-08,-6.2,-3.0,-13.6,0.0,8.6,36,3
39,2016-02-09,0.9,4.6,-4.0,6.0,4.2,45,15
40,2016-02-10,-2.5,0.4,-4.5,3.5,0.8,55,21
41,2016-02-11,-4.5,0.0,-13.5,0.0,6.4,55,1
42,2016-02-12,-3.1,2.8,-14.6,0.0,2.8,49,0
43,2016-02-13,3.2,5.4,1.1,0.0,0.0,47,1
44,2016-02-14,2.3,6.4,-2.2,11.0,0.0,41,3
45,2016-02-15,-7.0,-2.1,-15.1,0.0,3.8,34,1
46,2016-02-16,-8.0,-2.3,-14.3,0.0,3.8,34,1
47,2016-02-17,-6.0,-1.6,-9.3,0.5,3.1,35,3
48,2016-02-18,-1.0,4.1,-7.8,0.0,2.0,36,2
49,2016-02-19,1.6,6.4,-3.2,0.0,2.6,33,0
50,2016-02-20,-0.3,3.4,-4.3,4.5,3.4,38,6
51,2016-02-21,-1.1,1.9,-3.7,3.0,1.3,45,12
52,2016-02-22,-5.1,-1.0,-12.5,0.0,4.4,44,2
53,2016-02-23,-3.6,1.3,-8.7,2.5,0.0,47,10
54,2016-02-24,-8.9,-5.7,-14.2,5.0,1.6,59,18
55,2016-02-25,-10.0,-1.8,-18.3,0.0,5.3,57,0
56,2016-02-26,-10.3,-2.9,-18.2,0.5,3.6,53,4
57,2016-02-27,-8.2,-2.2,-16.5,0.0,4.2,52,1
58,2016-02-28,-9.4,-2.1,-18.2,0.0,9.9,50,0
59,2016-02-29,-0.6,5.0,-11.2,12.0,0.6,64,16
60,2016-03-01,-2.7,0.5,-5.0,3.0,2.8,61,8
61,2016-03-02,-6.9,-1.2,-14.6,2.5,2.4,64,6
62,2016-03-03,-7.1,-3.0,-14.1,0.5,0.0,62,4
63,2016-03-04,-6.2,-0.9,-13.0,0.0,4.3,61,3
64,2016-03-05,-6.3,1.7,-16.3,0.0,10.0,56,1
65,2016-03-06,2.9,6.1,-2.1,7.0,0.0,56,3
66,2016-03-07,3.0,5.8,-2.0,0.0,5.7,49,1
67,2016-03-08,1.4,6.0,-3.8,0.5,0.1,43,0
68,2016-03-09,-1.7,1.7,-8.2,0.0,8.5,40,0
69,2016-03-10,-4.0,1.4,-11.3,0.0,8.4,40,1
70,2016-03-11,-4.7,-0.1,-10.2,0.0,5.3,39,1
71,2016-03-12,-6.0,0.6,-12.8,0.0,3.8,38,1
72,2016-03-13,-3.1,3.5,-13.8,1.0,5.9,40,7
73,2016-03-14,0.6,5.9,-6.7,0.5,8.7,40,2
74,2016-03-15,-0.4,2.5,-3.9,0.5,8.2,34,2
75,2016-03-16,2.9,9.6,-7.9,0.0,7.8,32,0
76,2016-03-17,4.2,11.2,-2.7,0.0,10.8,26,0
77,2016-03-18,6.2,10.3,2.9,0.0,0.3,23,2
78,2016-03-19,4.3,5.7,2.8,5.0,0.0,16,3
79,2016-03-20,0.0,2.9,-3.4,0.0,5.8,10,6
80,2016-03-21,-1.5,2.5,-5.8,0.0,6.9,9,1
81,2016-03-22,-0.3,5.4,-8.3,0.0,7.7,0,0
82,2016-03-23,0.6,4.4,-2.0,0.5,2.9,0,0
83,2016-03-24,-0.3,3.9,-6.6,0.5,5.3,0,0
84,2016-03-25,-0.3,3.1,-4.8,1.5,3.6,0,0
85,2016-03-26,1.4,6.0,-3.0,0.5,6.0,0,0
86,2016-03-27,4.4,11.3,-4.3,0.0,10.9,0,0
87,2016-03-28,3.8,8.8,-2.4,0.0,10.3,0,0
88,2016-03-29,3.5,11.5,-5.0,0.0,8.7,0,0
89,2016-03-30,5.2,10.2,-0.7,5.5,0.6,0,0
90,2016-03-31,3.7,9.2,-3.0,0.0,5.7,0,0
91,2016-04-01,5.4,12.2,0.0,0.0,11.8,0,0
92,2016-04-02,4.3,6.9,2.8,0.0,2.3,0,0
93,2016-04-03,6.6,10.1,3.6,4.5,0.0,0,0
94,2016-04-04,5.0,12.0,-1.6,0.0,6.2,0,0
95,2016-04-05,6.2,14.1,-3.9,0.0,9.5,0,0
96,2016-04-06,6.3,12.6,-0.8,0.0,11.6,0,0
97,2016-04-07,6.5,12.0,-2.3,5.5,0.8,0,0
98,2016-04-08,6.4,12.2,-1.7,2.0,1.3,0,0
99,2016-04-09,4.4,12.4,-2.2,0.0,8.7,0,0
100,2016-04-10,2.1,7.0,-3.9,0.0,9.3,0,0
101,2016-04-11,1.4,5.5,-2.1,1.5,5.1,0,0
102,2016-04-12,4.7,10.1,-2.0,4.0,9.2,2,2
103,2016-04-13,6.6,11.3,3.1,0.5,0.4,0,0
104,2016-04-14,9.5,15.0,6.5,7.0,0.4,0,0
105,2016-04-15,4.4,7.5,3.0,0.5,3.4,0,0
106,2016-04-16,6.7,12.4,1.2,0.0,7.9,0,0
107,2016-04-17,7.6,11.0,4.3,13.0,0.0,0,0
108,2016-04-18,6.3,10.6,2.5,0.0,1.8,0,0
109,2016-04-19,4.0,7.1,0.5,0.0,0.6,0,0
110,2016-04-20,7.7,15.0,-0.9,0.0,7.6,0,0
111,2016-04-21,12.4,19.9,6.8,0.0,11.1,0,0
112,2016-04-22,11.5,20.0,5.1,0.0,10.0,0,0
113,2016-04-23,6.7,9.4,5.0,5.0,0.2,0,0
114,2016-04-24,7.5,14.0,0.4,0.0,7.2,0,0
