,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,avg_wind_speed
0,2016-01-01,-1.3,1.7,-2.7,1.0,0.1,5.1
1,2016-01-02,0.9,3.5,-2.6,8.0,0.0,7.5
2,2016-01-03,0.3,1.7,-0.3,0.0,0.0,9.9
3,2016-01-04,-1.0,0.1,-2.3,0.0,0.0,9.2
4,2016-01-05,-3.1,-1.0,-4.6,1.5,0.0,11.4
5,2016-01-06,-1.4,0.2,-3.5,0.5,0.0,10.8
6,2016-01-07,-2.7,-0.8,-4.3,2.0,0.0,9.3
7,2016-01-08,-1.7,-0.6,-3.1,3.0,0.1,10.3
8,2016-01-09,-2.7,-0.9,-4.5,2.0,0.0,9.3
9,2016-01-10,-3.5,-0.7,-6.4,2.5,0.0,9.8
10,2016-01-11,-5.9,-4.8,-7.1,3.5,0.0,8.6
11,2016-01-12,-5.2,-4.5,-6.9,1.0,0.0,9.8
12,2016-01-13,-3.9,-1.8,-5.3,9.5,0.1,6.5
13,2016-01-14,-5.0,-1.1,-10.2,4.5,2.4,4.5
14,2016-01-15,-8.3,-3.2,-13.9,0.0,7.7,2.6
15,2016-01-16,-5.9,-2.8,-9.3,12.5,0.8,2.8
16,2016-01-17,-5.6,-2.5,-10.7,4.5,0.6,2.9
17,2016-01-18,-6.2,-2.6,-12.1,0.0,0.0,5.8
18,2016-01-19,-0.1,1.2,-3.6,0.0,0.0,3.6
19,2016-01-20,-1.2,0.2,-3.8,0.0,0.1,3.1
20,2016-01-21,-2.9,-0.7,-6.9,7.0,0.3,3.8
21,2016-01-22,-2.5,1.1,-7.4,6.5,0.4,5.4
22,2016-01-23,-2.5,-0.2,-10.0,1.5,0.0,5.8
23,2016-01-24,-7.3,-2.1,-14.3,0.0,7.7,3.3
24,2016-01-25,-7.6,-1.3,-16.3,0.5,2.5,5.2
25,2016-01-26,0.1,2.1,-2.9,5.5,0.0,5.1
26,2016-01-27,-1.5,1.5,-3.0,2.5,0.1,9.7
27,2016-01-28,-3.5,-1.0,-6.2,0.0,0.0,11.4
28,2016-01-29,-5.2,-4.1,-7.7,0.5,0.0,8.4
29,2016-01-30,-6.2,-2.3,-8.6,7.5,3.6,3.1
30,2016-01-31,-5.2,-3.8,-6.6,1.5,0.0,9.1
31,2016-02-01,-5.3,-4.0,-6.5,2.0,0.1,6.1
32,2016-02-02,-4.2,-2.2,-5.7,10.0,0.5,7.8
33,2016-02-03,-2.8,-0.4,-7.4,1.5,1.1,5.7
34,2016-02-04,-1.0,1.5,-4.1,1.0,1.6,4.1
35,2016-02-05,-2.0,1.3,-4.5,0.0,0.4,9.9
36,2016-02-06,-3.8,-2.5,-5.6,0.0,0.5,8.4
37,2016-02-07,-3.9,-0.9,-7.0,3.0,0.9,9.8
38,2016-02-08,-4.5,-1.8,-8.8,0.0,7.2,4.4
39,2016-02-09,1.3,3.3,-2.4,1.5,0.7,5.9
40,2016-02-10,-0.9,1.1,-3.7,4.0,0.6,9.2
41,2016-02-11,-2.2,0.0,-6.0,0.0,2.3,4.5
42,2016-02-12,0.2,3.2,-5.5,0.0,0.0,5.8
43,2016-02-13,3.1,5.2,1.3,3.0,0.0,4.8
44,2016-02-14,2.0,6.6,-2.8,14.0,0.0,5.2
45,2016-02-15,-4.8,-1.2,-7.8,2.0,0.0,11.7
46,2016-02-16,-4.5,-2.0,-6.6,5.0,0.0,9.1
47,2016-02-17,-3.5,-1.7,-5.6,1.5,0.2,11.8
48,2016-02-18,0.3,2.5,-3.4,4.0,0.0,6.9
49,2016-02-19,1.2,4.3,-2.1,7.0,1.6,4.4
50,2016-02-20,1.1,3.2,-1.5,0.5,4.1,5.8
51,2016-02-21,-0.4,1.2,-2.1,5.0,1.8,4.6
