Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,deepest_snowfall,total_snowfall
0,2016-01-01,-3.0,-1.5,-4.7,2.0,0.6,67,4
1,2016-01-02,-0.3,1.6,-3.1,9.0,0.1,60,2
2,2016-01-03,-1.2,1.0,-4.6,0.0,0.9,52,1
3,2016-01-04,-3.5,-1.1,-5.4,4.0,0.4,56,12
4,2016-01-05,-5.6,-3.0,-10.4,6.0,2.4,66,16
5,2016-01-06,-3.8,-1.9,-6.3,3.0,0.2,68,9
6,2016-01-07,-4.6,-2.9,-6.5,10.5,0.8,80,16
7,2016-01-08,-4.2,-1.9,-7.2,0.5,3.0,77,3
8,2016-01-09,-5.5,-3.1,-8.6,9.0,1.8,87,18
9,2016-01-10,-5.4,-1.3,-9.4,5.0,2.6,87,14
10,2016-01-11,-8.3,-6.2,-10.2,8.5,0.9,96,14
11,2016-01-12,-8.8,-5.8,-13.0,3.0,0.1,95,7
12,2016-01-13,-7.7,-2.8,-11.9,1.5,2.4,97,7
13,2016-01-14,-5.6,-3.1,-7.8,6.5,3.2,96,11
14,2016-01-15,-10.5,-7.2,-15.2,2.5,8.7,96,7
15,2016-01-16,-8.4,-3.3,-11.0,26.5,0.0,130,37
16,2016-01-17,-8.8,-6.3,-14.0,7.5,0.1,136,12
17,2016-01-18,-8.4,-2.5,-16.2,0.5,0.0,126,1
18,2016-01-19,-1.0,0.0,-2.6,0.0,0.0,114,0
19,2016-01-20,-1.6,0.6,-4.3,0.0,5.5,106,0
20,2016-01-21,-6.0,-2.7,-12.7,2.5,0.3,107,9
21,2016-01-22,-6.6,-1.2,-12.6,2.0,2.7,110,6
22,2016-01-23,-7.5,-1.6,-19.3,3.0,5.7,110,7
23,2016-01-24,-9.7,-5.0,-18.3,0.0,5.8,103,0
24,2016-01-25,-10.8,-6.5,-17.0,0.0,4.1,102,7
25,2016-01-26,-1.8,2.3,-6.7,0.0,0.7,101,0
26,2016-01-27,-2.6,0.3,-5.0,3.5,4.1,104,11
27,2016-01-28,-5.1,-2.5,-6.8,4.0,0.6,105,8
28,2016-01-29,-6.7,-5.4,-9.4,7.0,0.0,112,15
29,2016-01-30,-12.3,-6.9,-15.0,0.0,6.2,110,3
30,2016-01-31,-7.1,-4.6,-13.5,6.0,4.6,114,13
31,2016-02-01,-7.5,-6.2,-10.4,21.5,0.0,149,38
32,2016-02-02,-8.2,-3.3,-16.0,2.0,3.1,145,4
33,2016-02-03,-7.6,-3.6,-13.4,7.5,0.3,151,20
34,2016-02-04,-3.4,1.4,-9.0,0.5,2.9,142,0
35,2016-02-05,-3.6,-1.4,-7.0,0.5,4.5,128,1
36,2016-02-06,-7.9,-3.0,-12.9,9.5,4.8,144,22
37,2016-02-07,-6.7,-3.2,-11.0,9.0,2.0,154,13
38,2016-02-08,-6.3,-2.8,-11.4,0.0,7.8,143,1
39,2016-02-09,-0.5,3.4,-8.3,3.0,2.7,134,7
40,2016-02-10,-2.3,0.6,-5.9,0.5,3.0,132,1
41,2016-02-11,-5.4,-0.6,-11.1,0.0,4.1,127,1
42,2016-02-12,-2.8,2.5,-12.7,0.0,2.0,123,3
43,2016-02-13,3.3,5.0,0.6,1.5,0.0,120,0
44,2016-02-14,0.6,2.2,-2.6,8.0,0.0,105,1
45,2016-02-15,-6.7,-1.8,-11.9,3.0,4.8,102,3
46,2016-02-16,-7.9,-3.5,-13.1,0.0,6.3,100,0
47,2016-02-17,-5.5,-3.1,-7.7,4.5,5.5,106,10
48,2016-02-18,-2.8,1.3,-7.5,2.5,1.2,109,3
49,2016-02-19,1.3,4.7,-4.3,1.5,2.1,103,1
50,2016-02-20,0.3,3.3,-3.2,1.5,5.5,101,4
51,2016-02-21,-0.9,1.7,-2.8,5.5,1.3,103,10
52,2016-02-22,-4.1,-1.4,-7.5,0.5,2.5,102,2
53,2016-02-23,-3.6,1.5,-7.7,0.5,1.4,108,8
54,2016-02-24,-9.1,-6.8,-11.6,4.0,1.7,109,10
55,2016-02-25,-8.0,-2.2,-12.9,6.5,5.0,117,15
56,2016-02-26,-7.1,-3.2,-11.0,12.0,1.5,135,23
57,2016-02-27,-8.0,-2.4,-17.3,0.0,2.4,129,1
58,2016-02-28,-8.5,-2.3,-13.6,0.0,9.7,123,3
59,2016-02-29,-1.9,4.9,-13.5,11.5,2.2,135,15
60,2016-03-01,-3.2,-0.1,-6.5,1.0,3.8,120,5
61,2016-03-02,-5.2,-1.6,-9.9,8.0,1.5,134,20
62,2016-03-03,-6.4,-3.4,-11.7,0.5,0.0,135,3
63,2016-03-04,-8.5,-1.0,-17.3,0.0,8.2,130,0
64,2016-03-05,-8.3,1.7,-19.6,0.0,9.0,125,0
65,2016-03-06,2.7,5.6,-3.9,2.0,0.0,124,2
66,2016-03-07,2.8,5.9,-2.0,0.5,6.1,111,1
67,2016-03-08,0.6,5.3,-3.8,0.0,1.9,105,2
68,2016-03-09,-2.1,0.2,-6.5,1.5,5.4,105,6
69,2016-03-10,-5.6,0.2,-14.2,1.5,5.5,105,5
70,2016-03-11,-5.0,-0.8,-11.1,1.5,4.6,106,5
71,2016-03-12,-4.7,0.5,-10.2,2.0,4.0,109,7
72,2016-03-13,-3.4,3.7,-13.3,0.0,9.2,104,3
73,2016-03-14,0.7,5.9,-2.2,0.0,7.9,102,0
74,2016-03-15,-0.9,2.3,-5.0,0.0,7.7,99,0
75,2016-03-16,1.2,8.2,-9.5,0.0,9.6,98,1
76,2016-03-17,3.3,9.0,-3.1,0.0,10.3,92,0
77,2016-03-18,5.8,9.4,-1.8,0.0,3.7,90,0
78,2016-03-19,3.5,6.4,1.7,3.0,0.0,81,4
79,2016-03-20,-0.4,2.1,-5.0,0.5,5.3,77,2
80,2016-03-21,-2.0,1.8,-6.0,0.5,4.9,78,5
81,2016-03-22,-0.7,3.6,-9.1,0.0,5.4,74,1
82,2016-03-23,0.1,3.5,-4.4,0.5,9.5,72,2
83,2016-03-24,-0.8,3.3,-4.8,0.0,7.3,70,1
84,2016-03-25,-1.4,2.7,-5.1,0.0,5.8,66,0
85,2016-03-26,0.1,4.7,-5.7,0.0,9.9,64,2
86,2016-03-27,3.1,9.8,-5.7,0.0,8.2,61,1
87,2016-03-28,3.3,7.0,-2.0,0.0,10.4,57,0
88,2016-03-29,2.0,10.4,-4.5,0.0,9.5,51,0
89,2016-03-30,5.5,10.9,0.3,1.0,3.2,47,1
90,2016-03-31,3.3,7.6,-1.5,0.0,9.6,40,1
91,2016-04-01,4.0,10.1,-1.7,0.0,10.7,35,1
92,2016-04-02,4.0,6.9,2.3,0.0,3.3,31,1
93,2016-04-03,6.3,9.4,3.4,1.0,0.2,22,0
94,2016-04-04,4.4,10.1,-0.8,0.0,9.4,14,0
95,2016-04-05,5.8,13.0,-2.9,0.0,7.8,10,0
96,2016-04-06,6.6,10.3,1.6,0.0,11.3,0,0
97,2016-04-07,6.8,12.4,-0.8,3.5,2.9,0,0
98,2016-04-08,5.9,10.1,0.2,2.0,1.0,0,0
