,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,avg_wind_speed
0,2016-01-01,-1.2,0.0,-2.7,0.5,0.4,3.1
1,2016-01-02,1.6,4.6,-1.7,2.0,0.4,2.9
2,2016-01-03,0.5,2.1,-0.6,0.0,4.7,3.1
3,2016-01-04,-1.6,0.1,-3.6,0.0,0.7,2.6
4,2016-01-05,-3.7,-1.7,-5.4,0.0,3.1,4.0
5,2016-01-06,-2.2,-0.1,-3.5,0.0,0.3,2.5
6,2016-01-07,-2.7,-0.7,-3.5,0.0,4.7,3.6
7,2016-01-08,-2.2,-0.2,-3.8,0.0,1.7,2.3
8,2016-01-09,-3.5,-2.0,-5.4,0.0,1.8,2.6
9,2016-01-10,-4.2,-1.5,-7.6,1.5,0.9,3.8
10,2016-01-11,-6.8,-4.3,-8.6,0.5,5.8,3.9
11,2016-01-12,-6.2,-4.9,-7.6,0.5,0.0,2.2
12,2016-01-13,-4.4,-1.9,-6.6,0.0,1.3,1.3
13,2016-01-14,-3.9,-0.5,-7.6,9.0,4.8,3.2
14,2016-01-15,-6.5,-3.4,-9.7,1.0,6.8,2.6
15,2016-01-16,-5.6,-1.2,-11.9,2.0,6.0,2.3
16,2016-01-17,-5.5,-0.4,-12.4,2.0,3.9,2.1
17,2016-01-18,-7.0,-2.7,-11.7,6.5,0.0,3.4
18,2016-01-19,-1.2,0.9,-3.5,5.0,0.0,1.7
19,2016-01-20,-0.1,0.9,-1.0,0.0,1.2,6.0
20,2016-01-21,-1.2,0.2,-2.6,1.5,0.8,5.1
21,2016-01-22,-1.7,0.5,-3.1,3.0,0.0,3.6
22,2016-01-23,-4.4,-0.5,-13.3,0.0,3.8,1.5
23,2016-01-24,-7.3,-2.8,-11.1,0.0,6.2,2.0
24,2016-01-25,-6.4,-2.9,-11.5,2.5,1.2,2.4
25,2016-01-26,-0.9,2.1,-4.3,0.0,0.8,1.4
26,2016-01-27,-1.8,0.0,-3.8,3.5,4.1,2.7
27,2016-01-28,-3.7,-1.0,-6.3,0.5,0.8,4.7
