Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,hours_sunlight,solar_radiation,avg_local_pressure,avg_sea_pressure,cloud_cover
0,2016-01-01,-3.9,-1.8,-4.9,1.8,5.35,1003.0,1020.9,8.8
1,2016-01-02,-0.9,0.6,-3.8,0.0,2.43,994.0,1011.6,9.8
2,2016-01-03,-2.3,-1.1,-3.7,1.5,4.56,994.5,1012.2,9.8
3,2016-01-04,-4.3,-1.8,-7.7,3.0,5.85,993.9,1011.7,9.8
4,2016-01-05,-6.1,-4.2,-8.1,1.3,4.99,994.8,1012.7,9.0
5,2016-01-06,-4.6,-2.8,-6.8,0.1,3.61,994.4,1012.2,10.0
6,2016-01-07,-5.0,-3.2,-6.3,1.7,5.33,990.5,1008.3,10.0
7,2016-01-08,-4.4,-2.9,-6.3,0.3,4.13,990.8,1008.6,8.0
8,2016-01-09,-5.6,-4.0,-8.6,3.6,6.1,995.4,1013.3,7.0
9,2016-01-10,-6.0,-3.4,-9.1,0.9,4.67,993.2,1011.1,7.5
10,2016-01-11,-8.7,-6.9,-10.4,4.1,6.69,996.0,1014.2,9.8
11,2016-01-12,-8.4,-6.0,-11.7,0.4,4.44,993.4,1011.6,9.3
12,2016-01-13,-7.0,-4.1,-10.1,0.4,4.51,992.5,1010.4,9.8
13,2016-01-14,-6.6,-3.0,-8.9,1.0,4.92,991.7,1009.7,10.0
14,2016-01-15,-10.5,-6.6,-15.8,7.3,8.41,998.1,1016.4,5.5
15,2016-01-16,-12.5,-7.4,-17.1,1.3,6.03,999.2,1017.7,9.3
16,2016-01-17,-12.1,-5.7,-16.2,4.6,7.54,1004.6,1023.2,5.5
17,2016-01-18,-12.3,-3.1,-19.5,0.0,4.22,999.9,1018.4,7.8
18,2016-01-19,-1.9,-0.7,-3.2,0.0,2.88,982.3,999.7,10.0
19,2016-01-20,-2.9,-1.0,-4.3,3.5,8.24,988.8,1006.4,10.0
20,2016-01-21,-5.2,-2.7,-10.1,4.0,7.93,995.9,1013.8,9.3
21,2016-01-22,-5.2,-1.7,-10.4,1.0,5.22,997.2,1015.1,8.5
22,2016-01-23,-4.4,-1.5,-10.9,0.2,4.56,996.6,1014.5,10.0
23,2016-01-24,-10.2,-5.1,-14.8,6.5,9.21,987.2,1005.3,7.8
24,2016-01-25,-12.3,-6.2,-20.8,6.1,9.16,993.9,1012.3,8.5
25,2016-01-26,-2.0,0.3,-6.4,0.8,3.84,997.6,1015.4,10.0
26,2016-01-27,-3.0,0.0,-4.8,4.3,8.39,999.5,1017.3,9.5
27,2016-01-28,-6.2,-4.1,-8.5,0.3,5.91,1003.5,1021.7,9.8
28,2016-01-29,-8.8,-5.4,-14.2,2.1,7.07,1007.7,1026.1,7.8
29,2016-01-30,-12.1,-7.4,-16.9,7.4,10.51,1004.8,1023.4,6.5
30,2016-01-31,-8.6,-5.0,-13.1,2.0,6.45,999.8,1018.0,10.0
31,2016-02-01,-10.5,-7.4,-14.1,0.0,5.43,1000.7,1019.1,9.8
32,2016-02-02,-9.1,-4.3,-13.9,1.5,6.54,996.9,1015.1,9.5
33,2016-02-03,-8.2,-4.2,-13.9,3.7,7.98,1001.5,1019.7,5.5
34,2016-02-04,-3.2,1.8,-8.9,2.7,7.55,996.8,1014.6,8.5
35,2016-02-05,-4.1,-0.8,-6.9,1.8,7.51,993.7,1011.5,9.5
36,2016-02-06,-7.9,-2.7,-14.4,4.5,9.4,994.5,1012.6,5.8
37,2016-02-07,-7.6,-4.6,-13.1,1.0,7.33,994.0,1012.1,9.8
38,2016-02-08,-7.1,-3.1,-13.5,7.0,11.02,999.5,1017.6,6.0
39,2016-02-09,-5.8,0.4,-13.7,0.9,6.41,987.7,1005.5,9.8
40,2016-02-10,-3.0,-0.2,-6.3,0.4,5.69,995.0,1012.7,10.0
41,2016-02-11,-5.0,-1.8,-9.7,2.8,8.43,1011.5,1029.7,7.0
42,2016-02-12,-2.5,2.6,-9.3,0.1,5.35,1009.3,1027.3,10.0
43,2016-02-13,2.9,5.5,0.9,0.0,1.96,995.9,1013.3,10.0
44,2016-02-14,-1.3,2.1,-5.2,0.0,1.52,977.0,994.3,10.0
45,2016-02-15,-7.6,-4.5,-10.0,1.6,6.94,981.5,999.4,9.0
46,2016-02-16,-7.8,-4.5,-11.9,2.6,8.05,987.9,1005.8,5.3
47,2016-02-17,-6.0,-4.1,-7.5,1.5,8.68,990.0,1007.8,9.5
48,2016-02-18,-2.5,0.0,-6.4,2.2,9.2,999.0,1016.8,10.0
49,2016-02-19,0.5,3.9,-4.0,0.9,6.2,999.7,1017.3,8.5
50,2016-02-20,0.1,2.5,-2.6,5.9,11.99,1006.6,1024.4,8.5
51,2016-02-21,-2.5,0.5,-5.7,2.5,10.0,992.5,1010.2,10.0
52,2016-02-22,-5.0,-2.7,-7.0,1.7,9.11,1007.3,1025.4,8.8
53,2016-02-23,-4.1,-0.6,-8.9,0.0,5.99,1001.6,1019.5,10.0
54,2016-02-24,-10.2,-5.6,-16.0,6.8,13.85,1005.3,1023.7,7.3
55,2016-02-25,-9.0,-4.3,-13.3,2.8,10.2,1004.6,1022.9,9.5
56,2016-02-26,-6.8,-3.3,-9.5,4.2,12.37,1003.0,1021.2,9.8
57,2016-02-27,-7.7,-2.4,-12.9,5.9,14.78,1006.0,1024.3,8.5
58,2016-02-28,-7.7,-2.2,-13.1,6.9,13.88,1010.2,1028.6,3.5
59,2016-02-29,-4.8,1.9,-14.2,0.4,7.03,990.5,1008.3,10.0
60,2016-03-01,-4.1,0.0,-8.9,2.9,11.71,986.4,1004.1,8.5
61,2016-03-02,-6.5,-1.7,-11.5,6.4,14.41,998.7,1016.8,10.0
62,2016-03-03,-8.3,-3.0,-13.5,0.6,8.47,1003.8,1022.1,6.3
63,2016-03-04,-9.6,-1.6,-18.8,8.1,15.49,1014.4,1033.0,7.5
64,2016-03-05,-7.2,0.7,-15.5,9.7,16.65,1017.7,1036.2,4.8
65,2016-03-06,0.3,6.1,-9.3,0.0,3.24,1003.9,1021.6,10.0
