Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight
0,2016-01-01,-5.0,-2.6,-7.6,0.0,0.8
1,2016-01-02,-1.6,1.8,-6.2,9.0,0.1
2,2016-01-03,-2.1,0.9,-6.4,0.0,0.7
3,2016-01-04,-5.3,-2.3,-11.4,1.5,0.5
4,2016-01-05,-6.6,-4.6,-11.1,3.5,0.0
5,2016-01-06,-4.6,-1.5,-7.7,1.0,1.3
6,2016-01-07,-5.2,-3.6,-7.1,0.5,0.8
7,2016-01-08,-4.4,-1.4,-8.5,0.5,2.2
8,2016-01-09,-6.7,-4.6,-9.2,2.5,0.0
9,2016-01-10,-6.8,-3.2,-11.9,2.0,0.3
10,2016-01-11,-10.0,-7.3,-15.0,0.5,0.8
11,2016-01-12,-9.1,-5.4,-12.6,0.0,1.6
12,2016-01-13,-9.4,-3.5,-12.7,0.0,2.7
13,2016-01-14,-6.7,-2.9,-9.6,4.5,4.7
14,2016-01-15,-13.7,-8.8,-21.0,0.0,6.1
15,2016-01-16,-13.3,-9.0,-19.7,1.0,0.0
16,2016-01-17,-16.5,-8.9,-23.3,0.0,1.6
17,2016-01-18,-10.5,-3.4,-24.6,1.0,0.0
18,2016-01-19,-2.2,-0.9,-3.8,0.5,0.0
19,2016-01-20,-2.6,-1.2,-4.7,0.0,0.2
20,2016-01-21,-5.0,-3.2,-7.8,0.0,4.2
21,2016-01-22,-6.5,-1.8,-14.3,0.5,2.3
22,2016-01-23,-7.0,-1.6,-17.6,0.0,0.8
23,2016-01-24,-13.5,-7.6,-21.4,0.0,2.8
24,2016-01-25,-15.6,-8.9,-26.5,0.0,6.3
25,2016-01-26,-4.0,0.3,-10.0,0.0,0.1
26,2016-01-27,-3.5,-1.4,-5.4,0.5,0.5
27,2016-01-28,-6.3,-3.5,-12.6,2.0,0.0
28,2016-01-29,-10.7,-5.3,-20.1,0.0,2.3
29,2016-01-30,-17.4,-11.4,-25.5,0.0,5.2
30,2016-01-31,-8.4,-4.9,-16.1,0.5,3.0
31,2016-02-01,-12.2,-7.8,-18.0,0.0,0.0
32,2016-02-02,-10.2,-5.8,-16.2,1.5,0.6
33,2016-02-03,-10.4,-6.3,-16.8,1.0,0.0
34,2016-02-04,-5.0,-0.6,-9.4,0.0,4.1
35,2016-02-05,-4.3,-1.5,-6.7,4.0,0.1
36,2016-02-06,-8.0,-2.7,-11.9,1.0,2.2
37,2016-02-07,-9.4,-4.0,-18.3,4.0,2.4
38,2016-02-08,-7.7,-5.0,-11.9,0.0,8.2
39,2016-02-09,-1.9,2.9,-7.3,1.0,1.3
40,2016-02-10,-2.8,0.5,-5.3,1.5,0.3
41,2016-02-11,-5.5,-2.8,-11.7,0.0,2.1
42,2016-02-12,-5.3,0.2,-12.4,0.0,2.8
43,2016-02-13,2.2,5.6,-1.6,1.0,0.1
44,2016-02-14,0.7,4.0,-3.7,12.5,0.0
45,2016-02-15,-7.1,-3.7,-9.9,3.0,2.3
46,2016-02-16,-8.6,-3.7,-12.6,0.0,3.3
47,2016-02-17,-6.1,-2.2,-11.3,3.0,2.9
48,2016-02-18,-3.4,1.3,-7.5,3.0,3.2
49,2016-02-19,0.6,4.7,-4.0,2.0,0.6
50,2016-02-20,-0.2,2.5,-2.0,5.0,4.7
51,2016-02-21,-2.2,0.4,-4.0,9.5,1.2
52,2016-02-22,-5.4,-3.2,-12.4,1.0,0.5
