Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight
0,2016-01-01,-5.6,-3.6,-8.0,0.5,1.3
1,2016-01-02,-2.3,1.1,-7.3,11.5,0.0
2,2016-01-03,-3.4,-1.1,-5.8,0.0,0.1
3,2016-01-04,-6.1,-3.6,-12.1,1.5,0.0
4,2016-01-05,-8.0,-6.5,-12.0,3.5,0.0
5,2016-01-06,-5.7,-3.9,-8.3,1.5,1.8
6,2016-01-07,-6.3,-4.1,-7.5,0.5,2.3
7,2016-01-08,-5.8,-3.1,-10.7,0.0,2.2
8,2016-01-09,-8.0,-5.6,-14.1,0.5,0.0
9,2016-01-10,-7.8,-4.4,-12.9,3.5,1.1
10,2016-01-11,-12.0,-7.8,-18.6,0.5,0.8
11,2016-01-12,-11.0,-7.0,-13.4,0.0,0.9
12,2016-01-13,-10.2,-3.9,-15.5,0.0,2.7
13,2016-01-14,-8.0,-4.0,-13.5,4.0,4.1
14,2016-01-15,-13.9,-6.6,-20.3,0.0,7.0
15,2016-01-16,-12.1,-5.5,-18.4,0.0,0.1
16,2016-01-17,-14.1,-4.9,-20.9,0.0,2.6
17,2016-01-18,-9.5,-4.6,-22.0,1.5,0.0
18,2016-01-19,-3.3,-2.3,-4.8,0.5,0.0
19,2016-01-20,-4.6,-3.2,-6.4,0.5,0.0
20,2016-01-21,-6.1,-4.2,-7.9,0.0,4.5
21,2016-01-22,-6.2,-2.6,-14.2,1.5,3.6
22,2016-01-23,-8.3,-3.6,-19.1,0.5,0.6
23,2016-01-24,-13.4,-7.3,-20.5,0.0,3.7
24,2016-01-25,-13.0,-6.9,-24.3,0.0,6.5
25,2016-01-26,-3.8,-0.7,-9.8,0.0,1.5
26,2016-01-27,-4.6,-1.0,-6.8,1.0,1.4
27,2016-01-28,-7.5,-4.8,-10.9,2.0,0.0
28,2016-01-29,-10.9,-6.5,-20.2,0.0,3.2
29,2016-01-30,-15.4,-6.4,-23.8,0.0,7.4
30,2016-01-31,-10.5,-6.3,-16.2,2.0,3.8
31,2016-02-01,-12.7,-8.6,-19.9,0.0,0.2
32,2016-02-02,-10.7,-5.0,-17.8,3.0,2.0
33,2016-02-03,-9.4,-6.0,-15.7,0.0,0.8
34,2016-02-04,-4.9,-0.3,-8.9,0.0,2.5
35,2016-02-05,-5.6,-3.6,-7.8,2.5,0.4
36,2016-02-06,-9.0,-4.5,-13.5,1.0,2.7
37,2016-02-07,-9.8,-6.2,-18.0,1.5,2.7
38,2016-02-08,-7.2,-3.8,-9.6,0.5,8.9
39,2016-02-09,-2.1,2.4,-5.8,0.0,3.3
40,2016-02-10,-4.2,-1.8,-6.8,1.5,2.8
41,2016-02-11,-5.5,-2.7,-11.4,0.5,7.6
42,2016-02-12,-3.2,2.3,-11.6,0.0,2.9
43,2016-02-13,4.0,6.8,1.4,0.0,0.0
44,2016-02-14,1.4,4.7,-4.5,14.5,0.0
45,2016-02-15,-8.3,-4.5,-12.3,2.0,2.3
46,2016-02-16,-10.0,-5.2,-16.0,0.0,3.7
47,2016-02-17,-7.5,-3.6,-12.8,2.0,2.7
48,2016-02-18,-3.7,-0.1,-9.1,3.5,0.9
49,2016-02-19,0.3,3.2,-3.6,1.0,3.1
50,2016-02-20,-1.0,1.5,-2.7,2.0,4.7
51,2016-02-21,-3.3,-1.0,-5.3,8.0,0.2
52,2016-02-22,-7.1,-4.4,-13.6,1.5,0.5
53,2016-02-23,-5.1,1.0,-14.3,2.0,1.4
54,2016-02-24,-11.8,-7.7,-16.7,0.0,5.8
55,2016-02-25,-11.2,-5.3,-17.2,1.5,3.0
56,2016-02-26,-10.3,-5.4,-17.9,0.5,0.7
57,2016-02-27,-11.2,-4.9,-18.8,0.0,4.4
58,2016-02-28,-10.9,-3.7,-17.7,0.0,9.5
59,2016-02-29,-4.5,-2.2,-17.3,4.5,0.0
60,2016-03-01,-5.8,-2.2,-8.4,1.5,1.0
61,2016-03-02,-7.6,-3.9,-11.8,0.0,2.6
62,2016-03-03,-9.9,-4.6,-16.7,2.0,0.2
63,2016-03-04,-10.9,-1.9,-23.3,0.0,7.2
64,2016-03-05,-8.6,0.0,-19.9,0.0,9.3
65,2016-03-06,0.4,3.2,-4.1,2.5,0.0
66,2016-03-07,3.3,6.8,-3.1,1.5,7.4
67,2016-03-08,0.8,4.9,-3.6,2.0,3.2
68,2016-03-09,-4.1,-1.4,-10.4,0.0,1.6
69,2016-03-10,-6.7,-0.2,-11.9,0.0,6.8
70,2016-03-11,-7.4,-1.8,-15.7,0.0,6.4
71,2016-03-12,-7.8,-2.3,-16.0,0.5,1.6
72,2016-03-13,-5.9,2.3,-18.8,0.0,8.8
73,2016-03-14,-0.2,5.4,-8.9,2.0,9.2
74,2016-03-15,-2.5,0.9,-6.0,0.0,7.7
75,2016-03-16,0.0,6.6,-12.2,0.0,6.2
76,2016-03-17,2.3,10.0,-3.6,0.0,6.0
77,2016-03-18,5.8,12.4,-3.4,0.0,3.6
78,2016-03-19,4.5,8.2,0.9,6.5,0.0
79,2016-03-20,-2.4,0.9,-6.3,0.0,1.7
80,2016-03-21,-4.0,0.1,-8.1,0.0,2.7
81,2016-03-22,-3.3,2.2,-11.8,0.0,2.4
82,2016-03-23,-2.5,2.4,-8.6,1.0,4.3
83,2016-03-24,-4.1,2.9,-12.2,0.0,9.1
84,2016-03-25,-3.4,1.4,-9.3,0.5,3.3
85,2016-03-26,-0.5,3.7,-3.3,0.5,4.7
86,2016-03-27,1.9,7.5,-6.6,0.0,9.7
87,2016-03-28,2.9,7.2,-4.1,0.0,8.1
88,2016-03-29,2.6,11.3,-6.4,0.0,11.0
89,2016-03-30,3.2,6.2,0.1,3.0,4.5
90,2016-03-31,2.1,7.5,-2.9,0.0,4.9
91,2016-04-01,3.3,10.0,-2.9,0.0,10.9
92,2016-04-02,1.3,4.6,-0.5,0.0,7.6
93,2016-04-03,3.7,6.7,0.1,5.0,0.0
94,2016-04-04,3.6,9.3,-1.2,0.0,6.5
95,2016-04-05,4.5,11.4,-4.1,1.0,6.2
96,2016-04-06,4.3,9.9,-1.9,0.0,6.6
97,2016-04-07,5.0,12.2,-3.7,4.5,5.4
98,2016-04-08,5.0,10.4,-1.0,5.0,1.1
99,2016-04-09,2.6,9.6,-2.6,1.0,4.3
100,2016-04-10,1.6,5.3,-1.9,0.0,6.6
101,2016-04-11,-0.6,4.6,-3.1,2.0,5.8
102,2016-04-12,2.1,7.4,-2.6,0.0,6.3
103,2016-04-13,6.0,10.9,0.5,2.5,0.0
104,2016-04-14,9.7,15.8,5.1,10.5,1.9
105,2016-04-15,1.8,6.0,-0.2,1.5,0.0
106,2016-04-16,4.4,9.9,-1.1,0.0,8.0
107,2016-04-17,5.8,8.4,3.2,10.0,0.0
108,2016-04-18,4.2,8.0,0.2,4.0,4.5
109,2016-04-19,2.0,5.6,-0.4,0.0,0.0
110,2016-04-20,6.5,13.1,0.5,0.5,8.2
111,2016-04-21,12.0,18.1,4.9,0.0,9.8
112,2016-04-22,10.3,17.9,2.8,0.0,10.0
113,2016-04-23,6.1,10.7,0.1,6.0,1.1
114,2016-04-24,5.3,12.9,-1.1,0.0,7.8
115,2016-04-25,7.3,14.1,-1.4,0.0,9.2
116,2016-04-26,6.0,10.7,1.5,0.0,0.7
117,2016-04-27,5.5,11.9,-0.7,0.0,10.2
118,2016-04-28,4.4,9.6,-0.5,0.0,8.3
119,2016-04-29,0.8,2.3,-1.0,6.5,0.0
120,2016-04-30,0.4,2.8,-1.7,4.0,0.3
121,2016-05-01,3.7,10.1,-1.4,0.0,6.6
122,2016-05-02,7.9,16.5,-3.6,0.0,11.0
123,2016-05-03,18.3,25.6,9.0,0.0,10.2
124,2016-05-04,13.1,15.9,10.9,2.5,0.0
125,2016-05-05,9.9,12.7,7.9,3.5,0.2
126,2016-05-06,10.0,14.4,4.8,1.5,1.6
127,2016-05-07,9.7,15.4,6.9,5.5,2.6
128,2016-05-08,9.5,15.2,1.4,2.5,7.5
129,2016-05-09,10.5,18.9,-1.2,0.0,8.2
130,2016-05-10,11.3,15.1,6.8,0.0,1.3
131,2016-05-11,8.0,9.6,6.1,8.0,0.0
132,2016-05-12,7.8,11.6,4.3,0.5,0.2
133,2016-05-13,14.1,24.2,1.6,0.0,12.5
134,2016-05-14,14.3,22.6,7.2,0.0,12.4
135,2016-05-15,13.8,18.6,8.7,0.0,8.3
136,2016-05-16,10.1,12.9,7.9,0.0,5.5
137,2016-05-17,13.8,19.4,9.5,8.0,7.1
138,2016-05-18,13.3,20.0,6.1,0.0,11.4
139,2016-05-19,15.7,27.1,4.3,0.0,12.4
140,2016-05-20,16.8,28.1,4.9,0.0,12.8
141,2016-05-21,18.6,30.5,6.1,0.0,13.2
142,2016-05-22,19.8,30.5,7.8,0.0,13.1
143,2016-05-23,16.8,26.6,7.4,0.0,10.1
144,2016-05-24,14.9,21.4,7.8,0.0,5.8
145,2016-05-25,14.7,18.7,10.4,3.0,1.3
146,2016-05-26,17.9,22.1,14.5,0.0,3.7
147,2016-05-27,14.6,20.3,4.9,2.5,7.5
148,2016-05-28,12.8,21.8,3.2,5.5,6.2
149,2016-05-29,11.7,19.3,4.7,0.0,9.5
150,2016-05-30,14.3,22.7,7.2,0.0,7.9
151,2016-05-31,12.9,20.5,9.4,16.0,1.8
152,2016-06-01,8.4,14.7,4.7,15.0,0.6
153,2016-06-02,6.1,8.1,4.0,1.0,0.3
154,2016-06-03,8.5,12.6,5.1,0.5,0.2
155,2016-06-04,8.7,10.4,6.6,14.5,0.0
156,2016-06-05,10.7,17.4,5.9,0.0,6.5
157,2016-06-06,13.8,20.9,5.4,0.0,9.2
158,2016-06-07,16.2,24.6,7.4,0.0,8.6
159,2016-06-08,16.0,23.5,8.2,3.0,1.9
160,2016-06-09,16.1,20.6,12.6,29.0,2.1
161,2016-06-10,14.8,18.8,11.1,0.0,2.2
162,2016-06-11,15.5,22.1,10.8,0.0,10.8
163,2016-06-12,15.1,22.0,10.3,0.0,11.3
164,2016-06-13,13.2,15.6,10.6,1.0,0.0
165,2016-06-14,13.6,16.0,12.2,8.5,0.0
166,2016-06-15,14.8,19.9,11.8,0.0,0.5
167,2016-06-16,13.4,16.3,11.5,12.5,1.7
168,2016-06-17,13.4,15.0,12.1,21.0,0.0
169,2016-06-18,14.9,19.6,10.1,0.0,1.3
170,2016-06-19,15.9,23.8,7.7,0.0,5.0
171,2016-06-20,16.4,18.9,14.2,4.5,0.0
172,2016-06-21,17.8,22.0,13.8,0.0,4.7
173,2016-06-22,17.8,24.2,12.8,0.0,7.0
174,2016-06-23,15.0,19.4,11.9,0.0,6.1
175,2016-06-24,16.1,22.2,11.7,0.0,3.3
176,2016-06-25,13.3,15.3,10.7,7.0,0.0
177,2016-06-26,12.9,16.0,10.9,8.0,0.0
178,2016-06-27,15.2,21.4,10.0,0.5,8.8
179,2016-06-28,18.0,25.6,10.4,0.0,8.6
180,2016-06-29,19.7,28.2,10.1,0.0,13.6
181,2016-06-30,20.8,28.9,11.2,0.0,13.6
182,2016-07-01,21.2,28.6,11.7,0.0,11.6
183,2016-07-02,19.6,25.1,14.8,25.5,1.8
184,2016-07-03,18.6,22.5,15.1,0.0,3.0
185,2016-07-04,13.1,16.2,9.1,1.0,0.2
186,2016-07-05,15.9,24.3,8.7,0.0,6.9
187,2016-07-06,15.7,22.0,11.6,0.0,5.3
188,2016-07-07,17.7,28.2,7.3,0.0,13.5
189,2016-07-08,19.1,28.3,9.7,0.0,13.4
190,2016-07-09,19.9,27.7,11.5,0.0,10.0
191,2016-07-10,18.9,22.5,15.8,2.5,0.6
192,2016-07-11,17.6,22.7,14.6,0.0,3.9
193,2016-07-12,19.9,26.6,15.1,0.0,10.5
194,2016-07-13,20.7,28.8,14.2,0.0,9.6
195,2016-07-14,18.4,22.9,15.1,0.0,13.2
196,2016-07-15,20.0,25.8,15.0,0.0,10.4
197,2016-07-16,21.4,27.0,17.0,0.0,7.2
198,2016-07-17,19.4,24.6,16.1,0.0,0.9
199,2016-07-18,19.6,23.4,17.3,0.0,0.3
200,2016-07-19,18.0,21.3,16.1,15.0,0.0
201,2016-07-20,18.2,24.2,14.5,1.0,2.2
202,2016-07-21,19.7,26.1,14.6,0.0,6.6
203,2016-07-22,19.1,26.0,15.4,0.0,4.7
204,2016-07-23,19.8,27.5,12.2,0.0,11.3
