,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,avg_wind_speed
0,2016-01-01,-4.4,-2.2,-6.5,0.5,1.8,1.4
1,2016-01-02,-1.4,0.6,-3.9,10.5,0.0,1.9
2,2016-01-03,-3.0,-1.1,-4.7,2.0,0.0,1.8
3,2016-01-04,-4.9,-3.3,-8.4,2.5,0.0,1.7
4,2016-01-05,-6.4,-4.6,-8.4,8.0,0.1,1.7
5,2016-01-06,-5.2,-3.9,-6.9,9.0,0.0,2.1
6,2016-01-07,-5.5,-3.9,-6.9,2.5,0.0,1.8
7,2016-01-08,-5.1,-3.5,-10.5,7.0,0.0,1.7
8,2016-01-09,-6.4,-4.1,-10.9,7.0,0.8,1.5
9,2016-01-10,-6.5,-4.0,-10.9,8.0,0.3,1.4
10,2016-01-11,-9.6,-6.8,-14.6,3.5,0.6,1.1
11,2016-01-12,-8.9,-7.0,-11.6,3.5,0.1,1.4
12,2016-01-13,-6.9,-5.1,-9.2,3.0,0.0,1.4
13,2016-01-14,-7.8,-6.0,-10.5,2.0,0.1,2.3
14,2016-01-15,-16.8,-9.9,-23.6,0.0,7.7,1.1
15,2016-01-16,-17.0,-11.7,-25.7,0.0,2.2,0.7
16,2016-01-17,-13.1,-8.2,-18.6,0.0,3.9,0.9
17,2016-01-18,-12.9,-3.8,-23.3,0.0,0.0,2.0
18,2016-01-19,-2.6,-1.7,-4.0,2.5,0.0,6.2
19,2016-01-20,-4.0,-2.8,-5.9,0.0,1.4,5.8
20,2016-01-21,-8.6,-3.6,-16.2,0.0,3.8,1.5
21,2016-01-22,-4.7,-2.0,-9.9,5.0,0.0,1.6
22,2016-01-23,-5.3,-1.6,-9.3,3.5,0.2,
23,2016-01-24,-11.9,-6.4,-21.2,0.0,7.9,1.9
24,2016-01-25,-14.3,-6.3,-26.7,0.0,5.5,1.6
25,2016-01-26,-3.0,-0.9,-6.9,3.5,0.1,2.7
26,2016-01-27,-3.8,-1.3,-5.4,6.0,1.4,2.0
27,2016-01-28,-7.0,-4.9,-9.5,4.0,0.0,2.4
28,2016-01-29,-8.9,-6.1,-14.6,3.5,0.7,1.3
29,2016-01-30,-14.9,-10.0,-22.9,0.5,7.3,0.7
30,2016-01-31,-8.5,-5.4,-11.2,6.0,1.4,1.3
31,2016-02-01,-11.8,-7.0,-17.3,0.0,3.6,1.3
32,2016-02-02,-10.8,-5.0,-17.9,0.0,2.0,1.3
33,2016-02-03,-9.9,-4.1,-20.8,0.5,2.1,1.3
34,2016-02-04,-3.0,0.6,-6.3,4.0,2.5,2.0
35,2016-02-05,-4.6,-2.1,-9.1,2.0,1.6,2.3
36,2016-02-06,-7.6,-4.6,-12.3,7.0,0.7,1.7
37,2016-02-07,-8.1,-5.1,-14.7,4.0,1.4,2.1
38,2016-02-08,-9.8,-3.7,-19.1,0.0,5.4,1.2
39,2016-02-09,-11.3,-7.1,-18.4,1.5,1.1,0.7
40,2016-02-10,-4.8,-1.8,-10.4,1.5,1.4,2.0
