,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,deepest_snowfall,total_snowfall,avg_wind_speed
0,2016-01-01,-4.5,-3.1,-6.7,0.0,1.2,43.0,1.0,2.8
1,2016-01-02,-1.5,0.1,-3.3,2.0,0.0,49.0,11.0,4.2
2,2016-01-03,-3.5,-2.1,-4.1,0.0,0.2,49.0,4.0,4.6
3,2016-01-04,-5.9,-3.5,-13.2,0.0,2.6,50.0,3.0,3.6
4,2016-01-05,-7.2,-6.1,-12.6,1.0,0.9,53.0,7.0,4.2
5,2016-01-06,-5.5,-4.2,-7.7,1.0,0.0,60.0,10.0,4.9
6,2016-01-07,-6.1,-4.7,-7.8,0.0,1.5,59.0,4.0,3.9
7,2016-01-08,-5.9,-4.0,-12.2,0.0,0.3,60.0,5.0,4.0
8,2016-01-09,-6.4,-5.4,-8.1,0.0,1.5,59.0,8.0,4.3
9,2016-01-10,-6.9,-5.1,-9.5,3.0,0.7,67.0,14.0,3.4
10,2016-01-11,-10.9,-9.2,-13.0,0.5,0.3,67.0,2.0,1.5
11,2016-01-12,-9.8,-7.7,-15.6,0.0,0.3,64.0,2.0,2.9
12,2016-01-13,-8.1,-5.7,-14.0,0.0,2.9,62.0,2.0,2.5
13,2016-01-14,-8.4,-5.7,-14.7,2.5,0.0,63.0,6.0,1.4
14,2016-01-15,-17.9,-8.1,-24.1,0.0,7.9,60.0,0.0,1.0
15,2016-01-16,-17.8,-8.8,-26.6,0.0,4.5,58.0,0.0,0.8
16,2016-01-17,-12.9,-6.0,-20.7,0.0,6.4,56.0,1.0,0.9
17,2016-01-18,-12.2,-3.7,-25.9,0.0,2.2,54.0,0.0,3.2
18,2016-01-19,-2.9,-2.1,-4.2,23.5,0.0,100.0,53.0,5.9
19,2016-01-20,-4.2,-2.9,-5.7,16.5,0.0,132.0,32.0,2.5
20,2016-01-21,-7.6,-3.3,-13.4,0.0,4.5,114.0,0.0,2.1
21,2016-01-22,-5.6,-2.8,-11.9,7.5,0.0,115.0,17.0,
22,2016-01-23,-5.9,-4.2,-8.7,2.5,0.0,118.0,5.0,1.0
23,2016-01-24,-11.2,-5.9,-22.5,0.0,6.5,115.0,0.0,1.4
24,2016-01-25,-15.6,-6.3,-31.8,0.0,5.3,105.0,0.0,2.0
25,2016-01-26,-3.0,-0.9,-6.4,1.0,0.4,105.0,10.0,5.0
26,2016-01-27,-4.4,-1.5,-5.7,0.5,3.6,109.0,11.0,4.8
27,2016-01-28,-8.3,-5.2,-15.6,0.0,0.6,111.0,6.0,4.6
28,2016-01-29,-12.0,-6.6,-18.1,0.5,1.9,108.0,1.0,1.9
29,2016-01-30,-15.5,-8.5,-27.4,0.5,7.3,103.0,1.0,0.9
30,2016-01-31,-10.1,-6.8,-14.1,2.5,1.5,102.0,4.0,1.8
31,2016-02-01,-14.9,-9.4,-25.0,1.0,0.9,105.0,5.0,1.0
32,2016-02-02,-12.4,-5.8,-23.1,0.0,0.7,101.0,0.0,1.4
33,2016-02-03,-12.5,-5.1,-27.1,0.0,5.3,99.0,1.0,2.0
34,2016-02-04,-3.5,-0.9,-7.9,1.5,1.5,101.0,9.0,2.9
35,2016-02-05,-5.2,-2.1,-7.9,0.5,3.0,103.0,7.0,4.8
36,2016-02-06,-7.7,-5.3,-10.3,0.5,0.9,103.0,4.0,2.5
37,2016-02-07,-8.7,-6.1,-15.8,2.5,2.1,108.0,11.0,3.2
38,2016-02-08,-11.0,-4.8,-22.8,0.0,5.7,108.0,1.0,1.6
39,2016-02-09,-11.8,-4.6,-22.1,0.0,1.4,100.0,2.0,0.9
40,2016-02-10,-4.5,-2.0,-8.7,1.5,4.8,100.0,3.0,3.6
41,2016-02-11,-7.7,-3.4,-16.1,0.0,5.0,96.0,0.0,2.1
42,2016-02-12,-2.3,3.3,-13.4,0.0,0.2,94.0,0.0,2.9
43,2016-02-13,3.3,5.5,0.4,1.0,0.0,90.0,0.0,3.2
44,2016-02-14,-3.8,1.1,-7.9,12.0,0.0,86.0,13.0,4.5
45,2016-02-15,-9.5,-5.2,-13.4,1.5,3.0,94.0,10.0,4.1
46,2016-02-16,-8.2,-6.4,-12.3,1.5,0.5,103.0,13.0,3.7
47,2016-02-17,-7.1,-5.9,-8.9,1.5,0.0,121.0,19.0,4.7
48,2016-02-18,-5.5,-1.6,-13.1,0.5,0.1,120.0,4.0,3.7
49,2016-02-19,-3.2,2.1,-15.0,9.5,0.1,117.0,9.0,1.7
50,2016-02-20,-1.8,0.3,-4.5,0.5,4.5,114.0,2.0,4.0
51,2016-02-21,-4.0,-1.6,-8.1,6.5,0.2,126.0,18.0,2.7
52,2016-02-22,-7.0,-4.6,-13.5,2.0,1.7,130.0,15.0,3.7
53,2016-02-23,-5.7,-1.5,-10.7,2.5,0.7,133.0,9.0,2.3
54,2016-02-24,-13.5,-8.1,-21.5,0.0,5.8,131.0,0.0,0.9
55,2016-02-25,-13.5,-6.3,-21.7,0.5,3.2,126.0,3.0,1.9
56,2016-02-26,-9.7,-5.3,-15.1,1.5,2.1,132.0,8.0,1.1
57,2016-02-27,-10.5,-4.5,-19.0,1.5,2.2,129.0,5.0,1.9
58,2016-02-28,-12.8,-4.1,-22.5,0.5,8.3,129.0,2.0,1.2
59,2016-02-29,-6.9,-0.5,-23.5,0.0,0.0,124.0,0.0,3.4
60,2016-03-01,-7.8,-3.9,-15.7,1.5,2.0,122.0,9.0,2.9
61,2016-03-02,-12.2,-4.5,-21.2,0.0,4.2,120.0,0.0,1.3
62,2016-03-03,-14.2,-3.4,-23.5,0.0,7.6,117.0,0.0,1.3
63,2016-03-04,-15.1,-2.0,-27.3,0.0,7.9,115.0,1.0,1.4
64,2016-03-05,-11.7,0.2,-24.2,0.0,7.5,115.0,0.0,1.1
65,2016-03-06,-3.0,3.9,-13.7,8.0,0.0,112.0,0.0,1.2
66,2016-03-07,2.0,6.1,-3.9,3.5,2.4,107.0,0.0,4.1
67,2016-03-08,-0.9,6.0,-6.6,1.5,2.3,107.0,9.0,3.3
68,2016-03-09,-4.2,-1.2,-9.9,0.0,3.9,107.0,0.0,4.5
69,2016-03-10,-7.4,-0.5,-15.1,0.0,7.6,104.0,3.0,1.8
70,2016-03-11,-6.7,-2.3,-16.2,1.5,3.7,107.0,5.0,2.6
71,2016-03-12,-6.5,-1.7,-13.6,0.5,3.2,108.0,4.0,2.1
72,2016-03-13,-5.0,2.3,-17.2,0.0,9.5,105.0,0.0,2.0
73,2016-03-14,-2.3,4.6,-12.0,0.5,7.6,102.0,2.0,2.0
74,2016-03-15,-4.1,-0.3,-11.3,0.0,7.8,101.0,0.0,2.5
75,2016-03-16,-0.4,6.7,-13.7,0.0,7.7,99.0,0.0,4.8
76,2016-03-17,3.4,8.3,-4.5,0.0,5.2,94.0,0.0,2.8
77,2016-03-18,1.6,11.4,-6.6,0.0,8.1,91.0,0.0,1.7
78,2016-03-19,3.4,6.2,-1.3,0.0,0.0,86.0,0.0,3.4
79,2016-03-20,-2.9,0.3,-8.6,0.0,5.4,82.0,0.0,3.8
80,2016-03-21,-4.5,0.4,-10.5,0.0,5.3,84.0,3.0,2.7
