,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,deepest_snowfall,total_snowfall,avg_wind_speed
0,2016-01-01,-5.4,-3.4,-10.9,,29.0,5.0,2.7
1,2016-01-02,-1.9,2.0,-5.1,,35.0,10.0,4.7
2,2016-01-03,-3.0,-1.4,-4.3,,34.0,1.0,4.0
3,2016-01-04,-6.3,-3.2,-13.5,,30.0,0.0,3.1
4,2016-01-05,-7.2,-4.7,-12.0,,28.0,0.0,3.7
5,2016-01-06,-5.5,-3.4,-8.2,,35.0,9.0,4.1
6,2016-01-07,-6.3,-4.6,-9.2,,34.0,0.0,2.7
7,2016-01-08,-5.9,-4.0,-12.6,,36.0,8.0,3.8
8,2016-01-09,-6.9,-5.2,-11.5,,35.0,0.0,3.7
9,2016-01-10,-6.9,-3.7,-10.0,,38.0,10.0,4.0
10,2016-01-11,-10.1,-6.9,-15.4,,38.0,1.0,2.9
11,2016-01-12,-9.5,-7.2,-13.3,,35.0,0.0,4.2
12,2016-01-13,-8.3,-5.0,-13.6,,32.0,0.0,4.6
13,2016-01-14,-7.6,-3.8,-11.8,,37.0,6.0,3.3
14,2016-01-15,-12.6,-7.7,-18.6,,38.0,2.0,1.4
15,2016-01-16,-13.9,-9.3,-17.8,,37.0,1.0,1.5
16,2016-01-17,-13.4,-8.5,-18.4,,36.0,0.0,2.3
17,2016-01-18,-13.7,-6.2,-23.0,,35.0,0.0,1.4
18,2016-01-19,-3.1,-2.0,-6.5,,34.0,6.0,6.8
19,2016-01-20,-4.3,-2.6,-6.0,,30.0,0.0,8.0
20,2016-01-21,-6.7,-2.6,-13.2,,30.0,0.0,2.2
21,2016-01-22,-6.0,-2.0,-11.7,,30.0,1.0,2.1
22,2016-01-23,-6.0,-2.7,-14.7,,31.0,1.0,3.1
23,2016-01-24,-13.3,-7.4,-19.0,,32.0,2.0,1.4
24,2016-01-25,-13.9,-6.7,-24.2,,32.0,0.0,2.1
25,2016-01-26,-2.8,-0.2,-7.5,,32.0,2.0,5.8
26,2016-01-27,-4.2,-0.2,-6.2,,38.0,8.0,3.8
27,2016-01-28,-7.4,-5.1,-13.6,,41.0,8.0,4.4
28,2016-01-29,-11.5,-7.0,-17.8,,40.0,2.0,3.1
29,2016-01-30,-13.7,-8.2,-22.6,,38.0,0.0,2.3
30,2016-01-31,-9.6,-5.7,-16.3,,37.0,1.0,3.5
31,2016-02-01,-11.1,-7.7,-16.4,,38.0,1.0,2.6
32,2016-02-02,-9.4,-4.9,-12.7,,40.0,4.0,4.3
33,2016-02-03,-9.0,-5.1,-15.3,,39.0,0.0,3.4
34,2016-02-04,-3.7,0.5,-8.3,,39.0,0.0,5.2
35,2016-02-05,-4.8,-1.8,-8.5,,39.0,3.0,3.3
36,2016-02-06,-9.0,-4.3,-14.9,,38.0,1.0,3.7
37,2016-02-07,-8.6,-5.1,-13.8,,41.0,5.0,3.7
38,2016-02-08,-8.9,-3.9,-14.8,,42.0,1.0,2.8
