,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure
0,2016-01-01,-2.2,-0.2,-5.2,,7.2,,,6.1,3.4,1014.9,66.0,1018.4
1,2016-01-02,-0.5,4.4,-6.3,0.0,0.6,,,4.5,5.0,1007.9,82.0,1011.3
2,2016-01-03,-0.8,1.3,-2.6,,8.3,,,3.6,4.2,1006.5,74.0,1009.9
3,2016-01-04,-2.1,0.9,-5.2,,6.3,,,3.4,3.4,1006.2,65.0,1009.6
4,2016-01-05,-3.9,-1.4,-7.4,,7.4,,,4.1,2.8,1007.0,62.0,1010.4
5,2016-01-06,-2.5,0.6,-6.9,,8.8,,,5.4,2.7,1007.1,53.0,1010.5
6,2016-01-07,-2.9,-0.2,-6.2,0.0,6.7,,,4.9,3.1,1002.7,64.0,1006.1
7,2016-01-08,-2.8,1.2,-7.3,,8.8,,,4.6,2.7,1004.1,55.0,1007.5
8,2016-01-09,-3.5,-0.7,-6.5,,8.4,,,3.9,2.9,1008.2,62.0,1011.7
9,2016-01-10,-2.9,1.3,-6.0,0.0,4.0,,,4.7,2.9,1005.8,59.0,1009.2
10,2016-01-11,-5.8,-3.4,-7.6,,7.7,,,7.0,2.2,1008.1,56.0,1011.6
11,2016-01-12,-5.9,-3.5,-8.8,,6.6,,,3.7,2.1,1007.1,54.0,1010.6
12,2016-01-13,-4.5,-2.3,-8.4,,8.8,,,3.9,2.4,1007.2,55.0,1010.7
13,2016-01-14,-1.8,2.0,-3.7,2.0,2.2,8.0,9.0,7.9,4.4,1002.7,83.0,1006.1
14,2016-01-15,-5.0,-2.9,-7.7,0.5,1.4,8.0,,3.9,2.9,1011.8,69.0,1015.3
15,2016-01-16,-5.3,-2.8,-9.4,0.0,6.2,6.0,,2.6,2.7,1012.0,66.0,1015.5
16,2016-01-17,-5.1,-2.3,-10.4,,8.9,5.0,,4.0,2.8,1017.9,67.0,1021.4
17,2016-01-18,-3.4,-0.3,-8.6,1.0,1.8,4.0,1.0,6.1,3.3,1017.2,70.0,1020.6
18,2016-01-19,-0.4,1.0,-2.6,12.5,0.0,13.0,15.0,15.5,5.6,987.0,94.0,990.4
19,2016-01-20,-0.1,0.8,-0.7,4.5,0.0,16.0,3.0,12.5,5.5,990.9,91.0,994.3
20,2016-01-21,-2.1,-0.6,-3.8,0.5,2.5,14.0,,10.7,3.9,1003.1,75.0,1006.5
21,2016-01-22,-1.9,0.5,-4.5,0.0,3.1,13.0,,3.5,4.1,1006.6,77.0,1010.1
22,2016-01-23,-2.2,-0.8,-4.7,0.0,0.8,18.0,5.0,3.2,4.3,1009.0,84.0,1012.4
23,2016-01-24,-4.0,-1.6,-6.9,0.0,5.6,17.0,,4.0,3.6,999.8,78.0,1003.2
24,2016-01-25,-7.1,-5.0,-11.1,0.0,2.2,16.0,,7.4,2.3,1005.6,63.0,1009.1
25,2016-01-26,-2.4,1.5,-10.5,,9.4,15.0,,4.6,3.2,1012.0,62.0,1015.4
