,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,avg_wind_speed
0,2016-01-01,-7.7,-2.3,-11.4,0.0,3.6,1.6
1,2016-01-02,-4.0,2.9,-12.0,0.0,3.2,1.6
2,2016-01-03,-5.5,-0.6,-13.2,0.0,4.6,1.3
3,2016-01-04,-9.4,-2.7,-14.2,0.0,2.2,1.4
4,2016-01-05,-9.5,-2.5,-15.1,0.0,4.8,1.8
5,2016-01-06,-7.6,-0.2,-16.3,0.0,5.8,2.4
6,2016-01-07,-7.6,-3.1,-13.2,0.0,3.7,1.6
7,2016-01-08,-8.1,-0.5,-15.6,0.0,4.7,1.4
8,2016-01-09,-10.7,-2.6,-17.8,0.0,6.4,1.4
9,2016-01-10,-8.9,-2.3,-16.0,0.5,3.8,1.4
10,2016-01-11,-11.0,-6.9,-15.7,0.0,3.7,1.9
11,2016-01-12,-12.3,-4.6,-18.7,0.0,4.6,1.5
12,2016-01-13,-11.2,-2.0,-18.3,0.0,5.9,1.3
13,2016-01-14,-6.9,-2.9,-12.5,7.0,1.4,2.5
14,2016-01-15,-10.0,-6.5,-17.2,0.0,6.1,0.8
15,2016-01-16,-15.1,-4.7,-22.5,0.0,7.5,0.8
16,2016-01-17,-11.8,-4.4,-17.7,0.0,5.1,1.2
17,2016-01-18,-11.1,-3.5,-21.5,1.5,0.3,1.1
18,2016-01-19,-1.9,-1.2,-3.6,15.5,0.0,7.0
19,2016-01-20,-1.9,-1.1,-3.5,8.0,0.0,7.8
20,2016-01-21,-4.7,-3.4,-9.8,2.0,0.0,3.7
21,2016-01-22,-3.7,0.4,-9.4,1.5,2.8,2.3
22,2016-01-23,-4.6,-2.0,-10.4,2.0,1.2,2.1
23,2016-01-24,-8.2,-5.9,-11.8,0.0,1.4,1.2
24,2016-01-25,-12.7,-7.0,-19.6,0.0,8.1,1.8
25,2016-01-26,-11.4,-0.7,-22.6,0.0,8.6,1.2
26,2016-01-27,-8.3,-1.2,-14.9,0.0,4.8,2.0
27,2016-01-28,-9.1,-3.1,-15.5,0.0,2.2,2.1
28,2016-01-29,-12.1,-6.6,-18.7,0.0,6.2,1.4
29,2016-01-30,-14.9,-6.7,-22.2,0.0,8.4,1.1
30,2016-01-31,-12.7,-5.5,-20.4,0.0,5.1,1.2
31,2016-02-01,-14.8,-8.1,-20.6,0.0,2.9,1.3
32,2016-02-02,-13.4,-3.0,-24.0,0.0,6.1,1.2
33,2016-02-03,-12.2,-5.4,-17.6,0.0,7.3,1.3
34,2016-02-04,-9.7,-0.7,-20.6,0.0,6.7,1.8
35,2016-02-05,-6.7,-0.8,-14.4,0.0,7.0,2.2
36,2016-02-06,-10.7,-2.4,-17.6,0.0,7.3,1.5
37,2016-02-07,-11.0,-4.5,-20.4,0.0,8.5,1.9
38,2016-02-08,-8.6,-5.9,-12.2,0.0,8.1,2.2
39,2016-02-09,-1.3,1.7,-7.7,0.0,0.8,3.9
40,2016-02-10,-3.6,-0.6,-9.3,0.0,1.4,2.7
41,2016-02-11,-5.2,-2.1,-12.5,0.0,3.1,3.4
42,2016-02-12,-6.1,0.7,-16.2,0.0,4.1,2.2
43,2016-02-13,5.1,9.9,0.5,0.0,0.7,2.3
44,2016-02-14,-2.1,2.4,-5.6,9.0,0.0,1.9
