,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,deepest_snowfall,total_snowfall,avg_wind_speed
0,2016-01-01,-4.0,-2.0,-10.2,,34.0,1.0,3.9
1,2016-01-02,-1.5,2.4,-5.4,,35.0,6.0,2.4
2,2016-01-03,-2.3,-1.2,-5.6,,36.0,5.0,2.9
3,2016-01-04,-4.9,-1.5,-14.1,,35.0,1.0,2.4
4,2016-01-05,-6.3,-3.5,-11.8,,42.0,8.0,3.6
5,2016-01-06,-4.2,-1.0,-10.4,,44.0,4.0,3.6
6,2016-01-07,-5.7,-3.1,-13.9,,44.0,2.0,3.0
7,2016-01-08,-5.6,-1.2,-13.9,,44.0,3.0,2.5
8,2016-01-09,-6.3,-2.6,-13.0,,44.0,2.0,2.3
9,2016-01-10,-6.0,-3.9,-9.2,,50.0,7.0,2.7
10,2016-01-11,-9.0,-7.3,-13.7,,52.0,5.0,3.3
11,2016-01-12,-9.2,-4.8,-15.5,,51.0,0.0,1.9
12,2016-01-13,-8.9,-4.9,-16.0,,49.0,0.0,1.8
13,2016-01-14,-6.3,-3.1,-11.5,,54.0,11.0,4.8
14,2016-01-15,-9.0,-6.4,-15.1,,45.0,2.0,2.6
15,2016-01-16,-8.7,-3.8,-12.0,,44.0,0.0,3.8
16,2016-01-17,-7.3,-4.2,-11.2,,43.0,0.0,2.5
17,2016-01-18,-7.8,-1.8,-17.1,,44.0,3.0,3.6
18,2016-01-19,-1.3,-0.8,-2.8,,45.0,5.0,9.6
19,2016-01-20,-2.0,-1.0,-3.2,,44.0,6.0,11.5
20,2016-01-21,-3.7,-2.5,-5.1,,32.0,10.0,7.0
21,2016-01-22,-2.0,0.7,-4.8,,42.0,12.0,5.5
22,2016-01-23,-4.4,-2.5,-7.6,,47.0,6.0,3.3
23,2016-01-24,-7.6,-5.0,-10.5,,47.0,2.0,4.3
24,2016-01-25,-9.5,-6.5,-14.5,,43.0,1.0,3.4
25,2016-01-26,-2.3,1.6,-11.2,,41.0,0.0,3.0
26,2016-01-27,-2.8,-0.6,-6.3,,47.0,8.0,3.4
27,2016-01-28,-6.4,-3.5,-12.3,,45.0,13.0,6.8
28,2016-01-29,-9.3,-6.4,-15.0,,40.0,0.0,2.6
29,2016-01-30,-10.5,-6.5,-15.9,,40.0,0.0,2.1
30,2016-01-31,-8.3,-5.4,-15.1,,47.0,8.0,3.0
31,2016-02-01,-10.1,-7.1,-14.1,,47.0,1.0,3.7
32,2016-02-02,-9.4,-3.2,-16.1,,45.0,3.0,3.3
33,2016-02-03,-8.7,-5.5,-13.1,,45.0,0.0,2.7
34,2016-02-04,-4.9,-0.1,-10.8,,44.0,1.0,1.7
35,2016-02-05,-4.6,-1.0,-11.1,,44.0,1.0,4.1
36,2016-02-06,-6.7,-2.1,-11.8,,44.0,3.0,2.5
37,2016-02-07,-7.5,-4.8,-11.9,,47.0,4.0,4.2
38,2016-02-08,-9.9,-7.1,-16.6,,52.0,11.0,3.5
39,2016-02-09,-5.9,0.5,-15.6,,48.0,0.0,2.2
40,2016-02-10,-2.7,-0.7,-7.3,,50.0,,7.3
41,2016-02-11,-5.3,-2.9,-13.5,,55.0,7.0,4.6
42,2016-02-12,-2.3,6.7,-14.9,,53.0,1.0,2.2
43,2016-02-13,5.1,10.1,0.2,,50.0,0.0,2.8
44,2016-02-14,-2.9,0.2,-6.3,,58.0,17.0,4.9
45,2016-02-15,-7.3,-2.2,-13.2,,54.0,0.0,5.2
46,2016-02-16,-8.4,-3.8,-14.1,,54.0,1.0,2.3
47,2016-02-17,-6.5,-2.1,-11.8,,58.0,5.0,3.3
48,2016-02-18,-5.2,-0.7,-14.6,,58.0,1.0,1.5
49,2016-02-19,-2.2,0.7,-9.3,,62.0,6.0,1.9
50,2016-02-20,0.1,2.7,-2.5,,62.0,3.0,4.5
51,2016-02-21,-2.8,-2.0,-4.0,,80.0,31.0,5.5
52,2016-02-22,-4.7,-0.9,-10.9,,81.0,2.0,3.4
53,2016-02-23,-6.6,-2.4,-12.4,,75.0,5.0,3.6
54,2016-02-24,-11.3,-7.8,-17.3,,75.0,1.0,3.1
55,2016-02-25,-9.9,-4.3,-16.8,,73.0,3.0,3.9
56,2016-02-26,-9.3,-6.7,-16.3,,72.0,2.0,1.6
57,2016-02-27,-8.3,-3.0,-17.2,,71.0,0.0,2.6
58,2016-02-28,-8.1,-4.7,-14.9,,72.0,2.0,2.1
59,2016-02-29,-5.3,,,,72.0,8.0,
60,2016-03-01,-5.0,-1.4,-6.9,,70.0,7.0,9.1
61,2016-03-02,-6.6,-4.6,-8.7,,57.0,1.0,3.5
62,2016-03-03,-8.8,-4.4,-17.0,,57.0,0.0,2.8
63,2016-03-04,-6.2,-2.2,-11.0,,58.0,2.0,3.6
64,2016-03-05,-6.2,-2.6,-12.5,,59.0,1.0,2.2
65,2016-03-06,-1.6,6.6,-12.6,,58.0,1.0,1.6
66,2016-03-07,5.1,9.1,0.8,,54.0,0.0,4.8
67,2016-03-08,1.8,7.2,-3.9,,49.0,1.0,3.4
68,2016-03-09,-2.0,1.0,-6.7,,50.0,3.0,5.8
69,2016-03-10,-3.2,1.4,-8.9,,49.0,0.0,3.0
70,2016-03-11,-4.5,1.0,-9.9,,50.0,3.0,3.0
71,2016-03-12,-4.9,-0.9,-9.9,,51.0,2.0,2.4
72,2016-03-13,-2.7,2.0,-10.5,,51.0,0.0,1.9
73,2016-03-14,0.8,4.4,-4.7,,49.0,0.0,2.3
74,2016-03-15,-1.6,0.0,-3.8,,48.0,1.0,5.0
75,2016-03-16,3.8,9.5,-6.8,,47.0,0.0,5.7
76,2016-03-17,2.7,7.3,-2.1,,40.0,0.0,3.1
77,2016-03-18,2.8,9.3,-2.6,,37.0,0.0,1.5
78,2016-03-19,1.9,6.7,-1.1,,35.0,2.0,1.7
79,2016-03-20,-1.6,-0.1,-3.4,,35.0,3.0,7.9
80,2016-03-21,-0.9,2.3,-4.3,,33.0,1.0,6.4
81,2016-03-22,1.3,5.0,-2.3,,32.0,0.0,6.0
82,2016-03-23,-0.6,1.4,-3.8,,31.0,3.0,1.7
83,2016-03-24,-1.9,0.7,-6.1,,29.0,2.0,2.0
84,2016-03-25,-2.6,0.4,-5.6,,28.0,0.0,1.9
85,2016-03-26,-2.3,0.3,-7.0,,27.0,0.0,2.3
86,2016-03-27,3.6,9.1,-6.4,,25.0,0.0,2.5
87,2016-03-28,2.2,6.7,-3.7,,19.0,0.0,2.6
88,2016-03-29,0.7,4.3,-4.4,,15.0,1.0,2.5
89,2016-03-30,5.3,11.6,-0.6,,9.0,0.0,3.6
90,2016-03-31,3.6,7.6,-0.5,,0.0,0.0,2.0
91,2016-04-01,0.4,1.2,-0.3,,0.0,0.0,2.1
92,2016-04-02,2.2,7.2,-0.6,,0.0,0.0,1.5
93,2016-04-03,6.0,12.6,-0.3,,0.0,0.0,3.6
94,2016-04-04,5.3,11.2,-0.5,,0.0,0.0,3.0
95,2016-04-05,7.2,13.4,0.6,,0.0,0.0,5.0
96,2016-04-06,7.0,10.7,1.2,,0.0,0.0,7.2
97,2016-04-07,8.3,14.7,4.3,,0.0,0.0,4.8
98,2016-04-08,7.1,11.8,2.5,,0.0,0.0,3.3
99,2016-04-09,5.0,9.6,2.4,,0.0,0.0,6.6
100,2016-04-10,3.9,8.5,-2.1,,0.0,0.0,5.2
101,2016-04-11,0.6,3.4,-1.4,,22.0,22.0,6.1
102,2016-04-12,2.7,6.7,-1.4,,23.0,1.0,4.2
103,2016-04-13,4.5,9.1,1.4,,0.0,0.0,2.7
104,2016-04-14,3.5,6.4,1.6,,0.0,0.0,1.6
105,2016-04-15,1.2,2.6,0.2,,0.0,0.0,10.3
106,2016-04-16,4.1,9.3,1.2,,0.0,0.0,4.9
107,2016-04-17,3.9,8.3,1.7,,0.0,0.0,3.4
108,2016-04-18,0.5,2.6,-0.9,,1.0,1.0,6.5
109,2016-04-19,0.3,1.8,-0.9,,1.0,1.0,1.7
110,2016-04-20,5.6,12.5,-0.5,,0.0,0.0,3.1
111,2016-04-21,10.3,19.8,2.2,,0.0,0.0,3.8
112,2016-04-22,2.8,6.8,0.5,,0.0,0.0,2.3
113,2016-04-23,4.8,15.0,0.2,,0.0,0.0,2.2
114,2016-04-24,6.6,13.7,-0.4,,0.0,0.0,3.6
115,2016-04-25,3.2,6.8,-0.4,,0.0,0.0,2.1
116,2016-04-26,2.0,3.3,0.5,,0.0,0.0,2.3
117,2016-04-27,3.2,6.5,-0.6,,0.0,0.0,2.8
118,2016-04-28,6.1,11.1,0.6,,0.0,0.0,2.4
