,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,avg_wind_speed
0,2016-01-01,2.1,5.2,-0.5,0.5,0.0,7.4
1,2016-01-02,6.2,7.3,5.0,2.0,0.1,8.7
2,2016-01-03,3.2,6.4,1.7,0.0,0.6,6.8
3,2016-01-04,0.5,2.7,-1.5,1.5,0.1,5.0
4,2016-01-05,-0.6,1.5,-2.6,1.0,0.2,9.7
5,2016-01-06,0.9,2.9,-1.6,1.5,1.0,8.5
6,2016-01-07,-0.8,1.2,-2.0,1.5,0.4,8.1
7,2016-01-08,0.0,1.7,-1.5,6.5,0.2,7.9
8,2016-01-09,-0.8,1.0,-2.6,1.0,0.9,7.5
9,2016-01-10,-1.2,1.6,-5.5,3.5,0.9,8.6
10,2016-01-11,-5.6,-4.3,-6.7,3.0,0.0,8.1
11,2016-01-12,-3.5,-1.3,-5.6,5.5,0.2,8.0
12,2016-01-13,-1.4,0.5,-4.6,2.5,1.7,4.4
13,2016-01-14,-2.3,1.8,-3.8,3.5,0.5,7.8
14,2016-01-15,-1.8,-0.6,-3.3,0.0,1.1,7.2
15,2016-01-16,-2.6,-1.2,-4.2,2.0,0.2,7.2
16,2016-01-17,-2.0,-0.5,-3.5,0.5,0.4,4.4
17,2016-01-18,0.5,2.1,-2.7,13.0,0.0,11.4
18,2016-01-19,0.6,1.9,-1.4,6.0,0.0,6.3
19,2016-01-20,0.7,3.4,-1.1,2.5,5.8,3.1
20,2016-01-21,-0.5,1.0,-2.6,12.5,2.7,5.2
21,2016-01-22,-1.7,-0.3,-3.7,16.0,0.0,7.9
22,2016-01-23,-1.9,-0.5,-4.0,2.0,1.4,5.9
23,2016-01-24,-0.7,2.0,-3.6,3.5,2.7,4.4
24,2016-01-25,-1.8,0.2,-4.3,5.0,3.1,5.2
25,2016-01-26,2.0,3.5,-0.5,0.5,0.3,7.2
26,2016-01-27,1.4,4.0,-0.1,1.0,2.9,8.5
27,2016-01-28,0.0,2.6,-2.3,0.0,1.2,8.0
28,2016-01-29,-2.3,-1.0,-3.6,0.0,0.6,5.7
29,2016-01-30,-2.4,-0.2,-4.8,0.5,1.4,3.2
30,2016-01-31,-3.8,-2.3,-5.2,1.0,0.2,7.1
31,2016-02-01,-4.2,-3.3,-5.3,2.0,0.0,6.7
32,2016-02-02,-3.4,-2.4,-4.3,2.5,0.0,7.1
33,2016-02-03,-0.9,0.9,-3.5,0.0,0.0,6.2
34,2016-02-04,1.6,3.2,-0.4,2.0,1.8,5.6
35,2016-02-05,-0.2,2.2,-2.4,0.0,1.3,7.8
36,2016-02-06,-3.1,-1.1,-5.3,0.0,1.4,6.7
37,2016-02-07,-2.2,1.0,-5.4,2.5,1.6,8.6
38,2016-02-08,1.6,3.6,-0.3,1.0,6.6,4.4
39,2016-02-09,2.0,4.0,-0.6,4.5,1.3,6.0
40,2016-02-10,-0.9,1.1,-2.5,7.5,0.3,8.2
41,2016-02-11,0.5,2.5,-1.6,0.0,3.9,3.9
42,2016-02-12,4.5,7.1,0.7,0.0,4.7,2.0
43,2016-02-13,7.4,9.3,5.2,6.5,0.0,3.2
44,2016-02-14,6.7,11.0,0.5,19.0,0.0,6.5
45,2016-02-15,-4.3,1.1,-6.5,1.0,0.7,9.5
46,2016-02-16,-2.8,-0.3,-5.9,2.5,0.9,7.7
47,2016-02-17,-1.5,0.5,-4.4,0.5,0.9,8.9
48,2016-02-18,3.6,5.9,0.1,0.0,4.2,6.8
49,2016-02-19,4.8,8.2,2.8,3.5,1.8,5.8
50,2016-02-20,3.1,4.5,1.7,2.5,0.0,4.3
51,2016-02-21,1.2,5.0,-2.6,5.0,1.7,7.2
52,2016-02-22,-0.5,1.7,-1.9,0.0,2.7,6.9
53,2016-02-23,2.0,4.5,-1.6,1.0,1.6,4.7
54,2016-02-24,-3.8,-0.8,-5.7,2.5,0.8,6.4
55,2016-02-25,-3.1,-0.9,-5.8,1.0,0.6,6.3
56,2016-02-26,-2.3,-0.9,-3.9,1.5,2.3,5.7
57,2016-02-27,-1.4,0.5,-2.5,0.0,2.0,5.0
58,2016-02-28,0.1,3.1,-5.7,0.0,6.3,3.3
59,2016-02-29,3.5,7.9,-2.0,2.0,0.4,9.5
60,2016-03-01,-1.8,0.4,-3.4,2.0,1.4,9.9
61,2016-03-02,-0.4,1.6,-3.1,0.0,1.7,6.5
62,2016-03-03,1.5,3.8,-0.8,3.0,3.7,5.2
63,2016-03-04,1.6,4.3,-0.8,0.0,9.9,3.0
64,2016-03-05,1.8,4.7,-2.7,0.0,10.6,5.3
65,2016-03-06,8.2,10.6,2.7,23.5,0.0,5.3
66,2016-03-07,4.8,8.5,3.0,0.0,1.7,4.5
67,2016-03-08,4.8,9.0,1.0,2.5,1.1,6.4
68,2016-03-09,0.6,3.1,-1.8,0.0,2.6,5.9
69,2016-03-10,-0.2,2.3,-2.2,0.0,2.6,3.5
70,2016-03-11,-0.5,2.0,-2.7,0.0,4.3,6.3
71,2016-03-12,0.6,3.5,-1.2,0.0,4.7,3.7
72,2016-03-13,2.1,4.8,-1.3,2.5,1.2,3.2
73,2016-03-14,3.2,6.7,0.2,2.0,3.3,2.0
74,2016-03-15,3.3,5.6,-1.4,0.0,6.3,6.3
75,2016-03-16,7.6,9.8,3.1,0.0,3.6,8.1
76,2016-03-17,8.8,11.6,5.0,0.0,7.6,3.9
77,2016-03-18,10.4,15.1,6.5,0.0,6.1,2.1
78,2016-03-19,8.0,10.4,4.9,16.5,1.8,4.0
79,2016-03-20,4.2,7.3,0.3,0.0,7.3,4.5
80,2016-03-21,2.9,6.4,-0.5,0.0,2.6,4.7
81,2016-03-22,3.4,5.4,0.7,0.0,0.0,4.5
82,2016-03-23,3.9,6.5,0.3,0.0,1.6,6.0
83,2016-03-24,1.8,6.6,-2.2,4.0,4.9,3.4
84,2016-03-25,2.6,6.3,-2.4,2.5,7.6,4.5
85,2016-03-26,5.2,7.7,0.8,0.5,10.9,4.0
86,2016-03-27,7.6,9.7,5.9,0.0,9.6,5.9
87,2016-03-28,6.3,9.0,2.0,0.0,6.6,4.8
88,2016-03-29,8.5,12.1,2.5,0.0,7.9,2.6
89,2016-03-30,7.8,11.1,4.3,3.5,2.7,4.0
90,2016-03-31,6.3,9.0,2.9,0.0,9.0,5.2
91,2016-04-01,5.8,9.3,1.1,0.0,10.2,6.4
92,2016-04-02,7.2,9.3,5.6,0.0,7.5,9.1
93,2016-04-03,7.9,10.0,6.2,7.0,0.0,3.9
94,2016-04-04,6.6,10.1,3.7,0.0,5.8,3.5
95,2016-04-05,7.9,11.5,3.5,1.5,8.2,5.1
96,2016-04-06,8.4,11.0,5.2,0.0,12.3,6.1
97,2016-04-07,9.2,12.3,5.6,3.5,0.0,4.7
98,2016-04-08,7.4,10.2,4.2,2.5,0.8,3.6
99,2016-04-09,7.5,11.4,3.3,0.5,9.7,5.2
100,2016-04-10,5.0,8.9,2.1,0.0,9.3,4.0
101,2016-04-11,3.6,6.9,-0.1,1.5,6.3,4.9
102,2016-04-12,7.0,9.6,4.8,0.0,11.6,5.2
103,2016-04-13,9.6,13.0,5.4,7.5,1.9,2.9
104,2016-04-14,10.7,13.1,7.6,6.0,0.0,2.0
105,2016-04-15,5.8,7.8,4.6,2.0,2.1,7.5
106,2016-04-16,9.5,12.4,5.7,0.0,5.4,3.2
107,2016-04-17,10.9,13.8,7.7,10.5,0.0,8.3
108,2016-04-18,6.7,7.7,5.3,0.0,0.0,6.3
109,2016-04-19,6.4,7.6,5.6,0.0,0.1,5.1
110,2016-04-20,9.3,13.2,6.3,0.0,2.8,4.7
111,2016-04-21,12.4,16.0,10.6,3.0,4.5,3.4
112,2016-04-22,12.1,16.1,9.8,0.5,6.4,3.6
113,2016-04-23,10.1,13.6,5.5,5.5,0.3,4.1
114,2016-04-24,8.7,12.8,4.3,0.0,12.5,2.7
115,2016-04-25,9.9,14.5,4.2,0.0,12.5,2.0
116,2016-04-26,9.7,14.2,5.5,0.0,5.3,3.1
117,2016-04-27,9.0,13.0,4.7,0.0,13.2,2.9
118,2016-04-28,8.2,11.2,4.7,8.0,2.2,7.3
119,2016-04-29,6.6,10.3,4.6,8.0,2.5,5.0
120,2016-04-30,7.1,10.5,4.1,0.0,8.5,5.9
121,2016-05-01,9.2,12.8,4.6,0.0,11.7,3.3
122,2016-05-02,11.2,14.7,6.5,0.0,1.4,2.4
123,2016-05-03,19.3,24.9,13.8,0.0,9.6,3.4
124,2016-05-04,13.8,21.6,11.9,5.0,0.8,4.8
125,2016-05-05,10.9,12.9,9.6,0.0,0.0,5.6
126,2016-05-06,12.1,15.8,8.5,0.5,2.9,3.6
127,2016-05-07,11.0,14.9,9.5,25.0,0.7,5.6
128,2016-05-08,12.3,16.0,8.6,0.0,12.8,6.2
129,2016-05-09,12.9,16.4,8.3,0.0,11.0,2.8
130,2016-05-10,13.5,16.8,10.5,4.5,2.5,6.7
131,2016-05-11,10.0,12.0,8.9,15.5,0.0,10.0
132,2016-05-12,10.0,11.7,8.3,0.5,0.8,6.7
133,2016-05-13,13.8,19.7,9.4,0.0,10.5,2.9
134,2016-05-14,13.7,18.6,6.5,0.0,12.8,3.5
135,2016-05-15,14.5,18.1,12.1,0.0,10.0,8.0
136,2016-05-16,17.0,23.0,9.9,8.0,6.7,6.0
137,2016-05-17,12.9,15.8,9.7,3.5,4.5,2.9
138,2016-05-18,14.2,17.7,11.5,0.0,7.9,3.0
139,2016-05-19,15.8,21.5,9.1,0.0,12.0,1.8
140,2016-05-20,18.6,23.4,12.6,0.0,11.1,2.9
