,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,deepest_snowfall,total_snowfall,avg_wind_speed
0,2016-01-01,-1.3,-0.3,-3.0,0.0,0.0,44,0.0,2.1
1,2016-01-02,0.5,3.9,-3.3,7.5,0.1,47,8.0,2.5
2,2016-01-03,-0.3,1.4,-1.4,0.0,0.7,42,0.0,3.4
3,2016-01-04,-2.0,-0.6,-3.9,0.5,0.0,40,2.0,2.6
4,2016-01-05,-4.2,-1.9,-5.9,0.5,0.0,44,4.0,3.9
5,2016-01-06,-2.3,-0.2,-4.2,1.5,0.0,45,3.0,3.5
6,2016-01-07,-3.5,-2.2,-4.6,0.5,0.1,45,2.0,3.4
7,2016-01-08,-2.5,-1.3,-4.2,2.0,0.3,47,3.0,3.4
8,2016-01-09,-4.1,-2.5,-5.3,0.0,0.1,44,1.0,3.2
9,2016-01-10,-4.7,-1.3,-8.6,6.0,0.0,53,10.0,3.2
10,2016-01-11,-7.6,-6.3,-8.7,1.0,0.1,53,4.0,3.1
11,2016-01-12,-6.7,-5.9,-8.1,3.5,0.0,63,13.0,3.2
12,2016-01-13,-5.3,-2.8,-6.8,1.5,0.8,60,1.0,1.6
13,2016-01-14,-4.5,-2.7,-6.8,18.0,0.0,74,21.0,2.7
14,2016-01-15,-6.8,-3.4,-11.7,7.0,3.1,78,12.0,1.4
15,2016-01-16,-5.4,-2.8,-7.0,11.5,1.5,88,14.0,1.9
16,2016-01-17,-6.6,-3.4,-13.4,6.0,2.1,95,13.0,1.4
17,2016-01-18,-6.0,-0.6,-15.0,0.0,0.0,91,0.0,1.7
18,2016-01-19,-2.1,0.6,-4.4,2.0,0.0,82,1.0,
19,2016-01-20,-1.2,0.8,-6.0,1.0,0.9,77,3.0,2.3
20,2016-01-21,-3.1,-0.2,-6.7,3.5,1.1,80,7.0,1.7
21,2016-01-22,-4.8,-0.3,-10.6,4.0,3.0,82,9.0,1.4
22,2016-01-23,-6.5,-1.6,-10.6,0.5,7.4,82,1.0,1.0
23,2016-01-24,-6.6,0.0,-13.0,0.0,5.3,77,0.0,1.1
24,2016-01-25,-7.0,-3.1,-14.4,0.5,0.2,76,5.0,1.7
25,2016-01-26,-2.0,2.4,-4.8,0.5,0.9,75,2.0,1.4
26,2016-01-27,-1.5,-0.3,-2.6,6.0,1.3,82,11.0,3.4
27,2016-01-28,-3.2,-1.0,-5.6,0.0,0.0,77,0.0,3.8
28,2016-01-29,-5.3,-4.1,-7.7,0.0,0.2,74,1.0,2.9
29,2016-01-30,-7.2,-2.3,-12.9,2.5,6.0,79,9.0,1.5
30,2016-01-31,-6.3,-4.8,-7.7,3.5,0.4,85,11.0,3.1
31,2016-02-01,-6.9,-5.0,-8.4,3.0,0.5,90,11.0,2.3
32,2016-02-02,-6.0,-4.3,-8.2,3.5,0.2,93,5.0,2.2
33,2016-02-03,-4.5,-2.4,-7.4,0.0,0.2,90,1.0,1.8
34,2016-02-04,-2.5,0.4,-5.1,2.5,1.8,87,7.0,1.2
35,2016-02-05,-2.9,-0.8,-5.8,0.5,0.4,87,2.0,3.3
36,2016-02-06,-5.7,-3.7,-7.4,6.0,0.1,92,8.0,2.4
37,2016-02-07,-4.2,-1.6,-7.4,1.5,1.1,92,5.0,3.2
38,2016-02-08,-4.3,0.9,-9.7,0.0,8.2,89,0.0,1.4
39,2016-02-09,0.8,3.2,-2.1,2.5,2.5,84,4.0,2.9
40,2016-02-10,-2.5,0.2,-4.4,7.5,0.2,93,14.0,2.3
41,2016-02-11,-3.0,0.6,-7.1,0.0,6.5,92,0.0,1.5
42,2016-02-12,-1.3,4.8,-10.9,0.0,2.6,86,0.0,1.9
43,2016-02-13,2.8,5.7,1.1,0.5,0.0,80,0.0,1.6
44,2016-02-14,1.8,5.0,-2.0,4.5,0.0,70,3.0,2.5
45,2016-02-15,-7.0,-1.6,-9.5,3.5,0.2,78,13.0,4.1
46,2016-02-16,-6.0,-4.2,-8.2,8.5,0.9,94,20.0,2.6
47,2016-02-17,-4.4,-0.7,-6.0,8.5,0.0,102,10.0,3.5
48,2016-02-18,0.2,3.4,-2.8,0.5,1.5,93,2.0,2.4
49,2016-02-19,0.2,3.5,-4.3,5.5,0.3,84,0.0,2.0
50,2016-02-20,1.1,3.9,-2.8,3.0,4.2,80,8.0,1.5
51,2016-02-21,-0.3,2.5,-3.8,5.5,0.6,85,10.0,
52,2016-02-22,-3.5,-1.4,-5.7,0.0,0.1,85,0.0,3.3
53,2016-02-23,-3.0,0.0,-6.9,5.5,0.9,93,13.0,1.3
54,2016-02-24,-6.7,-4.4,-8.9,0.5,0.8,90,2.0,1.7
55,2016-02-25,-7.2,-3.7,-9.8,6.5,0.0,103,16.0,2.6
56,2016-02-26,-6.0,-3.6,-7.6,6.0,0.0,105,14.0,2.3
57,2016-02-27,-5.2,-2.8,-8.0,4.0,0.6,111,8.0,2.2
58,2016-02-28,-6.0,0.2,-15.7,0.0,10.0,102,0.0,1.1
59,2016-02-29,0.9,6.8,-7.4,8.5,4.0,101,5.0,4.9
60,2016-03-01,-2.5,0.0,-5.2,6.5,1.6,99,,4.3
61,2016-03-02,-4.1,-1.2,-5.9,8.0,0.1,112,16.0,2.0
62,2016-03-03,-2.9,2.6,-7.6,2.0,1.7,109,3.0,1.7
63,2016-03-04,-5.6,1.8,-12.5,0.0,6.2,103,0.0,1.3
64,2016-03-05,-5.2,3.6,-15.8,0.0,9.7,99,0.0,1.3
65,2016-03-06,3.3,6.5,-4.8,6.5,0.0,96,0.0,2.3
66,2016-03-07,3.1,5.4,-1.3,0.0,6.2,87,0.0,2.0
67,2016-03-08,2.1,7.8,-1.6,0.5,4.3,81,1.0,3.0
68,2016-03-09,-1.5,0.8,-4.2,0.0,1.2,77,3.0,3.1
69,2016-03-10,-4.2,0.0,-10.2,5.0,1.2,89,15.0,1.3
70,2016-03-11,-4.5,-1.6,-9.3,6.5,1.1,92,12.0,1.6
71,2016-03-12,-4.0,0.2,-9.8,3.0,4.2,96,4.0,1.4
72,2016-03-13,-4.2,2.6,-13.9,0.0,2.9,88,0.0,1.5
73,2016-03-14,-0.2,6.7,-7.1,0.5,5.9,84,0.0,1.1
74,2016-03-15,-0.1,2.9,-5.2,0.0,4.4,79,0.0,2.0
75,2016-03-16,2.8,9.4,-5.2,0.0,6.5,78,0.0,2.5
76,2016-03-17,4.0,13.2,-3.7,0.0,10.9,72,0.0,1.2
77,2016-03-18,6.7,13.5,-0.4,0.0,7.7,68,0.0,1.7
78,2016-03-19,2.9,5.5,1.4,0.5,0.0,62,0.0,1.7
79,2016-03-20,0.9,4.3,-5.0,0.0,4.2,59,2.0,2.4
80,2016-03-21,-0.8,3.2,-5.1,0.5,6.2,58,3.0,1.7
81,2016-03-22,-0.3,4.5,-8.6,0.0,4.4,54,0.0,1.9
82,2016-03-23,0.9,4.4,-3.7,0.0,4.6,54,3.0,1.8
83,2016-03-24,-0.4,3.9,-4.5,3.5,5.3,55,8.0,1.6
84,2016-03-25,-0.1,4.0,-4.8,1.0,2.6,52,1.0,1.7
85,2016-03-26,1.0,6.4,-4.3,0.0,10.0,50,1.0,1.5
86,2016-03-27,2.9,10.1,-5.5,0.0,10.7,44,0.0,1.9
87,2016-03-28,3.6,7.6,-3.2,0.0,10.3,37,0.0,1.8
88,2016-03-29,3.3,10.5,-4.8,0.0,6.1,31,0.0,1.3
89,2016-03-30,4.6,8.7,-1.7,3.0,2.1,25,0.0,2.0
