,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,avg_wind_speed
0,2016-01-01,-2.7,-0.5,-5.0,0.5,1.0,1.7
1,2016-01-02,0.3,2.9,-1.4,1.0,0.6,1.9
2,2016-01-03,-1.7,1.2,-5.5,0.0,3.7,1.3
3,2016-01-04,-4.1,-0.4,-10.4,0.0,1.7,1.5
4,2016-01-05,-6.5,-3.1,-12.5,0.0,2.4,1.5
5,2016-01-06,-3.2,0.0,-6.0,0.0,1.1,1.5
6,2016-01-07,-5.5,-1.6,-8.2,0.0,4.9,1.4
7,2016-01-08,-3.5,-0.5,-6.5,0.0,2.3,1.5
8,2016-01-09,-6.2,-2.7,-11.6,0.0,3.1,1.2
9,2016-01-10,-5.9,-2.3,-8.9,0.0,3.8,2.0
10,2016-01-11,-8.4,-4.7,-12.0,0.0,3.4,1.5
11,2016-01-12,-8.3,-4.5,-13.2,0.0,1.1,1.4
12,2016-01-13,-6.7,-1.6,-12.3,0.0,1.2,1.3
13,2016-01-14,-5.3,-1.3,-10.4,6.0,4.3,1.9
14,2016-01-15,-11.5,-7.6,-16.4,0.0,7.0,1.1
15,2016-01-16,-9.1,-2.4,-18.4,5.0,6.0,1.1
16,2016-01-17,-9.6,-3.2,-16.3,5.0,4.9,
17,2016-01-18,-10.8,-1.9,-18.4,1.5,0.0,
18,2016-01-19,-1.8,-0.4,-3.5,0.5,0.0,3.6
19,2016-01-20,-2.1,0.2,-7.1,0.0,5.9,4.6
20,2016-01-21,-6.1,-2.7,-11.3,3.5,0.8,1.6
21,2016-01-22,-6.5,-1.1,-12.2,2.0,1.0,1.0
22,2016-01-23,-6.7,-0.9,-15.5,0.0,6.1,1.0
23,2016-01-24,-9.2,-5.2,-13.0,0.0,6.1,2.2
24,2016-01-25,-10.6,-6.3,-18.1,0.0,5.6,1.2
25,2016-01-26,-0.6,3.7,-7.3,0.0,1.4,2.4
26,2016-01-27,-2.1,0.9,-4.6,0.5,6.0,2.4
27,2016-01-28,-5.5,-1.6,-7.9,1.0,3.3,3.2
28,2016-01-29,-6.7,-3.6,-10.0,2.5,5.0,2.2
29,2016-01-30,-10.8,-7.9,-13.4,0.0,5.8,0.9
30,2016-01-31,-8.8,-4.4,-14.9,1.0,6.3,1.3
31,2016-02-01,-9.7,-4.3,-16.2,0.0,7.7,1.4
32,2016-02-02,-7.0,-2.0,-15.2,1.0,3.4,2.1
33,2016-02-03,-6.1,-2.6,-9.6,3.0,6.1,1.1
34,2016-02-04,-1.6,1.9,-4.9,0.0,5.6,2.4
35,2016-02-05,-4.0,-0.6,-9.1,0.0,1.7,1.3
36,2016-02-06,-8.0,-2.3,-13.9,0.0,5.1,1.2
37,2016-02-07,-8.5,-2.5,-18.1,1.5,5.5,1.4
38,2016-02-08,-5.9,-3.2,-10.2,2.0,9.2,1.7
39,2016-02-09,0.6,4.1,-6.3,2.5,3.9,3.8
40,2016-02-10,-2.3,0.4,-6.1,4.5,2.5,5.1
41,2016-02-11,-4.7,-0.6,-10.9,0.0,4.8,1.9
42,2016-02-12,-2.2,3.1,-11.3,0.0,2.8,2.7
43,2016-02-13,3.9,6.2,1.5,0.5,0.0,2.6
44,2016-02-14,1.6,6.3,-2.3,10.0,0.0,2.5
45,2016-02-15,-6.6,-2.3,-11.7,2.0,4.4,2.9
46,2016-02-16,-7.5,-2.4,-11.9,0.0,6.4,1.7
47,2016-02-17,-5.4,-2.4,-8.1,0.5,4.3,2.1
48,2016-02-18,-0.9,3.1,-8.1,0.0,2.2,2.6
49,2016-02-19,2.4,5.6,-0.2,1.0,1.1,2.2
50,2016-02-20,0.5,3.7,-2.0,0.0,3.8,1.4
51,2016-02-21,-1.2,1.5,-3.3,5.0,1.2,4.4
52,2016-02-22,-4.2,-2.2,-7.0,1.0,2.6,2.6
53,2016-02-23,-2.8,1.3,-6.6,1.5,1.6,2.7
54,2016-02-24,-8.5,-5.9,-10.3,2.5,2.3,2.1
55,2016-02-25,-8.4,-1.7,-15.0,0.5,6.5,2.1
56,2016-02-26,-7.8,-2.7,-13.9,0.0,4.0,1.5
57,2016-02-27,-7.3,-2.0,-14.0,0.0,6.7,1.5
58,2016-02-28,-8.1,-1.5,-15.9,0.0,9.9,1.1
59,2016-02-29,-1.6,5.0,-11.6,9.0,1.0,3.7
60,2016-03-01,-3.2,-0.8,-5.7,1.5,3.2,4.6
61,2016-03-02,-5.0,-1.2,-9.8,2.0,4.8,1.3
62,2016-03-03,-7.1,-3.5,-12.3,0.5,0.0,2.1
63,2016-03-04,-8.2,-1.1,-16.4,0.0,9.3,1.2
64,2016-03-05,-6.7,1.6,-16.8,0.0,10.0,1.1
65,2016-03-06,3.9,6.9,-2.0,1.0,0.0,4.8
66,2016-03-07,3.4,6.7,-1.8,0.0,7.4,2.4
67,2016-03-08,1.3,5.8,-3.3,0.5,1.2,2.3
68,2016-03-09,-2.1,1.4,-6.2,0.0,6.2,2.4
69,2016-03-10,-3.4,1.0,-8.6,0.0,10.7,1.4
70,2016-03-11,-4.1,0.5,-8.1,0.0,6.0,1.7
71,2016-03-12,-4.1,0.8,-8.7,0.0,6.2,1.3
72,2016-03-13,-1.6,4.0,-9.6,0.0,7.0,2.2
73,2016-03-14,1.6,6.2,-1.8,0.5,8.4,2.1
74,2016-03-15,-0.7,2.7,-3.9,0.0,8.7,3.2
75,2016-03-16,2.8,9.9,-5.6,0.0,6.5,3.3
76,2016-03-17,6.2,11.2,-1.1,0.0,10.9,1.9
77,2016-03-18,7.9,11.6,4.4,0.0,0.4,3.6
78,2016-03-19,4.8,7.3,2.3,5.5,0.0,2.3
79,2016-03-20,0.3,2.7,-3.0,0.0,6.1,4.6
