Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,avg_wind_speed
0,2016-01-01,-4.3,-1.5,-6.3,0.5,0.9,2.1
1,2016-01-02,-1.1,1.0,-3.5,5.5,0.0,2.5
2,2016-01-03,-3.7,-2.8,-5.0,2.5,1.0,4.2
3,2016-01-04,-5.2,-3.3,-7.9,0.0,0.7,4.1
4,2016-01-05,-6.6,-5.7,-7.8,2.5,0.2,4.4
5,2016-01-06,-5.5,-3.6,-7.6,1.5,0.1,5.2
6,2016-01-07,-6.0,-5.1,-6.8,1.5,0.1,3.7
7,2016-01-08,-5.2,-3.9,-7.2,1.5,1.6,3.4
8,2016-01-09,-6.6,-5.4,-8.4,2.5,2.0,3.0
9,2016-01-10,-7.4,-5.8,-11.1,4.0,0.2,2.2
10,2016-01-11,-10.4,-8.1,-14.2,4.0,0.4,1.8
11,2016-01-12,-9.2,-8.1,-11.7,0.0,0.0,3.3
12,2016-01-13,-8.1,-6.4,-9.9,2.0,0.0,1.5
13,2016-01-14,-8.9,-6.9,-14.6,0.5,0.3,3.2
14,2016-01-15,-10.5,-7.2,-19.5,0.0,0.3,1.4
15,2016-01-16,-8.8,-5.2,-17.5,2.5,0.7,1.4
16,2016-01-17,-11.1,-6.0,-17.0,0.0,0.0,1.2
17,2016-01-18,-5.9,-1.6,-16.0,0.0,5.2,4.8
18,2016-01-19,-2.4,-1.4,-3.5,1.5,0.0,8.6
19,2016-01-20,-3.9,-2.2,-5.0,4.0,0.0,6.1
20,2016-01-21,-6.1,-2.3,-12.3,2.0,1.5,1.9
21,2016-01-22,-3.1,-0.4,-7.6,4.5,0.0,2.3
22,2016-01-23,-6.4,-4.2,-12.9,0.5,0.9,2.3
23,2016-01-24,-10.0,-7.2,-15.9,0.0,7.2,2.5
24,2016-01-25,-10.2,-4.2,-19.4,1.5,0.2,2.3
25,2016-01-26,-1.9,-0.6,-4.4,0.0,1.4,7.7
26,2016-01-27,-4.6,-2.4,-5.9,0.0,1.0,5.6
27,2016-01-28,-7.9,-4.9,-10.2,0.0,0.5,6.6
28,2016-01-29,-8.9,-7.3,-10.8,0.0,2.4,2.9
29,2016-01-30,-11.0,-7.5,-16.7,0.5,5.8,1.8
30,2016-01-31,-9.5,-8.0,-13.0,2.0,0.3,2.6
31,2016-02-01,-10.7,-9.2,-14.6,2.5,2.1,2.5
32,2016-02-02,-9.2,-6.2,-12.5,3.0,0.7,2.6
33,2016-02-03,-9.0,-5.6,-12.4,1.0,2.2,1.5
34,2016-02-04,-4.3,0.1,-12.1,2.0,3.1,3.0
35,2016-02-05,-5.5,-1.5,-10.7,0.0,2.5,5.1
36,2016-02-06,-8.6,-4.4,-15.1,4.0,5.2,2.8
37,2016-02-07,-8.7,-5.4,-14.6,3.5,2.8,3.4
38,2016-02-08,-9.3,-6.0,-11.2,3.5,2.8,1.8
39,2016-02-09,-3.7,-0.4,-10.9,8.5,1.0,3.5
40,2016-02-10,-3.4,-2.3,-4.6,3.0,0.9,5.6
41,2016-02-11,-6.2,-3.0,-11.7,2.0,0.5,1.5
42,2016-02-12,0.9,4.3,-8.1,1.5,0.0,5.9
43,2016-02-13,2.7,4.7,-0.4,2.0,0.0,3.8
44,2016-02-14,-5.6,-0.2,-8.6,4.5,0.0,6.0
45,2016-02-15,-8.6,-6.2,-13.4,6.0,1.3,3.6
46,2016-02-16,-8.0,-6.1,-11.2,0.0,1.0,3.7
47,2016-02-17,-7.5,-5.9,-10.2,0.5,0.8,6.5
48,2016-02-18,-3.7,-0.8,-7.6,0.0,1.4,5.4
49,2016-02-19,-2.7,0.9,-7.7,0.5,1.1,1.9
50,2016-02-20,-1.9,-0.4,-4.9,1.0,1.3,5.3
51,2016-02-21,-4.2,-2.1,-10.1,0.5,0.0,3.8
52,2016-02-22,-5.8,-3.2,-10.7,3.0,1.4,3.8
53,2016-02-23,-7.1,-2.9,-16.7,3.5,0.6,2.9
54,2016-02-24,-11.9,-9.0,-22.5,0.0,5.2,1.9
55,2016-02-25,-10.1,-7.5,-14.4,2.0,2.7,2.6
56,2016-02-26,-9.6,-6.3,-13.9,0.5,1.1,2.1
57,2016-02-27,-9.1,-5.2,-14.5,2.0,0.8,2.5
58,2016-02-28,-7.9,-3.0,-15.8,0.0,7.8,1.9
59,2016-02-29,-4.6,-2.4,-10.2,0.0,0.0,7.2
60,2016-03-01,-5.5,-2.3,-8.4,0.5,2.0,6.1
61,2016-03-02,-7.5,-4.6,-12.3,2.0,0.2,1.7
62,2016-03-03,-9.9,-3.6,-22.2,0.0,10.5,1.9
63,2016-03-04,-7.3,-1.2,-13.5,0.5,8.1,2.1
64,2016-03-05,-4.4,0.2,-11.9,0.0,10.2,2.2
65,2016-03-06,0.6,6.4,-5.0,10.5,0.0,3.6
66,2016-03-07,1.5,6.2,-3.1,0.5,3.5,5.3
67,2016-03-08,-0.1,3.8,-4.7,1.0,1.2,4.5
68,2016-03-09,-2.5,-0.4,-6.3,0.0,3.5,5.5
69,2016-03-10,-3.2,0.0,-8.1,0.0,3.1,3.5
70,2016-03-11,-4.9,-1.5,-9.6,2.0,3.4,2.4
71,2016-03-12,-4.2,-0.9,-10.4,0.0,5.9,2.8
72,2016-03-13,-1.0,1.1,-3.3,6.5,0.8,4.1
73,2016-03-14,-0.3,1.8,-6.7,4.5,0.2,3.3
74,2016-03-15,-5.3,-0.1,-11.8,0.0,8.6,2.6
75,2016-03-16,-0.4,4.3,-10.0,0.0,0.4,4.5
76,2016-03-17,2.7,5.3,0.0,0.0,8.0,2.1
77,2016-03-18,6.3,10.2,1.3,0.0,8.2,2.8
78,2016-03-19,2.1,6.7,-0.7,0.0,0.0,3.6
79,2016-03-20,-2.4,-0.6,-7.2,0.0,3.0,4.5
