,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,deepest_snowfall,total_snowfall,avg_wind_speed
0,2016-01-01,-7.6,-2.8,-13.3,0.0,0.6,53.0,1.0,0.7
1,2016-01-02,-3.2,-0.8,-6.7,13.5,0.0,62.0,17.0,
2,2016-01-03,-4.2,-2.2,-6.9,6.0,0.0,72.0,15.0,
3,2016-01-04,-5.6,-3.4,-8.0,3.5,0.1,75.0,9.0,0.9
4,2016-01-05,-7.5,-5.6,-11.4,6.0,0.0,78.0,10.0,
5,2016-01-06,-5.9,-3.3,-8.6,8.0,0.0,88.0,19.0,1.9
6,2016-01-07,-6.8,-5.5,-9.3,2.0,0.0,88.0,5.0,1.3
7,2016-01-08,-6.4,-4.2,-9.3,5.5,0.4,89.0,12.0,0.6
8,2016-01-09,-7.3,-5.3,-10.4,8.0,1.0,91.0,13.0,
9,2016-01-10,-8.0,-6.0,-17.8,8.5,0.0,99.0,10.0,
10,2016-01-11,-11.3,-8.2,-19.2,1.0,0.0,95.0,2.0,0.8
11,2016-01-12,-11.1,-8.2,-16.2,7.5,0.0,93.0,8.0,
12,2016-01-13,-9.6,-6.4,-13.8,2.0,0.0,92.0,3.0,
13,2016-01-14,-9.7,-6.5,-17.9,3.0,0.0,102.0,14.0,
14,2016-01-15,-15.3,-5.9,-23.5,0.0,3.4,97.0,1.0,0.5
15,2016-01-16,-12.2,-5.5,-21.1,1.5,0.9,94.0,4.0,0.3
16,2016-01-17,-14.6,-5.0,-26.2,0.0,5.1,89.0,0.0,0.5
17,2016-01-18,-9.0,-1.3,-22.0,0.0,4.0,84.0,0.0,3.2
18,2016-01-19,-2.0,-1.2,-3.0,6.0,0.0,74.0,2.0,8.4
19,2016-01-20,-3.4,-2.5,-4.3,5.0,0.0,73.0,12.0,6.2
20,2016-01-21,-6.5,-2.4,-10.9,0.0,2.0,73.0,0.0,1.5
21,2016-01-22,-4.4,-1.2,-10.3,8.5,0.0,88.0,19.0,1.9
22,2016-01-23,-7.0,-4.0,-15.7,0.5,0.2,88.0,1.0,1.3
23,2016-01-24,-14.1,-7.6,-22.3,0.0,1.7,86.0,2.0,1.0
24,2016-01-25,-13.9,-6.9,-26.2,0.0,0.5,83.0,4.0,0.5
25,2016-01-26,-2.5,0.0,-8.5,1.0,0.0,87.0,4.0,1.8
26,2016-01-27,-4.4,-1.8,-7.9,1.0,0.9,86.0,6.0,2.2
27,2016-01-28,-8.7,-4.2,-18.7,1.0,2.0,86.0,6.0,3.8
28,2016-01-29,-15.3,-6.7,-23.2,0.0,2.0,83.0,0.0,1.0
29,2016-01-30,-16.7,-5.9,-26.6,0.0,7.3,79.0,0.0,0.7
30,2016-01-31,-14.2,-7.8,-20.2,0.5,0.1,79.0,3.0,0.6
31,2016-02-01,-14.8,-8.5,-23.5,0.0,3.9,78.0,0.0,1.0
32,2016-02-02,-12.0,-6.4,-16.9,0.5,0.3,80.0,4.0,1.0
33,2016-02-03,-12.3,-4.9,-21.4,0.5,0.4,82.0,5.0,0.8
34,2016-02-04,-6.9,0.0,-20.9,1.0,2.2,83.0,4.0,0.7
35,2016-02-05,-5.1,-2.3,-9.0,0.0,3.4,83.0,2.0,2.4
36,2016-02-06,-11.3,-4.4,-21.1,0.5,2.6,80.0,3.0,1.5
37,2016-02-07,-11.3,-5.6,-23.9,4.0,3.5,88.0,10.0,0.9
38,2016-02-08,-13.1,-5.6,-22.2,0.5,5.7,88.0,2.0,0.6
39,2016-02-09,-9.2,-2.8,-17.1,2.5,0.0,86.0,6.0,0.7
40,2016-02-10,-3.5,-1.7,-7.7,2.0,1.4,90.0,9.0,2.0
41,2016-02-11,-9.1,-2.4,-16.9,0.0,4.6,92.0,2.0,0.9
42,2016-02-12,-1.5,4.8,-15.5,0.0,0.0,86.0,0.0,3.0
43,2016-02-13,3.5,6.7,-0.3,4.5,0.0,72.0,0.0,1.9
44,2016-02-14,-5.1,-0.1,-7.6,9.5,0.0,,,4.4
45,2016-02-15,-11.6,-5.5,-21.0,4.5,0.8,119.0,,1.6
46,2016-02-16,-9.8,-6.1,-17.7,7.0,0.0,120.0,12.0,
47,2016-02-17,-7.2,-5.3,-8.9,5.0,0.5,125.0,7.0,
48,2016-02-18,-4.8,-0.2,-11.5,0.5,1.4,116.0,0.0,2.4
49,2016-02-19,-3.8,0.5,-12.0,10.0,1.0,126.0,22.0,1.0
50,2016-02-20,-2.2,0.8,-6.4,0.5,3.3,123.0,0.0,3.2
51,2016-02-21,-3.8,-1.9,-5.4,4.0,0.0,126.0,17.0,3.7
52,2016-02-22,-6.6,-4.1,-11.0,4.0,0.6,128.0,10.0,1.3
53,2016-02-23,-7.4,-3.0,-18.7,8.0,0.1,139.0,12.0,
54,2016-02-24,-17.0,-10.1,-28.0,0.0,5.0,130.0,0.0,0.8
55,2016-02-25,-14.3,-7.0,-23.7,1.0,1.7,124.0,3.0,1.2
56,2016-02-26,-12.2,-5.5,-23.2,2.0,3.7,124.0,4.0,0.8
57,2016-02-27,-14.8,-4.3,-26.0,1.5,1.8,125.0,5.0,1.0
58,2016-02-28,-12.9,-2.6,-28.7,4.5,6.4,128.0,10.0,0.7
59,2016-02-29,-5.5,-1.3,-13.2,2.5,0.0,132.0,7.0,
60,2016-03-01,-6.0,-2.1,-11.5,3.0,1.0,137.0,11.0,3.9
61,2016-03-02,-11.1,-4.5,-22.4,0.0,2.4,125.0,0.0,1.0
62,2016-03-03,-16.1,-4.8,-26.2,0.0,10.2,122.0,0.0,1.0
63,2016-03-04,-13.1,-0.9,-22.9,0.0,5.8,117.0,0.0,1.3
64,2016-03-05,-9.3,-1.6,-19.7,0.5,7.9,118.0,5.0,1.2
65,2016-03-06,-1.2,5.1,-10.3,15.0,0.0,111.0,0.0,2.0
66,2016-03-07,2.2,6.0,-3.5,0.5,3.7,102.0,0.0,4.3
67,2016-03-08,-0.2,7.7,-7.1,4.0,3.4,94.0,2.0,2.4
68,2016-03-09,-2.0,0.5,-8.8,0.0,4.3,94.0,1.0,4.8
69,2016-03-10,-4.9,0.4,-12.8,0.5,5.1,94.0,2.0,2.0
70,2016-03-11,-5.3,-1.3,-13.7,6.0,2.2,105.0,15.0,1.3
71,2016-03-12,-7.4,-0.3,-15.2,0.0,9.0,104.0,0.0,
72,2016-03-13,-1.7,3.6,-9.9,0.5,3.9,102.0,6.0,1.5
73,2016-03-14,0.0,4.2,-6.6,2.0,2.4,96.0,0.0,1.3
74,2016-03-15,-4.3,0.9,-10.8,0.0,8.8,91.0,0.0,
75,2016-03-16,-0.2,6.9,-11.8,0.0,4.0,91.0,0.0,4.0
76,2016-03-17,3.3,7.4,-2.2,0.0,6.7,84.0,0.0,2.3
77,2016-03-18,3.4,13.6,-2.7,0.0,6.5,78.0,0.0,1.6
78,2016-03-19,2.6,6.2,-1.4,0.0,0.9,74.0,0.0,2.7
79,2016-03-20,-2.4,-0.2,-6.6,0.0,1.8,70.0,1.0,2.5
80,2016-03-21,-2.7,0.4,-6.9,0.0,0.0,70.0,0.0,2.5
81,2016-03-22,0.1,3.6,-5.8,1.5,8.7,71.0,6.0,3.7
82,2016-03-23,-1.1,2.9,-4.4,2.5,4.0,72.0,4.0,0.9
83,2016-03-24,-2.9,1.8,-6.8,0.0,4.3,68.0,0.0,1.9
84,2016-03-25,-1.8,1.9,-7.7,0.5,5.8,69.0,2.0,1.4
85,2016-03-26,-1.3,3.6,-7.8,0.0,10.8,67.0,0.0,1.3
86,2016-03-27,3.9,9.3,-3.8,6.0,9.1,64.0,0.0,3.3
87,2016-03-28,1.1,4.6,-5.4,3.0,9.9,56.0,0.0,2.3
88,2016-03-29,1.5,10.4,-7.4,0.0,9.0,53.0,0.0,1.4
89,2016-03-30,6.0,13.6,-1.3,0.5,4.4,49.0,0.0,2.0
90,2016-03-31,2.6,7.0,-2.2,0.5,3.6,44.0,0.0,2.2
91,2016-04-01,1.4,4.6,-0.7,0.0,4.6,40.0,0.0,1.8
92,2016-04-02,2.7,8.6,-2.0,0.0,7.6,36.0,0.0,2.1
93,2016-04-03,5.3,8.1,0.8,0.5,5.9,30.0,0.0,4.2
94,2016-04-04,3.6,8.1,-3.5,0.0,9.7,21.0,0.0,2.9
95,2016-04-05,2.5,8.8,-4.8,23.5,4.9,16.0,0.0,2.9
96,2016-04-06,5.0,8.6,-0.6,0.0,9.5,10.0,0.0,3.2
97,2016-04-07,6.7,12.7,2.0,0.0,7.5,6.0,0.0,1.9
98,2016-04-08,2.9,6.6,-2.1,3.0,0.1,2.0,0.0,1.4
99,2016-04-09,1.9,5.6,-2.6,2.0,0.3,1.0,1.0,2.5
100,2016-04-10,0.9,3.4,-4.0,3.5,2.7,3.0,3.0,2.3
101,2016-04-11,-0.7,2.1,-4.5,3.5,1.4,4.0,8.0,1.8
102,2016-04-12,1.2,7.1,-8.9,0.0,10.5,4.0,0.0,2.3
103,2016-04-13,3.0,5.2,0.7,7.5,0.0,0.0,0.0,1.3
104,2016-04-14,3.1,5.0,0.8,4.5,0.0,0.0,0.0,1.6
105,2016-04-15,0.5,1.2,-0.7,7.0,0.0,2.0,3.0,3.3
106,2016-04-16,2.6,8.2,-4.3,0.5,6.8,0.0,0.0,1.6
107,2016-04-17,2.9,7.5,0.3,16.5,0.1,0.0,0.0,1.8
108,2016-04-18,-0.4,0.4,-1.3,5.5,0.0,6.0,7.0,4.1
109,2016-04-19,0.5,3.6,-4.8,0.0,6.3,4.0,0.0,1.1
110,2016-04-20,6.3,12.1,-0.4,0.0,4.5,0.0,0.0,2.6
111,2016-04-21,8.1,12.3,0.0,0.0,4.9,0.0,0.0,3.8
112,2016-04-22,4.0,10.1,-1.0,0.0,10.8,0.0,0.0,1.7
113,2016-04-23,5.8,10.3,1.1,4.5,0.6,0.0,0.0,1.9
114,2016-04-24,6.8,11.9,0.0,0.0,4.6,0.0,0.0,2.7
115,2016-04-25,4.4,9.7,0.4,0.0,2.0,1.0,1.0,1.3
116,2016-04-26,1.8,5.4,-3.1,1.5,0.0,0.0,0.0,1.6
117,2016-04-27,2.8,9.9,-4.6,0.0,6.0,0.0,0.0,2.0
118,2016-04-28,5.8,14.0,-3.2,0.0,12.6,0.0,0.0,1.6
119,2016-04-29,1.9,5.4,-0.1,8.5,0.0,3.0,3.0,4.3
120,2016-04-30,1.8,3.3,-0.4,1.0,0.1,5.0,2.0,2.4
121,2016-05-01,3.6,8.3,-3.2,0.0,3.9,1.0,2.0,1.7
122,2016-05-02,5.9,14.8,-4.6,0.5,10.2,1.0,1.0,1.5
123,2016-05-03,14.5,24.8,5.4,0.0,9.0,1.0,1.0,3.3
124,2016-05-04,7.7,10.3,5.9,10.5,0.3,0.0,0.0,1.6
125,2016-05-05,7.6,10.2,4.2,7.0,0.0,0.0,0.0,2.7
126,2016-05-06,7.8,14.7,3.1,0.0,7.6,0.0,0.0,2.3
127,2016-05-07,8.7,15.7,4.9,8.0,0.9,0.0,0.0,4.0
128,2016-05-08,9.2,15.0,1.3,0.5,9.0,1.0,1.0,3.6
129,2016-05-09,9.0,17.6,-0.9,0.0,13.0,0.0,0.0,2.6
130,2016-05-10,10.5,18.1,-0.2,0.0,11.9,1.0,1.0,1.9
131,2016-05-11,9.0,13.4,5.2,1.5,0.0,0.0,0.0,2.7
132,2016-05-12,6.6,10.1,4.0,0.5,0.5,0.0,0.0,2.6
133,2016-05-13,13.2,24.3,3.9,0.0,10.3,0.0,0.0,3.6
134,2016-05-14,11.9,21.2,1.3,0.0,13.3,0.0,0.0,1.7
135,2016-05-15,13.0,22.0,2.1,0.0,6.3,0.0,0.0,1.5
136,2016-05-16,17.6,24.6,12.6,0.0,1.7,0.0,0.0,3.1
137,2016-05-17,14.6,18.7,10.5,2.5,10.8,0.0,0.0,5.3
138,2016-05-18,13.8,20.7,5.2,1.0,12.1,0.0,0.0,2.6
139,2016-05-19,16.9,26.6,3.6,0.0,12.5,0.0,0.0,3.0
140,2016-05-20,18.7,26.4,7.5,0.0,12.7,0.0,0.0,2.9
141,2016-05-21,17.9,29.8,5.7,0.0,12.9,0.0,0.0,2.0
142,2016-05-22,15.9,25.1,5.9,0.0,12.8,0.0,0.0,3.0
143,2016-05-23,13.6,22.8,4.5,0.0,7.4,0.0,0.0,2.1
144,2016-05-24,15.2,23.3,4.4,0.0,8.4,0.0,0.0,1.6
145,2016-05-25,15.6,23.1,11.0,2.0,3.0,0.0,0.0,3.3
146,2016-05-26,16.9,22.1,10.0,0.0,9.2,0.0,0.0,3.9
147,2016-05-27,15.8,19.1,10.8,0.0,9.9,0.0,0.0,3.5
148,2016-05-28,13.8,18.7,7.9,1.5,8.1,0.0,0.0,4.0
149,2016-05-29,10.3,16.0,2.5,0.0,11.0,0.0,0.0,2.4
150,2016-05-30,10.8,19.1,1.4,0.0,9.4,0.0,0.0,1.6
151,2016-05-31,9.2,14.1,6.2,15.0,2.9,0.0,0.0,2.1
152,2016-06-01,7.4,9.5,5.9,51.0,0.0,0.0,0.0,4.8
153,2016-06-02,6.6,10.0,3.3,8.0,2.0,0.0,0.0,3.1
154,2016-06-03,7.3,13.6,1.0,0.0,5.1,0.0,0.0,2.0
155,2016-06-04,5.4,10.6,0.3,7.0,0.3,0.0,0.0,1.1
156,2016-06-05,8.3,16.9,1.3,0.0,8.4,0.0,0.0,1.4
157,2016-06-06,12.4,20.7,0.8,0.0,8.8,0.0,0.0,1.5
158,2016-06-07,15.5,23.1,7.6,0.0,11.4,0.0,0.0,1.5
159,2016-06-08,14.1,19.0,6.9,0.0,0.1,0.0,0.0,1.0
160,2016-06-09,11.1,16.6,8.6,4.0,0.4,0.0,0.0,2.1
161,2016-06-10,10.9,15.2,7.8,0.0,0.1,0.0,0.0,1.7
162,2016-06-11,11.6,16.6,6.6,0.0,8.1,0.0,0.0,2.2
163,2016-06-12,11.7,20.7,4.5,0.0,11.7,0.0,0.0,1.5
164,2016-06-13,11.4,15.9,7.9,40.0,0.0,0.0,0.0,0.9
165,2016-06-14,14.8,16.6,12.5,13.0,0.0,0.0,0.0,0.9
166,2016-06-15,15.7,21.4,11.7,1.5,0.8,0.0,0.0,0.9
167,2016-06-16,15.6,23.3,8.3,1.5,10.7,0.0,0.0,1.9
168,2016-06-17,12.9,14.6,10.5,12.0,0.0,0.0,0.0,1.2
169,2016-06-18,11.0,12.8,9.7,2.0,0.0,0.0,0.0,1.6
170,2016-06-19,14.6,20.7,10.0,0.0,3.2,0.0,0.0,1.1
171,2016-06-20,14.8,21.8,10.7,0.5,0.5,0.0,0.0,1.5
172,2016-06-21,18.1,26.7,10.8,0.0,8.8,0.0,0.0,1.4
173,2016-06-22,15.8,21.8,9.4,0.0,10.4,0.0,0.0,1.9
174,2016-06-23,17.1,22.7,11.0,0.0,11.4,0.0,0.0,2.1
175,2016-06-24,12.8,17.3,8.2,0.0,0.0,0.0,0.0,1.3
176,2016-06-25,9.6,11.9,7.2,6.0,0.2,0.0,0.0,1.5
177,2016-06-26,9.2,10.9,7.3,3.5,0.0,0.0,0.0,2.2
178,2016-06-27,13.8,20.4,5.8,0.0,5.8,0.0,0.0,2.1
179,2016-06-28,18.4,25.1,10.5,0.0,12.1,0.0,0.0,2.3
180,2016-06-29,19.4,27.0,8.9,0.0,13.1,0.0,0.0,2.1
181,2016-06-30,20.5,28.9,11.4,0.0,13.1,0.0,0.0,2.0
182,2016-07-01,19.7,27.9,11.6,0.0,11.7,0.0,0.0,1.6
183,2016-07-02,19.5,24.4,13.3,14.5,2.4,0.0,0.0,1.1
184,2016-07-03,15.7,19.8,10.9,11.5,0.0,0.0,0.0,2.0
185,2016-07-04,10.2,11.3,9.0,14.5,0.0,0.0,0.0,4.2
186,2016-07-05,13.9,21.5,8.4,0.0,8.8,0.0,0.0,1.4
187,2016-07-06,16.0,25.9,8.3,0.0,11.5,0.0,0.0,1.8
188,2016-07-07,18.3,26.1,9.1,0.0,12.5,0.0,0.0,2.5
189,2016-07-08,19.4,24.8,16.2,0.0,6.6,0.0,0.0,4.2
190,2016-07-09,18.8,20.8,17.4,17.5,0.0,0.0,0.0,1.6
191,2016-07-10,15.2,18.9,11.9,0.0,0.0,0.0,0.0,2.1
192,2016-07-11,15.5,20.9,12.0,0.0,5.4,0.0,0.0,1.6
193,2016-07-12,17.5,26.4,11.8,0.0,11.0,0.0,0.0,1.4
194,2016-07-13,17.7,27.1,11.4,0.0,10.1,0.0,0.0,1.5
195,2016-07-14,17.2,22.4,13.7,0.0,7.8,0.0,0.0,2.0
196,2016-07-15,16.2,22.1,13.0,0.0,4.1,0.0,0.0,1.6
197,2016-07-16,16.5,23.2,12.5,0.0,6.6,0.0,0.0,1.7
198,2016-07-17,17.7,23.1,14.9,1.0,7.1,0.0,0.0,1.9
199,2016-07-18,16.9,20.3,14.6,7.0,0.1,0.0,0.0,1.5
200,2016-07-19,16.5,21.2,13.5,0.0,3.8,0.0,0.0,1.8
201,2016-07-20,17.9,24.7,12.6,0.0,9.7,0.0,0.0,1.6
202,2016-07-21,18.5,26.8,11.6,0.0,10.3,0.0,0.0,1.5
203,2016-07-22,19.7,26.7,13.5,0.0,5.0,0.0,0.0,1.0
204,2016-07-23,19.9,27.7,11.7,0.0,11.0,0.0,0.0,1.4
205,2016-07-24,20.3,28.6,13.0,0.0,9.3,0.0,0.0,1.4
206,2016-07-25,20.1,28.1,14.3,0.0,10.3,0.0,0.0,1.8
207,2016-07-26,17.6,22.7,13.9,0.0,8.7,0.0,0.0,2.1
208,2016-07-27,19.2,24.1,14.5,13.5,0.0,0.0,0.0,0.7
209,2016-07-28,21.5,24.2,18.2,21.5,0.0,0.0,0.0,1.9
210,2016-07-29,22.5,25.0,20.0,25.5,0.0,0.0,0.0,1.0
211,2016-07-30,24.1,28.5,21.6,1.0,0.0,0.0,0.0,1.5
212,2016-07-31,25.0,29.6,21.8,0.0,4.8,0.0,0.0,1.8
213,2016-08-01,24.5,30.0,20.4,0.0,2.7,0.0,0.0,0.9
214,2016-08-02,22.7,28.0,19.5,0.0,4.7,0.0,0.0,1.3
215,2016-08-03,23.7,29.6,20.7,0.0,3.4,0.0,0.0,2.1
216,2016-08-04,23.7,27.3,21.3,0.0,9.2,0.0,0.0,3.1
217,2016-08-05,21.0,26.2,14.4,6.5,9.0,0.0,0.0,1.9
218,2016-08-06,19.2,27.3,12.9,0.0,8.8,0.0,0.0,1.6
219,2016-08-07,22.3,31.9,12.4,0.0,9.6,0.0,0.0,1.3
220,2016-08-08,23.5,28.3,19.2,22.0,0.4,0.0,0.0,1.7
221,2016-08-09,18.8,22.9,16.0,0.0,5.6,0.0,0.0,2.8
222,2016-08-10,19.3,26.9,14.5,0.0,7.2,0.0,0.0,1.0
223,2016-08-11,20.4,27.7,13.6,0.0,9.2,0.0,0.0,1.2
224,2016-08-12,21.5,29.4,14.4,0.0,10.9,0.0,0.0,1.4
225,2016-08-13,23.2,30.7,17.2,0.0,8.3,0.0,0.0,0.9
226,2016-08-14,22.8,31.1,16.9,0.0,11.2,0.0,0.0,1.4
227,2016-08-15,20.4,22.2,19.4,4.0,0.3,0.0,0.0,1.5
228,2016-08-16,22.8,29.1,19.2,15.0,4.8,0.0,0.0,1.2
229,2016-08-17,21.0,23.3,19.4,56.5,0.0,0.0,0.0,1.6
230,2016-08-18,22.8,28.3,18.4,2.0,5.6,0.0,0.0,1.6
231,2016-08-19,21.4,26.3,17.6,0.5,0.0,0.0,0.0,0.6
232,2016-08-20,21.0,23.5,18.9,4.0,0.0,0.0,0.0,0.5
233,2016-08-21,21.5,26.3,18.8,3.5,4.1,0.0,0.0,1.2
234,2016-08-22,22.1,25.4,19.2,3.5,0.0,0.0,0.0,0.7
235,2016-08-23,20.5,24.7,14.7,27.5,2.1,0.0,0.0,1.6
236,2016-08-24,20.3,27.4,12.8,0.0,11.3,0.0,0.0,1.6
237,2016-08-25,21.8,29.7,13.3,0.0,9.8,0.0,0.0,1.4
238,2016-08-26,18.2,24.1,12.6,8.0,1.1,0.0,0.0,1.4
239,2016-08-27,15.3,23.3,9.4,0.0,11.4,0.0,0.0,1.3
240,2016-08-28,15.0,19.2,7.8,0.0,0.1,0.0,0.0,2.2
241,2016-08-29,20.5,23.5,17.2,3.0,0.1,0.0,0.0,2.5
242,2016-08-30,21.3,22.9,20.1,3.0,0.2,0.0,0.0,5.0
243,2016-08-31,23.0,29.6,19.2,1.0,3.5,0.0,0.0,2.2
244,2016-09-01,19.6,25.7,16.3,0.0,6.6,0.0,0.0,2.0
245,2016-09-02,17.2,19.4,15.9,0.0,0.0,0.0,0.0,1.9
246,2016-09-03,18.3,23.0,16.1,0.0,0.0,0.0,0.0,1.2
247,2016-09-04,18.2,19.9,16.6,5.5,0.0,0.0,0.0,0.8
248,2016-09-05,19.4,22.9,17.7,0.0,4.0,0.0,0.0,1.4
249,2016-09-06,19.9,22.9,17.0,21.0,0.0,0.0,0.0,0.8
250,2016-09-07,15.2,17.2,13.1,43.5,0.0,0.0,0.0,2.8
251,2016-09-08,14.6,16.9,13.0,2.0,0.0,0.0,0.0,2.1
252,2016-09-09,15.2,16.8,13.7,6.0,0.0,0.0,0.0,2.3
253,2016-09-10,14.0,15.4,12.0,5.5,0.0,0.0,0.0,2.5
254,2016-09-11,13.7,19.4,8.4,0.0,5.1,0.0,0.0,1.0
255,2016-09-12,12.1,20.4,6.8,0.0,7.2,0.0,0.0,0.9
256,2016-09-13,13.5,22.8,5.6,0.0,6.7,0.0,0.0,0.9
257,2016-09-14,16.6,24.0,10.7,0.0,6.0,0.0,0.0,1.0
258,2016-09-15,16.4,22.0,13.7,10.5,1.5,0.0,0.0,1.6
259,2016-09-16,16.7,20.0,13.0,17.0,1.1,0.0,0.0,1.2
260,2016-09-17,12.2,16.9,8.7,0.5,0.0,0.0,0.0,2.9
261,2016-09-18,10.5,17.8,4.6,0.0,4.2,0.0,0.0,0.9
262,2016-09-19,10.6,18.2,5.8,0.0,6.0,0.0,0.0,1.0
263,2016-09-20,11.7,19.8,4.4,1.0,7.0,0.0,0.0,1.5
264,2016-09-21,10.5,18.9,4.2,0.0,9.6,0.0,0.0,1.2
265,2016-09-22,12.1,21.7,3.0,0.0,6.9,0.0,0.0,1.1
266,2016-09-23,14.4,23.3,9.0,0.0,7.1,0.0,0.0,1.0
267,2016-09-24,15.6,24.6,9.0,0.0,7.6,0.0,0.0,1.4
268,2016-09-25,17.7,24.0,9.6,0.0,9.2,0.0,0.0,2.7
269,2016-09-26,17.1,21.4,10.2,1.0,9.6,0.0,0.0,3.2
270,2016-09-27,16.7,25.4,8.8,0.0,8.9,0.0,0.0,1.5
271,2016-09-28,15.3,21.5,7.4,13.5,0.3,0.0,0.0,1.9
272,2016-09-29,11.2,19.3,5.0,0.0,5.0,0.0,0.0,0.7
273,2016-09-30,13.6,20.0,3.5,0.0,7.1,0.0,0.0,2.6
274,2016-10-01,13.4,21.4,6.7,0.0,10.2,0.0,0.0,1.9
275,2016-10-02,16.0,21.1,6.0,0.0,3.9,0.0,0.0,3.3
276,2016-10-03,17.1,20.0,13.5,18.5,0.0,0.0,0.0,1.7
277,2016-10-04,11.0,16.3,3.0,9.5,0.8,0.0,0.0,4.2
278,2016-10-05,7.4,13.1,0.5,0.5,1.8,0.0,0.0,0.9
