Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation
0,2016-01-01,-3.3,0.0,-5.1,0.5
1,2016-01-02,-0.4,1.2,-3.1,1.0
2,2016-01-03,-3.4,-2.2,-4.2,2.0
3,2016-01-04,-4.7,-3.7,-5.3,0.0
4,2016-01-05,-6.5,-4.5,-7.6,0.0
5,2016-01-06,-5.4,-4.4,-6.6,1.0
6,2016-01-07,-5.9,-4.2,-7.1,1.0
7,2016-01-08,-4.9,-3.3,-6.1,0.0
8,2016-01-09,-6.4,-5.0,-7.6,1.0
9,2016-01-10,-7.2,-5.0,-8.8,4.0
10,2016-01-11,-9.6,-7.9,-11.0,2.5
11,2016-01-12,-9.4,-8.2,-10.6,0.0
12,2016-01-13,-7.4,-6.3,-8.7,0.5
13,2016-01-14,-7.1,-5.5,-8.8,3.0
14,2016-01-15,-7.3,-5.3,-8.4,0.0
15,2016-01-16,-6.2,-4.6,-8.1,6.5
16,2016-01-17,-5.8,-4.6,-7.0,0.5
17,2016-01-18,-3.0,-0.3,-6.0,0.0
18,2016-01-19,-1.4,-0.3,-3.0,0.5
19,2016-01-20,-2.4,-1.3,-3.8,2.5
20,2016-01-21,-3.4,-1.9,-4.2,14.0
21,2016-01-22,-2.0,-0.6,-3.6,16.0
22,2016-01-23,-5.0,-3.3,-6.4,0.0
23,2016-01-24,-7.2,-6.0,-8.6,4.0
24,2016-01-25,-7.2,-3.5,-9.4,2.0
25,2016-01-26,-2.4,-1.7,-3.6,0.0
26,2016-01-27,-4.6,-1.7,-6.2,0.0
27,2016-01-28,-8.0,-4.9,-10.0,1.0
28,2016-01-29,-8.9,-7.5,-9.9,0.0
29,2016-01-30,-8.4,-6.5,-11.0,1.0
30,2016-01-31,-9.5,-7.7,-10.8,1.0
31,2016-02-01,-10.1,-8.6,-11.5,2.0
32,2016-02-02,-7.8,-6.6,-9.0,0.5
33,2016-02-03,-6.0,-3.0,-8.7,0.5
34,2016-02-04,-1.2,0.2,-3.2,0.0
35,2016-02-05,-4.9,-0.9,-7.2,0.0
36,2016-02-06,-7.0,-4.7,-9.2,1.5
37,2016-02-07,-7.7,-4.7,-9.5,2.0
38,2016-02-08,-7.0,-3.3,-9.6,0.5
39,2016-02-09,-1.8,-0.2,-4.0,1.0
40,2016-02-10,-3.8,-1.8,-4.9,6.0
41,2016-02-11,-3.2,-0.5,-4.9,0.0
42,2016-02-12,3.8,5.7,-0.7,0.5
43,2016-02-13,3.9,6.4,0.0,3.0
44,2016-02-14,-4.3,0.0,-6.4,8.5
45,2016-02-15,-7.1,-4.7,-8.8,7.0
46,2016-02-16,-7.8,-6.0,-9.6,0.5
47,2016-02-17,-7.0,-5.8,-8.6,0.5
48,2016-02-18,-2.6,-1.0,-6.5,0.0
49,2016-02-19,-1.0,0.8,-2.5,0.0
50,2016-02-20,-1.4,-0.1,-3.1,1.0
51,2016-02-21,-2.9,-0.2,-4.6,2.5
52,2016-02-22,-4.9,-2.4,-6.7,3.5
53,2016-02-23,-6.9,-1.9,-10.7,0.0
54,2016-02-24,-9.8,-8.5,-10.5,1.5
55,2016-02-25,-7.8,-5.9,-9.1,1.0
56,2016-02-26,-7.6,-6.2,-8.7,0.0
57,2016-02-27,-6.7,-5.4,-8.0,2.0
58,2016-02-28,-4.9,-3.0,-8.1,0.0
59,2016-02-29,-2.7,-1.2,-5.1,1.0
60,2016-03-01,-4.9,-1.3,-6.4,2.5
61,2016-03-02,-5.1,-2.9,-6.6,0.5
62,2016-03-03,-4.6,-3.0,-6.3,1.0
63,2016-03-04,-2.5,-0.7,-6.5,0.0
64,2016-03-05,-0.9,0.0,-2.1,0.0
65,2016-03-06,2.5,5.8,-1.4,6.5
66,2016-03-07,2.2,5.2,0.8,0.5
67,2016-03-08,1.3,3.6,-2.3,1.5
68,2016-03-09,-1.6,-0.3,-3.1,0.0
