,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,avg_wind_speed
0,2016-01-01,-2.4,0.8,-4.5,0.0,0.2,3.3
1,2016-01-02,0.5,2.0,-1.9,1.0,0.3,3.8
2,2016-01-03,-2.2,-0.6,-3.1,0.0,0.6,5.3
3,2016-01-04,-3.5,-2.0,-4.4,0.0,0.8,5.8
4,2016-01-05,-5.3,-3.1,-6.3,0.5,0.0,6.4
5,2016-01-06,-4.1,-2.6,-5.6,1.5,0.0,5.2
6,2016-01-07,-4.6,-2.6,-5.9,0.0,0.0,4.8
7,2016-01-08,-3.7,-2.9,-4.9,0.0,3.5,4.8
8,2016-01-09,-5.2,-3.1,-6.3,1.0,2.3,5.0
9,2016-01-10,-6.0,-3.5,-8.3,1.0,0.4,4.0
10,2016-01-11,-8.1,-6.3,-9.9,0.0,0.2,4.8
11,2016-01-12,-8.0,-6.5,-9.3,0.5,0.0,4.7
12,2016-01-13,-6.5,-5.4,-7.6,3.5,0.0,2.8
13,2016-01-14,-6.9,-5.6,-7.9,6.0,0.4,5.8
14,2016-01-15,-6.3,-4.9,-7.5,0.0,0.5,3.4
15,2016-01-16,-5.7,-3.5,-8.5,6.0,1.3,3.0
16,2016-01-17,-5.1,-4.0,-6.6,0.0,0.1,2.8
17,2016-01-18,-4.0,-0.7,-8.5,0.0,4.4,2.3
18,2016-01-19,-1.9,-0.9,-3.2,5.5,0.0,7.5
19,2016-01-20,-2.4,-1.6,-3.6,0.0,0.0,8.4
20,2016-01-21,-2.7,-1.6,-4.0,1.5,0.3,5.2
21,2016-01-22,-1.6,-0.3,-3.0,14.5,0.0,4.7
22,2016-01-23,-4.7,-2.4,-6.3,0.5,1.2,4.8
23,2016-01-24,-7.4,-6.1,-9.1,0.0,7.3,3.7
24,2016-01-25,-6.3,-2.6,-9.2,1.0,0.4,3.7
25,2016-01-26,-1.4,-0.6,-2.9,0.0,0.9,5.3
26,2016-01-27,-3.6,-1.0,-5.2,0.0,0.2,4.8
27,2016-01-28,-6.5,-3.3,-8.8,0.0,0.2,6.4
28,2016-01-29,-7.7,-6.9,-9.0,0.0,1.0,4.3
29,2016-01-30,-7.9,-6.2,-9.3,5.5,3.2,2.8
30,2016-01-31,-8.3,-6.2,-9.7,0.5,0.6,4.1
31,2016-02-01,-9.0,-7.2,-10.7,0.5,0.1,3.5
32,2016-02-02,-6.8,-5.3,-9.2,0.0,0.5,4.1
33,2016-02-03,-5.1,-2.7,-7.7,0.0,1.3,3.2
34,2016-02-04,-0.6,1.0,-4.1,0.5,4.6,3.4
35,2016-02-05,-3.9,0.1,-5.9,0.0,1.7,5.5
36,2016-02-06,-6.0,-4.4,-7.9,0.0,2.2,4.4
37,2016-02-07,-6.6,-3.1,-8.7,0.0,1.3,4.7
38,2016-02-08,-6.7,-4.5,-9.1,0.0,0.9,2.1
39,2016-02-09,-1.1,2.8,-5.5,0.0,1.2,2.6
40,2016-02-10,-2.8,-1.0,-4.1,1.5,0.9,7.3
41,2016-02-11,-2.5,-0.1,-3.9,0.0,3.2,3.3
42,2016-02-12,4.2,5.7,-0.3,0.5,0.0,8.1
43,2016-02-13,4.1,6.3,0.4,2.5,0.0,5.6
44,2016-02-14,-4.0,0.5,-6.3,4.5,0.0,7.1
45,2016-02-15,-6.1,-3.8,-8.2,3.5,0.0,5.5
46,2016-02-16,-6.8,-4.7,-8.5,0.5,1.5,4.4
47,2016-02-17,-5.7,-4.2,-7.6,0.0,1.1,6.5
48,2016-02-18,-1.6,-0.1,-5.6,0.0,1.9,4.7
49,2016-02-19,-0.4,1.1,-2.6,5.0,2.2,1.9
50,2016-02-20,-1.0,1.1,-3.5,0.5,2.4,4.2
51,2016-02-21,-3.0,-1.2,-4.6,0.5,0.2,3.5
52,2016-02-22,-4.0,-1.5,-5.8,3.0,0.3,4.2
53,2016-02-23,-5.9,-1.2,-9.5,1.0,0.9,4.5
54,2016-02-24,-8.9,-7.5,-10.0,2.0,0.4,4.2
