,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,deepest_snowfall,total_snowfall,avg_wind_speed
0,2016-01-01,-8.1,-1.9,-13.2,0.0,8.1,12,0,1.3
1,2016-01-02,-3.6,1.1,-11.3,0.0,1.9,14,5,2.0
2,2016-01-03,-2.6,-1.1,-4.7,0.0,7.8,14,0,4.4
3,2016-01-04,-5.3,-2.4,-10.2,0.0,4.4,13,0,2.9
4,2016-01-05,-7.4,-4.4,-13.0,0.0,4.2,13,0,2.8
5,2016-01-06,-5.4,-2.4,-11.6,0.0,4.3,13,0,3.5
6,2016-01-07,-5.9,-2.7,-9.3,0.0,5.3,13,0,2.0
7,2016-01-08,-5.0,-2.3,-8.4,0.0,5.0,13,0,3.2
8,2016-01-09,-7.2,-3.2,-12.4,0.0,7.5,13,0,2.6
9,2016-01-10,-7.3,-2.7,-10.7,0.0,4.1,14,2,2.3
10,2016-01-11,-9.7,-6.9,-13.4,0.0,5.9,14,0,2.6
11,2016-01-12,-9.4,-6.6,-13.6,0.0,5.2,14,0,2.9
12,2016-01-13,-9.7,-3.3,-16.8,0.0,7.0,13,0,1.7
13,2016-01-14,-6.4,-2.5,-9.8,4.0,6.4,27,15,2.3
14,2016-01-15,-9.4,-6.4,-14.9,0.0,6.1,22,0,1.5
15,2016-01-16,-10.7,-4.8,-15.5,0.0,7.0,20,0,1.7
16,2016-01-17,-10.5,-4.1,-15.2,0.0,8.1,19,1,2.1
17,2016-01-18,-8.3,-5.0,-13.9,4.0,0.0,24,5,2.9
18,2016-01-19,-3.0,-1.8,-5.2,1.0,0.0,24,2,4.7
19,2016-01-20,-2.1,0.3,-4.2,0.0,1.1,21,0,3.6
20,2016-01-21,-6.8,-1.2,-12.7,0.0,8.1,20,2,1.3
21,2016-01-22,-7.0,-1.7,-13.9,0.0,3.7,20,4,1.3
22,2016-01-23,-5.6,-1.6,-11.9,0.0,7.9,20,2,1.2
23,2016-01-24,-9.2,-4.5,-12.5,0.0,7.3,20,4,1.9
24,2016-01-25,-12.1,-7.1,-17.8,0.0,9.0,20,0,1.3
25,2016-01-26,-3.7,0.4,-14.3,0.0,7.5,20,2,3.2
26,2016-01-27,-3.5,-0.4,-5.8,0.0,6.0,20,1,3.4
27,2016-01-28,-6.0,-2.5,-9.2,0.0,8.1,19,0,3.5
28,2016-01-29,-9.0,-4.5,-14.2,0.0,7.8,19,0,2.5
29,2016-01-30,-11.2,-7.2,-15.7,0.0,8.1,19,2,1.9
30,2016-01-31,-9.5,-4.7,-15.0,0.0,7.4,18,0,1.9
31,2016-02-01,-11.2,-5.6,-17.2,0.0,9.3,18,0,2.1
32,2016-02-02,-11.7,-5.0,-19.6,0.0,7.3,18,0,1.6
33,2016-02-03,-10.6,-5.3,-17.6,0.0,7.7,18,0,1.6
34,2016-02-04,-7.9,-2.5,-16.0,0.0,6.1,19,1,1.2
35,2016-02-05,-4.9,-1.4,-7.7,0.0,7.7,20,4,3.0
36,2016-02-06,-8.7,-3.8,-14.7,0.0,8.6,19,0,2.0
37,2016-02-07,-9.4,-4.6,-18.5,0.0,7.7,19,1,2.4
38,2016-02-08,-7.3,-3.9,-13.4,0.0,9.4,19,0,1.8
39,2016-02-09,-3.8,-1.3,-7.3,2.5,0.0,24,5,1.3
40,2016-02-10,-4.6,1.3,-13.2,0.0,6.9,24,0,1.6
41,2016-02-11,-6.6,-0.6,-14.1,0.0,9.7,22,1,1.3
42,2016-02-12,-7.0,-2.1,-14.0,0.0,5.3,22,1,1.5
43,2016-02-13,1.0,6.7,-5.5,0.5,0.3,21,0,1.6
44,2016-02-14,-0.6,3.9,-3.8,15.5,0.0,19,2,
