Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation
0,2016-01-01,-3.9,-0.4,-13.0,0.0
1,2016-01-02,-4.7,1.0,-11.8,0.0
2,2016-01-03,-1.5,1.2,-5.7,0.0
3,2016-01-04,-3.8,0.1,-7.7,0.0
4,2016-01-05,-5.8,-2.4,-10.6,0.0
5,2016-01-06,-3.6,-0.1,-9.2,0.0
6,2016-01-07,-4.1,-1.7,-5.7,0.0
7,2016-01-08,-4.0,0.1,-11.4,0.0
8,2016-01-09,-5.6,-2.1,-12.4,0.0
9,2016-01-10,-7.1,-0.5,-12.9,0.0
10,2016-01-11,-8.5,-5.2,-14.0,0.0
11,2016-01-12,-7.5,-3.9,-11.4,0.0
12,2016-01-13,-9.1,-2.1,-16.0,0.0
13,2016-01-14,-6.1,-1.8,-11.2,5.5
14,2016-01-15,-10.5,-4.9,-16.0,0.0
15,2016-01-16,-12.9,-4.7,-21.7,0.0
16,2016-01-17,-14.3,-4.6,-23.5,0.0
17,2016-01-18,-10.1,-4.6,-20.9,2.0
18,2016-01-19,-1.8,0.1,-4.8,2.0
19,2016-01-20,-1.9,-0.1,-4.3,0.0
20,2016-01-21,-4.5,-0.7,-14.1,0.0
21,2016-01-22,-7.2,0.7,-17.3,0.0
22,2016-01-23,-3.6,-0.1,-13.4,0.0
23,2016-01-24,-10.3,-4.5,-17.1,0.0
24,2016-01-25,-11.5,-4.4,-22.0,0.0
25,2016-01-26,-6.1,1.4,-15.6,0.0
26,2016-01-27,-5.2,0.3,-13.7,0.0
27,2016-01-28,-5.1,-1.4,-8.8,0.0
28,2016-01-29,-7.4,-4.0,-13.6,0.0
29,2016-01-30,-13.6,-5.9,-19.8,0.0
30,2016-01-31,-9.2,-3.4,-20.0,0.0
31,2016-02-01,-9.1,-5.0,-16.4,0.0
32,2016-02-02,-12.3,-4.0,-24.4,0.0
33,2016-02-03,-9.8,-3.4,-18.6,0.0
34,2016-02-04,-9.7,-2.1,-15.2,0.0
35,2016-02-05,-5.0,0.3,-13.6,0.0
36,2016-02-06,-7.6,-1.4,-15.9,0.0
37,2016-02-07,-7.1,-3.2,-15.1,0.0
38,2016-02-08,-5.4,-2.4,-7.7,0.0
39,2016-02-09,-3.9,-0.7,-6.4,3.0
40,2016-02-10,-2.6,2.0,-6.3,0.0
41,2016-02-11,-5.0,0.9,-15.1,0.0
42,2016-02-12,-8.8,-1.7,-18.0,0.0
43,2016-02-13,-1.8,2.8,-11.4,0.0
44,2016-02-14,0.1,3.0,-2.4,11.5
45,2016-02-15,-5.7,0.1,-12.5,0.0
46,2016-02-16,-8.6,-2.7,-13.6,0.0
47,2016-02-17,-7.3,-0.8,-16.7,0.0
48,2016-02-18,-2.2,3.2,-8.4,0.0
49,2016-02-19,-1.0,6.2,-11.5,0.0
50,2016-02-20,0.9,3.4,-1.8,4.0
51,2016-02-21,-1.5,1.7,-4.5,5.0
52,2016-02-22,-4.3,-1.2,-12.5,0.0
53,2016-02-23,-8.3,-2.7,-18.3,0.0
54,2016-02-24,-9.0,-3.9,-17.8,0.0
55,2016-02-25,-11.7,-3.0,-22.4,0.0
56,2016-02-26,-10.1,-0.7,-21.2,0.0
57,2016-02-27,-9.6,-1.8,-19.1,0.0
58,2016-02-28,-10.1,-1.2,-21.8,0.0
59,2016-02-29,-6.8,-3.0,-14.6,24.0
60,2016-03-01,-5.2,-0.3,-11.5,0.5
61,2016-03-02,-7.3,-0.7,-15.0,0.0
62,2016-03-03,-10.1,-3.5,-20.1,1.0
63,2016-03-04,-9.5,1.0,-22.3,0.0
64,2016-03-05,-9.3,2.5,-22.0,0.0
65,2016-03-06,-5.3,-1.2,-13.1,0.0
66,2016-03-07,3.1,7.8,-1.7,0.0
67,2016-03-08,1.1,4.4,-2.1,0.0
68,2016-03-09,-1.8,1.3,-8.5,0.0
69,2016-03-10,-6.7,1.7,-16.5,0.0
70,2016-03-11,-6.3,1.6,-17.3,0.0
71,2016-03-12,-5.7,1.2,-16.5,0.0
72,2016-03-13,-5.6,1.8,-16.2,0.0
73,2016-03-14,-2.2,5.9,-11.2,0.0
74,2016-03-15,-2.1,2.9,-6.8,0.0
75,2016-03-16,2.7,8.0,-5.5,0.0
76,2016-03-17,6.0,11.6,-3.0,0.0
77,2016-03-18,2.0,10.0,-5.8,0.0
78,2016-03-19,1.4,6.5,-3.3,0.5
79,2016-03-20,0.4,3.2,-4.7,0.0
80,2016-03-21,-1.2,3.1,-5.4,0.0
81,2016-03-22,-0.2,5.8,-6.4,0.0
82,2016-03-23,0.0,6.3,-8.3,0.0
83,2016-03-24,-1.0,4.9,-7.2,5.0
84,2016-03-25,-3.1,4.8,-13.7,0.0
85,2016-03-26,-0.1,6.3,-7.8,0.0
86,2016-03-27,2.0,9.6,-7.8,0.0
87,2016-03-28,3.6,10.5,-2.5,0.0
88,2016-03-29,2.0,9.1,-5.4,0.0
89,2016-03-30,3.4,6.1,0.5,0.0
90,2016-03-31,5.3,10.0,0.2,0.0
91,2016-04-01,2.7,9.3,-3.1,0.0
92,2016-04-02,1.4,5.4,-0.3,0.0
93,2016-04-03,4.3,10.3,0.4,1.0
94,2016-04-04,5.9,11.5,-2.9,0.0
95,2016-04-05,5.3,15.0,-4.5,0.0
96,2016-04-06,6.4,11.9,-1.7,0.0
97,2016-04-07,5.6,12.5,-3.2,4.5
98,2016-04-08,6.6,11.2,3.5,7.5
99,2016-04-09,4.3,11.7,-0.7,0.0
100,2016-04-10,4.1,8.1,0.2,0.0
101,2016-04-11,1.6,7.8,-3.7,0.0
102,2016-04-12,5.0,9.9,-1.4,0.0
103,2016-04-13,6.9,12.5,-0.1,0.0
104,2016-04-14,10.1,17.3,4.7,1.5
105,2016-04-15,5.4,8.3,1.9,0.0
106,2016-04-16,7.8,14.1,1.4,0.0
107,2016-04-17,4.3,7.2,3.5,5.5
108,2016-04-18,6.7,11.2,0.0,0.0
109,2016-04-19,1.4,4.4,-0.4,0.0
110,2016-04-20,6.7,15.8,-0.1,0.0
111,2016-04-21,11.9,20.8,-0.9,0.0
112,2016-04-22,9.1,18.4,-0.5,0.0
113,2016-04-23,1.0,3.5,-3.3,4.5
114,2016-04-24,7.9,16.0,-1.6,0.0
115,2016-04-25,9.0,17.4,-0.9,0.0
116,2016-04-26,6.8,14.7,0.1,0.0
117,2016-04-27,5.4,15.7,-2.6,0.0
118,2016-04-28,4.9,10.7,0.1,4.0
119,2016-04-29,1.7,4.2,0.2,10.0
120,2016-04-30,3.4,7.3,1.3,0.0
121,2016-05-01,6.3,13.6,-1.4,0.0
122,2016-05-02,7.0,16.0,-5.5,0.0
123,2016-05-03,12.5,23.4,2.2,0.0
124,2016-05-04,13.1,16.3,8.5,1.0
125,2016-05-05,12.3,17.2,6.7,0.5
126,2016-05-06,12.5,19.1,7.3,0.5
127,2016-05-07,9.3,14.2,5.8,2.0
128,2016-05-08,13.1,17.9,7.7,0.0
129,2016-05-09,14.4,22.9,2.1,0.0
130,2016-05-10,11.2,15.1,7.0,0.0
131,2016-05-11,6.9,8.7,5.1,32.5
132,2016-05-12,10.7,15.6,5.3,0.0
133,2016-05-13,14.5,21.6,4.1,0.0
134,2016-05-14,13.9,22.9,4.5,0.0
135,2016-05-15,10.1,17.7,-0.4,0.0
136,2016-05-16,7.0,9.5,1.7,1.0
137,2016-05-17,14.4,20.7,9.5,1.0
138,2016-05-18,15.7,24.2,5.4,0.0
139,2016-05-19,13.4,23.2,2.2,0.0
140,2016-05-20,16.9,29.6,3.6,0.0
141,2016-05-21,17.5,29.9,4.7,0.0
142,2016-05-22,20.7,33.1,5.9,0.0
143,2016-05-23,17.7,29.2,7.2,0.0
144,2016-05-24,13.4,20.4,8.2,0.0
145,2016-05-25,11.6,16.7,8.1,2.5
146,2016-05-26,18.8,25.5,9.7,0.0
147,2016-05-27,18.1,24.2,12.2,0.0
148,2016-05-28,16.6,25.8,4.4,5.5
149,2016-05-29,13.4,22.6,4.1,0.0
150,2016-05-30,9.7,16.3,4.2,0.0
151,2016-05-31,10.1,12.0,7.4,13.5
152,2016-06-01,10.3,14.5,5.5,17.0
153,2016-06-02,9.1,13.6,3.0,0.0
154,2016-06-03,10.5,17.4,1.8,0.0
155,2016-06-04,6.8,8.5,3.4,6.0
156,2016-06-05,10.7,16.4,6.8,0.0
157,2016-06-06,14.6,23.0,4.2,0.0
158,2016-06-07,16.6,26.3,8.9,0.0
159,2016-06-08,15.4,22.6,7.9,0.0
160,2016-06-09,16.5,20.4,14.2,22.0
161,2016-06-10,18.2,23.2,13.6,0.0
162,2016-06-11,16.9,25.0,10.1,0.0
163,2016-06-12,9.7,12.0,6.8,0.0
164,2016-06-13,10.9,12.7,8.2,11.0
165,2016-06-14,12.7,13.9,11.9,10.5
166,2016-06-15,12.1,14.1,10.6,0.0
167,2016-06-16,12.2,14.8,10.6,26.0
168,2016-06-17,12.5,14.0,11.3,39.5
169,2016-06-18,14.3,18.7,11.8,3.5
170,2016-06-19,13.9,16.7,11.5,0.5
171,2016-06-20,15.0,17.2,13.1,21.0
172,2016-06-21,16.2,19.5,14.8,14.5
173,2016-06-22,16.0,20.4,12.8,4.0
174,2016-06-23,12.7,14.3,11.0,7.5
175,2016-06-24,12.9,17.8,9.0,0.0
176,2016-06-25,11.8,13.3,10.5,10.5
177,2016-06-26,12.5,14.6,10.7,1.5
178,2016-06-27,15.2,23.3,9.1,0.0
179,2016-06-28,17.2,25.5,8.0,0.0
180,2016-06-29,19.7,29.2,14.6,0.0
181,2016-06-30,18.3,25.5,12.6,0.0
182,2016-07-01,20.9,28.4,16.3,0.0
183,2016-07-02,17.9,21.0,15.7,19.5
184,2016-07-03,21.2,26.8,17.4,0.0
185,2016-07-04,15.4,18.9,10.6,0.0
186,2016-07-05,12.6,20.5,6.2,0.0
187,2016-07-06,12.0,15.8,8.6,0.0
188,2016-07-07,15.2,23.3,8.1,0.0
189,2016-07-08,16.7,25.3,7.4,0.0
190,2016-07-09,18.1,26.4,11.1,0.0
191,2016-07-10,19.4,28.8,15.0,21.0
192,2016-07-11,18.3,22.9,15.9,5.5
193,2016-07-12,19.3,26.7,11.7,0.0
194,2016-07-13,18.3,22.5,14.3,0.0
195,2016-07-14,15.6,18.7,13.9,0.5
196,2016-07-15,18.4,23.6,14.8,0.0
197,2016-07-16,19.4,27.6,16.0,0.0
198,2016-07-17,16.9,18.8,15.5,1.5
199,2016-07-18,17.3,19.9,16.0,1.5
200,2016-07-19,16.8,19.5,15.1,35.0
201,2016-07-20,18.6,24.6,15.0,1.0
202,2016-07-21,18.4,25.3,14.7,0.0
203,2016-07-22,15.7,19.1,13.6,0.0
204,2016-07-23,15.8,19.5,13.6,0.0
205,2016-07-24,16.1,19.2,14.1,0.0
206,2016-07-25,16.7,20.3,13.7,0.5
207,2016-07-26,17.2,21.0,15.5,0.0
208,2016-07-27,17.8,20.5,15.9,30.0
209,2016-07-28,20.4,22.1,18.2,30.0
210,2016-07-29,20.7,23.0,19.2,2.5
211,2016-07-30,21.8,27.5,19.3,0.5
212,2016-07-31,22.1,25.5,19.7,0.5
213,2016-08-01,22.7,26.6,20.5,4.0
214,2016-08-02,25.1,32.1,21.3,0.5
215,2016-08-03,23.7,31.2,20.3,0.0
216,2016-08-04,25.3,31.6,20.1,0.0
217,2016-08-05,23.6,30.1,16.3,0.0
218,2016-08-06,21.4,31.2,11.8,0.0
219,2016-08-07,21.6,29.3,14.6,0.0
220,2016-08-08,23.4,28.1,20.3,1.0
221,2016-08-09,21.6,23.7,17.6,5.5
222,2016-08-10,20.8,29.0,15.2,0.0
223,2016-08-11,20.3,28.9,12.6,0.0
224,2016-08-12,21.1,28.1,16.8,0.0
225,2016-08-13,20.5,26.0,17.8,0.0
226,2016-08-14,21.3,26.8,16.3,0.0
227,2016-08-15,23.4,29.6,19.9,2.0
228,2016-08-16,21.7,23.2,19.4,3.5
229,2016-08-17,22.2,23.4,20.9,81.0
230,2016-08-18,22.7,29.1,16.5,0.5
231,2016-08-19,22.0,25.8,20.8,2.0
232,2016-08-20,22.4,24.2,21.2,20.0
233,2016-08-21,22.3,23.7,21.0,24.0
234,2016-08-22,23.2,27.4,19.0,12.0
235,2016-08-23,23.5,28.2,19.2,11.0
236,2016-08-24,22.1,29.7,14.2,0.0
237,2016-08-25,21.4,24.1,18.9,0.0
238,2016-08-26,20.6,23.3,16.2,33.0
239,2016-08-27,18.5,24.3,11.8,0.5
240,2016-08-28,16.6,20.3,11.2,2.5
241,2016-08-29,21.2,24.0,17.5,16.0
242,2016-08-30,22.3,23.6,20.9,44.5
243,2016-08-31,22.8,26.6,21.3,25.0
244,2016-09-01,23.2,27.9,20.4,0.0
245,2016-09-02,21.7,27.2,18.8,0.0
246,2016-09-03,20.5,24.4,18.7,0.0
247,2016-09-04,19.7,22.6,18.5,0.0
248,2016-09-05,19.7,22.8,18.0,2.0
249,2016-09-06,20.6,22.8,19.2,10.0
250,2016-09-07,22.8,28.7,16.7,0.0
251,2016-09-08,15.4,17.8,13.2,12.0
252,2016-09-09,15.7,18.8,12.8,50.5
253,2016-09-10,18.8,26.0,11.6,0.0
254,2016-09-11,16.5,23.8,9.8,0.0
255,2016-09-12,15.6,19.9,13.2,0.0
256,2016-09-13,15.9,19.4,13.6,0.0
257,2016-09-14,15.3,18.5,10.9,0.0
258,2016-09-15,18.9,27.3,12.4,0.0
259,2016-09-16,17.8,21.8,14.5,0.0
260,2016-09-17,15.6,23.6,10.3,4.5
261,2016-09-18,11.4,13.2,9.7,10.5
262,2016-09-19,14.2,21.5,8.2,0.5
263,2016-09-20,12.0,20.6,4.5,0.0
264,2016-09-21,12.9,20.8,3.4,0.0
265,2016-09-22,13.8,19.7,6.5,0.0
266,2016-09-23,14.6,17.0,12.6,17.0
267,2016-09-24,16.9,23.5,13.1,0.0
268,2016-09-25,18.1,23.4,13.8,0.0
269,2016-09-26,18.4,25.4,12.2,0.0
270,2016-09-27,15.1,22.8,8.9,0.0
271,2016-09-28,15.9,24.1,10.3,0.5
272,2016-09-29,12.3,14.3,7.8,1.5
273,2016-09-30,12.9,20.1,7.0,0.0
274,2016-10-01,15.3,23.8,7.0,0.0
275,2016-10-02,15.3,24.2,5.4,0.0
276,2016-10-03,13.8,16.9,9.6,9.5
277,2016-10-04,14.2,18.7,8.6,1.0
278,2016-10-05,9.9,15.7,1.2,4.5
279,2016-10-06,11.3,17.1,6.2,7.0
280,2016-10-07,8.4,12.1,4.5,0.5
281,2016-10-08,8.9,13.5,2.2,2.0
282,2016-10-09,11.0,16.1,7.7,0.0
283,2016-10-10,7.8,12.1,3.7,0.0
284,2016-10-11,8.1,15.0,-0.7,1.5
285,2016-10-12,7.9,12.7,3.5,0.0
286,2016-10-13,8.3,13.5,1.6,0.0
287,2016-10-14,7.4,13.9,-0.8,0.0
288,2016-10-15,8.9,16.6,-2.5,0.0
289,2016-10-16,15.6,21.5,8.4,0.0
290,2016-10-17,11.4,15.7,6.6,0.0
291,2016-10-18,13.4,18.6,7.5,0.0
292,2016-10-19,8.8,18.9,0.7,0.0
293,2016-10-20,5.0,14.2,-1.0,4.0
294,2016-10-21,3.9,6.8,0.2,0.0
295,2016-10-22,4.0,9.4,-1.8,0.0
296,2016-10-23,4.5,8.1,0.2,0.0
297,2016-10-24,3.2,7.5,0.3,0.0
298,2016-10-25,7.1,12.4,3.0,0.0
299,2016-10-26,9.4,18.1,1.9,3.5
300,2016-10-27,4.7,7.8,2.4,0.0
301,2016-10-28,6.5,9.6,3.5,0.0
302,2016-10-29,3.0,6.0,-0.8,0.0
303,2016-10-30,1.3,5.3,-4.6,0.0
304,2016-10-31,1.4,5.8,-5.1,4.5
305,2016-11-01,1.8,4.6,-0.5,0.0
306,2016-11-02,0.8,4.6,-2.4,0.0
307,2016-11-03,-0.1,2.5,-4.6,17.0
308,2016-11-04,1.0,3.0,-0.4,0.0
309,2016-11-05,-0.4,2.4,-2.5,18.0
310,2016-11-06,0.4,3.0,-2.1,0.0
311,2016-11-07,-3.2,1.7,-10.2,0.0
312,2016-11-08,-0.6,4.0,-4.6,5.0
313,2016-11-09,0.2,3.6,-2.3,0.0
314,2016-11-10,-0.6,2.1,-3.9,0.0
315,2016-11-11,-2.1,1.3,-7.4,2.0
316,2016-11-12,1.2,6.9,-3.6,6.0
317,2016-11-13,1.9,7.9,-4.1,0.0
318,2016-11-14,1.8,6.0,-3.7,0.0
319,2016-11-15,2.9,10.4,-1.8,3.0
320,2016-11-16,0.1,2.6,-2.6,0.0
321,2016-11-17,-0.9,2.4,-4.7,0.0
322,2016-11-18,3.5,8.5,-3.8,0.0
323,2016-11-19,6.5,11.7,-1.2,0.0
324,2016-11-20,4.1,11.0,0.2,0.0
325,2016-11-21,-0.6,1.8,-3.2,0.0
326,2016-11-22,0.3,3.9,-1.6,0.0
327,2016-11-23,-5.8,-1.5,-9.0,0.0
328,2016-11-24,-6.9,-1.4,-12.9,0.0
329,2016-11-25,-6.2,0.4,-12.6,0.0
330,2016-11-26,-1.9,1.6,-5.5,0.0
331,2016-11-27,-1.2,2.7,-4.1,0.0
332,2016-11-28,0.3,4.4,-6.1,0.0
333,2016-11-29,-1.3,3.1,-7.4,0.0
334,2016-11-30,-3.0,1.1,-9.4,0.0
335,2016-12-01,-1.0,3.0,-5.0,0.0
