Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,deepest_snowfall,total_snowfall
0,2016-01-01,-8.7,-0.9,-15.0,0.0,8.4,24,2
1,2016-01-02,-4.9,3.7,-16.1,0.0,1.8,28,5
2,2016-01-03,-1.4,3.9,-11.3,0.0,7.6,27,0
3,2016-01-04,-8.0,1.2,-15.4,0.0,4.9,26,0
4,2016-01-05,-8.7,-0.5,-17.7,0.0,7.9,26,0
5,2016-01-06,-7.1,1.1,-20.3,0.0,6.7,26,0
6,2016-01-07,-9.1,-1.7,-18.5,0.0,8.0,26,0
7,2016-01-08,-7.4,0.6,-18.2,0.0,5.1,26,0
8,2016-01-09,-9.1,-1.6,-17.4,0.0,8.5,26,0
9,2016-01-10,-6.4,-0.4,-13.7,0.0,3.1,27,1
10,2016-01-11,-11.9,-5.4,-18.9,0.0,8.6,26,0
11,2016-01-12,-12.4,-3.1,-20.8,0.0,8.2,26,0
12,2016-01-13,-11.1,-3.0,-20.1,0.0,7.5,27,1
13,2016-01-14,-7.7,-1.5,-17.4,2.0,8.8,34,8
14,2016-01-15,-9.1,-6.9,-14.5,0.0,2.6,32,3
15,2016-01-16,-12.2,-4.9,-18.2,0.0,7.6,30,0
16,2016-01-17,-11.9,-2.6,-19.3,0.0,8.0,30,2
17,2016-01-18,-8.8,-5.0,-15.6,4.5,0.0,63,33
18,2016-01-19,-2.1,0.5,-5.1,1.5,0.0,73,20
19,2016-01-20,-0.6,1.0,-3.6,0.0,1.1,58,0
20,2016-01-21,-5.2,-0.6,-13.9,0.0,8.5,58,0
21,2016-01-22,-6.8,0.9,-17.5,0.0,8.5,55,1
22,2016-01-23,-5.6,-0.4,-15.7,0.0,2.8,54,1
23,2016-01-24,-9.0,-5.9,-15.9,0.0,1.5,54,1
24,2016-01-25,-12.4,-5.4,-19.0,0.0,8.7,53,1
25,2016-01-26,-8.1,3.1,-20.9,0.0,8.4,52,1
26,2016-01-27,-5.3,2.3,-18.1,0.0,8.5,52,0
27,2016-01-28,-8.6,1.1,-19.1,0.0,7.6,51,1
28,2016-01-29,-13.2,-3.8,-22.1,0.0,8.8,50,0
29,2016-01-30,-10.4,-5.1,-15.4,0.0,4.5,50,0
30,2016-01-31,-12.5,-3.8,-20.2,0.0,8.9,49,0
31,2016-02-01,-14.0,-5.0,-24.1,0.0,9.4,49,0
32,2016-02-02,-14.2,-3.5,-23.1,0.0,8.3,49,0
33,2016-02-03,-12.7,-4.1,-20.2,0.0,9.4,49,0
