,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,avg_wind_speed
0,2016-01-01,2.7,10.0,-1.9,0.5,5.2,1.0
1,2016-01-02,4.2,12.2,-2.5,0.0,7.4,1.2
2,2016-01-03,6.4,15.1,0.3,0.0,6.7,0.9
3,2016-01-04,7.3,14.8,0.4,0.0,5.8,1.5
4,2016-01-05,4.5,9.6,-1.3,0.0,1.0,0.8
5,2016-01-06,5.5,11.3,1.0,0.0,2.3,0.8
6,2016-01-07,4.2,10.3,-0.2,0.0,2.4,1.1
7,2016-01-08,3.1,9.2,-3.3,0.0,1.4,1.8
8,2016-01-09,2.2,9.6,-2.9,0.0,8.1,1.5
9,2016-01-10,2.1,10.2,-4.3,0.0,7.1,1.7
10,2016-01-11,3.6,10.4,-2.5,0.0,7.6,1.4
11,2016-01-12,3.2,7.4,-2.3,0.0,4.2,2.3
12,2016-01-13,1.5,7.7,-2.8,0.0,2.7,1.3
13,2016-01-14,1.3,8.4,-5.0,0.0,8.1,2.6
14,2016-01-15,1.3,9.2,-4.9,0.0,9.0,1.3
15,2016-01-16,0.8,9.0,-5.1,0.0,5.9,1.3
16,2016-01-17,2.8,8.2,-4.4,0.5,2.3,1.9
17,2016-01-18,6.6,10.4,1.2,4.5,1.6,4.4
18,2016-01-19,-0.2,3.7,-2.7,0.0,7.9,5.3
19,2016-01-20,0.4,5.8,-2.9,0.0,6.6,4.7
20,2016-01-21,1.1,5.9,-4.2,0.0,4.1,1.2
21,2016-01-22,1.6,5.5,-1.8,0.0,4.9,2.4
22,2016-01-23,1.7,6.6,-2.5,0.0,1.9,1.9
23,2016-01-24,-2.9,0.9,-6.1,0.0,6.6,4.1
24,2016-01-25,-2.4,4.7,-7.9,0.0,8.1,2.1
25,2016-01-26,0.1,7.1,-7.8,0.0,3.8,1.4
26,2016-01-27,2.2,9.2,-3.9,0.0,5.4,1.7
27,2016-01-28,3.8,10.2,-4.3,1.0,2.4,0.8
28,2016-01-29,6.4,7.7,5.0,38.5,0.0,0.9
29,2016-01-30,5.9,8.3,2.4,3.0,0.7,3.1
30,2016-01-31,5.3,9.9,0.4,0.0,6.8,1.8
31,2016-02-01,3.2,7.3,-0.1,0.0,0.7,1.9
32,2016-02-02,2.9,7.4,-0.9,0.0,8.0,2.6
33,2016-02-03,1.5,7.1,-2.8,0.0,4.5,1.9
34,2016-02-04,1.9,9.3,-4.2,0.0,4.9,1.2
35,2016-02-05,2.5,9.8,-2.8,0.0,9.4,1.2
36,2016-02-06,2.3,8.7,-3.2,0.0,4.0,1.9
37,2016-02-07,1.1,5.6,-3.5,2.0,5.8,2.4
38,2016-02-08,0.9,9.4,-6.0,0.0,10.2,1.6
39,2016-02-09,3.2,9.9,-2.0,0.0,6.6,3.3
40,2016-02-10,1.5,7.4,-2.9,0.0,6.0,2.4
41,2016-02-11,2.5,12.2,-5.0,0.0,10.4,1.0
42,2016-02-12,7.5,16.3,-2.8,0.0,6.4,2.7
43,2016-02-13,13.1,18.0,8.6,41.0,0.0,2.8
