Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation
0,2016-01-01,2.9,10.5,-3.2,0.0
1,2016-01-02,2.5,11.2,-2.2,0.0
2,2016-01-03,4.7,17.2,-2.7,0.0
3,2016-01-04,5.6,15.6,-1.3,0.0
4,2016-01-05,5.0,13.5,-1.4,0.0
5,2016-01-06,3.5,7.7,-0.5,0.0
6,2016-01-07,3.2,11.9,-2.9,0.0
7,2016-01-08,1.2,10.0,-3.5,0.0
8,2016-01-09,2.3,10.3,-4.3,0.0
9,2016-01-10,3.5,12.8,-2.6,0.0
10,2016-01-11,2.3,9.7,-4.1,0.0
11,2016-01-12,0.9,3.6,-4.4,0.0
12,2016-01-13,-0.3,8.5,-6.9,0.0
13,2016-01-14,1.5,11.0,-6.2,0.0
14,2016-01-15,1.0,8.5,-2.9,0.0
15,2016-01-16,2.1,10.5,-4.0,0.0
16,2016-01-17,2.2,8.9,-5.0,2.0
17,2016-01-18,2.7,8.1,-1.2,30.5
18,2016-01-19,2.3,7.5,-1.6,0.0
19,2016-01-20,0.7,6.3,-4.9,0.0
20,2016-01-21,0.4,9.1,-5.0,0.0
21,2016-01-22,1.2,9.1,-4.8,0.0
22,2016-01-23,-0.6,3.6,-5.5,3.0
23,2016-01-24,-0.4,5.9,-5.6,0.0
24,2016-01-25,-1.9,6.3,-7.7,0.0
25,2016-01-26,-0.5,8.8,-7.1,0.0
26,2016-01-27,1.6,12.5,-5.8,0.0
27,2016-01-28,3.2,14.0,-4.7,0.0
28,2016-01-29,1.4,5.9,-1.2,14.5
29,2016-01-30,0.6,3.0,-0.4,5.5
30,2016-01-31,1.9,8.5,-2.4,0.0
31,2016-02-01,2.2,6.5,-1.0,0.0
32,2016-02-02,1.1,9.0,-4.0,0.0
33,2016-02-03,-0.1,8.7,-6.7,0.0
34,2016-02-04,0.6,8.7,-5.4,0.0
35,2016-02-05,2.2,12.3,-4.5,0.0
