,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,avg_wind_speed
0,2016-01-01,4.4,11.2,-2.0,0.0,9.2,1.7
1,2016-01-02,3.6,10.6,-1.5,0.0,7.1,1.9
2,2016-01-03,4.9,15.2,-3.0,0.0,8.6,1.5
3,2016-01-04,6.1,15.5,-1.6,0.0,9.0,1.7
4,2016-01-05,6.8,15.3,-1.6,0.0,7.7,2.0
5,2016-01-06,5.8,8.9,2.0,0.0,0.0,1.4
6,2016-01-07,5.2,12.9,-0.4,0.0,8.8,1.8
7,2016-01-08,3.1,10.7,-2.8,0.0,6.2,1.2
8,2016-01-09,4.1,11.2,-3.6,0.0,9.2,1.9
9,2016-01-10,5.0,14.0,-2.1,0.0,9.2,2.4
10,2016-01-11,4.0,10.3,-2.3,0.0,7.3,2.4
11,2016-01-12,1.9,4.0,-3.7,0.0,0.0,1.5
12,2016-01-13,0.5,8.8,-6.6,0.0,7.6,1.3
13,2016-01-14,2.5,11.9,-6.2,0.0,9.3,1.8
14,2016-01-15,3.6,10.1,-0.5,0.0,6.3,3.0
15,2016-01-16,4.4,12.1,-2.6,0.0,8.9,2.4
16,2016-01-17,4.0,8.3,-2.1,1.5,4.9,1.8
17,2016-01-18,1.9,5.4,0.2,57.0,0.0,4.6
18,2016-01-19,2.2,5.8,-1.7,0.0,9.2,5.4
19,2016-01-20,1.2,6.6,-4.8,0.0,8.9,3.9
20,2016-01-21,1.9,8.8,-2.9,0.0,8.1,2.3
21,2016-01-22,2.3,9.5,-3.6,0.0,9.5,3.1
22,2016-01-23,0.6,4.7,-4.0,0.5,0.1,1.7
23,2016-01-24,1.2,6.6,-2.2,0.0,8.6,5.3
24,2016-01-25,0.0,7.1,-6.8,0.0,9.9,4.6
25,2016-01-26,0.1,9.0,-7.6,0.0,9.8,1.4
26,2016-01-27,2.2,13.6,-6.4,0.0,9.8,1.4
27,2016-01-28,3.6,13.3,-5.3,0.0,9.7,1.2
28,2016-01-29,3.8,7.7,0.0,12.0,0.0,2.3
29,2016-01-30,1.6,3.5,0.1,5.0,0.1,2.4
30,2016-01-31,3.3,10.1,-1.9,0.0,6.5,1.4
31,2016-02-01,2.8,5.1,0.4,0.0,0.0,2.0
32,2016-02-02,2.7,10.1,-2.9,0.0,8.6,1.9
33,2016-02-03,1.1,7.5,-6.1,0.0,9.8,1.4
34,2016-02-04,2.2,9.2,-4.2,0.0,9.8,1.6
