Unnamed: 0,calendar_date,avg_temperature
0,2016-01-01,5.7
1,2016-01-02,3.6
2,2016-01-03,5.4
3,2016-01-04,6.4
4,2016-01-05,8.0
5,2016-01-06,6.1
6,2016-01-07,6.2
7,2016-01-08,3.8
8,2016-01-09,4.4
9,2016-01-10,6.0
10,2016-01-11,4.8
11,2016-01-12,2.2
12,2016-01-13,0.9
13,2016-01-14,3.3
14,2016-01-15,3.6
15,2016-01-16,4.9
16,2016-01-17,4.1
17,2016-01-18,2.9
18,2016-01-19,4.3
19,2016-01-20,1.9
20,2016-01-21,3.6
21,2016-01-22,3.7
22,2016-01-23,1.9
23,2016-01-24,2.0
24,2016-01-25,1.7
25,2016-01-26,1.2
26,2016-01-27,4.0
27,2016-01-28,4.6
28,2016-01-29,3.9
29,2016-01-30,2.2
30,2016-01-31,4.5
31,2016-02-01,2.7
32,2016-02-02,4.3
33,2016-02-03,2.4
34,2016-02-04,3.1
35,2016-02-05,4.7
36,2016-02-06,5.1
37,2016-02-07,3.5
38,2016-02-08,2.1
39,2016-02-09,4.3
40,2016-02-10,4.7
41,2016-02-11,2.8
42,2016-02-12,4.8
43,2016-02-13,12.5
44,2016-02-14,17.9
45,2016-02-15,6.3
46,2016-02-16,3.4
47,2016-02-17,4.0
48,2016-02-18,3.3
49,2016-02-19,7.6
50,2016-02-20,7.1
51,2016-02-21,8.4
52,2016-02-22,5.3
53,2016-02-23,5.6
54,2016-02-24,4.1
55,2016-02-25,3.1
56,2016-02-26,4.1
57,2016-02-27,5.1
58,2016-02-28,6.1
59,2016-02-29,6.4
60,2016-03-01,4.0
61,2016-03-02,4.8
62,2016-03-03,7.3
63,2016-03-04,7.7
64,2016-03-05,9.2
65,2016-03-06,13.2
66,2016-03-07,14.0
67,2016-03-08,15.1
68,2016-03-09,7.5
69,2016-03-10,5.6
70,2016-03-11,3.8
71,2016-03-12,5.2
72,2016-03-13,5.4
73,2016-03-14,5.6
74,2016-03-15,6.7
75,2016-03-16,6.4
76,2016-03-17,11.1
77,2016-03-18,13.1
78,2016-03-19,14.5
79,2016-03-20,11.5
80,2016-03-21,8.5
81,2016-03-22,8.7
82,2016-03-23,8.7
83,2016-03-24,5.8
84,2016-03-25,5.9
85,2016-03-26,6.7
86,2016-03-27,8.7
87,2016-03-28,10.8
88,2016-03-29,10.8
89,2016-03-30,13.0
90,2016-03-31,13.9
91,2016-04-01,11.9
92,2016-04-02,10.6
93,2016-04-03,13.4
94,2016-04-04,13.9
95,2016-04-05,10.0
96,2016-04-06,12.6
97,2016-04-07,12.1
98,2016-04-08,13.8
99,2016-04-09,15.6
100,2016-04-10,14.7
101,2016-04-11,10.5
102,2016-04-12,9.2
103,2016-04-13,14.1
104,2016-04-14,14.8
105,2016-04-15,14.8
106,2016-04-16,13.5
107,2016-04-17,19.3
108,2016-04-18,17.0
109,2016-04-19,15.0
110,2016-04-20,13.4
111,2016-04-21,14.7
112,2016-04-22,15.7
113,2016-04-23,17.3
114,2016-04-24,15.5
115,2016-04-25,16.7
116,2016-04-26,18.8
117,2016-04-27,16.7
118,2016-04-28,14.2
119,2016-04-29,15.0
120,2016-04-30,15.5
121,2016-05-01,17.1
122,2016-05-02,16.0
123,2016-05-03,20.1
124,2016-05-04,21.7
125,2016-05-05,20.1
126,2016-05-06,17.5
127,2016-05-07,21.6
128,2016-05-08,20.7
129,2016-05-09,18.6
130,2016-05-10,18.0
131,2016-05-11,19.3
132,2016-05-12,20.6
133,2016-05-13,20.9
134,2016-05-14,18.7
135,2016-05-15,16.4
136,2016-05-16,18.5
137,2016-05-17,17.8
138,2016-05-18,18.0
139,2016-05-19,18.2
140,2016-05-20,16.3
141,2016-05-21,18.0
142,2016-05-22,20.9
143,2016-05-23,22.9
144,2016-05-24,23.0
145,2016-05-25,22.1
146,2016-05-26,23.0
147,2016-05-27,19.1
148,2016-05-28,19.0
149,2016-05-29,21.9
150,2016-05-30,17.6
151,2016-05-31,20.7
152,2016-06-01,22.0
153,2016-06-02,19.3
154,2016-06-03,18.6
155,2016-06-04,21.3
156,2016-06-05,21.0
157,2016-06-06,19.3
158,2016-06-07,19.5
159,2016-06-08,22.3
160,2016-06-09,21.9
161,2016-06-10,23.7
162,2016-06-11,23.8
163,2016-06-12,23.6
164,2016-06-13,19.7
165,2016-06-14,21.5
166,2016-06-15,19.2
167,2016-06-16,21.8
168,2016-06-17,24.7
169,2016-06-18,25.7
170,2016-06-19,24.7
171,2016-06-20,24.1
172,2016-06-21,23.2
173,2016-06-22,22.0
174,2016-06-23,22.9
175,2016-06-24,22.1
176,2016-06-25,23.7
177,2016-06-26,25.2
178,2016-06-27,23.8
179,2016-06-28,19.5
180,2016-06-29,21.4
181,2016-06-30,23.4
182,2016-07-01,25.2
183,2016-07-02,26.2
184,2016-07-03,28.4
185,2016-07-04,27.0
186,2016-07-05,20.7
187,2016-07-06,22.6
188,2016-07-07,24.3
189,2016-07-08,24.8
190,2016-07-09,22.9
191,2016-07-10,25.7
192,2016-07-11,27.1
193,2016-07-12,25.7
194,2016-07-13,25.2
195,2016-07-14,25.8
196,2016-07-15,22.0
197,2016-07-16,23.6
198,2016-07-17,25.8
199,2016-07-18,27.7
200,2016-07-19,27.7
201,2016-07-20,25.2
202,2016-07-21,21.8
203,2016-07-22,21.8
204,2016-07-23,21.8
205,2016-07-24,22.9
206,2016-07-25,24.0
207,2016-07-26,23.4
208,2016-07-27,24.4
209,2016-07-28,26.4
210,2016-07-29,27.2
211,2016-07-30,26.9
212,2016-07-31,26.7
213,2016-08-01,27.3
214,2016-08-02,26.7
215,2016-08-03,26.7
216,2016-08-04,28.4
217,2016-08-05,29.0
218,2016-08-06,29.2
219,2016-08-07,28.2
220,2016-08-08,27.3
221,2016-08-09,30.8
222,2016-08-10,27.9
223,2016-08-11,26.1
224,2016-08-12,25.9
225,2016-08-13,25.4
226,2016-08-14,24.5
227,2016-08-15,26.1
228,2016-08-16,27.1
229,2016-08-17,29.0
230,2016-08-18,26.3
231,2016-08-19,27.3
232,2016-08-20,25.8
233,2016-08-21,27.9
234,2016-08-22,25.8
235,2016-08-23,26.3
236,2016-08-24,25.6
237,2016-08-25,27.6
238,2016-08-26,27.9
239,2016-08-27,23.3
240,2016-08-28,22.8
241,2016-08-29,26.0
242,2016-08-30,25.3
243,2016-08-31,25.9
244,2016-09-01,25.7
245,2016-09-02,25.7
246,2016-09-03,26.3
247,2016-09-04,26.7
248,2016-09-05,28.4
249,2016-09-06,28.4
250,2016-09-07,25.4
251,2016-09-08,26.1
252,2016-09-09,26.5
253,2016-09-10,25.6
254,2016-09-11,24.3
255,2016-09-12,24.3
256,2016-09-13,22.3
257,2016-09-14,23.5
258,2016-09-15,23.9
259,2016-09-16,23.1
260,2016-09-17,24.9
261,2016-09-18,22.9
262,2016-09-19,21.3
263,2016-09-20,19.1
264,2016-09-21,20.1
265,2016-09-22,19.2
266,2016-09-23,20.9
267,2016-09-24,21.2
268,2016-09-25,23.3
269,2016-09-26,24.5
270,2016-09-27,25.5
271,2016-09-28,25.6
272,2016-09-29,22.9
273,2016-09-30,20.5
274,2016-10-01,19.7
275,2016-10-02,22.5
276,2016-10-03,22.0
277,2016-10-04,24.1
278,2016-10-05,22.5
279,2016-10-06,25.4
280,2016-10-07,19.5
281,2016-10-08,18.5
282,2016-10-09,20.5
283,2016-10-10,17.4
284,2016-10-11,16.5
285,2016-10-12,16.8
286,2016-10-13,15.5
287,2016-10-14,14.5
288,2016-10-15,14.9
289,2016-10-16,16.6
290,2016-10-17,16.8
291,2016-10-18,20.8
292,2016-10-19,20.1
293,2016-10-20,20.8
294,2016-10-21,15.8
295,2016-10-22,15.0
296,2016-10-23,16.6
297,2016-10-24,13.4
298,2016-10-25,11.8
299,2016-10-26,18.3
300,2016-10-27,17.1
301,2016-10-28,10.5
302,2016-10-29,15.1
303,2016-10-30,11.0
304,2016-10-31,12.9
305,2016-11-01,12.8
306,2016-11-02,10.2
307,2016-11-03,12.2
308,2016-11-04,12.0
309,2016-11-05,12.5
310,2016-11-06,12.4
311,2016-11-07,8.2
312,2016-11-08,8.4
313,2016-11-09,9.9
314,2016-11-10,8.0
315,2016-11-11,9.2
316,2016-11-12,12.9
317,2016-11-13,11.9
318,2016-11-14,13.9
319,2016-11-15,14.9
320,2016-11-16,11.7
321,2016-11-17,10.5
322,2016-11-18,8.4
323,2016-11-19,8.9
324,2016-11-20,11.0
325,2016-11-21,10.7
326,2016-11-22,13.5
327,2016-11-23,10.2
328,2016-11-24,1.8
329,2016-11-25,3.0
330,2016-11-26,6.8
331,2016-11-27,9.8
332,2016-11-28,10.3
333,2016-11-29,8.3
334,2016-11-30,6.3
335,2016-12-01,9.3
336,2016-12-02,10.4
337,2016-12-03,8.6
338,2016-12-04,9.9
339,2016-12-05,11.3
340,2016-12-06,9.6
341,2016-12-07,5.7
342,2016-12-08,6.0
343,2016-12-09,8.7
344,2016-12-10,7.4
345,2016-12-11,4.4
346,2016-12-12,3.7
347,2016-12-13,7.4
348,2016-12-14,7.4
349,2016-12-15,5.0
350,2016-12-16,3.0
351,2016-12-17,5.1
352,2016-12-18,5.2
353,2016-12-19,7.0
354,2016-12-20,8.2
355,2016-12-21,7.8
356,2016-12-22,11.5
357,2016-12-23,12.5
358,2016-12-24,6.8
359,2016-12-25,3.7
360,2016-12-26,4.7
361,2016-12-27,6.6
362,2016-12-28,4.6
363,2016-12-29,1.8
364,2016-12-30,3.9
365,2016-12-31,3.1
366,2017-01-01,5.2
367,2017-01-02,4.3
368,2017-01-03,5.8
369,2017-01-04,5.8
370,2017-01-05,4.5
371,2017-01-06,1.4
372,2017-01-07,1.4
373,2017-01-08,2.6
374,2017-01-09,6.1
375,2017-01-10,7.4
376,2017-01-11,5.1
377,2017-01-12,3.8
378,2017-01-13,2.6
379,2017-01-14,0.1
380,2017-01-15,-0.2
381,2017-01-16,1.6
382,2017-01-17,2.9
383,2017-01-18,2.3
384,2017-01-19,3.2
385,2017-01-20,0.8
386,2017-01-21,4.2
387,2017-01-22,4.5
388,2017-01-23,3.1
389,2017-01-24,1.7
390,2017-01-25,2.1
391,2017-01-26,2.4
392,2017-01-27,4.4
393,2017-01-28,4.9
394,2017-01-29,6.4
395,2017-01-30,9.1
396,2017-01-31,4.7
397,2017-02-01,4.6
398,2017-02-02,3.4
399,2017-02-03,6.2
400,2017-02-04,4.1
401,2017-02-05,5.1
402,2017-02-06,8.0
403,2017-02-07,4.6
404,2017-02-08,4.3
405,2017-02-09,1.4
406,2017-02-10,3.6
407,2017-02-11,3.1
408,2017-02-12,4.6
409,2017-02-13,3.8
410,2017-02-14,3.6
411,2017-02-15,3.9
412,2017-02-16,4.4
413,2017-02-17,10.7
414,2017-02-18,6.5
415,2017-02-19,4.3
416,2017-02-20,7.7
417,2017-02-21,4.5
418,2017-02-22,4.5
419,2017-02-23,8.8
420,2017-02-24,6.8
421,2017-02-25,6.2
422,2017-02-26,7.8
423,2017-02-27,5.1
424,2017-02-28,3.9
425,2017-03-01,4.7
426,2017-03-02,7.1
427,2017-03-03,6.9
428,2017-03-04,6.6
429,2017-03-05,7.8
430,2017-03-06,7.4
431,2017-03-07,4.4
432,2017-03-08,4.0
433,2017-03-09,5.9
434,2017-03-10,6.9
435,2017-03-11,5.1
436,2017-03-12,5.6
437,2017-03-13,7.3
438,2017-03-14,7.7
439,2017-03-15,4.9
440,2017-03-16,6.6
441,2017-03-17,7.4
442,2017-03-18,8.3
443,2017-03-19,10.6
444,2017-03-20,11.0
445,2017-03-21,8.9
446,2017-03-22,9.0
447,2017-03-23,7.6
448,2017-03-24,7.1
449,2017-03-25,6.0
450,2017-03-26,6.5
451,2017-03-27,4.5
452,2017-03-28,6.8
453,2017-03-29,8.1
454,2017-03-30,10.5
455,2017-03-31,8.6
456,2017-04-01,6.5
457,2017-04-02,7.6
458,2017-04-03,8.8
459,2017-04-04,9.4
460,2017-04-05,12.5
461,2017-04-06,15.6
462,2017-04-07,17.4
463,2017-04-08,13.6
464,2017-04-09,13.2
465,2017-04-10,9.3
466,2017-04-11,8.4
467,2017-04-12,13.6
468,2017-04-13,11.6
469,2017-04-14,13.3
470,2017-04-15,15.9
471,2017-04-16,17.5
472,2017-04-17,16.8
473,2017-04-18,18.9
474,2017-04-19,16.6
475,2017-04-20,14.5
476,2017-04-21,15.0
477,2017-04-22,13.9
478,2017-04-23,12.8
479,2017-04-24,13.5
480,2017-04-25,15.5
481,2017-04-26,16.1
482,2017-04-27,14.6
483,2017-04-28,14.7
484,2017-04-29,14.9
485,2017-04-30,16.5
486,2017-05-01,15.9
487,2017-05-02,15.1
488,2017-05-03,16.4
489,2017-05-04,18.0
490,2017-05-05,19.3
491,2017-05-06,20.7
492,2017-05-07,19.3
493,2017-05-08,20.2
494,2017-05-09,18.4
495,2017-05-10,16.2
496,2017-05-11,21.1
497,2017-05-12,20.8
498,2017-05-13,17.4
499,2017-05-14,17.5
500,2017-05-15,16.8
501,2017-05-16,18.8
502,2017-05-17,15.8
503,2017-05-18,17.6
504,2017-05-19,20.0
505,2017-05-20,22.6
506,2017-05-21,24.3
507,2017-05-22,23.2
508,2017-05-23,22.2
509,2017-05-24,22.2
510,2017-05-25,19.9
511,2017-05-26,17.4
512,2017-05-27,18.1
513,2017-05-28,20.6
514,2017-05-29,21.7
515,2017-05-30,23.5
516,2017-05-31,23.5
