,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,deepest_snowfall,total_snowfall,avg_wind_speed
0,2016-01-01,4.2,7.6,0.5,0.0,3.8,0,0,1.5
1,2016-01-02,9.8,12.0,4.7,1.5,1.4,0,0,3.7
2,2016-01-03,10.2,14.4,6.4,5.0,4.3,0,0,2.1
3,2016-01-04,9.1,13.9,5.4,2.0,3.4,0,0,1.9
4,2016-01-05,6.3,9.9,3.4,0.5,1.4,0,0,1.0
5,2016-01-06,5.7,9.6,2.8,0.5,0.4,0,0,0.8
6,2016-01-07,3.6,5.3,2.3,3.0,0.0,0,0,0.7
7,2016-01-08,3.4,6.4,1.1,12.5,0.2,0,0,1.4
8,2016-01-09,3.6,6.5,0.6,10.0,0.7,0,0,1.5
9,2016-01-10,4.8,8.6,3.1,11.5,0.6,0,0,1.7
10,2016-01-11,1.8,3.5,0.7,3.5,0.0,0,0,1.0
11,2016-01-12,0.8,3.6,-1.5,0.5,0.5,0,0,1.2
12,2016-01-13,1.4,4.4,-2.5,21.5,0.2,0,0,1.7
13,2016-01-14,0.9,2.6,0.1,30.0,0.2,1,3,1.1
14,2016-01-15,1.6,5.0,-0.5,6.0,1.7,1,2,0.9
15,2016-01-16,1.8,3.3,0.2,6.5,0.1,0,0,1.0
16,2016-01-17,3.2,6.6,-0.7,1.5,0.8,0,0,1.4
17,2016-01-18,6.2,8.2,3.8,38.0,0.0,0,0,2.1
18,2016-01-19,1.0,5.5,-1.4,6.5,0.6,2,2,5.3
19,2016-01-20,2.0,6.0,-1.4,4.5,2.3,2,2,1.9
20,2016-01-21,0.8,4.0,-1.5,1.0,1.1,0,0,1.1
21,2016-01-22,0.3,4.1,-2.1,0.0,2.2,0,0,1.1
22,2016-01-23,0.6,4.3,-1.9,20.5,0.0,19,19,
23,2016-01-24,-1.7,0.7,-3.4,35.5,0.0,61,43,2.6
24,2016-01-25,-1.0,1.9,-3.7,5.5,1.3,59,7,1.1
25,2016-01-26,2.2,5.3,-2.7,8.5,3.3,53,0,2.4
26,2016-01-27,5.0,6.9,2.2,7.5,0.3,25,0,3.0
