,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,avg_wind_speed
0,2016-01-01,4.6,9.3,0.9,0.0,2.1,1.8
1,2016-01-02,11.2,12.9,9.2,2.5,0.2,4.3
2,2016-01-03,11.3,14.3,5.8,5.0,3.4,3.0
3,2016-01-04,10.0,14.0,4.8,0.5,2.4,3.6
4,2016-01-05,6.7,10.4,3.7,0.0,0.9,2.7
5,2016-01-06,6.2,9.8,3.7,0.5,0.5,2.1
6,2016-01-07,3.9,7.1,1.0,10.5,0.0,2.3
7,2016-01-08,4.2,8.4,0.7,2.0,0.5,2.5
8,2016-01-09,4.6,9.1,2.2,12.0,1.6,2.8
9,2016-01-10,6.5,9.0,3.8,5.5,0.4,5.3
10,2016-01-11,2.6,4.6,1.5,2.0,0.4,1.7
11,2016-01-12,1.3,3.7,-1.2,0.5,1.0,1.6
12,2016-01-13,3.5,8.3,-1.9,15.0,0.1,3.8
13,2016-01-14,2.4,5.1,1.0,4.5,0.0,2.3
14,2016-01-15,2.6,5.7,0.9,9.0,1.3,1.8
15,2016-01-16,3.4,6.0,0.5,1.0,0.0,2.7
16,2016-01-17,3.8,7.2,-0.1,0.0,1.6,2.8
17,2016-01-18,7.1,10.3,3.0,27.5,0.0,5.2
18,2016-01-19,2.1,6.4,-0.3,8.0,1.4,10.5
19,2016-01-20,3.3,6.5,-0.2,7.0,1.4,5.4
20,2016-01-21,2.3,4.8,-0.4,0.5,2.8,3.0
21,2016-01-22,0.9,3.7,-0.8,2.5,1.8,2.0
22,2016-01-23,0.8,3.1,-0.5,13.0,0.2,1.8
23,2016-01-24,-0.1,3.7,-2.7,20.5,0.0,6.1
24,2016-01-25,0.4,2.3,-1.7,3.0,1.6,3.9
25,2016-01-26,4.4,7.8,0.5,18.0,0.1,3.9
26,2016-01-27,7.9,9.4,5.3,1.0,2.2,5.9
27,2016-01-28,7.7,10.6,2.5,0.0,0.9,3.3
28,2016-01-29,3.1,5.2,1.8,15.0,0.0,3.5
29,2016-01-30,4.0,8.5,1.6,2.5,3.4,1.6
30,2016-01-31,2.6,7.3,0.5,2.5,2.5,1.7
31,2016-02-01,1.5,3.3,0.0,0.0,0.0,1.7
32,2016-02-02,1.4,3.3,-0.1,0.0,0.0,1.9
33,2016-02-03,1.0,3.4,-0.7,3.0,0.0,1.1
34,2016-02-04,4.4,8.2,-3.1,4.5,0.4,4.0
35,2016-02-05,4.9,8.2,0.1,0.0,2.9,2.4
36,2016-02-06,2.1,5.2,0.5,5.5,1.5,2.1
37,2016-02-07,0.1,3.6,-2.7,0.5,3.4,1.7
38,2016-02-08,3.6,8.8,-3.4,4.0,8.3,2.8
39,2016-02-09,4.6,8.0,1.3,22.5,0.4,5.3
40,2016-02-10,2.9,6.1,0.3,0.0,3.4,3.8
41,2016-02-11,3.6,9.3,-1.2,0.0,9.6,1.5
42,2016-02-12,8.6,13.7,1.4,0.0,7.0,1.4
43,2016-02-13,12.0,15.8,7.8,2.0,0.0,1.1
44,2016-02-14,11.3,17.1,6.6,5.0,0.0,5.1
45,2016-02-15,1.7,6.6,-0.3,2.5,0.0,4.1
46,2016-02-16,2.1,5.6,-1.5,11.0,1.9,4.7
47,2016-02-17,2.2,5.6,-0.6,6.5,0.5,3.4
48,2016-02-18,6.2,9.5,-0.3,0.5,3.8,2.9
49,2016-02-19,9.2,11.8,5.7,6.0,3.4,4.2
50,2016-02-20,7.8,10.9,5.5,25.5,0.0,1.8
51,2016-02-21,5.7,9.0,1.3,4.0,3.5,5.8
52,2016-02-22,3.5,6.6,0.9,1.0,2.5,1.4
53,2016-02-23,5.9,9.5,1.1,6.0,0.1,3.6
54,2016-02-24,1.5,3.6,-1.2,0.5,1.2,2.8
55,2016-02-25,1.8,5.5,-1.4,4.0,3.3,2.5
56,2016-02-26,3.4,6.0,0.3,4.0,1.1,4.8
57,2016-02-27,6.0,9.8,-0.1,5.5,1.6,3.9
58,2016-02-28,6.8,12.1,0.7,0.0,8.4,2.0
59,2016-02-29,4.8,13.1,0.3,13.5,0.0,5.4
60,2016-03-01,0.6,3.1,-1.5,1.0,1.9,4.4
61,2016-03-02,5.2,8.1,0.6,1.5,4.0,3.8
62,2016-03-03,8.0,11.5,1.7,0.5,4.5,3.1
63,2016-03-04,7.3,14.3,-0.5,0.0,9.6,1.9
64,2016-03-05,10.6,15.5,7.5,0.0,4.1,2.9
65,2016-03-06,12.6,18.4,5.1,0.0,3.6,1.3
66,2016-03-07,10.5,13.8,7.8,2.5,1.0,2.7
67,2016-03-08,10.2,12.4,6.7,0.0,0.1,2.5
