,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,avg_wind_speed
0,2016-01-01,-1.4,0.7,-5.2,0.0,0.9,2.6
1,2016-01-02,1.7,5.3,-6.7,0.5,0.7,3.0
2,2016-01-03,3.4,6.0,2.0,1.5,4.0,2.4
3,2016-01-04,0.6,3.0,-2.7,2.5,0.8,1.6
4,2016-01-05,-2.0,-0.8,-2.9,0.5,0.9,2.4
5,2016-01-06,-1.3,0.5,-3.1,0.5,0.5,2.5
6,2016-01-07,-1.7,-0.3,-3.5,1.0,1.7,2.3
7,2016-01-08,-1.3,1.0,-2.5,0.5,3.0,2.6
8,2016-01-09,-2.6,-1.1,-5.4,0.5,1.6,2.2
9,2016-01-10,-2.5,0.6,-5.0,1.0,1.4,2.4
10,2016-01-11,-4.8,-3.1,-5.9,2.0,4.9,2.7
11,2016-01-12,-4.3,-2.9,-5.9,0.0,0.6,2.8
12,2016-01-13,-2.6,0.4,-5.7,0.0,5.6,2.3
13,2016-01-14,-3.2,-0.6,-7.2,1.0,3.3,2.4
14,2016-01-15,-6.4,-1.0,-11.6,0.0,2.0,1.5
15,2016-01-16,-5.1,-1.9,-8.7,1.0,0.4,1.9
16,2016-01-17,-4.2,-0.7,-8.3,0.0,6.1,1.9
17,2016-01-18,-3.1,0.6,-9.8,24.5,0.0,2.2
18,2016-01-19,-2.1,1.6,-8.3,5.0,1.2,1.7
19,2016-01-20,-3.9,0.7,-10.0,0.0,2.4,1.2
20,2016-01-21,-2.4,-0.2,-6.2,0.0,1.1,1.8
21,2016-01-22,-4.5,-2.5,-9.7,0.0,1.5,2.3
22,2016-01-23,-5.2,-1.5,-11.3,1.0,1.6,1.5
23,2016-01-24,-5.8,-0.8,-13.8,0.0,2.6,1.6
24,2016-01-25,-3.8,-2.6,-6.4,4.5,0.5,1.8
25,2016-01-26,0.0,2.7,-4.0,0.0,1.6,2.5
26,2016-01-27,-0.1,2.1,-2.4,3.5,4.2,2.9
27,2016-01-28,-1.1,1.0,-7.8,0.0,5.4,2.5
28,2016-01-29,-5.8,-1.7,-12.4,0.0,0.9,1.0
29,2016-01-30,-3.7,0.2,-6.6,0.0,6.6,1.4
30,2016-01-31,-3.4,-0.6,-5.0,0.0,3.0,2.2
31,2016-02-01,-5.5,-3.1,-8.2,0.0,0.5,1.8
32,2016-02-02,-4.9,-2.8,-7.5,0.0,1.5,1.5
33,2016-02-03,-3.4,-0.7,-9.4,0.0,2.4,1.6
34,2016-02-04,-1.9,2.0,-8.2,0.0,3.0,2.7
35,2016-02-05,-1.3,1.3,-2.9,1.0,2.6,2.0
36,2016-02-06,-3.6,-0.3,-9.7,0.0,4.1,1.9
37,2016-02-07,-5.7,-2.1,-13.4,0.0,6.0,2.1
38,2016-02-08,-2.9,0.4,-8.3,0.0,1.4,2.5
39,2016-02-09,-0.2,3.1,-4.2,0.5,4.1,2.6
40,2016-02-10,-2.4,-0.9,-3.5,0.0,5.2,3.1
41,2016-02-11,-2.7,1.7,-8.7,0.0,4.2,2.0
42,2016-02-12,-2.0,3.7,-11.9,0.0,8.8,3.4
43,2016-02-13,4.1,7.2,0.6,0.0,0.1,2.9
44,2016-02-14,6.7,12.7,1.4,3.0,0.3,3.9
45,2016-02-15,-3.7,1.5,-6.6,1.0,0.2,2.5
46,2016-02-16,-3.9,-1.2,-6.7,0.0,2.6,2.0
47,2016-02-17,-4.4,-1.1,-8.2,1.5,0.9,1.9
48,2016-02-18,-1.2,1.7,-7.0,0.0,0.6,3.2
49,2016-02-19,2.1,4.4,0.2,4.5,1.2,3.3
50,2016-02-20,1.4,3.1,-1.8,11.0,0.0,1.6
51,2016-02-21,0.3,3.6,-3.7,5.0,0.9,2.5
52,2016-02-22,-3.3,-0.5,-7.6,0.0,0.6,2.5
53,2016-02-23,-1.5,1.3,-7.1,3.5,0.0,
54,2016-02-24,-4.2,-0.4,-6.3,0.5,0.3,2.0
55,2016-02-25,-5.2,-1.6,-7.6,0.0,1.7,1.4
56,2016-02-26,-4.5,-0.6,-10.5,1.0,6.6,1.7
57,2016-02-27,-3.4,0.8,-9.2,5.0,3.8,1.5
58,2016-02-28,-2.1,1.3,-5.7,1.0,6.0,1.3
59,2016-02-29,1.6,4.2,-1.3,3.5,0.0,4.1
60,2016-03-01,-3.4,-0.3,-5.5,0.0,2.1,3.3
61,2016-03-02,-4.2,-0.5,-12.1,2.0,0.5,1.5
62,2016-03-03,-1.2,4.7,-12.0,1.0,2.8,2.5
63,2016-03-04,-1.2,4.6,-8.8,0.0,9.6,1.1
64,2016-03-05,-0.7,6.8,-9.7,0.0,9.9,2.0
65,2016-03-06,5.1,8.0,2.7,1.5,0.5,5.5
66,2016-03-07,5.9,11.3,1.3,1.0,8.5,2.0
67,2016-03-08,4.8,10.1,0.5,0.5,1.0,2.1
68,2016-03-09,0.3,3.2,-2.6,0.0,3.1,2.0
69,2016-03-10,-1.4,3.1,-6.4,0.0,7.9,1.6
70,2016-03-11,-2.1,1.4,-5.9,0.0,2.8,2.2
71,2016-03-12,-1.8,3.8,-6.6,0.0,6.8,1.7
72,2016-03-13,0.2,6.5,-8.2,0.0,6.3,2.3
73,2016-03-14,3.2,9.3,-2.8,0.0,8.8,1.4
74,2016-03-15,1.5,4.9,-1.0,0.0,5.6,2.5
75,2016-03-16,5.9,10.3,1.1,0.0,6.9,3.5
76,2016-03-17,7.6,13.9,-0.9,0.0,10.4,2.7
77,2016-03-18,8.3,18.5,-1.0,0.0,6.8,2.8
78,2016-03-19,8.0,13.4,3.6,1.5,0.8,2.1
79,2016-03-20,3.2,6.7,0.0,0.0,1.7,2.5
80,2016-03-21,0.6,4.7,-4.8,0.0,5.1,2.0
81,2016-03-22,2.2,6.2,-2.9,7.0,3.8,1.8
82,2016-03-23,0.9,4.5,-2.3,1.0,4.0,2.0
83,2016-03-24,-0.2,5.0,-3.5,0.0,4.2,2.0
84,2016-03-25,0.1,4.4,-3.8,1.5,4.4,2.0
85,2016-03-26,0.7,6.3,-5.1,0.0,7.2,2.0
86,2016-03-27,2.6,11.0,-5.0,0.0,10.6,2.1
87,2016-03-28,3.1,11.2,-4.1,0.0,5.7,1.5
88,2016-03-29,6.2,14.8,-3.2,0.0,9.7,1.9
89,2016-03-30,6.3,15.5,0.5,5.0,5.2,3.1
90,2016-03-31,5.0,10.7,-1.2,2.0,9.9,2.5
91,2016-04-01,2.7,9.3,-3.6,0.0,10.3,2.3
92,2016-04-02,5.1,10.1,-1.2,0.0,7.1,4.0
93,2016-04-03,8.5,10.4,6.2,12.0,0.2,3.7
94,2016-04-04,1.9,6.7,-2.0,21.0,0.8,1.6
95,2016-04-05,6.4,15.0,-2.4,0.0,11.5,2.6
96,2016-04-06,6.5,12.1,-1.5,0.0,10.6,2.7
97,2016-04-07,5.7,9.5,-1.5,26.5,0.0,2.5
98,2016-04-08,7.9,12.5,0.3,1.5,1.5,1.9
99,2016-04-09,7.6,15.3,-1.3,0.0,5.1,2.9
100,2016-04-10,5.3,13.3,-0.5,0.0,3.3,1.8
101,2016-04-11,0.4,3.0,-1.9,4.5,1.8,1.9
102,2016-04-12,3.1,8.9,-4.8,0.0,8.8,1.9
103,2016-04-13,8.5,14.7,3.7,2.5,3.7,3.9
104,2016-04-14,12.0,17.7,8.0,4.0,2.0,1.5
105,2016-04-15,5.7,10.2,1.9,4.5,3.0,3.1
106,2016-04-16,7.4,13.2,-0.8,0.0,2.7,1.9
107,2016-04-17,11.1,14.4,5.6,6.5,0.1,5.4
108,2016-04-18,10.8,13.9,7.4,1.5,4.7,4.9
109,2016-04-19,8.2,11.8,5.4,0.0,7.0,2.4
110,2016-04-20,9.1,14.6,3.7,0.0,3.7,2.9
111,2016-04-21,12.8,19.2,6.5,0.0,2.8,3.8
112,2016-04-22,10.8,15.7,4.1,0.5,2.3,1.8
113,2016-04-23,11.7,17.4,3.8,0.0,3.8,3.4
114,2016-04-24,9.5,16.9,1.9,0.0,11.7,1.9
115,2016-04-25,9.3,19.1,-0.9,0.0,12.3,1.6
116,2016-04-26,10.2,18.9,2.6,0.0,8.7,1.9
117,2016-04-27,7.9,14.8,0.6,0.0,10.0,2.3
118,2016-04-28,7.5,9.1,5.9,29.5,0.0,2.3
119,2016-04-29,4.8,7.5,2.6,11.5,0.4,2.6
120,2016-04-30,5.4,10.7,0.3,0.0,7.9,2.6
121,2016-05-01,4.9,9.6,0.4,4.5,1.6,1.2
122,2016-05-02,8.6,14.6,0.9,0.0,2.8,3.8
123,2016-05-03,15.7,22.7,10.0,0.0,6.3,5.4
124,2016-05-04,14.9,17.1,11.9,1.5,0.5,5.5
125,2016-05-05,12.6,15.5,7.0,1.5,0.3,4.3
126,2016-05-06,12.4,16.5,3.2,0.0,3.2,2.5
127,2016-05-07,14.0,18.6,11.3,2.0,4.8,3.7
128,2016-05-08,12.5,18.1,3.1,0.0,13.1,3.8
129,2016-05-09,13.1,22.9,0.2,0.0,13.0,2.8
130,2016-05-10,10.3,13.2,8.8,17.0,0.1,2.2
131,2016-05-11,10.6,15.0,9.2,19.5,0.0,1.9
132,2016-05-12,11.5,15.3,8.6,1.0,4.5,2.9
133,2016-05-13,16.8,26.6,6.4,0.0,12.4,3.1
134,2016-05-14,13.1,18.4,5.0,0.0,10.6,2.5
135,2016-05-15,13.3,22.8,1.4,0.0,12.5,2.5
136,2016-05-16,15.6,21.9,9.6,0.0,12.2,7.6
137,2016-05-17,13.7,19.4,7.9,3.0,5.1,2.0
138,2016-05-18,15.4,23.4,6.3,0.0,13.4,2.7
139,2016-05-19,16.0,25.9,5.8,0.0,12.9,1.5
140,2016-05-20,16.7,25.9,7.6,0.0,12.1,1.8
141,2016-05-21,17.7,26.5,8.8,0.0,11.3,1.7
142,2016-05-22,19.3,29.6,10.3,0.0,13.5,1.9
143,2016-05-23,17.7,26.7,7.1,0.0,11.5,2.3
144,2016-05-24,16.0,21.0,8.5,0.0,3.9,2.5
145,2016-05-25,18.3,21.2,15.3,1.0,0.1,3.6
146,2016-05-26,20.7,26.9,16.5,25.5,7.4,3.2
147,2016-05-27,16.7,22.3,10.1,1.0,6.3,2.0
148,2016-05-28,16.6,26.3,7.5,0.0,12.1,2.5
149,2016-05-29,16.2,25.1,6.5,0.0,9.4,1.9
150,2016-05-30,17.8,25.3,13.1,0.0,4.7,2.4
151,2016-05-31,16.7,23.2,11.9,4.5,7.5,2.7
152,2016-06-01,11.6,14.9,9.5,5.0,4.4,2.8
153,2016-06-02,9.9,13.1,6.6,3.0,1.0,2.1
154,2016-06-03,12.0,18.1,5.9,0.0,4.2,2.2
155,2016-06-04,15.7,23.1,6.5,2.0,8.3,2.8
156,2016-06-05,16.0,22.0,10.9,0.0,11.6,2.2
157,2016-06-06,16.2,23.1,9.2,0.0,9.7,1.6
158,2016-06-07,18.0,24.4,11.4,0.0,10.9,3.5
159,2016-06-08,18.6,21.1,15.4,0.0,0.8,3.3
160,2016-06-09,17.9,21.1,15.9,23.0,0.1,2.6
161,2016-06-10,18.4,24.0,11.9,0.0,13.8,2.5
162,2016-06-11,19.4,28.9,9.5,0.0,13.4,2.0
163,2016-06-12,20.0,28.0,14.5,0.0,5.7,2.0
164,2016-06-13,17.6,19.3,15.7,0.5,0.0,3.3
165,2016-06-14,16.5,18.5,14.7,0.0,0.0,1.7
166,2016-06-15,16.9,20.8,14.0,1.0,1.3,2.5
167,2016-06-16,17.7,19.9,15.0,12.0,0.0,4.3
168,2016-06-17,18.6,22.4,16.3,9.5,0.8,2.8
169,2016-06-18,18.2,22.5,13.1,0.0,3.3,1.9
170,2016-06-19,19.6,26.4,11.8,3.0,10.9,3.6
171,2016-06-20,19.4,25.2,15.2,4.0,5.1,3.4
172,2016-06-21,18.1,24.9,13.4,1.5,3.1,1.7
173,2016-06-22,16.5,19.4,14.5,0.5,0.2,1.9
174,2016-06-23,13.6,14.6,12.8,19.0,0.0,2.0
175,2016-06-24,16.1,19.4,13.2,0.5,0.4,2.1
176,2016-06-25,21.0,24.5,17.4,9.0,5.3,4.6
177,2016-06-26,16.1,20.5,14.0,0.5,3.2,3.3
178,2016-06-27,16.9,21.9,13.6,0.0,5.4,2.0
179,2016-06-28,18.3,22.7,13.7,0.0,0.4,2.4
180,2016-06-29,21.0,27.4,14.2,0.0,12.9,1.7
181,2016-06-30,20.0,24.5,17.7,0.0,3.6,3.8
182,2016-07-01,21.9,27.8,18.2,0.0,8.1,2.4
183,2016-07-02,22.0,24.2,19.1,3.0,1.3,3.8
184,2016-07-03,22.0,26.5,19.8,0.0,5.6,3.0
185,2016-07-04,20.7,25.4,15.0,0.0,8.6,2.8
186,2016-07-05,17.3,21.5,14.0,0.0,1.7,2.2
187,2016-07-06,16.1,18.2,13.2,34.0,0.0,2.7
188,2016-07-07,15.7,18.4,13.1,0.5,0.4,1.5
189,2016-07-08,20.1,26.3,15.3,0.0,5.6,1.7
190,2016-07-09,20.4,24.5,17.5,0.5,1.7,1.8
191,2016-07-10,20.1,24.3,16.7,6.5,0.9,1.9
192,2016-07-11,19.7,25.0,14.1,0.0,8.2,2.2
193,2016-07-12,20.1,27.5,12.3,0.0,13.1,2.1
194,2016-07-13,21.8,28.1,15.8,0.0,12.5,2.4
195,2016-07-14,18.4,20.2,16.4,32.0,0.0,1.7
196,2016-07-15,16.9,18.9,16.1,0.5,0.0,2.1
197,2016-07-16,19.4,24.4,16.0,0.5,1.3,1.7
198,2016-07-17,20.7,22.3,18.8,11.5,0.0,2.9
199,2016-07-18,21.8,26.4,17.0,0.0,2.5,2.0
200,2016-07-19,20.5,24.5,16.8,0.0,2.0,1.9
201,2016-07-20,19.4,22.2,17.1,0.0,0.2,1.7
202,2016-07-21,19.3,23.8,16.0,0.0,6.3,1.7
203,2016-07-22,19.2,24.7,15.3,0.0,12.1,2.3
204,2016-07-23,18.1,23.3,13.3,0.0,7.4,2.3
205,2016-07-24,20.1,26.7,15.1,0.0,7.2,2.3
206,2016-07-25,22.2,27.6,17.3,0.0,9.5,2.7
207,2016-07-26,23.2,27.6,19.9,0.0,9.4,4.1
208,2016-07-27,21.7,23.0,20.6,1.0,0.0,4.4
209,2016-07-28,23.0,25.0,21.1,11.0,0.1,4.2
210,2016-07-29,25.2,30.4,21.6,13.0,9.3,3.6
211,2016-07-30,23.9,29.1,21.0,5.0,9.0,2.7
212,2016-07-31,24.1,28.1,20.7,0.0,2.2,2.2
213,2016-08-01,24.6,29.8,19.5,20.5,6.4,1.6
214,2016-08-02,23.0,29.0,20.5,55.0,2.0,1.2
215,2016-08-03,23.7,29.6,20.4,0.0,4.4,1.4
216,2016-08-04,23.7,30.0,18.9,0.0,10.5,2.1
217,2016-08-05,24.1,30.6,18.0,0.0,11.2,2.3
218,2016-08-06,25.0,30.7,19.6,0.0,10.1,1.6
219,2016-08-07,26.8,33.0,21.2,0.0,13.1,3.0
220,2016-08-08,26.7,33.4,22.7,0.0,11.5,2.9
221,2016-08-09,23.4,28.6,18.8,1.0,2.4,2.3
222,2016-08-10,21.5,27.0,16.2,0.0,7.3,2.3
223,2016-08-11,20.6,28.0,14.0,0.0,11.3,1.8
224,2016-08-12,22.0,30.2,13.7,0.0,13.0,1.5
225,2016-08-13,22.6,29.9,16.5,0.0,12.4,2.8
226,2016-08-14,21.2,28.2,15.7,0.0,10.0,1.9
227,2016-08-15,22.3,27.5,17.4,0.0,7.3,3.1
228,2016-08-16,23.8,28.5,20.7,2.5,0.3,2.8
229,2016-08-17,21.3,23.3,19.4,117.5,0.3,1.6
230,2016-08-18,23.2,28.1,18.6,0.0,8.6,1.8
231,2016-08-19,25.6,30.6,21.9,0.0,6.9,2.2
232,2016-08-20,25.1,30.9,21.3,0.5,5.3,1.8
233,2016-08-21,23.9,27.8,21.7,2.5,1.1,1.4
234,2016-08-22,25.0,29.0,21.2,33.0,2.3,2.8
235,2016-08-23,22.5,28.1,19.1,37.0,5.9,1.9
