Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,deepest_snowfall,total_snowfall
0,2016-01-01,0.4,4.5,-4.8,0.0,0,0
1,2016-01-02,3.0,9.4,-5.2,0.0,0,0
2,2016-01-03,6.5,10.2,1.0,0.0,0,0
3,2016-01-04,3.0,8.5,-0.5,3.0,0,0
4,2016-01-05,1.1,3.4,-0.4,0.0,0,0
5,2016-01-06,1.4,4.5,-2.4,0.0,0,0
6,2016-01-07,1.3,3.5,-2.9,0.0,0,0
7,2016-01-08,0.2,5.3,-4.3,0.0,0,0
8,2016-01-09,-0.8,3.7,-5.1,0.0,0,0
9,2016-01-10,0.2,5.2,-4.2,0.0,0,0
10,2016-01-11,-1.6,1.0,-3.5,0.0,0,0
11,2016-01-12,-1.2,2.1,-4.7,0.0,0,0
12,2016-01-13,-1.7,4.8,-7.0,0.0,0,0
13,2016-01-14,-0.5,3.5,-6.8,0.0,0,0
14,2016-01-15,-2.9,2.5,-8.0,0.0,0,0
15,2016-01-16,-3.1,3.7,-9.6,0.0,0,0
16,2016-01-17,-2.2,3.6,-7.0,0.0,0,0
17,2016-01-18,-0.3,3.3,-5.7,64.5,6,11
18,2016-01-19,0.2,3.1,-4.5,14.5,14,11
19,2016-01-20,-0.2,3.1,-6.3,0.0,8,0
20,2016-01-21,-0.5,2.9,-4.0,0.5,13,6
21,2016-01-22,-1.9,1.0,-6.7,0.0,10,0
22,2016-01-23,-1.4,1.6,-3.9,0.0,9,0
23,2016-01-24,-1.7,2.0,-5.4,0.0,9,0
24,2016-01-25,-2.1,1.9,-7.2,0.0,11,2
25,2016-01-26,-0.7,5.2,-5.1,0.0,10,0
26,2016-01-27,1.3,4.7,-4.1,0.0,9,0
27,2016-01-28,0.0,4.4,-5.2,0.0,8,1
28,2016-01-29,-1.9,1.2,-6.2,0.0,8,1
29,2016-01-30,-1.4,3.2,-4.6,0.0,8,1
30,2016-01-31,-1.7,2.9,-7.2,0.0,8,1
31,2016-02-01,-2.7,0.1,-7.4,0.0,8,0
32,2016-02-02,-2.7,1.3,-8.0,0.0,8,0
33,2016-02-03,-1.0,3.7,-4.4,0.0,7,0
34,2016-02-04,-1.4,5.1,-7.7,0.0,8,1
35,2016-02-05,1.5,4.8,-3.8,0.0,6,1
36,2016-02-06,-1.0,3.9,-5.4,0.0,5,3
