,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,avg_wind_speed
0,2016-01-01,-1.5,3.4,-7.8,0.0,2.6,1.9
1,2016-01-02,2.5,6.3,-2.0,0.0,1.3,3.5
2,2016-01-03,5.0,7.3,3.0,0.0,1.5,2.1
3,2016-01-04,1.7,3.9,-0.4,2.0,0.0,1.4
4,2016-01-05,0.1,2.6,-1.8,0.0,5.9,2.5
5,2016-01-06,0.2,2.5,-3.2,0.0,1.1,2.2
6,2016-01-07,0.1,3.0,-2.1,0.0,3.8,2.7
7,2016-01-08,0.2,3.1,-1.4,0.0,1.7,2.7
8,2016-01-09,-0.6,2.7,-2.5,0.0,4.8,2.0
9,2016-01-10,-0.9,3.3,-3.5,0.0,4.6,2.3
10,2016-01-11,-2.9,0.1,-5.1,0.0,6.4,3.0
11,2016-01-12,-2.4,0.7,-6.2,0.0,5.1,2.6
12,2016-01-13,-1.7,2.5,-7.4,2.0,5.5,2.0
13,2016-01-14,-1.7,1.2,-5.3,0.0,5.5,2.2
14,2016-01-15,-6.7,-0.2,-12.1,0.0,4.0,1.4
15,2016-01-16,-4.9,0.1,-11.3,0.0,5.4,1.8
16,2016-01-17,-3.0,1.7,-6.6,0.0,7.5,1.3
17,2016-01-18,-2.0,1.3,-6.3,12.5,0.0,3.0
18,2016-01-19,-0.3,1.3,-1.5,1.0,1.1,2.3
19,2016-01-20,-1.7,2.4,-6.3,0.0,3.6,1.4
20,2016-01-21,-2.5,2.7,-7.7,0.0,6.4,2.1
21,2016-01-22,-2.9,0.9,-6.1,0.0,6.1,2.5
22,2016-01-23,-4.1,0.1,-9.7,0.0,0.8,1.8
23,2016-01-24,-4.2,1.2,-9.2,0.0,4.1,1.9
24,2016-01-25,-3.7,0.7,-9.7,0.5,6.9,2.1
25,2016-01-26,-0.3,3.2,-7.8,0.5,2.1,2.5
26,2016-01-27,1.0,3.5,-3.7,3.0,4.7,2.3
27,2016-01-28,0.6,4.7,-6.5,0.0,6.1,2.7
28,2016-01-29,-4.7,0.1,-11.1,0.0,0.5,1.0
29,2016-01-30,-2.6,1.3,-4.8,0.0,5.8,1.2
30,2016-01-31,-1.6,1.8,-5.3,0.0,5.8,1.8
31,2016-02-01,-3.7,0.0,-6.9,0.0,7.8,1.6
32,2016-02-02,-4.9,-0.7,-8.5,0.0,1.3,1.2
33,2016-02-03,-2.7,2.6,-7.6,0.0,7.5,1.1
34,2016-02-04,-2.8,2.8,-11.7,0.5,6.7,1.8
35,2016-02-05,0.4,3.9,-2.5,0.0,3.6,2.3
36,2016-02-06,-2.8,2.2,-9.6,0.0,4.5,1.6
37,2016-02-07,-5.2,1.0,-12.8,0.0,8.9,2.2
38,2016-02-08,-1.9,1.8,-5.6,0.0,4.0,2.2
39,2016-02-09,0.6,3.9,-1.5,2.5,2.5,2.4
40,2016-02-10,-1.8,1.8,-6.7,0.0,2.9,1.6
41,2016-02-11,-1.4,3.8,-7.9,0.0,8.6,2.2
42,2016-02-12,-2.0,4.6,-11.7,0.0,8.9,2.2
43,2016-02-13,3.4,6.9,-0.3,0.0,1.5,2.9
44,2016-02-14,6.1,12.0,3.0,15.5,0.7,3.4
45,2016-02-15,-1.3,5.2,-5.8,0.0,0.5,2.7
46,2016-02-16,-2.9,-0.1,-6.7,0.0,3.7,2.1
