,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure
0,2016-01-01,1.1,6.6,-3.8,,6.8,,,1.8,3.4,1017.2,53,1023.1
1,2016-01-02,4.7,10.0,-3.2,0.0,1.2,,,2.3,5.0,1010.8,58,1016.6
2,2016-01-03,7.1,12.0,2.2,,4.3,,,1.9,6.4,1008.5,65,1014.3
3,2016-01-04,4.0,9.2,0.7,1.0,1.4,,,1.5,5.9,1006.6,73,1012.4
4,2016-01-05,2.2,6.7,-1.5,,7.2,,,2.1,3.2,1009.9,47,1015.8
5,2016-01-06,1.0,6.0,-3.4,,2.0,,,1.3,3.7,1010.5,57,1016.4
6,2016-01-07,1.7,5.9,-1.2,0.0,5.8,,,1.8,3.5,1005.1,51,1010.9
7,2016-01-08,1.4,6.5,-1.5,,7.3,,,2.0,3.6,1006.6,54,1012.5
8,2016-01-09,0.6,6.4,-2.8,,7.4,,,2.2,3.2,1010.7,52,1016.7
9,2016-01-10,1.5,8.2,-2.8,0.0,7.7,3.0,3.0,3.1,3.8,1008.1,58,1014.0
10,2016-01-11,-0.5,3.2,-2.9,,7.6,,,2.0,2.2,1010.7,37,1016.7
11,2016-01-12,-0.3,3.0,-3.5,,6.3,,,1.8,2.5,1008.2,42,1014.2
12,2016-01-13,0.3,6.6,-4.2,0.0,5.6,,,1.9,3.4,1006.0,56,1011.9
13,2016-01-14,1.2,6.9,-2.6,0.0,7.3,,,1.9,3.3,1005.3,52,1011.2
14,2016-01-15,-0.7,4.4,-4.5,,5.8,,,2.3,2.8,1011.6,49,1017.6
15,2016-01-16,-1.3,5.9,-5.9,,6.1,,,2.6,2.7,1013.0,50,1019.0
16,2016-01-17,-1.1,5.6,-6.7,,8.3,,,2.1,3.0,1016.7,54,1022.7
17,2016-01-18,0.6,3.1,-2.3,63.0,0.0,4.0,6.0,5.9,5.7,1002.6,87,1008.5
18,2016-01-19,1.5,5.0,-1.2,9.0,3.7,5.0,2.0,2.2,5.6,990.2,83,996.0
19,2016-01-20,1.1,4.8,-2.8,,6.3,3.0,,2.5,4.0,998.4,62,1004.3
20,2016-01-21,1.1,5.5,-2.0,0.0,6.7,3.0,1.0,2.0,3.5,1008.5,54,1014.4
21,2016-01-22,-0.4,4.1,-4.0,,8.5,2.0,,2.2,2.8,1011.1,50,1017.0
22,2016-01-23,0.1,4.6,-3.1,,2.4,,,1.8,3.1,1010.3,51,1016.3
23,2016-01-24,-1.4,1.6,-3.6,0.0,1.6,2.0,2.0,2.0,3.5,996.8,64,1002.7
24,2016-01-25,-0.6,3.8,-3.8,,6.4,1.0,,2.1,3.0,1005.9,53,1011.8
25,2016-01-26,1.9,7.0,-3.1,,2.8,,,1.5,4.1,1014.1,59,1020.0
26,2016-01-27,4.0,9.5,-0.5,0.0,8.0,,,2.3,4.2,1013.7,54,1019.6
27,2016-01-28,3.5,8.6,-0.2,,5.7,,,2.1,3.9,1017.8,50,1023.7
28,2016-01-29,0.1,3.2,-2.4,,0.8,,,1.9,3.1,1020.8,51,1026.8
29,2016-01-30,-0.2,3.7,-2.9,0.0,1.4,,,1.7,3.8,1016.0,63,1021.9
30,2016-01-31,0.4,5.8,-3.0,,7.2,,,1.6,3.2,1013.5,53,1019.5
31,2016-02-01,-1.1,4.8,-4.4,,6.9,,,1.9,2.6,1014.2,47,1020.2
32,2016-02-02,-2.2,2.0,-6.4,0.0,2.7,,,1.9,3.1,1011.2,59,1017.2
33,2016-02-03,-0.6,5.6,-6.4,,6.7,,,2.0,3.3,1015.3,57,1021.3
34,2016-02-04,0.2,6.7,-6.1,,6.9,,,2.0,3.6,1012.1,60,1018.0
35,2016-02-05,2.6,6.9,-1.9,,6.3,,,2.2,3.3,1008.8,46,1014.6
36,2016-02-06,0.9,6.7,-3.0,,4.8,,,1.8,3.4,1008.3,54,1014.3
37,2016-02-07,-1.4,4.1,-5.8,,9.2,,,1.8,2.3,1010.3,44,1016.2
38,2016-02-08,0.3,8.3,-5.9,,6.8,,,2.6,3.9,1012.2,63,1018.2
39,2016-02-09,3.8,10.4,-1.8,0.0,3.2,,,1.8,4.7,1000.9,59,1006.7
40,2016-02-10,1.1,5.3,-2.2,,9.0,,,2.3,2.7,1009.2,41,1015.1
41,2016-02-11,1.0,5.9,-2.9,,7.6,,,2.3,3.1,1023.6,49,1029.6
42,2016-02-12,3.5,10.8,-3.9,,9.3,,,3.2,4.2,1023.2,54,1029.1
43,2016-02-13,10.2,18.3,3.7,,3.7,,,2.5,8.1,1010.4,64,1016.1
44,2016-02-14,13.2,19.8,7.4,0.0,1.1,,,2.7,9.9,988.2,65,993.7
45,2016-02-15,2.1,9.6,-3.5,0.0,2.5,,,2.5,3.2,996.7,43,1002.5
46,2016-02-16,-0.9,5.0,-5.9,,7.4,,,2.1,3.1,1004.0,54,1009.9
47,2016-02-17,0.6,5.0,-2.8,0.0,7.9,,,2.3,3.3,1006.9,53,1012.8
48,2016-02-18,2.5,8.7,-3.2,0.0,3.2,,,1.8,4.3,1016.0,58,1021.9
49,2016-02-19,5.3,12.3,-1.5,0.0,7.4,,,2.1,5.5,1016.1,63,1021.9
50,2016-02-20,5.0,8.1,1.4,20.0,0.0,,,1.5,7.1,1016.5,82,1022.3
51,2016-02-21,4.8,10.5,1.5,3.0,2.7,,,2.2,6.0,1004.4,69,1010.3
52,2016-02-22,1.0,3.9,-1.5,,0.9,,,1.9,3.4,1022.6,52,1028.6
53,2016-02-23,2.9,6.7,-0.8,0.0,0.5,,,1.8,4.8,1014.7,63,1020.6
54,2016-02-24,0.2,4.3,-3.0,0.0,8.6,,,2.1,2.7,1016.8,44,1022.7
55,2016-02-25,-0.6,4.9,-4.4,,8.0,,,2.0,2.6,1019.2,46,1025.2
56,2016-02-26,0.0,5.0,-4.9,0.0,9.9,1.0,1.0,2.5,3.2,1017.4,56,1023.4
57,2016-02-27,0.7,7.0,-2.7,9.5,6.1,25.0,25.0,2.0,4.3,1019.3,69,1025.3
58,2016-02-28,0.3,2.9,-2.8,4.5,4.5,38.0,13.0,1.7,5.4,1021.7,87,1027.7
59,2016-02-29,4.5,8.4,0.6,7.5,0.2,6.0,,2.2,6.4,1002.9,76,1008.7
60,2016-03-01,0.8,5.1,-2.9,0.0,8.0,,,3.0,2.8,1004.0,44,1009.9
61,2016-03-02,0.4,5.6,-4.7,,6.4,,,1.8,3.1,1012.9,51,1018.9
62,2016-03-03,2.3,9.4,-3.2,3.5,6.7,6.0,6.0,2.2,4.5,1013.7,64,1019.6
63,2016-03-04,1.6,7.0,-1.9,,8.3,,,2.5,4.5,1025.5,66,1031.5
64,2016-03-05,2.6,6.9,-3.0,,7.0,,,2.3,5.3,1029.0,73,1035.0
65,2016-03-06,9.2,13.5,4.7,,0.6,,,2.7,9.3,1018.6,79,1024.4
66,2016-03-07,8.3,17.6,5.9,0.0,2.0,,,2.2,9.0,1012.5,83,1018.3
67,2016-03-08,9.6,16.2,5.6,0.0,2.5,,,1.9,8.1,1006.8,69,1012.5
68,2016-03-09,3.9,7.0,1.5,0.0,1.5,,,2.0,4.1,1011.7,51,1017.6
69,2016-03-10,1.5,5.6,-1.2,0.0,6.6,,,2.6,4.6,1013.3,69,1019.2
70,2016-03-11,1.0,8.2,-3.6,,7.1,,,2.2,3.8,1013.3,60,1019.2
71,2016-03-12,1.6,7.4,-3.3,,10.1,,,2.5,3.4,1018.3,50,1024.2
72,2016-03-13,4.1,10.1,-2.2,,8.3,,,2.5,4.3,1018.8,53,1024.7
73,2016-03-14,5.5,10.5,2.7,,6.3,,,1.9,6.2,1011.1,69,1016.9
74,2016-03-15,5.0,10.3,0.6,,10.5,,,2.2,4.0,1007.6,49,1013.4
75,2016-03-16,7.7,13.6,-0.4,,5.5,,,2.3,4.6,1012.3,45,1018.1
76,2016-03-17,11.3,18.8,5.9,,10.7,,,2.0,5.4,1013.6,42,1019.3
77,2016-03-18,12.3,21.0,4.1,,6.6,,,2.3,6.2,1010.6,44,1016.3
78,2016-03-19,12.9,20.0,7.8,0.0,3.0,,,2.0,9.8,1000.7,68,1006.3
79,2016-03-20,6.0,11.6,3.5,0.0,1.0,,,3.1,6.1,1006.2,66,1012.0
80,2016-03-21,3.7,9.3,-1.1,,6.6,,,2.3,3.9,1011.1,49,1016.9
81,2016-03-22,6.2,12.9,-1.5,0.0,6.8,,,2.3,5.0,1005.8,54,1011.6
82,2016-03-23,5.2,11.0,0.2,0.0,10.1,,,2.5,4.4,1007.5,52,1013.4
83,2016-03-24,1.7,8.3,-1.9,1.5,3.8,,,2.7,4.9,1010.2,71,1016.1
84,2016-03-25,2.4,9.0,-2.8,0.0,6.3,,,2.5,4.8,1010.6,68,1016.5
85,2016-03-26,3.0,10.9,-3.0,,6.0,,,2.7,5.0,1014.0,67,1019.9
86,2016-03-27,6.5,15.3,-0.8,,10.9,,,2.7,5.4,1013.3,59,1019.1
87,2016-03-28,6.2,13.3,0.4,,11.5,,,2.3,6.4,1014.0,69,1019.8
88,2016-03-29,7.1,14.4,0.8,,10.0,,,2.1,6.5,1017.4,66,1023.2
89,2016-03-30,10.9,19.5,4.9,0.0,6.5,,,2.9,7.4,1011.1,58,1016.8
90,2016-03-31,7.8,15.7,2.2,,10.9,,,2.6,6.3,1011.3,61,1017.1
91,2016-04-01,4.9,10.5,0.2,1.5,3.7,,,3.1,6.7,1019.8,77,1025.7
92,2016-04-02,6.3,7.9,5.0,,0.0,,,4.0,7.3,1022.4,76,1028.3
93,2016-04-03,11.6,17.9,7.3,5.0,1.3,,,2.1,10.7,1014.0,79,1019.7
94,2016-04-04,4.8,7.3,1.6,34.0,0.0,,,2.6,7.6,1006.7,88,1012.5
95,2016-04-05,8.3,16.3,-0.3,,11.1,,,2.4,5.9,1006.0,57,1011.7
96,2016-04-06,9.7,17.0,3.3,,11.9,,,2.2,5.8,1012.0,50,1017.7
97,2016-04-07,7.9,12.9,2.2,38.0,0.0,,,4.1,8.8,1007.0,80,1012.8
98,2016-04-08,10.6,15.6,7.2,,7.1,,,2.8,9.3,1001.3,74,1007.0
99,2016-04-09,14.3,20.8,8.4,,11.1,,,3.2,6.4,1003.9,41,1009.5
100,2016-04-10,7.1,10.6,3.0,0.0,5.7,,,2.2,6.7,1006.5,68,1012.3
101,2016-04-11,4.4,10.0,0.4,2.5,4.6,,,2.0,5.2,1006.6,64,1012.5
102,2016-04-12,6.7,13.6,1.5,,12.0,,,2.6,5.1,1014.9,53,1020.7
103,2016-04-13,11.3,17.8,4.1,0.0,1.9,,,1.8,9.2,1008.5,68,1014.2
104,2016-04-14,11.5,15.5,9.9,1.5,5.1,,,1.8,12.5,1000.8,92,1006.4
