,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,avg_wind_speed
0,2016-01-01,-1.7,-0.2,-5.5,0.0,0.2,2.0
1,2016-01-02,1.8,4.9,-2.2,10.0,0.0,2.9
2,2016-01-03,2.9,5.1,0.8,6.0,3.9,2.5
3,2016-01-04,0.8,2.1,-1.1,4.0,0.4,2.2
4,2016-01-05,-2.0,-0.3,-3.1,2.5,0.0,2.6
5,2016-01-06,-1.3,0.1,-3.1,0.5,0.0,2.5
6,2016-01-07,-2.0,-0.4,-3.4,2.0,1.5,3.5
7,2016-01-08,-1.8,-0.4,-2.7,1.0,0.1,2.3
8,2016-01-09,-2.4,-0.7,-3.7,1.0,2.0,2.6
9,2016-01-10,-2.3,1.2,-4.7,4.5,0.6,2.5
10,2016-01-11,-5.1,-4.3,-6.0,5.0,0.0,2.1
11,2016-01-12,-4.5,-3.4,-6.4,0.0,0.2,2.8
12,2016-01-13,-3.5,-1.5,-5.1,6.0,0.9,1.5
13,2016-01-14,-3.4,-0.2,-5.3,4.5,2.3,2.5
14,2016-01-15,-6.2,-2.7,-10.9,0.5,0.6,1.3
15,2016-01-16,-6.0,-3.0,-11.1,0.0,1.5,2.4
16,2016-01-17,-3.9,-1.1,-7.4,0.5,5.4,2.0
17,2016-01-18,-1.9,0.4,-7.1,27.0,0.0,1.9
18,2016-01-19,-1.4,0.3,-2.7,34.0,0.0,1.2
19,2016-01-20,-2.0,1.2,-6.7,2.0,3.1,
20,2016-01-21,-2.4,-0.3,-3.8,0.0,3.2,2.5
21,2016-01-22,-4.2,-2.0,-6.9,0.5,3.7,2.8
22,2016-01-23,-5.1,-2.3,-8.9,5.5,0.9,2.3
23,2016-01-24,-5.5,-0.1,-10.3,3.5,3.9,
24,2016-01-25,-3.7,-2.7,-5.3,0.5,1.5,2.8
25,2016-01-26,-0.5,1.4,-2.9,2.0,0.6,2.7
26,2016-01-27,-0.1,1.1,-1.8,13.5,2.1,3.3
27,2016-01-28,-0.8,1.1,-3.9,0.0,3.0,3.9
28,2016-01-29,-4.1,-1.0,-8.4,0.0,0.7,0.9
29,2016-01-30,-3.3,-0.6,-5.1,0.5,1.9,1.5
30,2016-01-31,-3.1,-0.7,-4.8,1.0,2.3,3.3
31,2016-02-01,-4.9,-3.3,-6.2,0.5,0.6,1.9
32,2016-02-02,-4.5,-3.3,-6.1,2.5,0.0,1.6
33,2016-02-03,-3.2,-1.0,-6.0,0.0,4.7,2.1
34,2016-02-04,-2.4,1.6,-8.9,0.5,3.3,1.9
35,2016-02-05,-1.3,0.5,-2.5,1.0,1.0,3.5
36,2016-02-06,-3.8,-0.5,-8.4,0.0,3.6,1.3
37,2016-02-07,-5.1,-2.9,-10.0,0.0,5.6,2.0
38,2016-02-08,-2.5,2.3,-6.8,2.0,1.9,1.2
39,2016-02-09,-1.6,2.3,-6.8,6.0,1.4,
40,2016-02-10,-3.1,-1.6,-4.1,2.0,1.6,2.9
41,2016-02-11,-2.9,0.6,-8.7,0.0,2.9,1.6
42,2016-02-12,-2.6,6.7,-12.6,0.0,8.4,0.7
43,2016-02-13,0.6,2.2,-2.7,14.0,0.0,
44,2016-02-14,3.9,10.9,1.2,34.0,0.0,4.1
45,2016-02-15,-3.7,1.6,-6.8,4.5,0.1,3.9
46,2016-02-16,-4.6,-2.8,-6.7,13.0,0.0,1.4
47,2016-02-17,-3.8,-2.1,-5.4,4.5,0.2,
48,2016-02-18,-1.1,3.0,-5.4,4.5,0.5,2.0
49,2016-02-19,0.8,4.3,-4.6,12.0,0.0,2.2
50,2016-02-20,1.8,4.1,-0.5,16.0,0.0,1.0
51,2016-02-21,1.1,5.6,-3.3,13.0,0.0,4.5
52,2016-02-22,-3.3,-0.3,-6.7,0.0,0.6,2.2
53,2016-02-23,-1.9,1.7,-6.4,8.0,0.0,0.7
54,2016-02-24,-4.3,-0.1,-7.0,0.0,1.1,2.2
55,2016-02-25,-5.1,-1.8,-7.3,1.5,3.1,1.6
56,2016-02-26,-4.6,-1.4,-8.3,3.5,1.0,1.4
57,2016-02-27,-2.3,0.8,-6.6,5.5,4.5,2.0
58,2016-02-28,-0.9,3.2,-5.4,2.0,7.2,0.9
59,2016-02-29,1.1,3.7,-2.5,13.5,0.0,2.7
60,2016-03-01,-4.0,-2.1,-5.2,2.5,0.0,3.8
61,2016-03-02,-3.2,-0.2,-8.0,3.0,1.8,2.6
62,2016-03-03,-1.3,3.8,-9.4,23.0,1.1,2.8
63,2016-03-04,-0.9,3.8,-5.7,0.0,9.0,1.0
64,2016-03-05,0.7,8.4,-8.1,0.0,9.9,1.1
65,2016-03-06,3.0,6.6,0.9,2.0,0.0,0.8
66,2016-03-07,3.9,8.5,0.8,8.5,4.0,1.0
67,2016-03-08,3.5,7.1,0.2,1.0,0.0,3.0
68,2016-03-09,-0.2,1.9,-1.9,0.0,2.7,2.0
69,2016-03-10,-1.7,1.5,-4.9,0.0,6.8,1.4
70,2016-03-11,-2.1,0.6,-5.1,0.0,3.5,1.7
71,2016-03-12,-2.3,1.9,-6.4,0.5,7.6,1.3
72,2016-03-13,-1.3,5.1,-9.8,0.0,5.0,0.8
73,2016-03-14,2.0,7.4,-2.8,0.0,7.8,1.0
74,2016-03-15,0.1,3.3,-4.7,0.5,5.4,2.3
75,2016-03-16,3.2,8.5,-1.0,3.5,4.0,2.1
76,2016-03-17,5.4,10.8,-2.6,0.0,6.4,2.7
77,2016-03-18,5.2,15.1,-2.7,0.0,8.3,1.3
78,2016-03-19,4.0,7.1,1.7,9.0,0.0,0.7
79,2016-03-20,2.9,6.0,-0.9,0.5,3.0,2.6
80,2016-03-21,0.4,2.6,-3.6,2.0,4.9,2.3
81,2016-03-22,2.8,5.5,0.0,22.5,0.7,3.3
82,2016-03-23,0.5,3.2,-2.3,2.0,3.1,2.5
83,2016-03-24,0.0,3.4,-3.2,4.0,5.7,1.5
84,2016-03-25,-0.1,3.1,-4.0,2.0,3.4,2.0
85,2016-03-26,0.6,4.7,-3.5,0.0,3.2,1.2
86,2016-03-27,1.2,8.9,-5.6,0.0,9.6,1.1
87,2016-03-28,2.0,9.7,-4.6,0.0,7.9,1.1
88,2016-03-29,3.8,12.6,-2.5,0.0,9.7,1.0
89,2016-03-30,3.8,11.8,-1.5,17.0,2.6,1.2
90,2016-03-31,4.2,9.7,-1.8,6.5,8.4,2.4
91,2016-04-01,5.5,14.6,-2.6,0.0,11.4,1.4
92,2016-04-02,4.7,7.1,2.7,0.0,0.0,1.4
93,2016-04-03,5.9,10.3,3.4,10.5,0.0,0.6
94,2016-04-04,4.3,8.0,-0.8,27.0,0.0,0.7
95,2016-04-05,5.7,13.1,-1.8,0.0,11.3,2.6
96,2016-04-06,5.4,10.7,-1.6,0.5,10.7,2.6
97,2016-04-07,5.1,8.7,-1.5,34.5,0.0,1.0
98,2016-04-08,7.5,9.8,2.3,11.0,0.1,3.0
99,2016-04-09,6.9,14.2,0.8,0.0,5.1,2.0
100,2016-04-10,5.1,13.0,-0.9,0.0,4.8,1.4
101,2016-04-11,0.6,3.9,-0.9,4.5,2.3,2.4
102,2016-04-12,2.8,9.2,-1.6,0.0,8.0,1.4
103,2016-04-13,7.1,14.9,-1.2,2.5,2.3,0.8
104,2016-04-14,12.2,19.5,6.1,13.5,5.2,1.7
105,2016-04-15,5.0,10.7,3.9,8.5,1.2,5.1
106,2016-04-16,7.5,13.6,2.5,0.0,2.4,1.3
107,2016-04-17,9.8,14.6,2.5,25.0,0.2,4.1
108,2016-04-18,9.8,12.6,8.1,1.0,0.8,5.9
109,2016-04-19,7.2,10.9,4.1,0.5,2.9,3.2
110,2016-04-20,7.3,13.4,3.5,4.0,2.6,1.0
111,2016-04-21,11.4,18.7,3.3,0.5,3.0,1.7
112,2016-04-22,12.6,18.2,7.5,2.5,2.9,1.3
113,2016-04-23,12.5,20.7,7.0,0.0,4.5,1.9
114,2016-04-24,9.7,16.5,1.4,0.0,11.0,1.8
115,2016-04-25,8.7,18.2,-1.4,0.0,12.0,1.3
116,2016-04-26,9.4,19.0,0.3,0.0,10.8,1.7
117,2016-04-27,9.8,20.1,-0.5,0.0,9.5,1.3
118,2016-04-28,7.7,9.2,6.2,30.0,0.0,1.4
119,2016-04-29,5.2,7.5,3.6,13.0,0.0,2.4
120,2016-04-30,5.9,9.8,2.9,1.0,6.0,2.8
121,2016-05-01,5.5,6.5,4.1,14.5,0.0,0.5
122,2016-05-02,10.1,16.8,4.3,0.0,1.2,0.8
123,2016-05-03,15.2,22.1,8.4,0.0,9.0,1.4
124,2016-05-04,13.3,17.4,9.2,6.5,2.0,3.1
125,2016-05-05,11.7,13.7,9.4,2.0,0.0,5.6
126,2016-05-06,14.8,22.5,8.4,0.0,8.7,1.7
127,2016-05-07,11.8,14.2,10.3,22.0,1.2,2.7
128,2016-05-08,11.1,16.4,3.0,0.0,10.4,3.9
129,2016-05-09,12.7,23.0,0.4,0.0,12.4,1.1
130,2016-05-10,12.8,15.4,9.3,24.0,0.0,0.9
131,2016-05-11,12.0,14.3,10.8,39.0,0.0,2.5
132,2016-05-12,8.8,11.6,4.8,10.0,0.0,2.9
133,2016-05-13,13.9,23.5,3.7,0.0,12.3,2.1
134,2016-05-14,15.1,22.4,7.5,0.0,10.1,1.3
135,2016-05-15,13.0,22.1,3.7,0.0,12.4,1.5
136,2016-05-16,14.1,21.3,6.2,0.0,9.4,1.4
137,2016-05-17,12.3,16.3,7.0,5.0,3.2,1.7
138,2016-05-18,14.1,21.5,6.5,0.0,12.6,1.9
139,2016-05-19,15.0,24.9,5.3,0.0,12.5,1.1
140,2016-05-20,16.2,26.5,7.0,0.0,10.8,1.1
141,2016-05-21,16.5,24.9,8.4,0.0,4.6,0.9
142,2016-05-22,17.5,27.8,9.0,0.0,11.6,1.2
143,2016-05-23,15.8,25.4,5.6,0.0,10.3,1.8
144,2016-05-24,17.0,25.9,7.7,0.0,4.9,0.7
145,2016-05-25,16.1,18.3,13.7,2.0,0.0,1.0
146,2016-05-26,17.7,19.7,15.5,13.5,0.0,1.3
147,2016-05-27,15.1,19.1,8.7,5.0,1.2,1.6
148,2016-05-28,15.2,24.9,7.0,0.0,11.3,1.8
149,2016-05-29,16.5,24.3,6.3,0.0,10.3,1.2
150,2016-05-30,17.6,25.2,12.2,0.0,8.0,1.1
151,2016-05-31,16.5,23.1,11.8,20.5,3.9,1.7
152,2016-06-01,10.3,12.9,8.8,40.5,1.0,4.0
153,2016-06-02,10.3,13.6,8.6,1.5,1.3,2.2
154,2016-06-03,11.5,16.8,6.4,0.0,4.3,1.6
