,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,deepest_snowfall,total_snowfall,avg_wind_speed
0,2016-01-01,-0.5,1.1,-6.2,0.0,4.3,10,0,3.2
1,2016-01-02,1.4,5.8,-2.2,6.5,1.2,15,6,
2,2016-01-03,4.1,5.8,2.2,1.5,0.5,8,1,2.6
3,2016-01-04,1.4,4.2,-0.4,5.0,0.4,8,6,2.0
4,2016-01-05,-0.5,1.5,-2.4,0.0,5.3,6,0,4.9
5,2016-01-06,0.0,1.5,-2.4,0.0,0.6,5,0,2.9
6,2016-01-07,-0.2,1.5,-1.7,0.0,5.3,6,2,3.1
7,2016-01-08,-0.2,1.8,-2.3,0.0,2.9,6,3,2.3
8,2016-01-09,-0.6,1.0,-2.6,0.0,3.3,6,2,2.2
9,2016-01-10,-1.7,1.7,-5.6,1.0,3.7,9,7,3.7
10,2016-01-11,-3.6,-2.1,-4.6,0.0,6.0,7,1,5.0
11,2016-01-12,-3.1,-1.1,-5.6,0.0,2.5,8,1,2.8
12,2016-01-13,-2.2,0.2,-4.0,3.0,5.5,15,9,2.0
13,2016-01-14,-2.2,0.3,-5.4,1.0,3.0,17,2,2.0
14,2016-01-15,-6.0,-0.8,-13.7,0.0,1.1,14,2,1.1
15,2016-01-16,-5.1,-1.0,-11.4,0.0,3.5,13,0,1.4
16,2016-01-17,-3.7,0.2,-8.8,0.0,5.3,13,1,2.0
17,2016-01-18,-2.2,1.7,-8.2,11.0,0.0,28,16,2.7
18,2016-01-19,-0.5,2.3,-5.0,10.0,0.5,37,23,
19,2016-01-20,-1.9,2.3,-5.4,0.5,3.1,37,4,
20,2016-01-21,-1.1,1.1,-3.5,0.5,5.0,32,7,3.5
21,2016-01-22,-2.8,-0.3,-5.7,0.0,5.0,28,0,3.1
22,2016-01-23,-3.9,-0.6,-9.4,0.0,0.0,27,1,2.0
23,2016-01-24,-5.1,-0.2,-13.4,0.0,3.1,26,1,1.2
24,2016-01-25,-3.0,-1.0,-6.9,1.5,3.5,31,6,3.0
25,2016-01-26,0.4,2.8,-2.0,2.5,0.1,32,7,1.5
26,2016-01-27,1.1,2.7,-0.4,6.5,5.3,36,4,
27,2016-01-28,0.6,2.9,-2.3,0.0,7.0,27,0,3.7
28,2016-01-29,-3.9,-0.4,-9.0,0.0,1.7,26,0,1.1
29,2016-01-30,-2.7,0.5,-5.3,0.0,4.7,26,1,1.2
30,2016-01-31,-1.7,0.5,-3.3,0.0,2.4,25,0,3.5
31,2016-02-01,-3.8,-1.6,-6.8,0.0,4.1,25,0,2.6
32,2016-02-02,-4.5,-0.6,-7.2,0.0,1.5,26,8,1.8
33,2016-02-03,-1.9,0.8,-4.9,0.0,5.6,24,1,2.4
34,2016-02-04,-2.7,2.4,-10.0,1.0,4.3,30,9,1.1
35,2016-02-05,0.1,1.3,-1.4,0.0,1.9,30,0,2.6
36,2016-02-06,-2.6,0.7,-10.6,0.0,5.2,26,1,2.7
37,2016-02-07,-6.1,-1.4,-14.3,0.0,7.2,24,0,1.9
38,2016-02-08,-4.8,0.8,-10.6,0.0,1.0,24,3,0.7
39,2016-02-09,-1.5,3.2,-6.3,2.5,1.0,32,11,1.5
40,2016-02-10,-1.9,-0.1,-3.0,0.0,7.0,26,1,4.0
41,2016-02-11,-1.7,2.3,-9.7,0.0,7.2,25,0,2.9
42,2016-02-12,-3.9,4.0,-14.3,0.0,9.2,23,0,0.6
