,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,avg_wind_speed
0,2016-01-01,16.2,19.4,13.3,0.0,3.0
1,2016-01-02,19.4,22.9,13.0,0.0,5.1
2,2016-01-03,19.8,21.9,16.5,19.0,5.1
3,2016-01-04,18.7,22.3,15.6,0.0,1.9
4,2016-01-05,20.5,24.4,15.8,12.0,3.4
5,2016-01-06,19.3,21.1,18.3,19.0,3.4
6,2016-01-07,17.9,20.0,16.5,0.0,8.8
7,2016-01-08,16.5,17.8,15.4,0.0,6.0
8,2016-01-09,15.8,19.3,12.2,0.0,4.5
9,2016-01-10,15.8,19.5,11.6,0.0,1.6
10,2016-01-11,17.0,20.2,13.8,17.5,1.9
11,2016-01-12,16.9,19.3,13.9,2.0,9.9
12,2016-01-13,15.2,17.2,13.9,0.0,7.6
13,2016-01-14,14.6,16.6,10.8,0.0,5.7
14,2016-01-15,13.7,19.1,8.7,2.5,2.3
15,2016-01-16,16.0,20.9,12.5,0.0,2.3
16,2016-01-17,18.9,21.0,12.1,10.0,7.5
17,2016-01-18,16.8,19.2,14.2,0.5,12.4
18,2016-01-19,13.8,16.3,12.5,0.0,10.6
19,2016-01-20,13.5,16.8,10.2,0.0,6.8
20,2016-01-21,13.5,15.1,9.7,18.5,2.5
21,2016-01-22,14.5,16.2,13.2,6.0,5.2
22,2016-01-23,13.8,15.1,11.0,20.5,10.3
23,2016-01-24,7.8,11.9,4.6,4.0,15.4
24,2016-01-25,9.7,13.9,5.1,3.5,10.4
25,2016-01-26,11.9,14.2,8.7,0.0,5.7
26,2016-01-27,13.6,18.2,8.2,0.0,1.9
27,2016-01-28,17.6,21.3,11.7,0.5,2.9
28,2016-01-29,20.6,23.1,17.0,10.5,7.3
29,2016-01-30,18.0,19.9,16.4,10.5,4.6
30,2016-01-31,18.4,21.7,16.0,0.0,4.2
31,2016-02-01,16.1,18.5,13.4,30.5,5.9
32,2016-02-02,13.6,14.9,12.2,1.0,7.8
33,2016-02-03,14.7,16.9,12.7,0.0,4.9
34,2016-02-04,14.8,18.1,9.9,0.0,2.6
35,2016-02-05,14.4,15.5,13.1,18.5,3.1
36,2016-02-06,13.7,16.5,11.3,3.0,9.7
37,2016-02-07,12.5,15.4,9.7,4.0,8.3
38,2016-02-08,13.1,15.5,11.7,0.0,9.3
39,2016-02-09,15.8,19.7,11.3,0.0,4.8
40,2016-02-10,15.0,20.9,9.1,0.0,2.4
41,2016-02-11,17.5,21.1,10.9,0.0,3.7
42,2016-02-12,20.0,21.6,18.4,2.0,5.8
43,2016-02-13,22.5,24.2,20.3,1.5,9.7
44,2016-02-14,17.6,22.7,12.9,6.5,8.6
45,2016-02-15,12.4,14.7,11.1,4.0,12.4
46,2016-02-16,11.9,13.5,10.8,0.0,8.9
47,2016-02-17,13.2,16.7,9.8,0.0,6.3
48,2016-02-18,13.9,19.1,8.9,0.0,2.1
49,2016-02-19,16.7,21.0,9.9,0.0,3.8
50,2016-02-20,18.4,21.8,14.3,16.0,9.4
51,2016-02-21,14.6,16.9,12.4,0.0,7.0
52,2016-02-22,16.2,19.9,10.5,0.0,3.1
53,2016-02-23,19.4,22.5,16.4,2.5,7.8
54,2016-02-24,15.1,16.8,13.2,0.0,9.4
55,2016-02-25,13.7,16.8,12.5,0.0,8.1
56,2016-02-26,14.2,17.4,12.3,0.0,4.1
57,2016-02-27,14.3,15.7,12.2,9.0,2.1
58,2016-02-28,17.8,22.9,14.6,2.5,2.8
59,2016-02-29,15.7,18.8,12.0,0.0,10.6
60,2016-03-01,12.8,15.9,10.8,0.0,7.1
61,2016-03-02,13.4,18.0,9.3,0.0,2.8
62,2016-03-03,14.2,19.4,9.0,0.0,2.5
63,2016-03-04,18.4,23.5,11.3,0.0,4.1
64,2016-03-05,20.4,22.7,18.7,0.5,5.3
65,2016-03-06,20.4,21.5,18.4,31.5,5.1
66,2016-03-07,20.9,24.5,17.7,0.0,3.0
67,2016-03-08,20.6,24.7,17.0,0.0,2.9
68,2016-03-09,20.1,21.6,17.8,15.0,8.8
69,2016-03-10,16.0,19.3,14.0,14.5,7.0
70,2016-03-11,14.3,15.5,11.7,0.0,8.0
71,2016-03-12,14.7,18.6,11.2,0.0,4.1
72,2016-03-13,18.0,22.0,12.1,3.0,4.6
73,2016-03-14,17.2,20.7,14.9,29.5,11.1
74,2016-03-15,16.1,18.9,14.4,0.0,4.6
75,2016-03-16,16.5,18.9,15.1,0.5,2.9
76,2016-03-17,19.6,21.5,17.5,0.0,4.4
