,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,avg_wind_speed
0,2016-01-01,16.1,19.0,12.5,0.0,4.9,3.2
1,2016-01-02,20.3,23.4,17.5,0.0,3.4,3.5
2,2016-01-03,19.3,21.2,17.1,16.5,0.0,2.1
3,2016-01-04,19.0,21.3,16.1,0.0,0.0,1.4
4,2016-01-05,21.0,24.0,18.2,13.0,1.0,2.3
5,2016-01-06,18.6,21.3,17.4,15.0,0.1,1.7
6,2016-01-07,16.6,19.6,14.0,0.0,7.6,2.5
7,2016-01-08,14.6,16.5,12.6,1.5,0.0,1.6
8,2016-01-09,14.8,17.5,12.5,0.0,2.5,2.4
9,2016-01-10,16.1,18.9,12.4,0.0,3.1,1.8
10,2016-01-11,17.2,20.0,15.6,20.0,0.0,2.1
11,2016-01-12,16.1,18.8,13.5,2.0,4.6,2.9
12,2016-01-13,13.7,16.3,11.6,0.0,0.0,1.9
13,2016-01-14,13.3,15.9,11.5,0.0,0.1,1.7
14,2016-01-15,14.0,17.9,9.9,0.0,1.8,1.9
15,2016-01-16,16.1,20.4,13.4,0.0,8.5,2.2
16,2016-01-17,18.8,20.3,13.2,11.0,0.1,5.4
17,2016-01-18,15.7,18.2,13.2,1.0,7.0,4.8
18,2016-01-19,12.8,15.1,11.6,0.0,2.0,3.9
19,2016-01-20,12.8,15.5,11.5,0.0,3.5,2.3
20,2016-01-21,13.6,14.9,11.7,18.5,0.0,3.4
21,2016-01-22,13.8,15.6,12.5,0.5,0.0,4.6
22,2016-01-23,12.6,14.3,9.9,11.0,0.0,4.1
23,2016-01-24,,,,,,
24,2016-01-25,,,,,,
25,2016-01-26,,,,,,
26,2016-01-27,,,,,,
27,2016-01-28,,,,,,
28,2016-01-29,,,,,,
29,2016-01-30,17.1,18.8,15.8,10.5,0.0,1.7
30,2016-01-31,17.1,20.8,13.3,0.0,3.0,2.2
31,2016-02-01,15.7,18.6,12.8,16.0,0.0,3.2
32,2016-02-02,12.4,13.8,11.3,2.0,0.0,2.1
33,2016-02-03,13.3,15.2,11.5,0.0,0.0,2.0
34,2016-02-04,14.3,17.6,10.0,0.0,5.3,2.5
35,2016-02-05,14.0,15.1,13.1,18.5,0.0,2.9
36,2016-02-06,12.5,16.2,10.0,6.5,1.7,3.9
37,2016-02-07,11.1,14.4,8.5,4.5,5.7,3.0
38,2016-02-08,11.1,14.7,9.1,0.0,1.6,3.5
39,2016-02-09,13.8,18.9,9.1,0.0,8.9,2.2
40,2016-02-10,15.8,20.4,10.4,0.0,8.9,2.7
41,2016-02-11,18.3,20.5,16.2,0.0,5.1,5.0
42,2016-02-12,19.9,21.3,18.3,1.5,0.0,7.8
43,2016-02-13,22.1,24.0,21.1,0.0,1.2,5.5
44,2016-02-14,17.0,21.9,12.2,13.5,0.9,2.8
45,2016-02-15,11.0,13.9,9.5,3.0,0.7,3.7
46,2016-02-16,10.4,12.5,7.9,0.0,0.1,2.6
47,2016-02-17,11.5,15.8,8.2,0.0,5.6,2.1
48,2016-02-18,13.9,18.8,7.7,0.0,7.3,1.7
49,2016-02-19,17.9,20.7,12.8,0.0,2.8,4.5
50,2016-02-20,17.6,21.7,12.8,15.5,1.6,5.4
51,2016-02-21,13.3,16.1,11.3,0.0,6.9,2.8
52,2016-02-22,16.1,19.2,11.9,0.0,3.0,3.7
53,2016-02-23,18.8,22.0,15.7,9.5,2.4,4.3
54,2016-02-24,14.6,16.4,12.4,0.0,0.0,4.0
55,2016-02-25,12.6,15.9,10.0,0.0,3.1,2.3
56,2016-02-26,12.9,16.7,9.5,0.0,2.3,2.6
57,2016-02-27,15.1,16.6,13.2,1.5,0.0,3.2
58,2016-02-28,16.5,20.7,14.4,12.0,1.4,2.2
59,2016-02-29,14.6,17.7,11.2,0.0,8.2,3.8
60,2016-03-01,11.5,14.2,9.7,0.0,0.1,2.2
61,2016-03-02,12.7,17.4,8.0,0.0,4.6,2.2
62,2016-03-03,15.5,19.4,10.6,0.0,8.9,2.6
63,2016-03-04,19.3,22.8,16.1,0.0,6.9,4.7
64,2016-03-05,20.3,21.9,19.2,0.0,0.3,6.0
65,2016-03-06,19.7,20.7,17.9,44.0,0.1,3.2
66,2016-03-07,20.2,25.0,17.3,0.0,8.5,2.1
67,2016-03-08,20.1,22.5,17.6,0.0,8.3,3.2
68,2016-03-09,19.3,20.9,15.9,11.5,1.9,3.6
69,2016-03-10,14.9,18.5,13.2,12.5,0.6,2.5
70,2016-03-11,13.1,15.6,10.9,0.0,0.0,2.4
71,2016-03-12,13.3,17.1,10.0,0.0,4.6,2.1
72,2016-03-13,18.2,20.5,13.1,1.5,4.7,4.4
73,2016-03-14,16.4,19.9,13.9,30.0,2.7,3.5
74,2016-03-15,15.3,18.5,10.3,0.0,5.9,3.4
75,2016-03-16,16.7,17.9,15.0,2.5,0.0,3.6
76,2016-03-17,19.0,21.2,17.7,0.0,0.3,4.7
77,2016-03-18,20.3,21.2,19.0,2.5,0.0,4.1
78,2016-03-19,20.0,23.4,16.5,27.5,2.1,2.1
79,2016-03-20,18.0,21.9,14.8,0.0,9.8,2.4
80,2016-03-21,18.0,21.4,15.9,0.0,6.3,2.5
81,2016-03-22,17.8,20.9,15.9,0.0,6.3,3.1
82,2016-03-23,19.1,22.2,15.6,14.0,2.6,2.5
83,2016-03-24,16.5,19.7,13.5,0.5,2.9,3.4
84,2016-03-25,15.3,17.9,13.6,1.0,0.5,2.4
