Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,avg_wind_speed
0,2016-01-01,4.5,12.1,-2.2,2.1
1,2016-01-02,9.6,15.2,3.9,1.6
2,2016-01-03,13.0,18.8,9.4,1.8
3,2016-01-04,11.5,17.5,6.3,3.7
4,2016-01-05,10.5,15.4,8.2,2.1
5,2016-01-06,8.3,11.0,4.1,2.0
6,2016-01-07,6.7,10.2,3.1,4.6
7,2016-01-08,5.6,8.5,1.2,4.2
8,2016-01-09,4.7,9.5,2.0,3.2
9,2016-01-10,4.9,10.9,-1.5,2.8
10,2016-01-11,5.9,8.2,3.9,1.6
11,2016-01-12,5.1,9.6,1.3,3.8
12,2016-01-13,3.8,8.0,1.2,4.2
13,2016-01-14,4.3,8.7,-0.2,3.5
14,2016-01-15,4.0,7.5,-0.6,3.3
15,2016-01-16,5.1,13.3,-1.0,2.1
16,2016-01-17,7.8,12.5,0.6,3.5
17,2016-01-18,7.1,11.4,1.9,7.3
18,2016-01-19,1.8,6.0,-0.3,6.1
19,2016-01-20,0.8,5.6,-2.6,5.2
20,2016-01-21,1.4,3.9,-2.3,3.2
21,2016-01-22,4.2,9.1,1.0,3.3
22,2016-01-23,3.8,9.7,-0.5,5.1
23,2016-01-24,-3.7,-0.5,-5.7,6.4
24,2016-01-25,-2.7,1.6,-10.7,2.7
25,2016-01-26,2.2,5.3,-2.3,2.8
26,2016-01-27,4.8,9.5,-0.8,1.7
27,2016-01-28,9.6,14.9,2.8,1.6
28,2016-01-29,14.2,16.8,11.9,2.2
29,2016-01-30,11.3,14.7,4.3,3.0
30,2016-01-31,7.5,14.2,2.4,2.9
31,2016-02-01,5.6,7.4,3.2,4.1
32,2016-02-02,3.8,8.8,0.4,5.0
33,2016-02-03,3.9,10.6,-2.0,3.8
34,2016-02-04,4.7,11.4,-1.9,4.1
35,2016-02-05,5.9,12.6,2.0,4.2
36,2016-02-06,4.0,8.5,0.6,5.3
37,2016-02-07,2.7,9.7,-3.0,3.7
38,2016-02-08,4.0,11.1,-2.7,3.4
39,2016-02-09,7.9,13.6,1.2,5.6
40,2016-02-10,7.5,16.4,1.2,3.1
41,2016-02-11,9.2,16.7,-0.4,3.0
42,2016-02-12,13.3,15.0,11.5,3.7
43,2016-02-13,16.7,18.6,14.1,4.3
44,2016-02-14,10.1,17.6,4.5,6.8
45,2016-02-15,2.3,5.2,-0.6,7.8
46,2016-02-16,2.2,6.3,-2.3,4.4
47,2016-02-17,4.7,10.1,0.4,5.1
48,2016-02-18,5.6,11.7,0.3,2.9
49,2016-02-19,8.9,15.6,0.9,2.2
50,2016-02-20,9.7,13.9,6.6,5.2
51,2016-02-21,5.7,10.2,1.3,5.5
52,2016-02-22,5.7,11.0,-0.1,2.3
53,2016-02-23,8.3,11.4,4.9,3.8
54,2016-02-24,5.8,11.3,-0.3,5.3
55,2016-02-25,3.4,9.4,-1.7,4.7
56,2016-02-26,4.2,11.5,-0.6,3.8
57,2016-02-27,7.0,14.8,-0.4,2.0
58,2016-02-28,9.7,17.6,1.9,2.2
59,2016-02-29,5.6,11.2,0.0,7.4
60,2016-03-01,1.2,7.8,-3.9,4.2
61,2016-03-02,5.2,13.4,-2.6,3.3
62,2016-03-03,8.2,17.0,-1.0,2.3
63,2016-03-04,12.6,20.1,4.8,2.7
64,2016-03-05,15.5,20.7,11.7,4.7
65,2016-03-06,16.7,20.6,14.0,3.3
66,2016-03-07,16.8,24.1,10.4,2.4
67,2016-03-08,15.3,23.7,7.5,2.4
68,2016-03-09,12.2,17.0,6.8,5.7
69,2016-03-10,8.4,12.3,4.3,3.8
70,2016-03-11,6.3,12.3,1.5,5.4
71,2016-03-12,5.6,13.3,0.3,3.1
72,2016-03-13,7.1,11.9,1.0,1.9
73,2016-03-14,8.6,13.5,4.8,5.9
74,2016-03-15,7.5,15.0,0.6,3.1
75,2016-03-16,9.5,17.6,3.3,2.6
76,2016-03-17,13.2,21.1,5.8,3.3
77,2016-03-18,14.5,16.4,12.7,2.9
78,2016-03-19,15.3,20.3,9.1,4.0
79,2016-03-20,11.9,20.2,5.2,3.1
80,2016-03-21,10.7,17.8,4.1,2.8
81,2016-03-22,11.4,19.0,4.1,2.7
82,2016-03-23,10.7,12.9,8.1,2.3
83,2016-03-24,10.1,17.1,4.6,3.0
84,2016-03-25,7.2,13.0,2.5,2.2
85,2016-03-26,8.7,16.6,1.1,2.8
86,2016-03-27,8.5,14.1,3.2,4.6
87,2016-03-28,8.7,15.7,1.7,4.0
88,2016-03-29,10.6,17.5,2.7,2.2
89,2016-03-30,11.7,15.2,8.1,1.5
90,2016-03-31,11.9,13.9,9.6,2.3
91,2016-04-01,14.9,20.4,10.7,4.1
92,2016-04-02,15.7,22.3,7.9,3.3
93,2016-04-03,17.0,21.3,13.4,2.2
94,2016-04-04,16.4,19.9,12.3,3.0
95,2016-04-05,14.9,21.2,10.1,2.7
96,2016-04-06,14.9,20.3,8.6,3.0
97,2016-04-07,19.1,22.4,14.9,5.8
98,2016-04-08,15.4,18.2,12.3,1.9
99,2016-04-09,15.7,19.3,12.0,2.2
100,2016-04-10,14.0,17.2,12.5,1.9
101,2016-04-11,15.6,22.0,10.7,2.7
102,2016-04-12,14.3,18.0,9.1,4.2
103,2016-04-13,15.6,17.8,12.8,3.1
104,2016-04-14,19.2,26.1,12.0,4.1
105,2016-04-15,17.3,25.0,9.4,2.9
106,2016-04-16,15.9,21.6,8.9,5.0
107,2016-04-17,16.6,21.4,9.8,5.3
108,2016-04-18,11.2,13.2,8.0,3.3
109,2016-04-19,13.7,21.9,5.6,4.0
110,2016-04-20,16.2,23.0,7.8,4.0
111,2016-04-21,18.0,22.0,14.5,4.9
112,2016-04-22,18.0,24.9,11.5,2.8
113,2016-04-23,12.5,16.5,8.7,1.8
114,2016-04-24,13.3,14.6,12.0,2.1
115,2016-04-25,16.2,17.6,13.8,2.8
116,2016-04-26,18.2,19.9,16.9,4.2
117,2016-04-27,17.9,19.2,16.5,3.6
118,2016-04-28,15.7,18.8,12.0,4.9
119,2016-04-29,14.9,21.9,8.5,4.6
120,2016-04-30,15.6,23.0,6.9,2.9
121,2016-05-01,17.6,25.2,9.5,2.6
122,2016-05-02,18.3,25.3,11.7,3.1
123,2016-05-03,17.4,20.8,12.6,5.4
124,2016-05-04,16.6,23.1,9.1,3.7
125,2016-05-05,19.1,25.4,11.6,2.2
126,2016-05-06,16.9,19.4,13.9,2.5
127,2016-05-07,20.7,26.4,17.1,2.1
128,2016-05-08,17.3,19.4,16.1,2.8
129,2016-05-09,19.3,20.8,16.7,2.2
130,2016-05-10,20.3,22.4,16.8,3.8
131,2016-05-11,17.1,21.9,11.2,3.7
132,2016-05-12,18.2,25.5,10.1,2.5
133,2016-05-13,19.3,25.9,12.3,2.1
134,2016-05-14,20.1,25.9,14.0,2.8
135,2016-05-15,21.5,25.5,19.5,3.3
136,2016-05-16,17.8,23.1,10.7,4.3
137,2016-05-17,16.2,25.1,7.4,2.3
138,2016-05-18,18.6,26.7,10.2,2.7
139,2016-05-19,19.6,24.3,12.7,4.8
140,2016-05-20,20.7,24.8,18.2,5.8
141,2016-05-21,20.7,25.1,15.0,4.6
142,2016-05-22,20.6,27.2,13.2,4.0
143,2016-05-23,22.1,27.5,18.2,5.0
144,2016-05-24,21.3,25.3,19.0,3.6
145,2016-05-25,22.6,24.6,20.3,1.2
146,2016-05-26,23.6,29.0,19.0,2.4
147,2016-05-27,21.1,27.2,17.2,1.8
148,2016-05-28,19.0,20.6,17.6,1.4
149,2016-05-29,20.8,22.0,18.9,1.3
150,2016-05-30,22.5,29.4,17.6,3.2
151,2016-05-31,22.2,28.9,16.1,2.5
152,2016-06-01,18.2,20.3,14.1,1.4
153,2016-06-02,19.7,27.2,13.2,2.5
154,2016-06-03,19.9,26.3,13.7,2.8
155,2016-06-04,18.2,19.4,16.4,3.2
156,2016-06-05,20.0,22.9,18.3,2.7
157,2016-06-06,21.4,25.2,18.3,3.5
158,2016-06-07,23.1,28.6,19.5,2.2
159,2016-06-08,23.2,27.8,17.8,2.0
160,2016-06-09,23.1,27.9,19.0,1.8
161,2016-06-10,23.8,28.9,18.6,2.4
162,2016-06-11,23.8,27.7,20.6,3.8
163,2016-06-12,22.7,24.3,21.5,2.9
164,2016-06-13,22.4,23.9,21.4,1.6
165,2016-06-14,23.5,28.7,19.4,2.1
166,2016-06-15,23.6,28.6,17.9,2.3
167,2016-06-16,22.0,24.4,19.6,2.4
168,2016-06-17,21.0,25.2,17.8,2.5
169,2016-06-18,23.1,28.7,16.9,1.7
170,2016-06-19,23.1,25.0,20.8,2.8
171,2016-06-20,24.0,26.5,22.4,3.9
172,2016-06-21,24.6,27.4,22.5,4.3
173,2016-06-22,25.5,28.0,24.2,4.2
174,2016-06-23,25.2,29.3,23.5,3.9
175,2016-06-24,26.0,28.5,23.7,5.2
176,2016-06-25,20.3,25.5,16.6,3.5
177,2016-06-26,20.8,27.1,15.2,3.1
178,2016-06-27,17.9,22.3,15.2,2.2
179,2016-06-28,24.4,25.5,22.2,3.2
180,2016-06-29,23.1,24.3,21.1,1.9
181,2016-06-30,22.5,25.0,20.5,1.4
182,2016-07-01,24.2,28.0,20.0,1.4
183,2016-07-02,25.8,29.8,21.5,2.8
184,2016-07-03,26.7,31.0,24.1,3.2
185,2016-07-04,27.2,31.3,22.8,2.3
186,2016-07-05,27.0,32.3,21.5,2.0
187,2016-07-06,26.7,32.0,21.1,2.5
188,2016-07-07,25.1,30.8,20.3,2.6
189,2016-07-08,22.7,24.0,21.9,3.1
190,2016-07-09,24.6,27.5,22.6,1.9
191,2016-07-10,24.6,28.1,23.4,2.2
192,2016-07-11,25.1,26.9,23.9,2.4
193,2016-07-12,26.6,30.3,24.6,4.3
194,2016-07-13,25.5,26.9,24.6,4.5
195,2016-07-14,25.5,28.9,22.1,4.3
196,2016-07-15,25.6,31.9,19.0,2.5
197,2016-07-16,25.4,28.7,22.5,2.5
198,2016-07-17,26.3,30.7,22.6,2.9
199,2016-07-18,26.5,32.3,21.1,2.4
200,2016-07-19,26.9,33.0,22.1,2.0
201,2016-07-20,24.8,30.8,21.9,2.0
202,2016-07-21,26.6,33.2,21.7,2.2
203,2016-07-22,26.9,32.8,21.5,1.8
204,2016-07-23,26.7,31.9,22.9,2.2
205,2016-07-24,25.6,30.3,21.3,2.5
206,2016-07-25,25.2,30.9,21.6,2.2
207,2016-07-26,25.2,30.2,21.0,2.0
208,2016-07-27,26.4,31.8,21.7,1.8
209,2016-07-28,26.4,31.9,21.8,2.4
210,2016-07-29,26.5,31.6,21.6,2.8
211,2016-07-30,26.7,31.6,21.6,3.1
212,2016-07-31,26.5,32.5,20.6,2.3
213,2016-08-01,26.6,33.3,22.9,1.9
214,2016-08-02,26.2,33.3,22.5,2.2
215,2016-08-03,25.6,33.1,21.3,1.7
216,2016-08-04,25.4,31.8,21.9,1.8
217,2016-08-05,26.6,32.0,21.8,3.0
218,2016-08-06,26.2,31.0,22.4,2.7
219,2016-08-07,26.6,31.2,23.0,2.5
220,2016-08-08,26.5,31.7,21.8,2.0
221,2016-08-09,27.8,33.5,22.6,1.7
222,2016-08-10,28.4,34.2,23.1,1.6
223,2016-08-11,28.2,34.1,23.7,2.2
224,2016-08-12,27.9,33.4,23.5,1.9
225,2016-08-13,27.8,32.7,24.0,1.8
226,2016-08-14,26.9,33.0,24.3,1.5
227,2016-08-15,27.9,34.1,23.6,2.4
228,2016-08-16,27.4,33.6,23.0,3.1
229,2016-08-17,27.2,33.5,20.6,2.4
230,2016-08-18,27.4,34.0,23.0,2.0
231,2016-08-19,27.1,32.8,23.1,1.9
232,2016-08-20,27.2,33.4,23.4,1.9
233,2016-08-21,27.2,33.3,22.9,2.3
234,2016-08-22,27.9,34.4,22.0,2.1
235,2016-08-23,27.4,34.0,24.0,2.4
236,2016-08-24,26.3,33.2,21.8,3.4
237,2016-08-25,27.5,32.5,22.8,4.0
238,2016-08-26,27.4,33.9,21.4,2.1
239,2016-08-27,27.0,32.6,23.5,2.2
240,2016-08-28,24.8,29.0,21.7,2.5
241,2016-08-29,22.2,27.5,18.7,6.7
242,2016-08-30,21.6,27.3,15.2,4.2
243,2016-08-31,23.5,28.7,19.0,4.0
244,2016-09-01,22.9,28.0,18.0,1.7
245,2016-09-02,24.7,30.3,22.2,4.0
246,2016-09-03,23.7,25.3,21.7,3.9
247,2016-09-04,24.1,27.0,22.7,3.7
248,2016-09-05,26.2,31.7,22.8,1.8
249,2016-09-06,25.6,31.7,21.6,2.3
250,2016-09-07,26.3,32.0,22.6,2.9
251,2016-09-08,25.2,30.0,21.0,4.0
252,2016-09-09,24.2,30.5,19.1,2.2
253,2016-09-10,23.9,30.5,18.2,2.4
254,2016-09-11,24.3,30.3,19.3,3.3
255,2016-09-12,24.3,25.8,21.9,2.6
256,2016-09-13,25.5,28.4,23.9,1.6
257,2016-09-14,24.9,28.8,22.9,1.4
258,2016-09-15,25.7,31.1,23.1,1.7
259,2016-09-16,25.1,30.3,21.7,2.6
260,2016-09-17,25.5,31.2,22.7,2.7
261,2016-09-18,24.7,28.3,23.0,1.8
262,2016-09-19,24.2,26.3,22.1,3.7
263,2016-09-20,21.8,25.3,19.3,8.4
264,2016-09-21,21.6,26.8,17.8,2.1
265,2016-09-22,22.5,27.2,19.4,1.7
266,2016-09-23,23.1,28.8,19.6,1.9
267,2016-09-24,23.5,29.4,18.7,2.6
268,2016-09-25,25.0,30.3,20.6,2.8
269,2016-09-26,25.3,30.2,21.5,3.5
270,2016-09-27,26.0,29.8,22.7,2.6
271,2016-09-28,26.2,30.1,23.5,2.1
272,2016-09-29,26.0,30.7,22.5,2.0
273,2016-09-30,25.6,30.4,21.3,1.8
274,2016-10-01,25.9,31.0,21.3,1.8
275,2016-10-02,25.6,31.0,21.8,2.6
276,2016-10-03,24.1,26.7,22.4,2.8
277,2016-10-04,24.7,28.6,21.2,5.2
278,2016-10-05,24.9,27.9,20.7,4.3
279,2016-10-06,24.2,29.9,19.9,1.8
280,2016-10-07,23.0,26.4,18.9,3.9
281,2016-10-08,24.6,27.9,21.1,3.2
282,2016-10-09,20.8,23.5,18.3,2.3
283,2016-10-10,20.0,25.9,15.2,2.0
284,2016-10-11,19.1,24.8,13.4,1.9
285,2016-10-12,19.4,24.6,15.7,1.9
286,2016-10-13,17.9,22.6,13.5,2.5
287,2016-10-14,16.4,18.9,14.2,2.0
288,2016-10-15,18.3,20.3,14.9,3.8
289,2016-10-16,20.9,23.5,18.4,3.8
290,2016-10-17,23.5,28.5,20.0,2.0
291,2016-10-18,23.2,27.9,20.1,1.6
292,2016-10-19,21.3,24.1,19.2,1.3
293,2016-10-20,20.3,24.6,17.6,1.6
294,2016-10-21,18.3,20.8,16.6,2.1
295,2016-10-22,18.8,20.1,17.8,2.2
296,2016-10-23,18.4,19.8,16.0,2.4
297,2016-10-24,18.2,24.4,13.4,2.1
298,2016-10-25,19.5,25.3,12.0,1.7
299,2016-10-26,20.9,26.2,16.4,2.2
300,2016-10-27,19.5,22.1,17.8,2.9
301,2016-10-28,20.5,23.5,18.0,3.1
302,2016-10-29,18.1,22.7,11.9,4.8
303,2016-10-30,15.7,22.3,10.1,2.2
304,2016-10-31,15.8,19.7,11.2,2.2
305,2016-11-01,13.6,18.4,7.1,5.4
306,2016-11-02,11.6,19.1,7.0,2.9
307,2016-11-03,11.5,17.3,7.9,5.2
308,2016-11-04,11.2,18.8,3.7,2.4
309,2016-11-05,13.3,20.6,7.1,2.3
310,2016-11-06,15.5,22.0,8.2,2.0
311,2016-11-07,13.8,20.6,8.7,2.2
312,2016-11-08,15.4,21.1,11.1,2.6
313,2016-11-09,13.8,18.3,10.8,3.7
314,2016-11-10,11.6,13.9,9.0,2.3
315,2016-11-11,13.5,18.8,9.4,4.5
316,2016-11-12,12.8,20.1,6.4,2.1
317,2016-11-13,16.3,23.2,9.1,2.4
318,2016-11-14,17.8,19.0,17.1,2.1
319,2016-11-15,17.8,23.0,12.2,3.3
320,2016-11-16,13.7,20.5,8.7,2.1
321,2016-11-17,15.2,20.8,10.4,2.0
322,2016-11-18,15.6,17.1,14.5,2.3
323,2016-11-19,18.6,23.3,14.2,1.9
324,2016-11-20,16.8,19.3,13.0,1.3
325,2016-11-21,16.9,18.5,14.8,1.6
326,2016-11-22,16.3,21.9,12.7,2.9
327,2016-11-23,12.8,15.7,9.5,3.3
328,2016-11-24,7.9,11.3,1.5,5.4
