Unnamed: 0,calendar_date,avg_temperature,precipitation
0,2016-01-01,11.4,0.0
1,2016-01-02,16.9,13.5
2,2016-01-03,17.1,32.0
3,2016-01-04,15.1,0.0
4,2016-01-05,16.4,10.0
5,2016-01-06,16.3,58.0
6,2016-01-07,13.0,0.0
7,2016-01-08,12.0,2.0
8,2016-01-09,11.9,0.0
9,2016-01-10,13.1,0.0
10,2016-01-11,13.1,36.5
11,2016-01-12,11.7,6.0
12,2016-01-13,10.5,1.0
13,2016-01-14,11.1,0.0
14,2016-01-15,10.3,9.0
15,2016-01-16,12.6,2.0
16,2016-01-17,15.3,73.5
17,2016-01-18,12.1,3.5
18,2016-01-19,8.5,0.0
19,2016-01-20,8.2,0.5
20,2016-01-21,9.1,18.5
21,2016-01-22,9.7,5.0
22,2016-01-23,8.8,9.0
23,2016-01-24,2.7,4.5
24,2016-01-25,4.9,10.0
25,2016-01-26,8.7,1.0
26,2016-01-27,10.0,0.0
27,2016-01-28,15.8,2.0
28,2016-01-29,18.0,11.0
29,2016-01-30,14.9,8.0
30,2016-01-31,13.4,0.0
31,2016-02-01,10.3,12.0
32,2016-02-02,8.6,0.5
33,2016-02-03,9.5,0.0
34,2016-02-04,10.2,0.0
35,2016-02-05,9.9,5.5
36,2016-02-06,8.9,6.0
37,2016-02-07,8.1,8.0
38,2016-02-08,8.2,37.0
39,2016-02-09,12.6,0.0
40,2016-02-10,11.0,0.0
41,2016-02-11,13.0,0.0
42,2016-02-12,16.8,4.0
43,2016-02-13,19.0,70.5
44,2016-02-14,13.3,27.5
45,2016-02-15,7.6,10.0
46,2016-02-16,7.6,10.0
47,2016-02-17,10.0,1.5
48,2016-02-18,11.3,0.0
49,2016-02-19,13.1,2.5
50,2016-02-20,15.1,35.5
51,2016-02-21,9.5,0.0
52,2016-02-22,12.0,34.0
53,2016-02-23,14.2,149.5
54,2016-02-24,10.5,0.0
55,2016-02-25,8.7,0.0
56,2016-02-26,8.6,0.0
57,2016-02-27,11.3,1.5
58,2016-02-28,13.7,22.0
59,2016-02-29,11.4,0.5
60,2016-03-01,7.6,0.0
61,2016-03-02,9.4,0.0
62,2016-03-03,11.1,0.0
63,2016-03-04,15.5,0.0
64,2016-03-05,17.7,0.0
65,2016-03-06,18.0,47.0
66,2016-03-07,18.0,0.0
67,2016-03-08,17.8,0.0
68,2016-03-09,16.2,22.5
69,2016-03-10,12.4,1.5
70,2016-03-11,9.9,0.0
71,2016-03-12,9.8,0.0
72,2016-03-13,12.1,18.0
73,2016-03-14,13.1,70.0
74,2016-03-15,11.6,0.0
75,2016-03-16,14.2,0.0
76,2016-03-17,17.2,0.5
77,2016-03-18,17.8,40.5
78,2016-03-19,17.9,6.0
79,2016-03-20,15.7,0.0
80,2016-03-21,14.6,0.0
81,2016-03-22,13.7,0.0
82,2016-03-23,15.4,11.0
83,2016-03-24,14.0,3.5
84,2016-03-25,11.5,39.0
85,2016-03-26,13.4,0.0
86,2016-03-27,11.8,0.0
87,2016-03-28,12.5,0.5
88,2016-03-29,13.0,0.0
89,2016-03-30,14.2,4.5
90,2016-03-31,16.1,17.0
91,2016-04-01,17.7,2.5
92,2016-04-02,18.3,0.0
93,2016-04-03,18.5,7.5
94,2016-04-04,18.5,10.5
95,2016-04-05,17.2,0.0
96,2016-04-06,18.5,0.5
97,2016-04-07,21.3,1.0
98,2016-04-08,16.6,11.5
99,2016-04-09,16.8,64.0
100,2016-04-10,16.6,96.5
101,2016-04-11,18.2,1.0
102,2016-04-12,18.0,2.5
103,2016-04-13,19.1,35.0
104,2016-04-14,19.9,1.5
105,2016-04-15,19.9,0.0
106,2016-04-16,19.2,12.5
107,2016-04-17,17.4,20.0
