Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,hours_sunlight,avg_wind_speed
0,2016-01-01,5.0,11.1,-1.9,9.7,1.2
1,2016-01-02,9.1,14.2,3.2,0.6,0.7
2,2016-01-03,12.9,17.5,10.1,3.8,1.2
3,2016-01-04,11.9,15.2,8.6,9.2,2.2
4,2016-01-05,10.7,14.9,6.8,0.8,1.4
5,2016-01-06,8.1,9.9,6.4,0.0,1.3
6,2016-01-07,6.7,8.7,5.6,2.9,3.4
7,2016-01-08,5.6,7.4,3.6,0.1,2.6
8,2016-01-09,4.6,8.3,0.6,5.5,2.0
9,2016-01-10,5.2,9.2,-0.3,0.9,1.3
10,2016-01-11,5.7,8.1,3.8,0.0,0.6
11,2016-01-12,5.5,7.7,3.7,3.8,3.1
12,2016-01-13,3.9,6.0,1.6,2.1,3.0
13,2016-01-14,4.2,7.9,1.5,5.0,2.3
14,2016-01-15,4.0,6.7,1.4,0.0,1.6
15,2016-01-16,4.9,11.9,-0.4,9.7,1.2
16,2016-01-17,6.3,11.3,0.6,0.0,1.4
17,2016-01-18,7.1,11.8,2.7,2.3,5.6
18,2016-01-19,1.8,5.0,0.1,1.0,4.5
19,2016-01-20,1.0,3.7,-0.6,4.7,4.1
20,2016-01-21,2.0,4.0,-0.2,0.0,1.7
21,2016-01-22,4.0,7.9,0.9,4.0,2.0
22,2016-01-23,3.7,8.5,-0.4,1.7,3.2
23,2016-01-24,-3.8,-0.3,-5.5,0.1,4.3
24,2016-01-25,-2.0,1.2,-8.3,3.8,2.3
25,2016-01-26,3.0,5.2,-0.3,1.6,1.9
26,2016-01-27,4.7,9.2,-0.6,1.0,0.8
27,2016-01-28,9.2,15.4,3.5,0.6,0.6
28,2016-01-29,13.7,18.1,10.9,0.0,1.8
29,2016-01-30,11.4,13.8,8.2,0.8,2.2
30,2016-01-31,8.0,12.3,2.9,9.7,1.9
31,2016-02-01,5.1,6.2,3.1,0.0,2.6
32,2016-02-02,3.7,7.2,1.7,7.6,3.4
33,2016-02-03,4.6,8.7,1.6,10.0,3.6
34,2016-02-04,5.2,9.5,1.9,9.1,3.3
35,2016-02-05,5.9,10.3,3.2,3.9,3.4
36,2016-02-06,4.0,6.7,1.3,4.4,4.8
37,2016-02-07,3.1,7.8,-1.0,8.7,2.2
38,2016-02-08,4.9,9.0,0.2,8.5,2.7
39,2016-02-09,8.4,11.8,5.6,8.9,4.5
40,2016-02-10,7.1,14.1,1.3,10.3,1.6
41,2016-02-11,8.8,15.9,1.8,7.7,1.7
42,2016-02-12,12.2,14.5,9.2,0.0,1.9
43,2016-02-13,16.5,18.9,13.1,0.0,2.5
44,2016-02-14,9.6,17.2,4.3,0.9,5.8
45,2016-02-15,2.0,4.3,-0.6,2.3,6.8
46,2016-02-16,2.0,4.9,-0.9,3.8,3.8
47,2016-02-17,4.5,8.3,0.8,8.0,3.5
48,2016-02-18,5.1,10.4,1.0,6.8,1.6
49,2016-02-19,8.6,15.4,2.6,4.6,1.1
50,2016-02-20,9.1,11.9,7.0,1.7,3.7
51,2016-02-21,5.5,8.5,2.1,5.4,3.7
52,2016-02-22,5.6,9.6,1.0,0.5,1.1
53,2016-02-23,7.8,11.1,4.8,0.0,2.1
54,2016-02-24,5.6,9.4,1.5,8.0,3.9
55,2016-02-25,3.5,7.9,0.2,9.2,3.2
56,2016-02-26,4.0,9.9,-0.1,9.4,2.5
57,2016-02-27,6.8,13.6,0.6,1.9,0.8
58,2016-02-28,9.2,16.4,2.4,6.5,1.0
59,2016-02-29,5.8,12.2,0.2,3.1,5.7
60,2016-03-01,1.4,6.3,-2.3,10.7,3.5
61,2016-03-02,5.7,12.5,0.3,10.8,2.7
62,2016-03-03,9.3,15.4,3.6,10.2,1.7
63,2016-03-04,11.3,18.7,4.3,10.2,1.6
64,2016-03-05,13.9,18.3,9.3,4.2,2.8
65,2016-03-06,14.9,16.3,14.2,0.1,2.2
66,2016-03-07,16.7,22.1,12.2,9.3,1.5
67,2016-03-08,15.7,22.6,9.6,10.1,1.1
68,2016-03-09,12.0,18.2,6.5,1.6,2.6
69,2016-03-10,8.0,10.7,4.0,0.0,2.4
70,2016-03-11,6.4,10.6,3.5,9.8,3.9
71,2016-03-12,5.2,11.4,1.4,11.2,2.6
72,2016-03-13,7.2,12.3,1.3,0.8,1.0
73,2016-03-14,8.0,12.0,4.6,5.5,3.3
74,2016-03-15,7.1,13.7,2.2,11.2,1.6
75,2016-03-16,9.1,16.2,2.5,5.4,1.3
76,2016-03-17,12.0,18.7,5.0,9.2,1.7
77,2016-03-18,13.7,17.2,10.8,0.0,1.7
78,2016-03-19,14.8,18.5,11.6,2.1,3.0
79,2016-03-20,12.4,18.8,6.2,11.2,1.5
80,2016-03-21,10.4,16.4,4.8,10.2,1.0
81,2016-03-22,11.3,17.7,4.4,10.2,1.4
