Unnamed: 0,calendar_date,avg_temperature,precipitation
0,2016-01-01,17.6,0.0
1,2016-01-02,21.2,0.0
2,2016-01-03,20.5,17.5
3,2016-01-04,19.8,2.5
4,2016-01-05,21.7,32.5
5,2016-01-06,19.3,17.5
6,2016-01-07,18.5,0.0
7,2016-01-08,16.8,6.5
8,2016-01-09,16.9,0.0
9,2016-01-10,16.2,0.0
10,2016-01-11,18.5,28.5
11,2016-01-12,17.9,1.0
12,2016-01-13,15.6,0.0
13,2016-01-14,15.4,0.0
14,2016-01-15,16.2,1.0
15,2016-01-16,17.5,0.0
16,2016-01-17,18.9,21.0
17,2016-01-18,17.2,0.0
18,2016-01-19,14.5,0.0
19,2016-01-20,14.7,0.0
20,2016-01-21,15.7,38.5
21,2016-01-22,16.0,0.5
22,2016-01-23,14.5,16.0
23,2016-01-24,8.7,0.0
24,2016-01-25,10.2,2.0
25,2016-01-26,12.9,0.0
26,2016-01-27,15.6,0.0
27,2016-01-28,19.9,0.0
28,2016-01-29,20.8,7.5
29,2016-01-30,18.6,9.5
30,2016-01-31,18.8,0.0
31,2016-02-01,17.1,14.0
32,2016-02-02,14.7,0.5
33,2016-02-03,15.4,0.0
34,2016-02-04,16.5,0.0
35,2016-02-05,16.0,13.5
36,2016-02-06,14.5,3.0
37,2016-02-07,13.6,2.5
38,2016-02-08,13.4,0.0
39,2016-02-09,16.2,0.0
40,2016-02-10,17.6,0.0
41,2016-02-11,18.9,0.0
42,2016-02-12,21.2,0.0
43,2016-02-13,22.7,0.0
44,2016-02-14,18.3,5.0
45,2016-02-15,12.7,6.0
46,2016-02-16,12.3,0.0
47,2016-02-17,13.9,0.0
48,2016-02-18,15.3,0.0
49,2016-02-19,18.8,0.0
50,2016-02-20,18.6,18.5
51,2016-02-21,15.3,0.0
52,2016-02-22,17.4,0.0
53,2016-02-23,19.7,10.0
54,2016-02-24,16.0,0.0
55,2016-02-25,14.5,0.0
56,2016-02-26,15.3,0.0
57,2016-02-27,16.8,2.5
58,2016-02-28,18.7,4.0
59,2016-02-29,16.4,0.0
60,2016-03-01,13.7,0.0
61,2016-03-02,15.1,0.0
62,2016-03-03,16.4,0.0
63,2016-03-04,20.0,0.0
64,2016-03-05,21.2,3.0
65,2016-03-06,20.1,62.5
66,2016-03-07,21.3,1.0
67,2016-03-08,20.7,0.0
68,2016-03-09,20.1,8.0
69,2016-03-10,16.4,14.5
70,2016-03-11,14.8,2.0
71,2016-03-12,15.6,0.0
72,2016-03-13,19.5,8.0
73,2016-03-14,17.9,95.0
74,2016-03-15,16.8,0.0
75,2016-03-16,17.3,0.0
76,2016-03-17,19.1,9.0
77,2016-03-18,21.5,0.0
78,2016-03-19,20.8,10.5
79,2016-03-20,19.6,0.0
80,2016-03-21,19.1,0.0
81,2016-03-22,19.0,0.0
82,2016-03-23,20.5,6.0
83,2016-03-24,17.6,2.5
84,2016-03-25,16.6,0.0
85,2016-03-26,16.5,1.0
86,2016-03-27,15.3,0.0
87,2016-03-28,15.9,0.0
88,2016-03-29,16.9,0.0
89,2016-03-30,19.4,0.0
90,2016-03-31,20.6,6.0
91,2016-04-01,19.7,0.0
92,2016-04-02,19.7,0.0
93,2016-04-03,20.3,0.5
94,2016-04-04,21.2,16.0
95,2016-04-05,20.5,97.0
96,2016-04-06,22.8,0.0
97,2016-04-07,24.0,0.0
98,2016-04-08,23.7,3.5
99,2016-04-09,22.4,11.0
100,2016-04-10,21.9,37.0
101,2016-04-11,20.0,27.0
102,2016-04-12,20.3,0.5
