Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight
0,2016-01-01,6.4,13.2,0.9,0.0,8.7
1,2016-01-02,6.0,14.8,-0.2,0.0,7.4
2,2016-01-03,7.5,16.2,-0.5,0.0,7.5
3,2016-01-04,7.8,17.3,0.5,0.0,8.7
4,2016-01-05,8.7,15.8,0.9,0.0,7.6
5,2016-01-06,8.3,11.2,5.1,0.0,0.0
6,2016-01-07,8.2,14.1,3.0,0.0,4.7
7,2016-01-08,5.6,11.2,0.0,0.0,8.8
8,2016-01-09,5.4,12.1,-0.6,0.0,8.9
9,2016-01-10,6.3,13.1,-1.0,0.0,8.9
10,2016-01-11,5.3,10.8,-1.1,0.0,2.1
11,2016-01-12,3.4,7.2,0.3,0.0,0.0
12,2016-01-13,3.1,10.7,-2.9,0.0,7.6
13,2016-01-14,4.0,12.1,-3.3,0.0,9.0
14,2016-01-15,5.7,10.9,1.5,0.0,6.1
15,2016-01-16,6.5,12.3,0.6,0.0,8.2
16,2016-01-17,5.3,8.4,1.8,4.0,1.4
17,2016-01-18,4.2,8.9,0.4,50.5,0.0
18,2016-01-19,5.1,9.0,1.6,0.0,9.2
19,2016-01-20,3.9,11.7,-0.9,0.0,7.9
20,2016-01-21,3.9,9.7,-3.6,0.0,5.6
21,2016-01-22,5.2,11.4,0.9,0.0,7.1
22,2016-01-23,3.9,7.4,-0.1,0.0,0.8
23,2016-01-24,1.5,7.4,-4.7,0.0,7.5
24,2016-01-25,0.2,8.5,-7.1,0.0,9.3
25,2016-01-26,2.7,9.7,-4.2,0.0,8.0
26,2016-01-27,4.1,12.6,-4.0,0.0,9.2
27,2016-01-28,5.6,14.2,-2.2,0.0,9.3
28,2016-01-29,5.1,6.7,2.7,22.5,0.0
29,2016-01-30,3.4,4.7,1.6,4.5,0.0
30,2016-01-31,5.5,9.2,1.8,0.0,0.2
31,2016-02-01,4.5,5.4,3.3,0.0,0.0
32,2016-02-02,5.6,11.4,2.4,0.0,7.6
33,2016-02-03,4.7,9.3,0.7,0.0,7.0
34,2016-02-04,4.9,10.3,2.1,0.0,5.6
35,2016-02-05,5.9,12.8,-1.5,0.0,9.0
36,2016-02-06,6.7,9.9,2.5,0.0,2.5
37,2016-02-07,4.3,8.4,0.8,0.0,6.3
38,2016-02-08,4.0,9.2,0.4,0.0,8.4
39,2016-02-09,5.8,13.1,-1.8,0.0,9.0
40,2016-02-10,4.7,11.5,-1.8,0.0,10.1
41,2016-02-11,4.6,11.6,-0.3,0.0,9.9
42,2016-02-12,6.7,10.9,0.9,0.0,0.5
43,2016-02-13,13.7,20.3,5.8,0.0,6.3
44,2016-02-14,17.7,21.3,15.4,59.0,1.0
45,2016-02-15,8.0,17.4,1.5,2.0,0.9
46,2016-02-16,4.6,10.0,0.1,0.5,9.4
47,2016-02-17,4.2,12.6,-2.6,0.0,6.9
48,2016-02-18,4.4,11.9,-2.0,0.0,8.8
49,2016-02-19,8.3,17.8,0.0,0.0,9.9
50,2016-02-20,7.5,10.1,4.7,46.0,0.1
51,2016-02-21,9.4,15.5,5.2,0.0,3.3
52,2016-02-22,6.4,9.5,2.5,0.0,1.5
53,2016-02-23,7.3,12.4,4.6,0.0,2.6
54,2016-02-24,5.5,7.4,2.1,0.0,0.0
55,2016-02-25,3.6,8.0,0.5,0.0,3.2
56,2016-02-26,4.9,10.8,-1.1,0.0,10.5
57,2016-02-27,7.0,11.8,0.5,0.0,9.7
58,2016-02-28,8.6,15.2,1.9,0.5,7.9
59,2016-02-29,7.9,15.0,2.8,4.5,3.2
60,2016-03-01,5.4,10.1,2.5,1.0,10.3
61,2016-03-02,5.0,11.6,-1.6,0.0,7.8
62,2016-03-03,8.6,17.9,-0.9,0.0,10.5
63,2016-03-04,9.6,16.2,2.0,0.0,8.2
64,2016-03-05,11.7,17.8,8.0,0.0,3.5
