,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,avg_wind_speed
0,2016-01-01,3.0,12.4,-3.1,0.0,7.8,1.2
1,2016-01-02,5.6,15.1,-2.5,0.5,2.8,0.7
2,2016-01-03,10.3,16.9,7.4,1.0,2.5,0.5
3,2016-01-04,9.2,19.2,4.1,0.0,7.5,0.9
4,2016-01-05,7.8,11.3,4.8,2.0,0.0,0.5
5,2016-01-06,7.5,9.6,4.3,3.0,0.0,0.9
6,2016-01-07,6.3,11.3,1.2,0.0,3.9,1.3
7,2016-01-08,4.6,9.5,0.2,0.0,1.9,1.5
8,2016-01-09,4.8,11.6,-1.4,0.0,7.8,1.3
9,2016-01-10,4.5,12.1,-0.6,0.0,5.5,0.9
10,2016-01-11,5.0,9.4,0.3,0.0,0.0,0.7
11,2016-01-12,6.2,12.0,1.5,0.0,6.0,1.2
12,2016-01-13,4.3,9.6,-0.2,0.0,6.1,1.7
13,2016-01-14,3.8,9.0,-0.9,0.0,3.9,1.2
14,2016-01-15,2.1,10.6,-3.1,0.0,6.7,0.7
15,2016-01-16,1.5,12.3,-5.4,0.0,8.0,0.7
16,2016-01-17,3.8,12.2,-2.7,37.0,0.0,1.0
17,2016-01-18,8.0,12.1,0.2,13.5,4.0,3.6
18,2016-01-19,1.7,5.1,-1.3,1.5,4.7,4.9
19,2016-01-20,1.3,6.6,-1.4,0.0,5.7,1.9
20,2016-01-21,2.4,7.7,-3.4,0.0,2.8,1.0
21,2016-01-22,5.2,11.8,-0.1,0.0,4.5,1.0
22,2016-01-23,3.6,11.3,-0.1,0.0,2.3,1.1
23,2016-01-24,-2.8,1.3,-5.7,1.5,1.5,2.2
24,2016-01-25,-1.1,4.0,-6.1,0.0,3.8,1.4
25,2016-01-26,1.0,8.3,-4.7,0.0,3.7,1.2
26,2016-01-27,4.5,10.7,-1.8,0.0,1.8,1.2
27,2016-01-28,5.3,9.3,-0.4,1.5,0.0,0.2
28,2016-01-29,10.0,12.9,6.9,60.0,0.0,0.4
29,2016-01-30,10.4,12.5,7.3,0.5,0.0,2.2
30,2016-01-31,6.2,14.1,0.9,0.0,8.3,1.4
31,2016-02-01,4.9,8.1,0.9,0.0,0.0,1.1
32,2016-02-02,5.4,12.4,-0.7,0.0,7.7,1.4
33,2016-02-03,4.1,12.8,-2.8,0.0,8.0,1.4
34,2016-02-04,4.7,12.5,-2.0,0.0,8.0,1.5
35,2016-02-05,5.2,14.4,-1.4,0.0,5.9,1.4
36,2016-02-06,4.4,9.1,-1.8,0.0,3.0,1.4
37,2016-02-07,1.6,10.2,-4.1,0.0,4.8,0.8
38,2016-02-08,2.5,12.0,-4.1,0.0,8.6,1.7
39,2016-02-09,4.4,11.9,-2.6,0.0,8.1,2.0
40,2016-02-10,3.1,12.7,-3.7,0.0,8.8,0.8
41,2016-02-11,5.5,15.6,-2.9,0.0,8.5,0.7
42,2016-02-12,9.6,12.8,5.0,4.0,0.0,0.7
43,2016-02-13,14.8,18.5,10.6,89.0,0.0,2.1
44,2016-02-14,14.3,18.6,7.4,5.0,6.6,3.3
45,2016-02-15,4.3,7.6,0.2,0.0,6.6,2.3
46,2016-02-16,1.9,6.0,-0.4,0.0,3.4,1.9
47,2016-02-17,4.5,9.2,-2.3,0.0,7.8,2.0
48,2016-02-18,3.5,12.4,-4.0,0.0,9.2,1.2
49,2016-02-19,6.9,15.8,-1.0,0.0,5.5,0.8
50,2016-02-20,9.5,11.8,7.2,61.0,1.3,1.8
51,2016-02-21,6.5,11.7,1.9,0.0,8.5,1.7
52,2016-02-22,5.7,12.0,-1.2,0.0,4.7,1.0
53,2016-02-23,6.9,10.3,2.7,2.0,0.0,0.9
54,2016-02-24,5.2,12.9,0.4,0.0,7.3,1.2
55,2016-02-25,3.4,11.3,-1.8,0.0,8.2,1.5
56,2016-02-26,3.2,11.4,-3.1,0.0,7.8,1.1
57,2016-02-27,5.9,14.5,-1.5,0.0,4.3,1.1
58,2016-02-28,7.4,16.6,-0.3,0.0,8.2,0.8
59,2016-02-29,4.5,11.9,-1.1,2.0,6.4,1.9
60,2016-03-01,1.3,8.7,-3.3,0.0,7.5,1.4
61,2016-03-02,3.6,13.9,-3.9,0.0,9.7,1.5
62,2016-03-03,6.4,18.1,-2.9,0.0,9.7,1.2
63,2016-03-04,8.9,18.1,1.6,0.0,3.7,0.6
64,2016-03-05,11.9,17.5,6.1,0.0,1.0,0.8
65,2016-03-06,15.1,17.2,10.8,8.0,0.0,1.7
66,2016-03-07,15.0,23.1,11.3,0.0,7.2,1.0
67,2016-03-08,15.5,24.1,8.9,0.0,8.1,1.4
68,2016-03-09,11.6,13.8,7.0,63.5,0.0,1.7
69,2016-03-10,8.3,13.6,3.7,0.0,1.1,1.7
70,2016-03-11,8.0,14.7,2.4,0.0,8.3,1.7
71,2016-03-12,6.5,14.0,-0.1,0.0,10.0,1.4
72,2016-03-13,7.4,13.7,1.0,3.5,1.7,0.7
73,2016-03-14,6.8,10.7,1.2,14.0,2.0,1.1
74,2016-03-15,6.1,15.7,-0.8,0.0,10.4,1.1
75,2016-03-16,8.8,16.0,2.5,0.0,7.7,1.1
76,2016-03-17,10.3,18.8,3.6,0.0,9.0,1.0
77,2016-03-18,10.9,13.6,6.4,47.0,0.0,0.8
78,2016-03-19,15.4,22.9,9.1,1.0,6.8,1.7
79,2016-03-20,10.6,18.9,4.1,0.0,10.6,1.1
80,2016-03-21,8.1,16.5,1.4,0.0,10.6,1.1
81,2016-03-22,8.6,18.2,0.7,0.0,10.0,1.4
82,2016-03-23,10.9,19.3,1.3,0.0,4.3,1.1
83,2016-03-24,10.1,17.2,2.5,0.0,8.3,1.4
84,2016-03-25,5.7,14.1,-1.0,0.0,10.3,1.1
85,2016-03-26,7.0,14.5,-0.6,0.0,11.0,1.4
86,2016-03-27,8.0,16.2,1.6,0.0,10.0,1.9
87,2016-03-28,7.9,17.3,0.3,0.0,9.0,1.1
