Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,hours_sunlight,avg_wind_speed,avg_local_pressure,avg_sea_pressure
0,2016-01-01,7.2,14.4,1.6,9.4,2.5,1028.9,1030.2
1,2016-01-02,10.1,16.2,3.9,2.9,2.4,1024.4,1025.8
2,2016-01-03,12.6,16.5,10.2,1.2,2.5,1018.1,1019.4
3,2016-01-04,12.3,19.0,7.3,9.1,2.4,1017.7,1019.0
4,2016-01-05,10.8,14.5,8.4,0.2,1.3,1020.1,1021.4
5,2016-01-06,9.1,11.0,6.5,0.0,1.8,1018.1,1019.4
6,2016-01-07,9.5,13.0,5.4,6.7,3.2,1017.6,1018.9
7,2016-01-08,9.3,12.2,7.6,3.7,3.4,1017.7,1019.0
8,2016-01-09,7.8,10.8,5.3,5.5,2.7,1021.3,1022.7
9,2016-01-10,7.3,12.7,3.2,6.5,2.3,1022.0,1023.3
10,2016-01-11,7.7,10.9,3.9,0.0,1.5,1018.9,1020.2
11,2016-01-12,8.9,12.5,5.1,4.9,2.8,1015.0,1016.3
12,2016-01-13,8.5,11.1,7.1,6.6,4.0,1016.1,1017.4
13,2016-01-14,7.6,10.8,4.5,4.9,3.8,1018.0,1019.3
14,2016-01-15,6.0,11.7,1.9,7.1,2.4,1018.7,1020.0
15,2016-01-16,6.0,12.9,0.1,9.5,3.2,1020.0,1021.3
16,2016-01-17,7.8,13.8,2.6,0.2,4.5,1013.0,1014.3
17,2016-01-18,10.3,14.9,5.0,2.6,7.1,1002.6,1003.9
18,2016-01-19,5.1,7.6,3.8,3.5,8.4,1013.1,1014.4
19,2016-01-20,2.9,5.1,0.7,0.0,3.2,1021.5,1022.9
20,2016-01-21,4.5,8.4,0.1,2.8,2.3,1021.2,1022.6
21,2016-01-22,7.7,11.1,4.3,2.2,1.6,1020.5,1021.9
22,2016-01-23,6.3,11.0,3.9,1.6,2.9,1018.2,1019.6
23,2016-01-24,0.2,4.3,-2.7,2.3,6.0,1016.7,1018.1
24,2016-01-25,2.5,6.1,-2.6,4.8,3.2,1024.2,1025.6
25,2016-01-26,5.1,9.7,-0.4,5.0,2.7,1025.3,1026.7
26,2016-01-27,7.2,12.0,2.5,4.0,2.2,1028.3,1029.7
27,2016-01-28,8.8,12.2,4.5,0.5,3.3,1026.6,1027.9
28,2016-01-29,13.3,18.6,10.1,0.0,2.8,1015.7,1017.0
29,2016-01-30,12.4,14.9,9.4,0.6,1.3,1015.5,1016.8
30,2016-01-31,9.2,14.7,4.6,9.6,2.2,1022.0,1023.3
31,2016-02-01,8.0,10.0,5.1,0.0,1.8,1020.3,1021.6
32,2016-02-02,7.7,11.5,4.4,7.6,2.9,1019.4,1020.7
33,2016-02-03,6.5,12.5,1.9,8.7,2.7,1021.9,1023.2
34,2016-02-04,7.2,12.6,1.8,9.2,2.3,1021.3,1022.7
35,2016-02-05,7.1,13.5,2.6,7.8,1.7,1017.6,1019.0
36,2016-02-06,5.8,9.6,1.7,2.7,2.6,1015.6,1017.0
37,2016-02-07,5.6,10.9,1.3,7.4,2.4,1017.3,1018.6
38,2016-02-08,6.5,12.4,1.3,10.2,2.8,1017.4,1018.8
39,2016-02-09,10.0,12.9,4.6,8.3,5.0,1017.2,1018.5
40,2016-02-10,7.6,15.0,1.4,10.4,2.7,1023.6,1025.0
41,2016-02-11,9.3,15.5,2.5,9.9,3.3,1027.2,1028.6
42,2016-02-12,13.8,17.4,10.7,0.1,3.3,1025.0,1026.3
43,2016-02-13,17.9,20.8,14.1,0.0,4.4,1013.6,1014.9
44,2016-02-14,15.8,20.5,9.0,5.9,4.1,1005.9,1007.2
45,2016-02-15,5.6,9.2,2.5,3.0,4.9,1012.7,1014.1
46,2016-02-16,6.0,8.8,3.9,4.6,4.7,1017.4,1018.8
47,2016-02-17,6.6,9.5,2.0,3.7,3.4,1020.6,1022.0
48,2016-02-18,6.1,12.4,0.3,9.6,2.9,1024.3,1025.7
49,2016-02-19,10.0,15.2,3.5,6.1,3.4,1025.9,1027.2
50,2016-02-20,11.7,14.0,10.2,1.7,3.5,1014.0,1015.3
51,2016-02-21,8.2,11.0,4.3,6.8,3.5,1023.7,1025.1
52,2016-02-22,7.9,12.0,3.1,3.7,2.4,1028.1,1029.5
53,2016-02-23,8.7,12.0,5.7,0.0,1.9,1022.7,1024.1
54,2016-02-24,7.9,12.9,3.3,5.0,2.0,1023.6,1025.0
55,2016-02-25,6.3,10.3,2.3,5.9,2.8,1028.0,1029.4
56,2016-02-26,5.6,11.2,0.5,9.1,2.9,1028.9,1030.2
57,2016-02-27,9.1,16.1,2.5,2.9,4.1,1025.4,1026.7
58,2016-02-28,11.4,18.1,5.3,9.8,3.2,1022.1,1023.4
59,2016-02-29,9.3,16.9,1.2,3.3,5.4,1016.7,1018.1
60,2016-03-01,3.9,8.4,0.7,6.8,2.2,1023.4,1024.8
61,2016-03-02,6.5,12.8,0.1,10.7,3.2,1025.0,1026.3
62,2016-03-03,9.4,16.3,2.4,10.8,3.8,1025.0,1026.4
63,2016-03-04,13.1,19.2,6.9,4.4,3.4,1026.9,1028.3
64,2016-03-05,16.1,20.1,10.7,4.8,3.8,1025.9,1027.2
65,2016-03-06,17.3,19.7,14.5,0.0,2.6,1019.9,1021.2
66,2016-03-07,17.2,21.8,12.9,10.3,2.8,1014.1,1015.4
67,2016-03-08,16.0,22.1,11.5,9.8,2.4,1014.5,1015.8
68,2016-03-09,12.8,15.2,8.3,0.7,2.4,1009.3,1010.6
69,2016-03-10,9.8,14.5,5.9,0.6,1.8,1015.2,1016.5
70,2016-03-11,9.8,14.2,5.6,10.9,3.0,1016.9,1018.2
71,2016-03-12,8.5,14.8,2.8,11.3,2.5,1020.5,1021.8
72,2016-03-13,9.5,15.4,3.9,2.0,2.5,1020.0,1021.4
73,2016-03-14,9.5,13.4,7.0,3.2,2.0,1011.9,1013.2
74,2016-03-15,9.4,15.4,3.5,11.3,2.6,1018.9,1020.2
75,2016-03-16,11.6,16.8,6.2,7.1,3.5,1021.0,1022.4
76,2016-03-17,13.9,20.3,7.7,9.7,3.9,1020.8,1022.1
77,2016-03-18,13.3,16.5,10.4,0.0,3.2,1015.0,1016.3
78,2016-03-19,17.4,22.9,12.7,8.3,2.7,1007.5,1008.8
79,2016-03-20,12.9,20.0,7.4,11.3,2.3,1014.1,1015.4
80,2016-03-21,11.2,17.6,5.6,11.6,2.6,1017.7,1019.0
81,2016-03-22,11.2,16.6,4.3,11.3,3.2,1017.3,1018.6
82,2016-03-23,13.4,18.7,7.6,4.8,2.4,1013.6,1014.9
83,2016-03-24,12.9,19.2,8.6,10.8,2.2,1014.5,1015.8
