,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,avg_wind_speed
0,2016-01-01,6.8,13.8,2.1,0.0,8.5,2.4
1,2016-01-02,7.8,14.1,2.5,0.0,0.6,2.3
2,2016-01-03,11.5,15.8,8.7,1.5,1.7,1.7
3,2016-01-04,11.3,18.8,6.4,0.0,8.5,2.8
4,2016-01-05,9.4,12.6,7.5,1.0,0.0,2.2
5,2016-01-06,9.5,12.1,6.8,1.5,0.0,1.7
6,2016-01-07,7.9,12.9,3.3,0.0,5.2,2.8
7,2016-01-08,6.2,11.9,2.0,0.0,2.0,2.2
8,2016-01-09,6.6,12.6,1.6,0.0,8.6,2.0
9,2016-01-10,6.9,13.6,2.4,0.0,5.9,2.0
10,2016-01-11,8.1,13.5,3.9,0.0,1.3,2.1
11,2016-01-12,9.1,13.0,6.2,0.0,6.6,2.5
12,2016-01-13,6.2,11.0,2.1,0.0,7.2,2.4
13,2016-01-14,5.0,10.6,1.0,0.0,6.9,2.1
14,2016-01-15,5.1,11.6,0.4,0.0,7.6,2.5
15,2016-01-16,5.2,13.0,-0.4,0.0,8.8,2.8
16,2016-01-17,6.9,13.6,2.0,59.5,0.0,2.9
17,2016-01-18,9.9,14.9,1.6,9.0,7.8,4.0
18,2016-01-19,2.0,5.4,-0.2,2.0,4.6,3.4
19,2016-01-20,3.2,7.3,-0.3,0.0,8.1,3.8
20,2016-01-21,4.8,9.8,-0.1,0.0,3.3,1.9
21,2016-01-22,7.1,12.3,3.4,0.0,4.9,1.8
22,2016-01-23,5.6,11.6,2.4,0.0,0.6,2.8
23,2016-01-24,-1.3,3.2,-5.4,3.0,2.4,1.8
24,2016-01-25,0.0,5.0,-5.5,0.0,3.9,1.5
25,2016-01-26,3.6,10.4,-1.5,0.0,4.7,2.1
26,2016-01-27,6.0,12.4,-0.2,0.0,2.5,2.1
27,2016-01-28,8.0,11.9,4.1,1.0,0.5,2.1
28,2016-01-29,11.0,13.6,8.3,44.5,0.0,1.9
29,2016-01-30,12.1,13.7,9.5,0.5,0.0,1.0
30,2016-01-31,9.0,15.9,4.3,0.0,8.5,2.7
31,2016-02-01,6.9,9.5,4.3,0.0,0.0,1.9
32,2016-02-02,7.7,12.9,3.6,0.0,6.9,2.5
33,2016-02-03,6.5,12.0,1.3,0.0,5.3,2.8
34,2016-02-04,7.3,14.0,1.8,0.0,8.8,2.2
35,2016-02-05,8.5,14.7,3.9,0.0,7.6,2.5
36,2016-02-06,6.9,10.3,3.4,0.0,2.1,3.0
37,2016-02-07,5.8,12.1,1.0,0.0,7.8,2.0
38,2016-02-08,5.7,13.5,-0.4,0.0,9.1,2.4
39,2016-02-09,7.1,12.8,1.3,0.0,7.6,2.8
40,2016-02-10,5.8,12.7,-0.3,0.0,9.1,2.5
41,2016-02-11,8.6,15.2,2.6,0.0,9.2,2.8
42,2016-02-12,11.0,13.8,8.1,0.0,0.3,2.5
43,2016-02-13,13.9,16.1,11.4,75.5,0.0,1.8
44,2016-02-14,15.0,20.5,9.2,20.0,7.3,2.4
45,2016-02-15,6.4,9.3,3.0,0.0,7.7,3.5
46,2016-02-16,4.3,8.7,0.9,0.0,5.5,1.7
47,2016-02-17,6.0,10.4,1.2,0.0,7.6,2.7
48,2016-02-18,5.3,11.8,-0.6,0.0,9.4,2.7
49,2016-02-19,8.9,16.1,2.0,0.0,6.3,2.2
50,2016-02-20,10.6,13.6,8.3,47.5,0.4,2.5
51,2016-02-21,8.5,11.7,4.4,0.0,9.0,3.1
52,2016-02-22,7.4,13.1,1.3,0.0,7.1,2.1
53,2016-02-23,8.7,11.4,5.4,1.0,0.0,1.5
54,2016-02-24,7.2,12.6,3.3,0.0,6.0,2.0
55,2016-02-25,5.9,12.1,0.5,0.0,8.8,3.1
56,2016-02-26,5.6,12.2,-0.6,0.0,7.5,2.8
57,2016-02-27,7.7,13.3,1.6,0.0,4.9,2.5
58,2016-02-28,10.4,16.8,4.3,0.0,9.2,2.5
59,2016-02-29,7.4,13.3,0.2,0.0,8.5,3.6
60,2016-03-01,3.6,8.9,-1.0,0.0,9.5,2.1
61,2016-03-02,6.0,12.7,-1.0,0.0,10.1,2.5
62,2016-03-03,8.8,16.6,1.2,0.0,10.1,2.7
63,2016-03-04,11.2,17.7,6.0,0.0,3.6,2.4
64,2016-03-05,14.1,19.1,9.5,0.0,0.7,2.2
65,2016-03-06,15.1,17.9,12.1,12.5,0.0,1.9
66,2016-03-07,16.0,20.7,12.6,0.0,9.2,2.5
67,2016-03-08,15.7,20.0,10.7,0.0,9.0,2.5
68,2016-03-09,12.9,17.0,7.9,64.5,0.0,2.0
69,2016-03-10,9.9,14.1,5.8,0.0,1.5,2.0
70,2016-03-11,9.5,14.5,5.0,0.0,6.5,2.2
71,2016-03-12,8.3,13.7,2.5,0.0,10.5,2.4
72,2016-03-13,9.7,14.5,5.6,3.0,1.7,1.9
73,2016-03-14,9.2,13.9,6.6,13.5,1.7,1.6
74,2016-03-15,9.1,15.6,4.3,0.0,10.9,2.4
75,2016-03-16,11.1,16.2,5.8,0.0,7.0,2.4
76,2016-03-17,12.5,18.6,6.6,0.0,11.0,2.8
77,2016-03-18,12.4,14.6,9.2,47.0,0.1,1.9
78,2016-03-19,17.3,24.6,12.4,1.5,7.6,2.3
79,2016-03-20,13.3,19.4,7.4,0.0,11.0,2.6
80,2016-03-21,10.0,16.4,3.7,0.0,11.1,2.8
81,2016-03-22,10.9,17.7,4.1,0.0,11.1,3.0
82,2016-03-23,12.5,18.2,5.7,0.0,3.9,1.9
83,2016-03-24,12.2,17.3,6.9,0.0,10.2,2.3
84,2016-03-25,8.1,14.2,1.5,0.0,10.9,2.3
85,2016-03-26,9.7,15.0,2.8,0.0,11.3,2.7
86,2016-03-27,10.5,17.6,5.7,0.0,8.4,2.6
87,2016-03-28,10.3,17.6,3.2,0.0,9.2,2.2
88,2016-03-29,11.3,16.7,3.7,0.0,6.1,2.3
89,2016-03-30,13.5,19.1,7.9,0.0,1.9,2.0
90,2016-03-31,14.0,19.1,9.1,13.5,3.6,2.1
91,2016-04-01,15.6,18.6,13.3,67.5,0.1,1.8
92,2016-04-02,15.8,20.0,13.4,0.5,0.0,2.1
93,2016-04-03,16.4,18.2,14.5,48.5,0.0,2.1
94,2016-04-04,17.2,20.2,14.8,28.5,3.4,1.7
95,2016-04-05,16.4,20.4,12.5,0.0,7.1,2.3
96,2016-04-06,16.0,20.6,10.8,2.5,6.8,2.4
97,2016-04-07,16.3,19.2,13.9,42.5,0.0,1.7
98,2016-04-08,16.9,20.2,13.5,0.0,2.4,2.0
99,2016-04-09,16.3,20.4,11.9,0.0,7.0,2.1
100,2016-04-10,16.1,19.2,13.9,0.0,0.5,2.0
101,2016-04-11,15.2,21.5,8.8,0.0,8.3,2.5
102,2016-04-12,12.0,16.9,6.6,0.0,9.6,2.5
103,2016-04-13,15.4,20.7,10.6,11.5,0.6,2.1
104,2016-04-14,18.5,23.2,14.7,0.0,10.0,2.3
105,2016-04-15,16.6,23.1,10.8,0.0,11.5,2.6
106,2016-04-16,17.1,20.9,10.9,0.5,8.9,2.9
107,2016-04-17,19.8,26.8,14.8,29.5,9.8,3.2
108,2016-04-18,14.4,17.0,11.4,0.5,0.0,2.1
109,2016-04-19,16.1,24.2,7.7,0.0,12.3,2.8
110,2016-04-20,15.3,20.0,9.1,0.0,4.6,2.4
111,2016-04-21,15.7,17.1,14.6,71.0,0.0,1.8
112,2016-04-22,18.8,23.8,14.5,0.0,12.0,1.9
113,2016-04-23,16.4,21.5,13.3,5.0,5.0,2.2
114,2016-04-24,16.6,19.2,14.3,0.5,0.7,1.6
115,2016-04-25,17.5,21.5,13.8,0.5,0.8,1.5
116,2016-04-26,19.1,23.4,14.4,0.0,11.7,2.2
117,2016-04-27,17.8,18.8,17.0,90.0,0.0,1.8
118,2016-04-28,19.8,25.1,16.6,5.5,6.1,2.8
119,2016-04-29,16.5,22.2,11.4,0.0,12.2,2.8
120,2016-04-30,15.8,21.9,8.8,0.0,12.4,2.7
121,2016-05-01,18.1,23.5,12.0,0.0,12.1,2.4
122,2016-05-02,19.1,23.7,13.7,0.0,9.7,2.0
123,2016-05-03,20.1,22.6,17.8,55.5,0.0,5.0
124,2016-05-04,19.3,26.3,11.7,0.0,11.7,2.3
125,2016-05-05,20.5,29.2,11.2,0.0,10.2,2.4
126,2016-05-06,15.7,17.7,14.4,6.5,0.0,1.8
127,2016-05-07,18.6,22.8,14.5,0.0,8.7,2.1
128,2016-05-08,18.5,23.1,13.8,0.0,4.5,2.8
129,2016-05-09,16.9,19.2,14.6,30.0,0.0,1.7
130,2016-05-10,19.2,20.6,17.7,46.0,0.0,0.9
131,2016-05-11,20.3,24.9,14.0,1.5,7.8,2.4
132,2016-05-12,18.3,23.0,12.0,0.0,12.6,2.8
133,2016-05-13,19.7,24.2,14.8,0.0,8.9,2.3
134,2016-05-14,19.8,24.3,15.4,0.0,12.1,2.7
135,2016-05-15,19.0,21.2,16.7,0.5,0.1,2.0
136,2016-05-16,20.4,22.7,17.1,49.0,0.0,3.6
137,2016-05-17,19.4,26.4,13.9,0.0,12.3,2.4
138,2016-05-18,19.0,24.6,12.4,0.0,12.5,2.5
139,2016-05-19,20.6,26.1,15.6,0.0,9.1,2.2
140,2016-05-20,20.3,24.2,16.1,0.0,9.8,2.4
141,2016-05-21,20.2,25.1,15.7,0.0,10.9,2.4
142,2016-05-22,20.4,25.1,15.6,0.0,11.9,2.2
143,2016-05-23,20.9,26.5,15.9,0.0,12.7,2.7
144,2016-05-24,21.0,26.0,14.6,0.0,7.2,2.3
145,2016-05-25,20.7,21.7,19.5,39.0,0.0,1.2
146,2016-05-26,21.2,22.0,20.3,65.5,0.0,1.4
147,2016-05-27,22.5,28.1,19.7,0.0,6.0,1.9
148,2016-05-28,19.1,20.7,17.9,10.0,0.0,1.8
149,2016-05-29,19.7,21.0,18.2,45.5,0.0,1.5
150,2016-05-30,22.6,25.9,20.0,0.0,5.8,1.7
151,2016-05-31,22.5,26.4,18.7,0.0,8.3,1.9
152,2016-06-01,21.1,24.9,16.9,0.0,1.9,2.0
153,2016-06-02,20.1,27.3,13.2,0.0,13.1,2.7
154,2016-06-03,20.5,25.0,14.1,0.0,10.8,2.5
155,2016-06-04,18.6,20.9,17.3,91.5,0.0,2.2
156,2016-06-05,19.9,22.8,18.0,5.0,0.0,1.8
157,2016-06-06,21.6,25.7,18.2,2.0,5.9,1.7
158,2016-06-07,20.4,22.1,19.5,85.0,0.0,1.6
159,2016-06-08,21.8,25.4,19.4,0.0,1.8,2.0
160,2016-06-09,22.5,26.2,20.5,0.5,2.4,1.9
161,2016-06-10,23.6,27.5,19.7,9.5,8.8,2.1
162,2016-06-11,23.9,28.0,21.2,1.0,2.1,1.7
163,2016-06-12,22.2,23.2,21.7,151.5,0.0,2.0
164,2016-06-13,23.1,26.1,21.3,1.5,1.3,1.4
165,2016-06-14,23.8,27.5,19.7,0.0,9.4,2.3
166,2016-06-15,24.6,27.9,21.6,0.0,3.3,2.0
167,2016-06-16,22.9,24.5,21.5,20.0,0.0,1.5
168,2016-06-17,23.2,28.3,19.4,0.0,2.7,1.9
169,2016-06-18,23.3,27.7,17.8,0.0,8.6,2.2
170,2016-06-19,22.4,24.6,21.1,13.0,0.1,1.3
171,2016-06-20,23.0,24.6,22.1,34.0,0.1,1.1
172,2016-06-21,24.4,27.7,21.8,42.0,5.5,1.4
173,2016-06-22,23.4,24.4,22.5,26.5,0.0,1.0
174,2016-06-23,26.8,33.7,22.9,37.0,7.7,1.5
175,2016-06-24,23.9,25.4,22.4,0.5,0.0,1.6
176,2016-06-25,21.9,25.1,18.1,7.5,0.0,1.3
177,2016-06-26,22.4,28.5,16.4,0.0,10.8,2.2
178,2016-06-27,21.0,26.2,17.2,62.0,5.0,2.0
179,2016-06-28,21.5,23.1,19.4,43.5,0.0,0.8
180,2016-06-29,23.2,25.4,21.8,26.5,0.0,1.1
181,2016-06-30,23.5,25.4,22.2,3.0,0.3,1.0
182,2016-07-01,24.5,27.5,21.1,0.0,9.9,1.8
183,2016-07-02,26.2,29.8,22.8,0.0,4.5,1.8
184,2016-07-03,27.2,30.9,24.0,0.5,8.1,1.5
185,2016-07-04,27.6,30.8,25.1,0.0,8.8,1.7
186,2016-07-05,27.5,30.6,24.9,0.0,7.4,1.8
187,2016-07-06,27.4,30.6,24.4,0.0,9.2,2.1
188,2016-07-07,26.7,29.9,23.5,0.0,9.8,2.3
189,2016-07-08,23.0,24.6,21.3,65.0,0.0,1.9
190,2016-07-09,25.1,28.6,21.6,42.0,1.8,1.4
191,2016-07-10,25.9,28.7,24.7,2.5,1.3,1.2
192,2016-07-11,26.1,28.7,24.7,1.5,0.2,1.2
193,2016-07-12,27.1,30.6,24.1,0.0,4.2,1.6
194,2016-07-13,26.2,27.8,24.9,1.0,0.1,0.9
195,2016-07-14,27.5,35.1,23.9,0.0,10.1,1.8
196,2016-07-15,25.8,30.9,22.1,0.0,6.6,2.1
197,2016-07-16,24.9,28.5,20.7,0.0,4.8,2.0
198,2016-07-17,26.3,28.8,23.6,0.5,5.4,1.9
199,2016-07-18,26.6,30.7,22.3,0.0,12.5,2.1
200,2016-07-19,26.9,30.7,22.1,0.0,10.8,2.1
201,2016-07-20,27.0,30.5,24.3,3.5,7.9,1.9
202,2016-07-21,26.7,30.2,23.7,0.0,7.9,2.0
203,2016-07-22,26.9,30.1,23.5,0.0,10.1,2.2
204,2016-07-23,27.2,30.3,24.3,1.0,8.1,2.1
205,2016-07-24,24.0,25.8,22.7,22.5,0.0,1.4
206,2016-07-25,24.8,28.9,22.6,14.5,0.6,1.5
207,2016-07-26,25.9,29.6,22.5,0.0,6.8,1.9
208,2016-07-27,27.0,30.4,23.9,0.0,8.4,2.2
209,2016-07-28,27.2,31.5,23.6,0.0,11.5,2.3
210,2016-07-29,26.8,31.0,23.7,3.5,6.0,2.3
211,2016-07-30,27.1,31.0,23.4,0.0,10.6,2.3
212,2016-07-31,27.0,31.0,23.3,0.0,11.3,2.4
213,2016-08-01,27.5,31.3,23.5,0.0,10.4,2.3
214,2016-08-02,27.3,31.7,24.3,0.0,8.2,2.5
215,2016-08-03,26.9,31.6,23.6,0.5,6.7,2.3
216,2016-08-04,27.0,31.6,23.1,0.0,9.3,2.3
217,2016-08-05,27.4,31.9,23.8,0.0,5.9,2.1
