Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight
0,2016-01-01,1.2,10.8,-3.2,0.0,7.8
1,2016-01-02,6.1,13.6,-2.0,0.5,0.5
2,2016-01-03,8.7,14.7,3.5,0.0,0.4
3,2016-01-04,6.9,15.1,1.2,0.0,6.9
4,2016-01-05,5.7,8.6,4.0,10.5,0.0
5,2016-01-06,5.0,7.5,2.5,0.0,0.0
6,2016-01-07,4.0,8.0,1.7,0.0,1.6
7,2016-01-08,2.7,4.4,-0.4,0.0,0.0
8,2016-01-09,0.7,5.5,-3.2,0.0,2.2
9,2016-01-10,1.9,9.3,-2.1,0.0,7.1
10,2016-01-11,3.4,9.1,-1.4,0.0,1.6
11,2016-01-12,2.4,6.7,-0.9,0.0,0.4
12,2016-01-13,0.8,4.1,-2.3,0.0,0.7
13,2016-01-14,1.3,7.2,-2.6,0.0,5.2
14,2016-01-15,-0.8,6.1,-4.7,0.0,3.4
15,2016-01-16,0.7,11.5,-6.2,0.0,8.5
16,2016-01-17,1.5,5.6,-3.8,20.5,0.0
17,2016-01-18,3.3,7.2,-2.0,4.0,1.0
18,2016-01-19,-1.8,0.1,-2.7,0.5,0.7
19,2016-01-20,-1.9,2.7,-5.2,0.0,6.3
20,2016-01-21,-2.1,2.8,-6.8,0.0,0.8
21,2016-01-22,1.0,5.5,-3.3,0.0,2.1
22,2016-01-23,-0.7,3.8,-3.9,0.5,0.6
23,2016-01-24,-6.8,-3.8,-10.4,1.0,0.4
24,2016-01-25,-4.5,-0.1,-10.7,0.0,2.7
25,2016-01-26,-0.6,2.9,-4.0,0.0,0.0
26,2016-01-27,1.8,8.5,-3.3,0.0,2.6
27,2016-01-28,4.3,9.0,0.5,4.5,0.0
28,2016-01-29,9.2,11.9,7.0,28.5,0.0
29,2016-01-30,6.8,9.6,1.7,2.0,0.9
30,2016-01-31,3.9,11.0,-0.2,0.0,3.7
31,2016-02-01,2.0,5.2,-0.9,0.0,0.0
32,2016-02-02,1.4,5.5,-2.2,0.0,3.3
33,2016-02-03,2.3,6.7,-0.5,0.5,1.2
34,2016-02-04,1.7,8.5,-2.6,0.0,7.5
35,2016-02-05,1.3,7.9,-3.0,0.0,5.4
36,2016-02-06,-0.1,4.6,-3.1,0.0,0.8
37,2016-02-07,-0.6,5.9,-4.0,0.0,3.0
38,2016-02-08,0.5,7.2,-5.1,0.0,5.2
39,2016-02-09,3.3,9.6,-2.9,0.0,8.5
40,2016-02-10,2.3,13.5,-5.2,0.0,9.1
41,2016-02-11,5.9,18.5,-3.5,0.0,7.2
42,2016-02-12,11.4,16.0,3.2,0.0,0.5
43,2016-02-13,14.7,19.3,10.4,40.0,0.2
44,2016-02-14,8.3,16.5,1.8,7.5,0.1
45,2016-02-15,-0.2,2.3,-2.3,0.0,3.1
46,2016-02-16,-0.1,2.7,-2.2,0.0,0.5
47,2016-02-17,1.2,5.3,-2.9,0.0,2.0
48,2016-02-18,1.6,11.2,-4.8,0.0,9.2
49,2016-02-19,5.7,13.4,-1.2,0.5,4.7
50,2016-02-20,5.7,8.5,3.7,38.5,0.0
51,2016-02-21,2.4,6.6,-1.6,2.5,8.0
52,2016-02-22,3.5,10.9,-2.5,2.0,1.9
53,2016-02-23,4.0,7.8,1.3,5.5,0.2
54,2016-02-24,3.0,8.7,-0.5,0.0,2.6
55,2016-02-25,0.0,2.9,-3.8,0.0,0.9
56,2016-02-26,0.2,7.6,-5.3,0.0,8.5
57,2016-02-27,4.0,12.5,-2.8,0.5,1.9
58,2016-02-28,6.8,16.6,-1.3,0.0,9.1
59,2016-02-29,2.7,11.1,-3.1,2.0,0.7
60,2016-03-01,-1.3,5.0,-6.5,0.0,8.6
61,2016-03-02,2.2,12.4,-5.0,0.0,9.4
62,2016-03-03,4.9,15.0,-4.1,0.0,9.6
63,2016-03-04,10.7,18.8,3.2,0.0,2.1
64,2016-03-05,12.5,19.6,3.9,0.0,8.8
65,2016-03-06,15.4,20.9,10.0,0.0,0.9
66,2016-03-07,13.9,22.7,7.6,0.0,5.4
67,2016-03-08,11.6,21.6,5.6,0.0,5.6
68,2016-03-09,6.9,10.3,3.4,32.5,0.0
69,2016-03-10,5.2,9.4,2.3,0.0,0.4
70,2016-03-11,3.1,7.6,-1.4,1.0,3.1
71,2016-03-12,2.8,10.2,-2.3,0.0,8.1
72,2016-03-13,3.6,9.0,-1.8,5.5,0.4
73,2016-03-14,4.8,9.1,2.2,5.5,2.5
74,2016-03-15,5.2,13.6,-1.6,0.0,10.1
75,2016-03-16,6.8,16.4,-0.4,0.0,6.3
76,2016-03-17,9.7,20.5,-1.4,0.0,9.9
77,2016-03-18,12.7,14.0,11.3,12.5,0.0
78,2016-03-19,11.8,16.0,3.7,0.5,0.0
79,2016-03-20,7.3,14.5,0.4,0.0,10.3
80,2016-03-21,5.7,14.8,-1.5,0.0,10.3
81,2016-03-22,7.1,17.9,-3.0,0.0,10.4
82,2016-03-23,8.5,17.0,1.4,0.0,3.0
