Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight
0,2016-01-01,5.3,11.4,1.9,0.5,5.1
1,2016-01-02,7.5,13.8,2.1,0.0,5.9
2,2016-01-03,9.8,16.6,4.5,0.0,4.6
3,2016-01-04,9.9,15.8,5.0,0.0,4.5
4,2016-01-05,7.8,11.9,4.2,1.0,0.5
5,2016-01-06,8.2,12.4,5.0,0.0,2.4
6,2016-01-07,5.6,7.7,2.9,7.5,0.1
7,2016-01-08,4.9,11.0,0.4,0.0,2.6
8,2016-01-09,5.1,10.7,2.2,4.5,3.9
9,2016-01-10,5.6,8.7,1.6,0.0,0.7
10,2016-01-11,6.3,10.1,3.9,6.5,4.0
11,2016-01-12,3.8,5.8,1.2,21.5,0.0
12,2016-01-13,3.7,9.4,-0.2,0.0,4.9
13,2016-01-14,3.7,8.1,-0.5,0.5,3.8
14,2016-01-15,4.0,8.4,1.3,4.0,5.9
15,2016-01-16,4.0,8.9,1.0,1.5,2.7
16,2016-01-17,4.9,8.7,0.2,2.0,0.1
17,2016-01-18,6.3,9.9,3.1,25.5,0.1
18,2016-01-19,1.2,4.1,-2.2,1.0,8.2
19,2016-01-20,2.2,4.7,-1.7,32.0,0.1
20,2016-01-21,2.2,4.4,0.2,6.0,0.2
21,2016-01-22,2.4,4.5,0.4,19.0,0.1
22,2016-01-23,3.1,8.1,0.7,4.5,3.4
23,2016-01-24,-2.0,1.2,-4.6,4.5,8.6
24,2016-01-25,-0.1,3.2,-3.7,4.0,4.3
25,2016-01-26,2.2,8.2,-4.2,0.0,6.1
26,2016-01-27,4.3,9.9,0.6,0.0,1.7
27,2016-01-28,5.7,11.9,0.6,0.0,1.8
28,2016-01-29,6.8,8.4,5.2,45.5,0.0
29,2016-01-30,6.7,8.3,5.5,7.0,0.0
30,2016-01-31,6.8,12.3,3.0,0.0,4.4
31,2016-02-01,4.8,7.0,3.2,19.5,0.0
32,2016-02-02,3.4,5.9,1.8,17.0,0.0
33,2016-02-03,2.8,7.3,-1.2,0.0,1.7
34,2016-02-04,4.7,10.5,-1.3,0.0,6.8
35,2016-02-05,5.7,11.7,0.7,0.0,5.3
36,2016-02-06,4.4,8.9,1.2,11.5,5.0
37,2016-02-07,2.5,6.2,-1.5,5.0,4.5
38,2016-02-08,3.6,10.5,-3.0,0.0,9.8
39,2016-02-09,3.9,7.4,1.0,16.5,2.4
40,2016-02-10,3.3,8.0,0.3,1.5,4.0
41,2016-02-11,3.4,9.7,-0.9,0.0,9.7
42,2016-02-12,11.2,17.5,1.4,0.0,7.7
43,2016-02-13,14.5,17.0,11.2,7.5,0.0
44,2016-02-14,13.2,18.4,7.8,5.5,0.6
45,2016-02-15,3.0,8.0,0.4,15.5,0.0
46,2016-02-16,2.7,8.0,-0.5,3.0,8.7
47,2016-02-17,2.5,5.0,0.0,12.0,0.8
48,2016-02-18,5.0,12.0,-0.8,0.0,9.9
49,2016-02-19,8.3,15.0,1.6,0.0,8.3
50,2016-02-20,7.9,9.5,5.9,20.5,0.0
51,2016-02-21,5.3,8.4,2.1,4.0,1.3
52,2016-02-22,4.9,8.6,1.3,0.0,1.3
53,2016-02-23,6.7,10.8,2.7,0.5,1.0
54,2016-02-24,2.8,6.5,-0.6,0.5,0.5
55,2016-02-25,2.0,8.2,-2.1,4.5,5.6
56,2016-02-26,2.8,7.9,-1.0,3.0,6.2
57,2016-02-27,6.6,13.1,0.2,1.0,3.6
58,2016-02-28,8.9,15.7,1.0,0.0,9.2
59,2016-02-29,5.4,13.3,-0.3,11.0,0.0
60,2016-03-01,1.2,3.9,-0.5,2.0,2.1
61,2016-03-02,3.5,10.0,-0.5,0.0,4.9
62,2016-03-03,7.3,14.5,0.6,0.0,8.3
63,2016-03-04,9.3,17.7,2.3,0.0,10.3
64,2016-03-05,15.1,22.0,8.9,0.5,7.3
65,2016-03-06,17.4,19.6,12.2,0.0,1.0
66,2016-03-07,11.8,15.4,8.0,0.5,0.1
67,2016-03-08,11.2,16.6,7.5,0.0,0.8
68,2016-03-09,7.0,9.8,5.6,24.0,0.0
69,2016-03-10,6.2,8.7,4.5,0.0,0.6
70,2016-03-11,4.1,6.6,0.8,1.0,0.3
71,2016-03-12,3.0,7.9,-0.5,3.0,4.4
72,2016-03-13,5.3,10.1,-0.2,4.5,2.2
73,2016-03-14,6.7,9.0,5.3,10.0,0.3
74,2016-03-15,6.2,10.5,0.7,0.0,7.6
75,2016-03-16,6.5,13.4,-0.7,0.0,3.2
76,2016-03-17,9.6,17.5,3.4,0.0,10.9
77,2016-03-18,13.4,19.5,6.4,11.0,3.5
78,2016-03-19,12.3,15.4,7.2,14.5,0.0
79,2016-03-20,9.1,11.2,7.7,0.0,0.6
80,2016-03-21,7.2,11.6,2.4,0.0,5.3
81,2016-03-22,7.8,17.8,-0.5,0.0,11.4
82,2016-03-23,8.6,10.8,5.8,0.0,0.1
83,2016-03-24,7.5,10.8,5.2,0.0,3.1
84,2016-03-25,6.0,9.8,3.2,0.0,2.7
85,2016-03-26,5.8,11.5,1.6,0.0,4.8
86,2016-03-27,6.5,12.6,0.1,0.0,7.2
87,2016-03-28,8.7,14.5,4.4,0.0,5.5
88,2016-03-29,11.3,18.7,2.3,0.0,8.0
89,2016-03-30,12.9,20.4,7.6,0.0,4.0
90,2016-03-31,11.6,19.6,5.5,0.0,8.7
91,2016-04-01,12.4,16.3,8.2,1.5,0.8
92,2016-04-02,16.2,23.1,8.1,0.0,6.9
93,2016-04-03,17.7,21.8,15.0,0.0,0.2
94,2016-04-04,12.1,15.7,10.1,8.5,0.0
95,2016-04-05,11.0,15.4,6.7,0.0,6.1
96,2016-04-06,11.7,18.2,5.5,0.0,6.2
97,2016-04-07,15.3,22.7,11.8,19.0,0.0
98,2016-04-08,12.9,16.9,9.1,0.0,3.5
99,2016-04-09,14.6,22.9,8.7,0.0,8.6
100,2016-04-10,14.7,20.7,10.9,0.0,0.0
101,2016-04-11,8.3,12.3,3.5,0.0,3.7
102,2016-04-12,9.9,14.9,2.1,0.0,9.8
103,2016-04-13,15.8,21.6,12.1,39.0,0.9
104,2016-04-14,15.2,20.4,12.4,0.0,4.7
105,2016-04-15,11.0,14.8,5.0,0.0,11.7
106,2016-04-16,16.1,26.5,3.8,0.0,10.9
107,2016-04-17,19.4,28.1,12.0,4.0,7.2
108,2016-04-18,13.3,17.5,8.9,0.0,0.2
109,2016-04-19,11.5,17.5,5.5,0.0,7.4
110,2016-04-20,15.1,23.4,5.1,0.0,10.1
111,2016-04-21,16.0,17.9,14.0,5.0,0.8
112,2016-04-22,15.2,19.0,11.3,0.0,6.5
113,2016-04-23,15.8,22.9,10.9,3.0,6.7
