Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight
0,2016-01-01,1.0,4.8,-2.4,0.0,6.7
1,2016-01-02,3.7,11.0,-3.0,0.0,3.3
2,2016-01-03,6.1,10.6,1.4,0.0,5.5
3,2016-01-04,4.2,8.5,0.9,0.0,1.5
4,2016-01-05,1.3,4.6,-1.6,0.0,5.9
5,2016-01-06,0.7,5.4,-3.7,0.0,4.2
6,2016-01-07,0.5,3.5,-2.6,0.0,4.3
7,2016-01-08,0.5,5.9,-2.9,0.0,6.7
8,2016-01-09,-0.4,3.9,-3.4,0.0,5.1
9,2016-01-10,0.8,6.2,-2.3,0.5,7.1
10,2016-01-11,-1.5,1.7,-3.7,0.0,5.9
11,2016-01-12,-2.1,1.9,-5.6,0.0,5.4
12,2016-01-13,-0.8,4.6,-5.1,0.5,7.5
13,2016-01-14,0.2,3.3,-3.0,0.0,7.9
14,2016-01-15,-0.9,3.7,-4.1,0.0,6.2
15,2016-01-16,-2.0,2.9,-5.2,0.0,1.8
16,2016-01-17,-1.0,3.0,-5.6,0.0,5.2
17,2016-01-18,1.2,2.5,-1.3,55.0,0.0
18,2016-01-19,0.6,2.4,-2.4,0.0,0.5
19,2016-01-20,0.4,4.1,-2.5,0.0,8.7
20,2016-01-21,0.1,3.4,-2.6,0.0,8.2
21,2016-01-22,-0.8,2.5,-3.0,0.0,7.7
22,2016-01-23,-1.0,2.8,-4.0,0.0,2.9
23,2016-01-24,-1.6,1.7,-3.5,0.5,2.8
24,2016-01-25,-1.9,1.2,-4.5,1.5,8.6
25,2016-01-26,0.2,5.9,-4.0,0.0,3.4
26,2016-01-27,2.5,6.6,-0.8,0.0,1.5
27,2016-01-28,1.5,7.3,-2.8,0.0,8.6
28,2016-01-29,-0.2,2.2,-3.3,0.5,0.0
29,2016-01-30,-1.5,1.2,-3.6,4.5,2.4
30,2016-01-31,-0.3,4.0,-3.5,0.0,6.3
31,2016-02-01,-1.8,1.4,-4.8,0.0,4.4
32,2016-02-02,-2.3,1.5,-4.8,0.0,0.4
33,2016-02-03,-0.9,3.6,-4.0,0.0,8.8
34,2016-02-04,0.3,5.6,-5.0,0.0,6.3
35,2016-02-05,1.1,5.6,-3.1,0.0,7.2
36,2016-02-06,-0.2,4.5,-3.3,0.0,3.2
37,2016-02-07,-2.1,2.1,-5.3,0.0,9.4
38,2016-02-08,-0.8,5.5,-6.1,0.0,8.5
39,2016-02-09,2.6,7.5,-2.4,0.5,5.7
40,2016-02-10,0.0,2.1,-1.3,1.5,4.7
41,2016-02-11,0.9,5.0,-2.4,0.0,9.3
42,2016-02-12,2.1,8.5,-4.4,0.0,9.8
43,2016-02-13,8.6,16.6,1.4,0.0,2.6
44,2016-02-14,10.0,15.5,6.0,5.5,0.8
45,2016-02-15,0.8,7.4,-3.9,0.0,3.7
46,2016-02-16,-0.2,4.7,-4.6,0.0,7.0
47,2016-02-17,-0.2,3.7,-3.3,0.0,6.6
48,2016-02-18,2.1,9.8,-4.0,0.0,8.5
49,2016-02-19,4.3,11.5,-2.0,0.0,7.6
50,2016-02-20,5.2,9.2,0.2,18.5,0.0
51,2016-02-21,4.9,10.2,0.2,0.0,4.8
52,2016-02-22,0.8,4.4,-1.6,0.0,2.8
53,2016-02-23,3.2,8.5,-1.7,1.0,2.8
54,2016-02-24,-0.7,2.4,-4.3,0.0,5.0
55,2016-02-25,-1.8,2.8,-5.5,0.0,7.5
56,2016-02-26,-0.3,4.2,-4.0,0.0,8.9
57,2016-02-27,1.1,5.1,-3.2,5.5,7.6
58,2016-02-28,1.4,5.3,-2.1,1.5,7.2
59,2016-02-29,4.7,8.8,0.6,4.0,0.0
60,2016-03-01,-1.1,1.3,-2.6,1.0,3.2
61,2016-03-02,-0.5,4.4,-3.7,0.0,7.1
62,2016-03-03,1.9,8.3,-3.3,1.5,6.3
63,2016-03-04,1.6,8.4,-2.6,0.0,8.5
64,2016-03-05,2.9,7.5,-1.9,0.0,4.6
65,2016-03-06,7.2,11.1,4.3,1.5,0.1
66,2016-03-07,10.1,15.4,6.7,5.0,0.1
67,2016-03-08,9.2,15.1,5.4,0.5,3.2
68,2016-03-09,3.7,6.0,2.3,0.0,0.0
69,2016-03-10,2.5,6.8,-1.6,0.0,5.9
70,2016-03-11,1.1,6.6,-2.7,0.0,8.7
71,2016-03-12,1.1,7.9,-3.5,0.0,9.7
72,2016-03-13,3.1,8.4,-2.4,0.0,5.8
73,2016-03-14,4.5,7.4,2.3,0.0,1.1
74,2016-03-15,4.2,8.6,0.0,0.0,10.0
75,2016-03-16,5.8,12.4,0.2,0.0,6.5
76,2016-03-17,9.8,17.2,2.4,0.0,11.1
77,2016-03-18,9.5,15.4,2.5,0.0,9.3
78,2016-03-19,12.0,18.0,8.8,0.0,1.1
79,2016-03-20,7.0,11.2,1.8,0.0,3.5
80,2016-03-21,3.4,8.6,-1.6,0.0,9.3
81,2016-03-22,6.0,12.2,-1.6,1.0,4.6
82,2016-03-23,4.7,9.6,0.3,0.5,7.4
83,2016-03-24,3.0,9.1,-1.9,0.0,7.5
84,2016-03-25,3.3,9.6,-0.9,0.0,8.3
85,2016-03-26,3.8,10.5,-1.6,0.0,8.9
86,2016-03-27,4.5,11.2,-2.2,0.0,8.0
87,2016-03-28,7.8,16.2,1.7,0.0,11.6
88,2016-03-29,6.9,12.1,2.4,0.0,10.6
89,2016-03-30,8.5,14.7,3.8,8.5,7.7
90,2016-03-31,7.8,14.8,1.2,0.0,11.1
91,2016-04-01,6.4,12.9,-0.1,0.0,10.6
92,2016-04-02,6.5,7.3,6.0,0.0,0.0
93,2016-04-03,10.6,16.6,6.1,0.5,1.9
94,2016-04-04,6.5,10.6,2.7,24.0,0.0
95,2016-04-05,7.0,12.2,1.6,0.0,11.3
96,2016-04-06,8.6,16.0,2.0,0.0,12.3
97,2016-04-07,8.0,10.2,3.4,52.5,0.0
98,2016-04-08,11.6,14.6,8.7,0.0,2.8
99,2016-04-09,13.0,20.8,4.1,0.0,11.4
100,2016-04-10,7.7,11.3,4.6,0.0,7.9
101,2016-04-11,4.1,7.8,1.0,0.0,4.5
102,2016-04-12,6.0,13.2,-0.8,0.0,11.6
103,2016-04-13,10.0,16.3,2.3,0.5,5.8
104,2016-04-14,12.3,17.0,10.0,7.5,3.7
105,2016-04-15,9.1,11.7,6.3,0.0,9.6
106,2016-04-16,9.0,16.5,2.7,0.0,9.3
107,2016-04-17,11.5,15.3,5.9,19.5,0.2
108,2016-04-18,13.8,16.5,11.3,0.0,2.5
109,2016-04-19,11.3,16.9,6.5,0.0,8.5
110,2016-04-20,9.1,15.9,3.7,0.0,9.6
111,2016-04-21,10.8,16.5,3.9,0.5,1.9
112,2016-04-22,12.0,17.4,8.4,2.5,1.5
113,2016-04-23,11.3,15.0,8.2,0.0,3.4
114,2016-04-24,12.1,19.4,5.5,0.0,9.9
115,2016-04-25,10.7,18.1,4.5,0.0,12.5
116,2016-04-26,11.4,22.8,5.2,0.0,11.2
117,2016-04-27,8.8,13.7,3.8,0.0,10.2
118,2016-04-28,10.0,12.0,7.9,49.0,0.0
119,2016-04-29,8.6,12.2,6.0,1.0,2.3
120,2016-04-30,9.6,15.0,4.9,0.0,10.8
121,2016-05-01,7.9,8.9,6.9,5.5,0.0
122,2016-05-02,10.6,13.9,7.5,0.0,0.9
123,2016-05-03,14.5,18.0,10.6,0.0,6.0
124,2016-05-04,13.7,17.5,8.5,21.5,0.8
125,2016-05-05,14.4,20.0,8.1,0.0,4.5
126,2016-05-06,13.5,19.9,6.9,0.0,5.4
127,2016-05-07,15.6,21.5,12.8,1.0,2.7
128,2016-05-08,15.6,21.8,7.8,0.0,13.2
129,2016-05-09,13.0,19.4,5.4,0.0,9.8
130,2016-05-10,12.6,14.4,10.1,21.5,0.0
131,2016-05-11,13.1,15.0,11.8,7.5,0.0
132,2016-05-12,14.6,19.3,10.4,0.0,11.4
133,2016-05-13,15.7,21.3,9.2,0.0,12.4
134,2016-05-14,13.7,19.8,7.3,0.0,11.2
135,2016-05-15,11.5,17.6,6.1,0.0,13.3
136,2016-05-16,14.0,18.8,7.8,0.0,4.9
137,2016-05-17,13.3,15.1,11.0,16.5,0.0
138,2016-05-18,15.1,21.3,10.4,0.0,13.4
139,2016-05-19,14.0,20.2,8.8,0.0,13.0
140,2016-05-20,12.9,18.5,7.7,0.0,8.3
141,2016-05-21,14.2,20.3,9.4,0.5,0.6
142,2016-05-22,17.5,24.5,12.8,0.0,13.2
143,2016-05-23,19.5,27.9,13.1,0.0,12.7
144,2016-05-24,18.3,21.9,12.7,0.0,7.3
145,2016-05-25,18.0,20.7,15.6,0.0,0.0
146,2016-05-26,18.9,25.3,15.8,0.0,2.0
147,2016-05-27,17.0,22.7,14.3,14.5,3.9
148,2016-05-28,17.1,21.6,10.6,0.0,12.5
149,2016-05-29,15.7,19.8,10.5,0.0,10.0
150,2016-05-30,18.2,23.9,13.9,0.0,8.0
151,2016-05-31,16.7,20.2,14.8,8.5,1.0
152,2016-06-01,15.0,19.2,10.7,0.0,9.5
153,2016-06-02,14.1,18.0,10.5,0.0,6.7
