Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,avg_wind_speed
0,2016-01-01,3.1,8.4,-2.5,0.0,3.9
1,2016-01-02,6.1,11.9,-2.5,0.0,4.0
2,2016-01-03,8.5,14.0,2.6,0.0,2.8
3,2016-01-04,8.0,13.1,4.6,0.0,3.9
4,2016-01-05,5.3,8.5,1.8,0.0,3.4
5,2016-01-06,3.5,7.0,-2.3,0.0,2.2
6,2016-01-07,3.2,6.2,-0.6,0.0,4.3
7,2016-01-08,3.0,7.9,-1.9,0.0,2.0
8,2016-01-09,2.1,6.2,-2.8,0.0,2.5
9,2016-01-10,4.2,10.2,-0.4,0.0,3.4
10,2016-01-11,1.2,4.3,-3.9,0.0,3.6
11,2016-01-12,-0.3,4.3,-5.5,0.0,2.9
12,2016-01-13,1.9,7.6,-5.1,0.0,2.8
13,2016-01-14,1.7,5.3,-3.0,0.0,3.5
14,2016-01-15,-0.1,4.2,-4.8,0.0,1.5
15,2016-01-16,-1.0,4.7,-5.7,0.0,3.1
16,2016-01-17,0.5,5.6,-6.6,0.0,1.9
17,2016-01-18,2.5,5.1,-0.8,44.5,8.8
18,2016-01-19,2.7,6.1,0.4,0.0,5.0
19,2016-01-20,1.4,6.4,-4.6,0.0,4.9
20,2016-01-21,1.9,6.9,-1.7,0.0,3.2
21,2016-01-22,0.9,6.5,-4.8,0.0,4.2
22,2016-01-23,1.1,3.5,-1.3,0.5,2.6
23,2016-01-24,-0.8,2.2,-2.5,2.5,4.3
24,2016-01-25,-2.1,2.1,-7.3,0.5,2.2
25,2016-01-26,0.8,6.7,-6.5,0.0,2.0
26,2016-01-27,5.5,10.4,0.2,0.0,3.4
27,2016-01-28,4.1,8.5,-1.2,0.0,2.6
28,2016-01-29,0.1,1.6,-1.6,1.5,2.3
29,2016-01-30,-0.5,1.8,-2.8,3.0,2.6
30,2016-01-31,0.3,5.6,-5.6,0.0,1.9
31,2016-02-01,0.4,4.4,-3.1,0.0,2.2
32,2016-02-02,0.5,4.7,-4.3,0.0,2.8
33,2016-02-03,0.4,4.7,-4.1,0.0,2.2
34,2016-02-04,2.2,6.7,-4.0,0.0,3.2
35,2016-02-05,3.1,8.2,-1.3,0.0,2.0
36,2016-02-06,1.3,4.8,-1.7,0.0,2.1
37,2016-02-07,-0.2,4.1,-4.1,0.0,3.6
38,2016-02-08,0.3,5.3,-6.2,0.0,2.5
39,2016-02-09,3.5,8.8,-1.8,0.0,3.9
40,2016-02-10,2.0,5.7,-0.2,0.0,5.4
41,2016-02-11,2.5,7.7,-3.6,0.0,4.5
42,2016-02-12,2.0,7.2,-5.2,0.0,1.7
43,2016-02-13,7.1,12.9,3.2,0.0,1.7
44,2016-02-14,12.2,22.0,6.9,0.5,5.3
45,2016-02-15,3.8,10.8,-1.2,0.0,6.7
46,2016-02-16,1.7,7.0,-5.1,0.0,3.4
47,2016-02-17,1.9,6.7,-2.0,0.0,4.9
48,2016-02-18,3.1,9.4,-4.7,0.0,4.3
49,2016-02-19,7.4,14.4,-1.0,0.0,5.5
50,2016-02-20,6.8,9.4,3.1,14.0,2.4
51,2016-02-21,7.1,12.7,1.9,0.0,6.4
52,2016-02-22,3.4,5.9,1.3,0.0,4.3
53,2016-02-23,5.3,9.4,-0.6,0.0,4.0
54,2016-02-24,1.3,5.1,-2.1,0.0,6.2
55,2016-02-25,0.0,5.6,-4.7,0.0,3.1
56,2016-02-26,2.1,5.5,-1.9,0.0,3.2
57,2016-02-27,3.6,6.7,-0.8,0.0,3.9
58,2016-02-28,4.0,7.0,-0.5,0.0,4.0
59,2016-02-29,6.3,12.4,1.3,0.0,4.2
60,2016-03-01,1.3,5.8,-1.3,0.0,6.3
61,2016-03-02,1.9,7.1,-4.2,0.0,2.1
62,2016-03-03,5.8,12.9,-1.5,0.0,4.4
63,2016-03-04,3.2,8.2,-1.8,0.0,2.4
64,2016-03-05,4.4,8.6,-2.9,0.0,2.9
65,2016-03-06,8.0,11.7,5.7,0.0,2.0
66,2016-03-07,9.8,13.4,7.7,3.5,1.8
67,2016-03-08,10.1,16.0,8.0,0.0,3.1
68,2016-03-09,5.2,9.3,3.6,0.0,4.1
69,2016-03-10,3.9,7.8,0.2,0.0,4.2
70,2016-03-11,2.2,7.0,-2.1,0.0,3.0
71,2016-03-12,2.1,6.9,-4.7,0.0,2.5
72,2016-03-13,4.2,7.9,-1.4,0.0,3.4
73,2016-03-14,5.1,6.5,3.9,1.5,2.0
74,2016-03-15,5.4,9.8,1.9,0.0,5.8
75,2016-03-16,7.5,11.9,1.4,0.0,4.9
76,2016-03-17,8.8,13.9,1.2,0.0,3.0
77,2016-03-18,9.1,14.4,2.3,0.0,2.1
78,2016-03-19,11.2,13.9,9.5,0.5,1.9
79,2016-03-20,9.1,13.2,4.1,0.0,6.3
80,2016-03-21,6.3,12.0,0.8,0.0,5.2
81,2016-03-22,8.4,15.3,-0.7,0.0,4.1
82,2016-03-23,8.1,12.9,4.0,0.0,4.2
83,2016-03-24,5.5,10.5,1.2,0.0,4.8
84,2016-03-25,4.7,10.4,-2.0,0.0,5.3
85,2016-03-26,4.6,12.1,-2.3,0.0,2.8
86,2016-03-27,5.5,11.3,-1.7,0.0,3.0
87,2016-03-28,8.1,14.2,2.4,0.0,2.7
88,2016-03-29,7.5,12.7,-0.5,0.0,2.7
89,2016-03-30,9.7,13.9,4.2,0.0,2.8
90,2016-03-31,10.4,18.3,2.6,0.0,3.6
91,2016-04-01,7.6,11.6,2.1,0.0,4.2
92,2016-04-02,8.2,9.2,7.1,0.0,4.4
93,2016-04-03,13.0,19.5,8.1,0.0,3.1
94,2016-04-04,9.2,13.3,6.6,23.5,3.3
95,2016-04-05,8.0,12.6,3.7,0.0,3.3
96,2016-04-06,11.6,19.5,2.7,0.0,4.0
97,2016-04-07,9.6,11.5,7.6,52.0,2.9
98,2016-04-08,13.3,17.7,7.6,0.0,5.6
99,2016-04-09,15.4,23.8,4.8,0.0,4.9
100,2016-04-10,9.3,12.5,5.4,0.0,3.2
101,2016-04-11,6.3,10.1,2.4,0.0,7.5
102,2016-04-12,7.0,11.8,0.5,0.0,4.1
103,2016-04-13,11.1,15.8,4.1,0.5,4.7
104,2016-04-14,13.3,17.1,11.3,17.5,2.0
105,2016-04-15,11.3,14.4,7.7,0.5,8.7
106,2016-04-16,10.1,14.6,3.1,0.0,3.1
107,2016-04-17,13.4,19.1,7.8,5.5,5.9
108,2016-04-18,16.2,21.0,12.0,0.0,6.0
109,2016-04-19,12.1,17.0,7.4,0.0,4.0
110,2016-04-20,9.9,14.1,3.6,0.0,3.9
111,2016-04-21,12.3,16.1,6.0,5.0,2.4
112,2016-04-22,13.1,16.9,10.8,0.0,2.7
113,2016-04-23,12.6,15.0,10.5,0.0,3.3
114,2016-04-24,14.1,18.7,8.7,0.0,3.3
115,2016-04-25,11.7,16.9,5.2,0.0,2.9
116,2016-04-26,12.9,17.9,7.8,0.0,2.9
117,2016-04-27,10.6,14.1,7.5,0.0,3.5
118,2016-04-28,10.4,12.9,8.2,48.5,4.0
119,2016-04-29,12.0,16.8,8.0,0.0,7.0
120,2016-04-30,11.0,14.5,5.5,0.0,4.0
121,2016-05-01,10.7,12.0,9.8,8.0,2.5
122,2016-05-02,10.7,12.4,9.2,0.0,1.7
123,2016-05-03,13.4,19.1,8.2,0.0,5.7
124,2016-05-04,14.7,18.4,13.4,4.5,6.7
125,2016-05-05,17.2,22.0,11.2,0.0,7.3
126,2016-05-06,15.2,20.8,8.5,0.0,4.4
127,2016-05-07,17.2,25.6,12.7,0.0,4.5
128,2016-05-08,17.5,23.8,10.6,0.0,5.8
