Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation
0,2016-01-01,1.9,4.5,-1.5,0.0
1,2016-01-02,5.7,11.4,0.4,0.0
2,2016-01-03,8.1,11.1,6.2,0.0
3,2016-01-04,6.4,10.9,3.0,0.0
4,2016-01-05,3.1,5.4,0.7,0.0
5,2016-01-06,2.9,6.7,-0.1,0.0
6,2016-01-07,2.1,4.4,-1.2,0.0
7,2016-01-08,2.6,6.9,-0.6,0.0
8,2016-01-09,1.6,4.7,-1.4,0.0
9,2016-01-10,2.5,6.5,-0.5,0.0
10,2016-01-11,-0.3,2.4,-2.7,0.0
11,2016-01-12,-0.6,2.0,-2.1,0.0
12,2016-01-13,1.9,5.6,-2.4,0.0
13,2016-01-14,0.8,3.0,-1.7,0.0
14,2016-01-15,-0.6,3.8,-2.4,0.0
15,2016-01-16,-1.4,2.8,-4.3,0.0
16,2016-01-17,0.5,3.6,-2.7,0.0
17,2016-01-18,0.6,3.0,-1.8,46.0
18,2016-01-19,1.1,3.5,-1.5,1.0
19,2016-01-20,0.6,4.4,-3.2,0.0
20,2016-01-21,0.0,2.4,-1.8,1.5
21,2016-01-22,-0.3,3.8,-2.9,0.0
22,2016-01-23,-0.5,2.4,-3.1,1.5
23,2016-01-24,-2.0,1.0,-3.5,4.0
24,2016-01-25,-2.0,0.1,-4.4,4.0
25,2016-01-26,1.7,5.3,-2.9,0.0
26,2016-01-27,3.5,8.0,-0.4,0.0
27,2016-01-28,3.3,8.1,-0.3,0.0
28,2016-01-29,-0.2,1.4,-2.2,2.0
29,2016-01-30,-1.5,0.4,-3.0,4.0
30,2016-01-31,0.6,4.2,-1.9,0.0
31,2016-02-01,-0.5,2.4,-2.8,0.0
32,2016-02-02,-0.6,2.6,-3.0,0.0
33,2016-02-03,0.2,3.3,-2.9,0.0
34,2016-02-04,1.7,5.3,-2.8,0.0
35,2016-02-05,2.2,6.4,-0.8,0.0
36,2016-02-06,0.6,3.2,-1.7,0.0
37,2016-02-07,-1.2,1.5,-3.1,0.0
38,2016-02-08,1.0,4.7,-3.9,0.0
39,2016-02-09,3.1,8.9,-0.2,0.0
40,2016-02-10,0.4,3.2,-2.0,0.0
41,2016-02-11,1.7,5.4,-0.6,0.0
42,2016-02-12,2.7,7.2,-3.1,0.0
43,2016-02-13,7.0,13.1,2.4,0.0
44,2016-02-14,11.3,20.7,6.4,0.5
45,2016-02-15,1.0,7.5,-2.8,0.0
46,2016-02-16,0.4,5.1,-3.9,0.0
47,2016-02-17,0.0,4.0,-2.9,0.0
48,2016-02-18,3.2,9.0,-3.3,0.0
49,2016-02-19,6.1,11.4,-0.1,0.0
50,2016-02-20,6.2,8.5,4.8,15.0
51,2016-02-21,5.2,11.0,0.5,0.0
52,2016-02-22,1.3,5.0,-0.7,0.0
53,2016-02-23,3.8,9.1,-1.4,0.0
54,2016-02-24,-0.3,3.1,-3.0,0.0
55,2016-02-25,-1.1,4.1,-4.5,0.0
56,2016-02-26,0.7,5.0,-2.7,0.0
57,2016-02-27,2.4,5.7,-3.1,0.0
58,2016-02-28,3.3,5.8,-0.5,0.5
59,2016-02-29,4.9,10.9,-0.3,0.0
60,2016-03-01,-1.2,0.5,-2.5,1.5
61,2016-03-02,0.7,5.9,-3.5,0.0
62,2016-03-03,4.8,11.4,-0.5,0.0
63,2016-03-04,4.1,8.3,0.8,0.0
64,2016-03-05,4.4,8.4,0.0,0.0
65,2016-03-06,7.3,11.4,4.6,0.0
66,2016-03-07,10.2,14.5,6.9,4.0
67,2016-03-08,9.2,14.5,4.9,0.5
68,2016-03-09,3.5,6.3,2.2,0.0
69,2016-03-10,2.6,6.9,-0.2,0.0
70,2016-03-11,1.9,7.2,-1.1,0.0
71,2016-03-12,2.1,5.8,-1.5,0.0
72,2016-03-13,3.7,7.1,-1.2,0.0
73,2016-03-14,4.4,6.7,2.6,0.5
74,2016-03-15,4.4,8.1,1.9,0.0
75,2016-03-16,7.0,11.0,2.1,0.0
76,2016-03-17,10.6,16.2,5.9,0.0
77,2016-03-18,9.9,14.0,4.1,0.0
78,2016-03-19,11.3,15.9,8.2,1.0
79,2016-03-20,7.0,10.8,3.5,0.0
80,2016-03-21,5.0,9.2,1.8,0.0
81,2016-03-22,7.7,14.1,2.0,0.0
82,2016-03-23,6.0,10.7,3.4,0.0
83,2016-03-24,4.5,9.6,0.2,0.0
84,2016-03-25,3.6,8.4,-0.5,0.0
85,2016-03-26,4.8,10.9,-0.9,0.0
86,2016-03-27,6.4,11.3,0.3,0.0
87,2016-03-28,8.9,15.8,3.7,0.0
88,2016-03-29,8.5,13.4,4.7,0.0
89,2016-03-30,10.0,15.8,5.5,1.5
90,2016-03-31,10.4,16.2,4.3,0.0
91,2016-04-01,7.6,11.9,3.5,0.0
92,2016-04-02,6.9,8.2,5.2,0.0
93,2016-04-03,12.6,17.5,8.1,0.0
94,2016-04-04,8.2,12.2,5.2,23.0
95,2016-04-05,8.3,13.2,4.1,0.0
96,2016-04-06,11.4,16.5,5.5,0.0
97,2016-04-07,9.1,10.8,6.9,57.5
98,2016-04-08,11.7,14.2,8.7,0.5
99,2016-04-09,15.2,22.6,7.3,0.0
100,2016-04-10,9.7,13.3,6.6,0.0
101,2016-04-11,4.3,9.3,0.8,0.5
102,2016-04-12,7.0,12.7,1.3,0.0
103,2016-04-13,11.7,16.8,5.4,1.0
104,2016-04-14,13.2,18.0,10.7,13.5
105,2016-04-15,9.8,14.1,7.3,0.0
106,2016-04-16,9.9,14.1,4.6,0.0
107,2016-04-17,13.2,18.9,7.9,5.5
108,2016-04-18,14.7,20.2,10.4,0.0
109,2016-04-19,11.4,17.1,6.3,0.0
110,2016-04-20,9.6,15.7,4.3,0.0
111,2016-04-21,11.8,15.8,6.6,5.5
112,2016-04-22,12.6,16.1,10.3,0.5
113,2016-04-23,12.7,16.0,9.7,0.0
114,2016-04-24,13.9,21.0,9.7,0.0
115,2016-04-25,12.5,18.1,6.4,0.0
116,2016-04-26,13.6,20.3,8.1,0.0
117,2016-04-27,10.8,14.6,8.1,0.0
118,2016-04-28,9.6,12.4,7.1,45.5
119,2016-04-29,10.1,14.2,5.7,0.5
120,2016-04-30,10.2,15.9,4.4,0.0
121,2016-05-01,9.4,11.4,8.4,6.5
122,2016-05-02,10.1,12.8,8.1,0.5
123,2016-05-03,13.9,19.1,8.8,0.0
124,2016-05-04,14.8,18.7,12.2,7.5
125,2016-05-05,16.7,21.2,12.2,0.0
126,2016-05-06,15.6,21.0,10.1,0.0
127,2016-05-07,15.7,21.0,12.4,0.0
128,2016-05-08,16.2,21.4,10.9,0.0
129,2016-05-09,14.5,19.2,9.0,0.0
130,2016-05-10,13.3,15.3,12.6,23.0
131,2016-05-11,13.6,16.8,12.3,5.0
132,2016-05-12,15.8,19.1,12.1,0.0
133,2016-05-13,16.2,22.1,10.3,0.0
134,2016-05-14,15.7,19.0,11.6,0.0
135,2016-05-15,13.0,17.5,9.2,0.0
136,2016-05-16,14.2,17.3,10.2,0.0
137,2016-05-17,14.2,16.7,13.1,20.0
138,2016-05-18,17.5,25.4,12.2,0.0
139,2016-05-19,16.3,21.4,11.4,0.0
140,2016-05-20,14.6,20.0,10.9,0.0
141,2016-05-21,15.3,18.4,11.7,2.5
142,2016-05-22,18.8,25.5,14.3,0.0
143,2016-05-23,21.9,29.9,14.0,0.0
144,2016-05-24,19.4,25.2,15.9,0.0
145,2016-05-25,18.3,21.7,15.9,0.0
146,2016-05-26,19.4,24.2,16.8,0.0
147,2016-05-27,18.2,23.5,14.5,10.5
148,2016-05-28,18.4,24.1,14.4,0.0
149,2016-05-29,18.7,23.9,15.4,0.0
150,2016-05-30,19.1,24.5,16.2,0.0
