Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation
0,2016-01-01,-1.6,3.2,-7.1,2.0
1,2016-01-02,1.4,8.8,-7.1,0.0
2,2016-01-03,4.5,13.2,-1.4,0.0
3,2016-01-04,4.5,13.0,-2.9,0.0
4,2016-01-05,3.9,8.7,0.9,0.0
5,2016-01-06,1.4,4.9,-0.6,0.0
6,2016-01-07,-0.1,1.1,-1.6,1.0
7,2016-01-08,-0.7,3.0,-3.8,1.5
8,2016-01-09,-0.9,1.8,-3.2,1.0
9,2016-01-10,0.7,5.7,-2.5,0.0
10,2016-01-11,-1.5,0.9,-3.2,0.0
11,2016-01-12,-2.7,0.1,-6.2,0.0
12,2016-01-13,-2.6,3.4,-8.5,0.5
13,2016-01-14,-1.5,0.1,-2.5,1.0
14,2016-01-15,-2.2,0.3,-4.7,0.0
15,2016-01-16,-1.5,2.7,-4.6,0.0
16,2016-01-17,-1.1,2.8,-5.5,0.5
17,2016-01-18,0.1,2.2,-1.9,38.0
18,2016-01-19,-3.4,1.4,-5.9,2.0
19,2016-01-20,-3.4,-0.2,-6.6,21.0
20,2016-01-21,-2.7,0.3,-4.8,0.0
21,2016-01-22,-5.1,-0.8,-9.7,0.0
22,2016-01-23,-5.0,-2.2,-9.3,1.0
23,2016-01-24,-6.1,-2.7,-9.2,8.0
24,2016-01-25,-7.5,-2.7,-13.5,1.5
25,2016-01-26,-7.5,2.3,-16.4,0.0
26,2016-01-27,-2.2,6.2,-6.9,0.0
27,2016-01-28,-2.1,6.8,-10.0,0.0
28,2016-01-29,-0.1,1.2,-2.4,26.5
29,2016-01-30,-1.1,1.1,-4.2,5.0
30,2016-01-31,-1.5,2.3,-6.5,0.0
31,2016-02-01,-2.7,-1.0,-4.1,0.0
32,2016-02-02,-3.3,-1.2,-6.6,0.0
33,2016-02-03,-6.2,0.8,-13.2,0.0
34,2016-02-04,-5.0,2.1,-14.0,0.0
35,2016-02-05,-1.6,3.1,-5.2,0.0
36,2016-02-06,-1.8,1.1,-3.7,3.5
37,2016-02-07,-4.9,-1.4,-11.7,0.0
38,2016-02-08,-6.4,3.5,-15.0,0.0
39,2016-02-09,-3.4,-1.3,-6.9,28.5
40,2016-02-10,-3.9,-1.5,-8.1,5.5
41,2016-02-11,-4.3,4.8,-12.7,0.0
42,2016-02-12,-0.7,9.7,-10.2,0.0
43,2016-02-13,2.4,7.1,-1.7,3.0
44,2016-02-14,4.6,12.0,1.8,28.0
45,2016-02-15,-2.2,3.1,-5.3,0.0
46,2016-02-16,-3.2,-0.2,-6.2,0.0
47,2016-02-17,-3.3,-1.6,-8.1,8.0
48,2016-02-18,-4.3,6.0,-13.7,0.0
49,2016-02-19,0.8,8.4,-8.0,0.0
50,2016-02-20,1.1,5.6,-1.0,15.0
51,2016-02-21,0.6,3.3,-2.8,1.5
52,2016-02-22,-1.0,4.7,-4.4,0.0
53,2016-02-23,1.8,6.4,-3.1,0.0
54,2016-02-24,-2.8,0.0,-5.2,0.0
55,2016-02-25,-2.4,1.9,-5.6,0.0
56,2016-02-26,-2.7,-1.5,-4.9,2.5
57,2016-02-27,-1.7,5.4,-10.5,4.0
58,2016-02-28,2.7,8.8,-1.8,0.5
59,2016-02-29,-0.2,4.1,-5.1,11.5
60,2016-03-01,-5.3,-2.1,-8.0,5.5
61,2016-03-02,-3.4,2.9,-7.8,0.0
62,2016-03-03,2.1,9.1,-6.2,0.0
63,2016-03-04,1.9,11.5,-5.1,0.0
64,2016-03-05,3.3,12.1,-3.0,0.0
65,2016-03-06,6.9,16.4,-2.1,0.0
66,2016-03-07,5.3,11.3,1.9,2.5
67,2016-03-08,6.0,15.3,0.9,0.0
68,2016-03-09,0.0,3.7,-1.7,9.0
69,2016-03-10,-1.0,3.8,-2.8,1.5
70,2016-03-11,-1.0,3.5,-3.6,0.0
71,2016-03-12,-1.5,4.3,-6.7,0.0
72,2016-03-13,1.6,6.9,-2.3,0.5
73,2016-03-14,0.2,1.2,-2.2,9.0
74,2016-03-15,-0.2,1.6,-3.4,0.5
75,2016-03-16,1.8,11.0,-6.3,0.0
76,2016-03-17,5.5,16.9,-3.1,0.0
77,2016-03-18,7.2,16.3,-1.2,1.0
78,2016-03-19,7.0,10.5,4.2,7.5
79,2016-03-20,2.9,6.7,0.6,0.0
80,2016-03-21,1.0,5.4,-2.8,0.0
81,2016-03-22,5.3,14.4,-5.0,0.0
82,2016-03-23,2.1,8.8,-0.7,1.0
83,2016-03-24,-0.1,4.1,-1.7,0.0
84,2016-03-25,-0.8,2.3,-2.5,0.0
85,2016-03-26,1.2,8.2,-3.1,0.0
86,2016-03-27,3.6,12.2,-3.5,0.0
87,2016-03-28,4.2,12.0,-1.9,0.0
88,2016-03-29,5.6,16.3,-2.8,0.0
89,2016-03-30,6.9,17.0,0.2,2.0
90,2016-03-31,6.6,16.0,-1.5,0.0
91,2016-04-01,9.4,19.6,-0.6,0.0
92,2016-04-02,11.8,19.9,6.2,0.0
93,2016-04-03,11.5,18.6,6.1,0.5
94,2016-04-04,7.4,11.5,5.0,10.0
95,2016-04-05,7.1,15.4,1.6,0.0
96,2016-04-06,7.9,17.8,-0.6,0.0
97,2016-04-07,7.8,14.8,4.2,103.5
98,2016-04-08,8.9,13.8,3.1,0.0
99,2016-04-09,10.8,20.4,2.2,0.0
100,2016-04-10,10.3,18.5,3.7,0.0
101,2016-04-11,1.5,7.7,-0.7,0.0
102,2016-04-12,5.9,15.4,-2.8,0.0
103,2016-04-13,9.8,17.5,2.7,14.0
104,2016-04-14,12.6,19.5,8.1,7.5
105,2016-04-15,8.0,12.5,1.0,0.0
106,2016-04-16,10.8,21.1,-0.7,0.0
107,2016-04-17,15.6,23.0,9.1,2.5
108,2016-04-18,10.2,16.8,4.5,0.0
109,2016-04-19,8.6,16.8,2.1,0.0
110,2016-04-20,9.6,19.9,0.0,0.0
111,2016-04-21,10.3,17.5,5.4,44.0
112,2016-04-22,12.1,17.0,8.8,2.5
113,2016-04-23,14.5,24.7,8.0,0.0
114,2016-04-24,11.3,18.1,6.4,0.0
115,2016-04-25,12.3,21.5,5.3,0.0
116,2016-04-26,13.4,22.9,5.4,0.0
117,2016-04-27,13.8,24.0,7.1,3.0
118,2016-04-28,10.5,13.0,8.6,50.0
119,2016-04-29,6.9,9.6,4.7,0.0
120,2016-04-30,9.5,14.9,1.6,1.5
